methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,asiaPos,usPos,asiaOP,asiaCL,usOP,usCL,exOP,exCL,operation
signal1-model1,INFO-INFY,2021-04-30,0.0187894736842107,0.0203131335373557,-0.0214602028680337,-0.000573534665339009,1346.98550359264,1404.48758857649,-1354.7,18.02,1354.35,1349,18.08,18.26,74.53,74.45,
signal1-model1,INFO-INFY,2021-05-03,0.00410014903129641,0.0199466194673258,-0.0215058857239144,-0.000779633128294271,1321.14992518309,1377.11855425611,-1354.7,18.02,1352.05,1342,18.2,18.25,74.46,74.53,
signal1-model1,INFO-INFY,2021-05-04,0.00086558345642529,0.019799756385385,-0.0215812711644919,-0.000890757389553448,1328.86087833882,1385.063429451,-1354.7,18.02,1329.4,1354,18.11,18,74.35,74.46,
signal1-model1,INFO-INFY,2021-05-05,0.00669039518450676,0.0191722795138652,-0.0215196040118396,-0.00117366224898721,1320.97136770848,1375.90636002511,-1354.7,18.02,1341.5,1337.35,18.29,18.31,74.22,74.34,
signal1-model1,INFO-INFY,2021-05-06,0.0107846612062545,0.0200426522065426,-0.0214176987372017,-0.000687523265329543,1330.81082155095,1387.19430981763,-1354.7,18.02,1361.6,1343,18.6,18.35,74.01,74.22,
signal1-model1,INFO-INFY,2021-05-07,0.00774963396778938,0.0208014857343023,-0.020924815085514,-6.16646756058325e-05,1348.53447926731,1406.00642444046,-1354.7,18.02,1352.55,1366,18.38,18.62,73.64,74.01,
signal1-model1,INFO-INFY,2021-05-10,0.00461266066599997,0.0212837982906092,-0.0202961994130587,0.00049379943877525,1327.81544392436,1384.16978599815,-1354.7,18.02,1339.55,1349.85,18.36,18.3,73.9,73.78,
signal1-model1,INFO-INFY,2021-05-11,0.0155718562874252,0.0223711308649849,-0.0203364370774637,0.0010173468937606,1327.11493804805,1384.96934187526,-1354.7,18.02,1330.65,1336,18.19,18.13,73.75,73.9,
signal1-model1,INFO-INFY,2021-05-12,0.0177237036756059,0.0225136852831512,-0.0157670188949919,0.00337333319407963,1311.97510537819,1363.00299395969,-1354.7,18.02,1327,1318.15,17.84,18.05,74.1,73.75,
signal1-model1,INFO-INFY,2021-05-13,0.00301361757007923,0.0181509333773619,-0.0073959295180144,0.00537750192967373,1298.55246079706,1331.97358273779,-1354.7,18.02,1327,1318.15,17.88,17.91,73.85,74.11,
signal1-model1,INFO-INFY,2021-05-14,-0.010129315191724,0.0181809993719681,-0.0074587072515733,0.00536114606019741,1296.8597929194,1330.36077153385,0,0,1316.4,1333.95,18.16,18.02,73.66,73.85,跌下限\开盘平\收盘平
signal1-model1,INFO-INFY,2021-05-17,0.0132903128076951,0.0182930471959917,-0.00747618808054169,0.00540842955772502,1313.81354678198,1347.92453735968,0,0,1329.4,1320.3,18.17,18.18,73.69,73.67,
signal1-model1,INFO-INFY,2021-05-18,0.00220606287425151,0.018235861382323,-0.00681404500047759,0.00571090819092273,1314.96773074,1348.13354262611,0,0,1340,1336,18.26,18.32,73.54,73.69,
signal1-model1,INFO-INFY,2021-05-19,-0.00382759643916897,0.0178732839947674,-0.00592731645190773,0.00597298377142982,1319.26087570533,1350.84729942188,0,0,1337,1348,18.44,18.19,73.66,73.54,
signal1-model1,INFO-INFY,2021-05-20,0.00988133828996296,0.0172045069167631,-0.00581908400792636,0.00569271145441838,1335.31693063089,1366.24066922929,0,0,1339.3,1345,18.65,18.44,73.44,73.66,
signal1-model1,INFO-INFY,2021-05-21,0.0164423005565861,0.0183698681540513,-0.00567502531613818,0.00634742141895655,1344.94945582267,1377.47319525538,0,0,1354.5,1347.5,18.72,18.8,73.3,73.44,
signal1-model1,INFO-INFY,2021-05-24,-0.0206765714285715,0.0196372408489894,-0.0101528436696025,0.00474219858969349,1344.64763062048,1385.11566278861,0,0,1348.05,1400,18.67,18.645,73.25,73.24,跌下限\收盘平
signal1-model1,INFO-INFY,2021-05-25,0.00705265095729013,0.0197932825500879,-0.0100347552898087,0.00487926363013959,1341.03403444691,1381.43991145907,0,0,1361.6,1358,18.73,18.85,73.2,73.25,
signal1-model1,INFO-INFY,2021-05-26,0.00119468380312537,0.0198185236411342,-0.0098389153348576,0.00498980415313828,1344.39213273445,1384.65954806097,0,0,1397.25,1369.4,19.26,19.18,73.04,73.2,
signal1-model1,INFO-INFY,2021-05-27,-0.0475301127323199,0.0257587602374989,-0.0199782114148268,0.00289027441133601,1371.42421252565,1435.42767761407,0,0,1402.25,1476.95,19.37,19.41,73.01,73.04,跌下限\收盘平
signal1-model1,INFO-INFY,2021-05-28,0.00166710344583376,0.0242033665382907,-0.0201350547394564,0.00203415589941717,1380.78407687711,1443.26389758128,0,0,1405.05,1411.85,19.34,19.29,72.74,73.01,
signal1-model1,INFO-INFY,2021-05-31,0.00756277738010014,0.0244450269814252,-0.0200304523477105,0.00220728731685735,1373.97826425831,1436.33565284972,0,0,1393.75,1397,19.34,19.29,72.86,72.78,
signal1-model1,INFO-INFY,2021-06-01,0.00609442857142839,0.0247382452247536,-0.0198007860795386,0.00246872957260751,1374.52877021397,1436.9856453632,0,0,1387.2,1400,19.27,19.17,73.19,72.83,
signal1-model1,INFO-INFY,2021-06-02,0.0214530508781459,0.0263414649534919,-0.019927740238913,0.00320686235728946,1374.17355544912,1439.0482803215,0,0,1378.65,1380.75,19.29,19.09,73.31,73.19,
signal1-model1,INFO-INFY,2021-06-03,0.0232633140376266,0.0278125366972931,-0.020150946699577,0.00383079499885807,1375.88310076869,1443.23239915038,0,0,1389.65,1382,19.14,19.18,73.3,73.31,
signal1-model1,INFO-INFY,2021-06-04,0.00787500000000008,0.0278212677067647,-0.0201471411058275,0.0038370633004686,1364.98634935842,1431.80885503904,0,0,1385.65,1392,19.29,19.21,73.16,73.3,
signal1-model1,INFO-INFY,2021-06-07,0.0171722622478385,0.0288637183428027,-0.0199336315836817,0.00446504337956053,1372.22751160285,1440.55050300458,0,0,1389.65,1388,19.4,19.29,73.04,73.19,
signal1-model1,INFO-INFY,2021-06-08,0.0150257879656162,0.0288076480552418,-0.0199321681283017,0.00443773996347008,1377.29924799695,1445.79380520419,0,0,1412.95,1396,19.5,19.58,73.22,73.04,
signal1-model1,INFO-INFY,2021-06-09,0.00836187718492876,0.0279340746956215,-0.0199947774177491,0.00396964863893622,1388.98985367596,1456.92080725638,0,0,1415.3,1415.95,19.66,19.5,73.25,73.22,
signal1-model1,INFO-INFY,2021-06-10,0.0152238279873105,0.0288350868448427,-0.0196747685252471,0.00458015915979778,1399.73356120307,1468.99717947032,0,0,1424.3,1418.5,19.89,19.78,73.3,73.25,
signal1-model1,INFO-INFY,2021-06-11,0.0195790283655697,0.0302336089192415,-0.0181024562439166,0.00606557633766247,1414.76572631815,1484.41067937132,0,0,1446.9,1429.55,20.54,19.99,73.47,73.28,
signal1-model1,INFO-INFY,2021-06-14,0.0360347766323024,0.0333027955641902,-0.0188971965064045,0.00720279952889283,1458.84691928752,1536.46549029542,0,0,1461.8,1455,20.45,20.36,73.44,73.39,超上限\收盘平
signal1-model1,INFO-INFY,2021-06-15,0.028627786719633,0.0355142251699565,-0.0184664537276327,0.0085238857211619,1450.34028842386,1530.10358708947,0,0,1473.9,1460.05,20.23,20.64,73.63,73.44,
signal1-model1,INFO-INFY,2021-06-16,-0.00552043269230751,0.0355271185850394,-0.0186486307680295,0.00843924390850497,1438.23621155866,1517.63440363423,0,0,1480.6,1497.6,20.38,20.41,74.09,73.62,
signal1-model1,INFO-INFY,2021-06-17,0.0250877121520705,0.0368574814392209,-0.0184583562360002,0.00919956260161035,1456.27940872268,1538.34960502506,0,0,1495.3,1473,20.67,20.47,74.56,74.09,
signal1-model1,INFO-INFY,2021-06-18,0.023002389962159,0.0374749277229059,-0.0184197935791279,0.00952756707188899,1485.28745979639,1569.86509092186,0,0,1503.3,1506.3,20.19,20.59,74.44,74.55,
signal1-model1,INFO-INFY,2021-06-21,0.0073304902619209,0.0367919456749416,-0.0149361053621144,0.0109279201564136,1446.68861120788,1522.65767547127,0,0,1500.3,1489,20.53,20.38,74.37,74.29,
signal1-model1,INFO-INFY,2021-06-22,0.0112724503311259,0.0369667637929848,-0.014688943542774,0.0111389101251054,1472.5847089009,1549.78612083228,0,0,1511.85,1510,20.76,20.5,74.48,74.38,
signal1-model1,INFO-INFY,2021-06-23,0.0140409180327867,0.0373817652213765,-0.0138193215481996,0.0117812218365885,1490.68785652888,1568.08223258613,0,0,1503.15,1525,20.69,20.55,74.5,74.49,
signal1-model1,INFO-INFY,2021-06-24,0.0167579155672823,0.0297354923542296,0.000255754148907578,0.0149956232515686,1496.89411644535,1541.01088007391,0,0,1559.2,1516,21.19,21.35,74.44,74.5,
