sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,17.18,-8.11,-4.46,62.36,16.43,3,2,7.45,2.17,351,0.48,13.22,31.57,2.31,79.46
signal1-model12330-TSM-,0.11,-20.38,-15.28,11.23,0.24,6,5,4.82,0.05,181,0.31,1.33,5.71,0.02,55.32
signal1-model1ICICIBC-IBN-,15.77,-7.86,-4.93,39.92,15.51,3,2,7.03,2.12,172,0.45,14.21,27.12,2.24,76.03
signal1-model1TTMT-TTM-,20.20,-11.76,-2.02,63.34,20.20,3,2,8.70,2.16,141,0.56,16.15,38.92,2.32,77.30
signal1-model1HDFCB-HDB-,12.75,-5.68,-3.66,48.64,11.83,5,3,8.39,1.47,213,0.54,10.68,21.81,1.52,68.75
signal1-model12303-UMC-,4.81,-11.54,-11.54,22.79,4.35,7,3,7.05,0.70,840,0.45,3.65,12.35,0.68,54.57
signal1-model2INFO-INFY-,15.37,-13.05,-13.05,60.24,14.89,3,2,7.05,2.06,567,0.45,12.86,31.04,2.18,87.78
signal1-model22330-TSM-,3.05,-13.32,-13.09,16.87,3.31,6,2,4.26,0.73,514,0.27,4.25,9.16,0.71,72.67
signal1-model2ICICIBC-IBN-,18.90,-4.46,3.28,43.59,18.96,3,2,7.84,2.25,63,0.50,17.57,32.24,2.41,88.18
signal1-model2TTMT-TTM-,22.76,-9.03,-4.96,64.21,22.86,3,1,9.40,2.23,75,0.60,18.07,45.76,2.42,85.45
signal1-model2HDFCB-HDB-,14.25,-6.01,-4.61,37.46,12.95,5,1,8.38,1.63,156,0.54,12.27,23.89,1.70,86.98
signal1-model22303-UMC-,10.69,-8.06,-4.02,28.43,10.26,7,2,6.43,1.61,162,0.41,9.89,18.87,1.66,77.11
signal2-model1INFO-INFY-,16.17,-8.55,-5.37,47.99,15.17,3,2,7.00,2.18,287,0.45,13.82,28.29,2.31,79.09
signal2-model12330-TSM-,-0.06,-21.43,-16.32,11.28,-0.09,6,5,4.42,0.01,391,0.28,0.16,7.01,-0.01,58.78
signal2-model1ICICIBC-IBN-,13.87,-11.54,-8.69,34.04,13.09,3,3,7.73,1.72,290,0.49,12.66,22.98,1.79,75.14
signal2-model1TTMT-TTM-,18.51,-9.01,-2.77,45.90,18.01,3,2,9.17,1.90,125,0.59,16.46,32.73,2.02,77.59
signal2-model1HDFCB-HDB-,13.00,-5.01,-0.14,55.82,12.29,5,3,7.98,1.57,147,0.51,11.01,20.21,1.63,70.49
signal2-model12303-UMC-,2.67,-8.82,-6.85,14.06,2.68,7,3,6.23,0.45,724,0.40,2.61,7.30,0.43,55.89
signal2-model2INFO-INFY-,14.37,-10.31,-9.80,48.20,13.79,3,2,6.77,2.02,429,0.43,12.45,27.04,2.12,82.94
signal2-model22330-TSM-,2.28,-15.81,-12.33,11.97,2.22,6,2,3.86,0.60,412,0.25,2.79,8.94,0.59,68.01
signal2-model2ICICIBC-IBN-,15.33,-9.31,-4.96,32.40,14.78,3,2,7.89,1.85,168,0.50,14.14,25.28,1.94,79.44
signal2-model2TTMT-TTM-,18.79,-10.94,-9.95,45.51,18.26,3,2,9.39,1.88,157,0.60,17.98,35.70,2.00,80.71
signal2-model2HDFCB-HDB-,12.38,-7.30,-5.47,44.04,11.48,5,2,7.99,1.50,223,0.51,11.17,22.50,1.55,81.29
signal2-model22303-UMC-,6.31,-6.22,-3.28,18.82,6.01,7,2,5.65,1.11,339,0.36,5.65,11.00,1.12,66.67
