,index,
0,000037 AU Equity,-1.0
1,000622 AU Equity,-1.0
2,000635 AU Equity,1.0
3,000665 AU Equity,-1.0
4,000720 AU Equity,-1.0
5,000755 AU Equity,1.0
6,000860 AU Equity,-1.0
7,000950 AU Equity,-1.0
8,000989 AU Equity,-1.0
9,002038 AU Equity,-1.0
10,002072 AU Equity,-1.0
11,002093 AU Equity,-1.0
12,002252 AU Equity,-1.0
13,002353 AU Equity,-1.0
14,002507 AU Equity,-1.0
15,002566 AU Equity,1.0
16,002636 AU Equity,1.0
17,002689 AU Equity,1.0
18,002703 AU Equity,-1.0
19,002712 AU Equity,-1.0
20,002718 AU Equity,-1.0
21,002932 AU Equity,1.0
22,002966 AU Equity,-1.0
23,002982 AU Equity,-1.0
24,002995 AU Equity,-1.0
25,300065 AU Equity,-1.0
26,300108 AU Equity,-1.0
27,300251 AU Equity,-1.0
28,300261 AU Equity,-1.0
29,300273 AU Equity,-1.0
30,300294 AU Equity,-1.0
31,300356 AU Equity,1.0
32,300410 AU Equity,-1.0
33,300518 AU Equity,1.0
34,300535 AU Equity,-1.0
35,300770 AU Equity,-1.0
36,300813 AU Equity,1.0
37,300834 AU Equity,-1.0
38,300866 AU Equity,-1.0
39,300981 AU Equity,-1.0
40,300993 AU Equity,-1.0
41,301058 AU Equity,-1.0
42,301077 AU Equity,-1.0
43,600057 AU Equity,-1.0
44,600094 AU Equity,1.0
45,600143 AU Equity,-1.0
46,600278 AU Equity,1.0
47,600510 AU Equity,-1.0
48,600520 AU Equity,-1.0
49,600589 AU Equity,-1.0
50,600641 AU Equity,1.0
51,600713 AU Equity,1.0
52,600722 AU Equity,-1.0
53,600829 AU Equity,1.0
54,600880 AU Equity,-1.0
55,600998 AU Equity,-1.0
56,601187 AU Equity,-1.0
57,601288 AU Equity,-1.0
58,601568 AU Equity,-1.0
59,603013 AU Equity,-1.0
60,603056 AU Equity,-1.0
61,603353 AU Equity,-1.0
62,603826 AU Equity,-1.0
63,603968 AU Equity,-1.0
64,605296 AU Equity,-1.0
65,605499 AU Equity,-1.0
66,688008 AU Equity,-1.0
67,688037 AU Equity,-1.0
68,688050 AU Equity,-1.0
69,688089 AU Equity,-1.0
70,688553 AU Equity,-1.0
71,688618 AU Equity,-1.0
0,000037 KS Equity,-1.0
1,000622 KS Equity,-1.0
2,000635 KS Equity,1.0
3,000665 KS Equity,-1.0
4,000720 KS Equity,-1.0
5,000755 KS Equity,1.0
6,000860 KS Equity,-1.0
7,000950 KS Equity,-1.0
8,000989 KS Equity,-1.0
9,002038 KS Equity,-1.0
10,002072 KS Equity,-1.0
11,002093 KS Equity,-1.0
12,002252 KS Equity,-1.0
13,002353 KS Equity,-1.0
14,002507 KS Equity,-1.0
15,002566 KS Equity,1.0
16,002636 KS Equity,1.0
17,002689 KS Equity,1.0
18,002703 KS Equity,-1.0
19,002712 KS Equity,-1.0
20,002718 KS Equity,-1.0
21,002932 KS Equity,1.0
22,002966 KS Equity,-1.0
23,002982 KS Equity,-1.0
24,002995 KS Equity,-1.0
25,300065 KS Equity,-1.0
26,300108 KS Equity,-1.0
27,300251 KS Equity,-1.0
28,300261 KS Equity,-1.0
29,300273 KS Equity,-1.0
30,300294 KS Equity,-1.0
31,300356 KS Equity,1.0
32,300410 KS Equity,-1.0
33,300518 KS Equity,1.0
34,300535 KS Equity,-1.0
35,300770 KS Equity,-1.0
36,300813 KS Equity,1.0
37,300834 KS Equity,-1.0
38,300866 KS Equity,-1.0
39,300981 KS Equity,-1.0
40,300993 KS Equity,-1.0
41,301058 KS Equity,-1.0
42,301077 KS Equity,-1.0
43,600057 KS Equity,-1.0
