,index,
0,000009 CH Equity,1.0
1,000518 CH Equity,1.0
2,000544 CH Equity,1.0
3,000626 CH Equity,1.0
4,000656 CH Equity,1.0
5,000671 CH Equity,1.0
6,002069 CH Equity,1.0
7,002076 CH Equity,1.0
8,002175 CH Equity,-1.0
9,002523 CH Equity,1.0
10,002566 CH Equity,1.0
11,301058 CH Equity,1.0
12,600170 CH Equity,1.0
13,600466 CH Equity,1.0
14,600488 CH Equity,1.0
15,600532 CH Equity,1.0
16,600539 CH Equity,1.0
17,600683 CH Equity,1.0
18,603001 CH Equity,1.0
19,603221 CH Equity,1.0
20,603813 CH Equity,1.0
