x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
long-A-f,23.28,-51.45,-33.60,320.54,30.31,14,8,26.87,0.92,1235,1.72,20.47,83.67,0.87,56.61
short-A-f,-2.58,-78.93,-49.08,165.66,0.74,11,9,28.50,0.05,123,1.82,-5.02,31.40,-0.09,53.88
long-short-A-f,12.08,-10.99,-0.75,30.74,13.22,10,14,5.35,2.16,231,0.34,13.81,20.88,2.26,54.42
long-A-tgd,25.49,-54.32,-37.09,369.59,32.95,13,7,27.70,0.96,1234,1.77,19.70,90.12,0.92,57.07
short-A-tgd,-5.14,-81.54,-51.12,148.06,-2.36,9,9,27.50,-0.05,120,1.76,-6.91,26.43,-0.19,53.76
long-short-A-tgd,14.93,-7.08,3.06,38.47,15.76,14,8,4.54,3.09,99,0.29,15.09,23.99,3.29,58.43
long-A-tgd_skew,27.45,-55.80,-29.77,342.86,34.64,16,8,28.04,1.01,926,1.80,23.33,90.02,0.98,57.44
short-A-tgd_skew,-6.53,-84.59,-52.81,179.92,-2.78,10,9,29.14,-0.08,126,1.87,-8.13,29.18,-0.22,54.17
long-short-A-tgd_skew,16.44,-5.17,3.78,31.36,17.14,14,8,4.95,3.10,61,0.32,16.91,24.25,3.32,58.39
long-000300-f,16.32,-42.55,-28.75,281.60,24.83,13,11,22.97,0.77,683,1.47,12.48,98.55,0.71,52.40
short-000300-f,3.57,-47.68,-35.45,120.25,7.75,10,9,26.37,0.27,1236,1.69,1.92,41.56,0.14,52.69
long-short-000300-f,5.15,-22.20,-18.26,41.48,5.91,18,11,8.56,0.63,749,0.55,4.91,22.38,0.60,50.91
long-000300-tgd,16.83,-45.56,-37.14,342.70,27.24,12,11,23.94,0.77,1326,1.53,11.46,105.60,0.70,52.85
short-000300-tgd,-0.47,-45.51,-38.33,83.56,3.17,10,9,24.52,0.10,1353,1.57,0.20,32.49,-0.02,51.94
long-short-000300-tgd,7.98,-18.56,-12.69,61.44,9.11,13,11,7.32,1.09,1172,0.47,5.92,36.46,1.09,52.44
long-000300-tgd_skew,17.84,-43.49,-36.60,312.98,27.48,13,9,23.80,0.81,908,1.52,12.36,106.90,0.75,52.89
short-000300-tgd_skew,-4.45,-69.96,-53.67,136.74,1.47,9,9,26.06,-0.04,493,1.67,-4.44,38.38,-0.17,51.78
long-short-000300-tgd_skew,10.39,-20.97,-17.05,53.97,10.80,11,10,7.90,1.29,807,0.51,10.67,31.55,1.31,52.23
long-000905-f,16.60,-55.53,-49.23,316.06,23.00,12,7,27.52,0.70,70,1.76,13.93,68.82,0.60,55.66
short-000905-f,-1.62,-69.40,-45.19,126.98,1.59,9,7,28.10,0.08,298,1.80,-4.48,34.07,-0.06,53.02
long-short-000905-f,8.55,-14.80,-13.58,35.45,9.27,12,9,6.58,1.28,642,0.42,9.89,21.20,1.30,53.60
long-000905-tgd,17.73,-54.98,-47.45,303.03,22.79,15,9,27.58,0.73,99,1.77,13.98,66.17,0.64,55.58
short-000905-tgd,-3.12,-69.98,-45.35,127.52,-0.30,10,9,27.60,0.02,310,1.77,-5.53,25.97,-0.11,51.90
long-short-000905-tgd,10.06,-10.49,-7.22,36.30,10.11,12,13,5.60,1.74,399,0.36,10.75,20.65,1.80,54.63
long-000905-tgd_skew,18.87,-51.64,-41.79,319.15,24.82,10,12,27.53,0.77,1700,1.76,14.29,77.47,0.69,55.12
short-000905-tgd_skew,-4.51,-75.36,-50.70,166.79,-0.27,10,8,28.90,-0.01,362,1.85,-6.73,26.01,-0.16,53.51
long-short-000905-tgd_skew,11.13,-9.27,-8.53,27.16,11.03,11,10,6.41,1.68,395,0.41,11.13,21.50,1.74,54.05
