x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
longshort-abs_overnight_20-原始因子-000300,2.70,-32.36,-19.30,20.07,2.86,8,4,11.21,0.30,21,3.24,4.25,12.51,0.24,53.95
longshort-bias_factor3-原始因子-000300,4.50,-17.42,-16.53,33.59,4.49,7,6,10.57,0.47,37,3.05,5.14,15.54,0.43,56.13
longshort-bias_factor4-原始因子-000300,5.64,-8.27,-5.59,25.68,5.57,9,5,7.33,0.79,28,2.12,4.88,12.80,0.77,57.42
longshort-corr_overnight_20-原始因子-000300,4.12,-6.98,-4.00,14.13,3.71,7,3,5.36,0.79,28,1.55,3.74,8.46,0.77,61.18
longshort-revs_20-原始因子-000300,4.36,-26.47,-16.79,39.03,4.73,7,4,11.74,0.43,64,3.39,2.58,18.33,0.37,56.58
longshort-revs_intraday_20-原始因子-000300,5.34,-22.89,-21.99,38.18,5.66,7,6,10.74,0.54,28,3.10,4.30,20.45,0.50,58.55
longshort-revs_overnight_20-原始因子-000300,-1.75,-31.57,-16.33,13.17,-1.53,5,5,7.19,-0.21,4,2.07,-2.12,7.59,-0.24,48.03
longshort-width_factor1-原始因子-000300,2.84,-18.10,-11.54,19.63,3.19,10,4,10.76,0.32,29,3.11,3.13,11.88,0.26,56.13
longshort-width_factor2-原始因子-000300,3.11,-9.61,-7.25,23.82,3.01,7,4,7.53,0.45,30,2.17,1.66,10.81,0.41,57.42
longshort-abs_overnight_20-原始因子-000905,4.14,-19.19,-12.25,26.53,4.13,7,5,10.54,0.44,26,3.04,4.92,11.86,0.39,61.18
longshort-bias_factor3-原始因子-000905,5.93,-10.44,-8.48,22.25,6.31,14,5,6.81,0.89,30,1.97,5.38,14.90,0.87,61.94
longshort-bias_factor4-原始因子-000905,3.66,-10.58,-6.68,16.62,4.16,9,5,5.16,0.73,14,1.49,4.10,9.74,0.71,58.71
longshort-corr_overnight_20-原始因子-000905,5.47,-7.28,-6.63,17.99,5.30,9,4,4.47,1.22,12,1.29,5.14,10.87,1.22,64.47
longshort-revs_20-原始因子-000905,3.31,-27.09,-15.22,35.44,3.81,9,4,9.71,0.39,15,2.80,2.19,17.23,0.34,56.58
longshort-revs_intraday_20-原始因子-000905,6.41,-14.72,-12.54,36.41,6.83,7,5,8.73,0.76,28,2.52,5.33,19.16,0.73,61.84
longshort-revs_overnight_20-原始因子-000905,3.93,-23.34,-21.64,20.24,3.83,5,4,7.95,0.53,59,2.29,4.57,11.25,0.49,63.16
