x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
long-中性化-HB-2d-rcc2-000300,70.67,-16.56,44.11,105.26,70.67,12,5,30.00,1.95,31,2.72,69.25,91.81,2.36,61.66
short-中性化-HB-2d-rcc2-000300,74.62,-20.12,41.16,107.89,71.73,9,6,33.49,1.85,64,3.03,69.90,91.07,2.23,61.14
longshort-中性化-HB-2d-rcc2-000300,-1.84,-5.65,-2.92,2.01,-1.11,4,7,5.31,-0.33,148,0.48,-1.51,0.82,-0.35,46.11
long-中性化-HB-2d-rcc2-000905,83.61,-28.15,44.33,120.71,76.58,12,5,36.13,1.88,74,3.27,73.07,100.84,2.31,66.32
short-中性化-HB-2d-rcc2-000905,74.13,-36.77,24.91,95.01,52.70,9,5,37.77,1.67,85,3.42,44.91,80.06,1.96,65.28
longshort-中性化-HB-2d-rcc2-000905,2.27,-6.53,0.23,10.21,6.88,11,6,4.75,0.50,102,0.43,7.31,9.13,0.48,50.26
long-中性化-HB-2d-rcc2-A,9.83,-75.86,-69.59,218.78,10.86,14,7,32.26,0.45,827,2.92,7.61,49.79,0.30,55.14
short-中性化-HB-2d-rcc2-A,-1.52,-81.98,-67.26,229.62,-0.80,14,10,33.27,0.12,34,3.01,-7.84,40.95,-0.05,52.90
longshort-中性化-HB-2d-rcc2-A,5.38,-15.86,-12.00,13.84,5.77,11,10,3.35,1.58,383,0.30,7.69,11.08,1.61,60.48
long-中性化-HB-5d-rcc5-000300,96.28,-30.38,31.44,133.44,68.81,10,6,44.71,1.75,66,4.05,59.94,108.07,2.15,58.03
short-中性化-HB-5d-rcc5-000300,69.11,-28.84,22.25,91.64,51.09,10,6,43.31,1.44,63,3.92,50.03,74.29,1.60,59.07
longshort-中性化-HB-5d-rcc5-000300,7.90,-6.44,-0.78,11.02,5.85,6,6,6.84,1.15,13,0.62,5.55,10.45,1.16,52.33
long-中性化-HB-5d-rcc5-000905,145.28,-31.79,54.66,199.87,108.31,11,4,51.95,2.01,64,4.70,95.93,168.46,2.80,64.25
short-中性化-HB-5d-rcc5-000905,109.03,-32.91,37.09,127.86,74.17,10,6,49.84,1.74,64,4.51,67.90,106.87,2.19,63.73
longshort-中性化-HB-5d-rcc5-000905,8.82,-4.30,3.39,15.73,9.44,8,6,6.07,1.43,20,0.55,8.81,14.66,1.45,55.44
long-中性化-HB-5d-rcc5-A,16.25,-74.63,-54.03,301.10,16.78,8,8,51.85,0.55,347,4.69,4.87,83.03,0.31,55.41
short-中性化-HB-5d-rcc5-A,-4.46,-81.88,-62.55,254.86,-4.80,11,8,51.94,0.18,14,4.70,-13.30,48.83,-0.09,53.76
longshort-中性化-HB-5d-rcc5-A,10.17,-5.31,4.00,21.29,11.24,12,9,4.24,2.31,46,0.38,9.52,18.51,2.40,58.85
long-中性化-NewRVS-2d-rcc2-000300,102.56,-21.42,64.29,134.42,96.02,12,5,35.12,2.20,60,3.18,96.91,114.79,2.92,64.77
short-中性化-NewRVS-2d-rcc2-000300,63.26,-18.38,24.27,74.37,56.73,8,6,32.03,1.70,61,2.90,57.10,70.65,1.97,59.07
longshort-中性化-NewRVS-2d-rcc2-000300,11.80,-5.31,6.11,17.68,12.34,10,4,6.89,1.66,32,0.62,13.90,15.59,1.71,62.69
long-中性化-NewRVS-2d-rcc2-000905,108.67,-35.45,56.82,158.14,95.77,13,3,40.82,2.03,77,3.70,87.13,134.70,2.66,70.98
short-中性化-NewRVS-2d-rcc2-000905,55.04,-31.81,15.47,66.23,40.50,11,5,36.11,1.41,83,3.27,40.78,51.82,1.52,62.18
