x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S43框架-hsce,1.53,-7.21,-4.78,9.09,1.74,9,10,3.12,0.50,530,0.20,1.52,5.16,0.49,52.02
S43框架-US,2.00,-2.87,-1.85,8.01,1.98,10,7,1.76,1.13,281,0.11,2.00,3.56,1.13,56.13
S43框架-HK,1.35,-6.06,-4.85,8.07,1.56,11,12,2.64,0.52,394,0.17,1.66,4.31,0.51,51.87
S43框架-forex-day,0.39,-0.95,-0.45,1.69,0.43,6,7,0.46,0.86,439,0.03,0.35,1.12,0.86,50.57
S43框架-as51,1.29,-2.50,-1.23,4.10,1.33,9,8,1.17,1.10,272,0.07,1.44,2.37,1.10,52.51
S43框架-topix,1.30,-2.93,-2.69,5.65,1.32,11,13,1.34,0.97,727,0.09,1.23,3.75,0.96,53.73
S43框架-twse,0.03,-4.37,-3.46,4.12,0.01,11,10,1.14,0.04,1824,0.07,0.22,1.61,0.03,52.27
S43框架-hk-ggt,1.57,-4.97,-4.01,7.12,1.67,13,13,2.36,0.67,528,0.15,1.75,4.57,0.66,53.96
S43框架-kosdaq,3.09,-5.03,-4.35,10.30,3.08,14,12,2.07,1.48,293,0.13,2.82,5.76,1.49,56.67
S43框架-kospi,2.75,-5.66,-5.64,16.48,2.69,15,9,2.35,1.17,300,0.15,2.08,5.61,1.17,53.04
S43框架-msci,1.59,-3.78,-3.00,6.55,1.68,12,10,2.01,0.79,495,0.13,1.97,4.10,0.79,52.87
S43框架-ndx,2.68,-3.72,-2.65,6.96,2.62,12,9,1.97,1.35,265,0.13,3.03,4.84,1.36,55.24
S43框架-nifty,3.12,-3.60,-2.41,12.34,3.14,9,9,2.57,1.21,297,0.16,2.63,8.11,1.21,52.78
S43框架-nky,1.47,-6.73,-5.89,7.73,1.52,9,12,2.62,0.57,585,0.17,1.55,5.32,0.56,49.93
S43框架-RTY,1.71,-3.62,-3.14,10.45,1.70,9,10,1.87,0.91,460,0.12,1.59,3.93,0.91,52.76
S43框架-set50,2.23,-3.46,-2.38,9.63,2.18,16,9,2.08,1.07,385,0.13,2.01,4.71,1.07,51.38
S43框架-sx5e,1.10,-5.39,-4.32,7.32,0.98,10,9,2.56,0.44,776,0.16,0.92,4.19,0.43,52.03
S43框架-ukx,1.25,-4.65,-4.43,5.86,1.13,12,8,2.18,0.58,481,0.14,1.21,3.52,0.57,52.09
S43框架-xin9i,2.30,-8.07,-7.92,15.24,2.55,11,9,3.68,0.64,790,0.24,2.45,7.24,0.63,49.70
S43框架-全市场,1.24,-16.38,-10.14,19.71,1.28,11,9,3.43,0.38,544,0.22,0.22,6.45,0.36,54.21
S43框架-中证500,2.16,-13.60,-8.44,23.78,2.34,11,9,3.70,0.60,1237,0.24,1.19,8.64,0.58,53.42
S43框架-沪深300,3.03,-8.26,-7.71,18.01,3.42,11,7,3.37,0.90,705,0.22,2.89,9.19,0.90,52.69
S43框架-中证1000,1.89,-14.65,-8.98,21.19,2.00,14,9,3.44,0.56,544,0.22,1.10,8.34,0.55,54.10
