x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
000300,155.92,-3.90,112.90,231.10,177.49,8,3,16.53,5.79,14,1.06,192.22,214.85,9.43,67.00
000905,141.46,-3.22,113.31,181.68,144.23,9,4,14.54,6.16,14,0.93,147.27,169.56,9.73,65.70
RTY,184.81,-7.71,107.62,305.78,194.57,7,5,25.31,4.28,16,1.62,173.43,294.25,7.30,62.71
as51,131.64,-5.83,59.07,249.55,138.64,9,4,18.23,4.71,16,1.17,120.88,231.41,7.22,63.39
hsce,110.56,-9.37,88.68,140.24,115.49,8,3,19.41,3.95,55,1.24,114.16,132.95,5.69,61.38
kosdaq,227.53,-6.22,102.31,486.48,230.10,11,7,22.77,5.34,28,1.46,190.55,442.01,9.99,69.39
kospi,142.04,-6.28,60.92,313.85,144.67,11,5,19.02,4.76,26,1.22,112.49,271.83,7.47,63.88
msci,120.61,-4.05,84.98,166.82,111.75,8,4,14.73,5.46,35,0.94,104.92,145.66,8.19,64.83
ndx,108.14,-8.82,34.27,223.22,134.24,7,5,21.40,3.54,48,1.37,143.14,213.33,5.05,61.27
nifty,94.89,-7.54,45.90,181.60,123.50,13,6,14.45,4.71,42,0.92,140.03,168.66,6.57,64.23
nky,79.15,-8.84,34.40,115.71,58.42,8,5,18.96,3.18,64,1.21,46.32,109.01,4.18,58.18
set50,98.67,-8.32,28.52,208.46,98.45,8,5,20.88,3.40,32,1.34,67.11,196.39,4.72,59.89
sx5e,174.77,-5.88,135.79,319.33,232.62,8,5,21.94,4.74,26,1.40,275.27,306.87,7.97,60.67
topix,83.78,-4.86,36.70,121.52,62.90,9,5,14.63,4.25,41,0.94,50.04,114.26,5.73,61.26
twse,125.50,-3.54,80.10,162.65,113.11,9,5,13.89,5.95,21,0.89,109.04,146.53,9.04,65.47
ukx,143.01,-6.63,55.83,203.94,147.32,8,3,21.33,4.29,33,1.37,168.26,197.89,6.70,62.32
xin9i,166.24,-4.78,132.40,221.32,174.33,8,3,17.46,5.72,15,1.12,180.16,203.60,9.52,70.88
