,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
23481,2010-01-01,0.25,0.25,0.25,0.25,1500.0,ALU,as51
23482,2010-01-04,0.25,0.25,0.25,0.25,10000.0,ALU,as51
23483,2010-01-05,0.25,0.25,0.25,0.25,515.0,ALU,as51
23484,2010-01-06,0.25,0.25,0.25,0.25,9000.0,ALU,as51
23485,2010-01-07,0.25,0.25,0.25,0.25,9000.0,ALU,as51
23486,2010-01-08,0.255,0.265,0.255,0.265,80810.0,ALU,as51
23487,2010-01-11,0.265,0.265,0.265,0.265,1400.0,ALU,as51
23488,2010-01-12,0.265,0.265,0.265,0.265,1400.0,ALU,as51
23489,2010-01-13,0.265,0.265,0.265,0.265,1400.0,ALU,as51
23490,2010-01-14,0.265,0.265,0.265,0.265,1400.0,ALU,as51
23491,2010-01-15,0.265,0.265,0.265,0.265,1400.0,ALU,as51
23492,2010-01-18,0.31,0.31,0.31,0.31,2000.0,ALU,as51
23493,2010-01-19,0.29,0.3,0.265,0.265,67500.0,ALU,as51
23494,2010-01-20,0.29,0.3,0.265,0.265,67500.0,ALU,as51
23495,2010-01-21,0.29,0.3,0.265,0.265,67500.0,ALU,as51
23496,2010-01-22,0.29,0.3,0.265,0.265,67500.0,ALU,as51
23497,2010-01-25,0.29,0.3,0.265,0.265,67500.0,ALU,as51
23498,2010-01-26,0.29,0.3,0.265,0.265,67500.0,ALU,as51
23499,2010-01-27,0.255,0.265,0.24,0.24,35285.0,ALU,as51
23500,2010-01-28,0.255,0.265,0.24,0.24,35285.0,ALU,as51
23501,2010-01-29,0.255,0.265,0.24,0.24,35285.0,ALU,as51
23502,2010-02-01,0.255,0.265,0.24,0.24,35285.0,ALU,as51
23503,2010-02-02,0.255,0.265,0.24,0.24,35285.0,ALU,as51
23504,2010-02-03,0.24,0.25,0.24,0.25,3117.0,ALU,as51
23505,2010-02-04,0.24,0.265,0.24,0.265,31333.0,ALU,as51
23506,2010-02-05,0.25,0.28,0.25,0.28,12500.0,ALU,as51
23507,2010-02-08,0.28,0.28,0.28,0.28,1765.0,ALU,as51
23508,2010-02-09,0.28,0.28,0.28,0.28,1400.0,ALU,as51
23509,2010-02-10,0.28,0.28,0.28,0.28,1400.0,ALU,as51
23510,2010-02-11,0.28,0.28,0.28,0.28,1400.0,ALU,as51
23511,2010-02-12,0.28,0.28,0.28,0.28,1400.0,ALU,as51
23512,2010-02-15,0.28,0.28,0.28,0.28,1400.0,ALU,as51
23513,2010-02-16,0.28,0.28,0.28,0.28,1400.0,ALU,as51
23514,2010-02-17,0.275,0.275,0.275,0.275,2000.0,ALU,as51
23515,2010-02-18,0.275,0.275,0.275,0.275,2000.0,ALU,as51
23516,2010-02-19,0.275,0.285,0.275,0.285,1200.0,ALU,as51
23517,2010-02-22,0.275,0.285,0.275,0.285,1200.0,ALU,as51
23518,2010-02-23,0.25,0.25,0.25,0.25,607623.0,ALU,as51
23519,2010-02-24,0.275,0.275,0.275,0.275,25.0,ALU,as51
23520,2010-02-25,0.265,0.265,0.265,0.265,8.0,ALU,as51
23521,2010-02-26,0.27,0.275,0.27,0.275,2432.0,ALU,as51
23522,2010-03-01,0.275,0.275,0.275,0.275,13.0,ALU,as51
23523,2010-03-02,0.275,0.275,0.275,0.275,13.0,ALU,as51
23524,2010-03-03,0.255,0.28,0.255,0.28,14000.0,ALU,as51
23525,2010-03-04,0.29,0.29,0.29,0.29,6.0,ALU,as51
23526,2010-03-05,0.29,0.29,0.29,0.29,6.0,ALU,as51
23527,2010-03-08,0.29,0.29,0.29,0.29,6.0,ALU,as51
23528,2010-03-09,0.3,0.3,0.25,0.3,12462.0,ALU,as51
23529,2010-03-10,0.3,0.3,0.3,0.3,28006.0,ALU,as51
23530,2010-03-11,0.3,0.3,0.3,0.3,28006.0,ALU,as51
23531,2010-03-12,0.3,0.3,0.3,0.3,28006.0,ALU,as51
23532,2010-03-15,0.28,0.33,0.28,0.33,48320.0,ALU,as51
23533,2010-03-16,0.28,0.33,0.28,0.33,48320.0,ALU,as51
23534,2010-03-17,0.315,0.315,0.305,0.305,15000.0,ALU,as51
23535,2010-03-18,0.315,0.315,0.305,0.305,15000.0,ALU,as51
23536,2010-03-19,0.315,0.315,0.305,0.305,15000.0,ALU,as51
23537,2010-03-22,0.315,0.315,0.305,0.305,15000.0,ALU,as51
23538,2010-03-23,0.315,0.315,0.305,0.305,15000.0,ALU,as51
23539,2010-03-24,0.315,0.315,0.305,0.305,15000.0,ALU,as51
23540,2010-03-25,0.29,0.29,0.29,0.29,4000.0,ALU,as51
23541,2010-03-26,0.29,0.29,0.29,0.29,750.0,ALU,as51
23542,2010-03-29,0.29,0.29,0.29,0.29,250.0,ALU,as51
23543,2010-03-30,0.29,0.29,0.29,0.29,250.0,ALU,as51
23544,2010-03-31,0.29,0.29,0.29,0.29,250.0,ALU,as51
23545,2010-04-01,0.275,0.28,0.275,0.28,80000.0,ALU,as51
23546,2010-04-02,0.275,0.28,0.275,0.28,80000.0,ALU,as51
23547,2010-04-05,0.275,0.28,0.275,0.28,80000.0,ALU,as51
23548,2010-04-06,0.275,0.28,0.275,0.28,80000.0,ALU,as51
23549,2010-04-07,0.25,0.25,0.24,0.24,46850.0,ALU,as51
23550,2010-04-08,0.25,0.25,0.25,0.25,30000.0,ALU,as51
23551,2010-04-09,0.25,0.25,0.25,0.25,30000.0,ALU,as51
