,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
26587,2010-01-25,0.4984,0.6841,0.4984,0.601,21098600.0,ALX,as51
26588,2010-01-26,0.4984,0.6841,0.4984,0.601,21098600.0,ALX,as51
26589,2010-01-27,0.5961,0.6743,0.5961,0.6548,19091700.0,ALX,as51
26590,2010-01-28,0.6743,0.8307,0.6743,0.8258,13161100.0,ALX,as51
26591,2010-01-29,0.8258,0.9382,0.8258,0.8991,8593260.0,ALX,as51
26592,2010-02-01,0.9089,0.9479,0.8991,0.9284,7364840.0,ALX,as51
26593,2010-02-02,0.9284,0.9968,0.9137,0.9577,10753600.0,ALX,as51
26594,2010-02-03,0.9577,0.9626,0.7818,0.7818,9168750.0,ALX,as51
26595,2010-02-04,0.8014,0.8014,0.7232,0.7818,8878280.0,ALX,as51
26596,2010-02-05,0.7818,0.7818,0.6792,0.7329,10527400.0,ALX,as51
26597,2010-02-08,0.7232,0.7525,0.7183,0.7281,3936750.0,ALX,as51
26598,2010-02-09,0.7329,0.7329,0.6939,0.6987,7739820.0,ALX,as51
26599,2010-02-10,0.6841,0.7036,0.6841,0.6939,6732380.0,ALX,as51
26600,2010-02-11,0.6841,0.7134,0.6841,0.6987,5955170.0,ALX,as51
26601,2010-02-12,0.689,0.7232,0.689,0.7232,2692000.0,ALX,as51
26602,2010-02-15,0.6987,0.7232,0.6987,0.7134,686852.0,ALX,as51
26603,2010-02-16,0.6939,0.7183,0.6939,0.7134,24308500.0,ALX,as51
26604,2010-02-17,0.7085,0.7183,0.7036,0.7134,3047160.0,ALX,as51
26605,2010-02-18,0.6987,0.7329,0.6939,0.7329,5418620.0,ALX,as51
26606,2010-02-19,0.7183,0.86,0.7183,0.8062,8349620.0,ALX,as51
26607,2010-02-22,0.8014,0.8307,0.8014,0.8111,2619750.0,ALX,as51
26608,2010-02-23,0.7867,0.8209,0.7818,0.8062,2209780.0,ALX,as51
26609,2010-02-24,0.7769,0.8014,0.7769,0.7867,4943700.0,ALX,as51
26610,2010-02-25,0.7867,0.7965,0.7867,0.7916,4024840.0,ALX,as51
26611,2010-02-26,0.7818,0.8014,0.7818,0.7867,33616400.0,ALX,as51
26612,2010-03-01,0.772,0.816,0.772,0.8111,1280260.0,ALX,as51
26613,2010-03-02,0.7916,0.8258,0.7916,0.8258,828672.0,ALX,as51
26614,2010-03-03,0.8062,0.8258,0.8014,0.8111,891398.0,ALX,as51
26615,2010-03-04,0.816,0.8404,0.8111,0.8307,1395440.0,ALX,as51
26616,2010-03-05,0.8307,0.8404,0.8258,0.8404,533819.0,ALX,as51
26617,2010-03-08,0.8453,0.9089,0.8453,0.8844,1028740.0,ALX,as51
26618,2010-03-09,0.8893,0.9186,0.8795,0.8893,1331600.0,ALX,as51
26619,2010-03-10,0.8893,0.8991,0.8698,0.8698,1535060.0,ALX,as51
26620,2010-03-11,0.8698,0.904,0.8698,0.8698,1325890.0,ALX,as51
26621,2010-03-12,0.8698,0.8795,0.86,0.8698,511520.0,ALX,as51
26622,2010-03-15,0.8698,0.8795,0.8453,0.8453,3256310.0,ALX,as51
26623,2010-03-16,0.8356,0.8404,0.8062,0.8404,1829300.0,ALX,as51
26624,2010-03-17,0.8795,0.8795,0.8356,0.8356,485869.0,ALX,as51
26625,2010-03-18,0.8502,0.8502,0.8307,0.8307,547787.0,ALX,as51
26626,2010-03-19,0.8356,0.8551,0.816,0.816,1814360.0,ALX,as51
26627,2010-03-22,0.816,0.8258,0.8062,0.8258,549271.0,ALX,as51
26628,2010-03-23,0.8258,0.86,0.8209,0.8209,885575.0,ALX,as51
26629,2010-03-24,0.8111,0.8698,0.8111,0.8404,3882810.0,ALX,as51
26630,2010-03-25,0.8404,0.86,0.8404,0.86,532332.0,ALX,as51
26631,2010-03-26,0.86,0.8844,0.86,0.8795,3507060.0,ALX,as51
26632,2010-03-29,0.8844,0.8942,0.8795,0.8844,2781300.0,ALX,as51
26633,2010-03-30,0.8893,0.9186,0.8844,0.8991,989025.0,ALX,as51
26634,2010-03-31,0.904,0.9382,0.8991,0.9186,6484360.0,ALX,as51
26635,2010-04-01,0.9186,0.9382,0.9186,0.9284,1827850.0,ALX,as51
26636,2010-04-02,0.9186,0.9382,0.9186,0.9284,1827850.0,ALX,as51
26637,2010-04-05,0.9186,0.9382,0.9186,0.9284,1827850.0,ALX,as51
26638,2010-04-06,0.9577,0.9968,0.9479,0.9479,4330080.0,ALX,as51
26639,2010-04-07,0.9382,0.9382,0.9186,0.9186,556316.0,ALX,as51
26640,2010-04-08,0.9186,0.9431,0.9137,0.9235,335841.0,ALX,as51
26641,2010-04-09,0.9186,0.9479,0.9186,0.9382,530132.0,ALX,as51
26642,2010-04-12,0.9284,0.9431,0.9235,0.9284,660084.0,ALX,as51
26643,2010-04-13,0.9284,0.9431,0.9284,0.9284,602083.0,ALX,as51
26644,2010-04-14,0.9333,0.9479,0.9284,0.9333,1154530.0,ALX,as51
26645,2010-04-15,0.9284,0.9528,0.9186,0.9431,523246.0,ALX,as51
26646,2010-04-16,0.9479,0.9724,0.9479,0.9724,2369250.0,ALX,as51
26647,2010-04-19,0.9675,0.9821,0.9577,0.9724,4357610.0,ALX,as51
26648,2010-04-20,0.9577,0.9773,0.9528,0.9773,1600300.0,ALX,as51
26649,2010-04-21,0.9821,0.9968,0.9626,0.9626,4036420.0,ALX,as51
26650,2010-04-22,0.9626,0.9675,0.9577,0.9577,1129550.0,ALX,as51
26651,2010-04-23,0.9626,0.9773,0.9577,0.9675,1260630.0,ALX,as51
26652,2010-04-26,0.9626,0.9773,0.9577,0.9675,1260630.0,ALX,as51
26653,2010-04-27,0.9577,0.9675,0.9528,0.9675,1960350.0,ALX,as51
26654,2010-04-28,0.9431,0.9675,0.9382,0.9577,5683570.0,ALX,as51
26655,2010-04-29,0.9577,0.9577,0.9479,0.9528,1426060.0,ALX,as51
26656,2010-04-30,0.9528,0.9626,0.9479,0.9577,4340540.0,ALX,as51
26657,2010-05-03,0.9577,0.9577,0.9479,0.9577,483302.0,ALX,as51
26658,2010-05-04,0.9528,0.9577,0.9382,0.9382,529187.0,ALX,as51
26659,2010-05-05,0.9235,0.9235,0.8795,0.8795,4264300.0,ALX,as51
26660,2010-05-06,0.86,0.8649,0.8111,0.8502,1092410.0,ALX,as51
26661,2010-05-07,0.8111,0.8551,0.8111,0.8356,455685.0,ALX,as51
26662,2010-05-10,0.8307,0.8746,0.8209,0.8404,2394040.0,ALX,as51
26663,2010-05-11,0.86,0.8698,0.8502,0.8551,3126300.0,ALX,as51
26664,2010-05-12,0.8453,0.8502,0.8404,0.8404,1776400.0,ALX,as51
26665,2010-05-13,0.8209,0.8209,0.8014,0.816,4533240.0,ALX,as51
26666,2010-05-14,0.8111,0.8111,0.7965,0.8062,670941.0,ALX,as51
26667,2010-05-17,0.8111,0.8111,0.7671,0.7818,1219630.0,ALX,as51
26668,2010-05-18,0.772,0.7818,0.7525,0.7525,1557800.0,ALX,as51
26669,2010-05-19,0.7427,0.7427,0.7183,0.7329,648910.0,ALX,as51
26670,2010-05-20,0.7329,0.7427,0.7281,0.7329,951763.0,ALX,as51
26671,2010-05-21,0.7329,0.7427,0.689,0.6987,2649950.0,ALX,as51
26672,2010-05-24,0.6987,0.7085,0.6841,0.689,379632.0,ALX,as51
26673,2010-05-25,0.6841,0.6841,0.6645,0.6792,7524700.0,ALX,as51
26674,2010-05-26,0.6694,0.7281,0.6694,0.7036,2727080.0,ALX,as51
26675,2010-05-27,0.7134,0.7769,0.7085,0.772,2087540.0,ALX,as51
26676,2010-05-28,0.7818,0.8111,0.7818,0.7965,1717410.0,ALX,as51
26677,2010-05-31,0.7818,0.816,0.7525,0.8014,941593.0,ALX,as51
26678,2010-06-01,0.8014,0.8014,0.772,0.772,190150.0,ALX,as51
26679,2010-06-02,0.7769,0.8209,0.772,0.7965,1406240.0,ALX,as51
26680,2010-06-03,0.8111,0.8111,0.7916,0.8062,876076.0,ALX,as51
26681,2010-06-04,0.8014,0.8014,0.7574,0.7574,739886.0,ALX,as51
26682,2010-06-07,0.7329,0.7525,0.7134,0.7232,1895420.0,ALX,as51
26683,2010-06-08,0.7329,0.7378,0.7329,0.7329,513066.0,ALX,as51
26684,2010-06-09,0.7427,0.7476,0.7085,0.7329,1658330.0,ALX,as51
26685,2010-06-10,0.7085,0.7427,0.7085,0.7329,558953.0,ALX,as51
26686,2010-06-11,0.7329,0.7525,0.7232,0.7525,454922.0,ALX,as51
26687,2010-06-14,0.7329,0.7525,0.7232,0.7525,454922.0,ALX,as51
26688,2010-06-15,0.7329,0.7378,0.7134,0.7232,275077.0,ALX,as51
26689,2010-06-16,0.7232,0.7671,0.7232,0.7671,387885.0,ALX,as51
26690,2010-06-17,0.8111,0.9089,0.8111,0.8991,6840180.0,ALX,as51
26691,2010-06-18,0.8942,0.9186,0.8942,0.9137,820036.0,ALX,as51
26692,2010-06-21,0.9186,0.9968,0.9137,0.9773,3458030.0,ALX,as51
26693,2010-06-22,0.9333,1.0115,0.9333,1.0066,1086950.0,ALX,as51
26694,2010-06-23,0.9968,1.0603,0.987,0.9968,1523280.0,ALX,as51
26695,2010-06-24,1.0017,1.0017,0.9431,0.9626,1268200.0,ALX,as51
26696,2010-06-25,0.9431,0.9724,0.904,0.9333,939613.0,ALX,as51
26697,2010-06-28,0.9235,0.9284,0.8991,0.9137,447777.0,ALX,as51
26698,2010-06-29,0.9235,0.9235,0.86,0.8698,373318.0,ALX,as51
26699,2010-06-30,0.8551,0.9773,0.8062,0.9284,865686.0,ALX,as51
26700,2010-07-01,0.904,0.9235,0.8698,0.8844,205814.0,ALX,as51
26701,2010-07-02,0.8698,0.8746,0.86,0.8649,1758260.0,ALX,as51
26702,2010-07-05,0.8649,0.8698,0.86,0.8649,552378.0,ALX,as51
26703,2010-07-06,0.8844,0.8893,0.86,0.8649,388763.0,ALX,as51
26704,2010-07-07,0.86,0.9137,0.86,0.8844,940608.0,ALX,as51
26705,2010-07-08,0.8844,0.9479,0.8795,0.9479,787689.0,ALX,as51
26706,2010-07-09,0.8991,0.9089,0.8795,0.904,1896960.0,ALX,as51
26707,2010-07-12,0.904,0.904,0.8844,0.8844,486815.0,ALX,as51
26708,2010-07-13,0.8893,0.8991,0.8893,0.8893,283560.0,ALX,as51
26709,2010-07-14,0.8893,0.8991,0.8844,0.8942,374348.0,ALX,as51
26710,2010-07-15,0.9137,0.9528,0.9089,0.9528,1382000.0,ALX,as51
26711,2010-07-16,0.9528,1.0261,0.9479,1.0066,3118370.0,ALX,as51
26712,2010-07-19,0.9773,1.0359,0.9675,0.9968,1810700.0,ALX,as51
26713,2010-07-20,0.9773,1.0163,0.9577,0.9773,2578720.0,ALX,as51
26714,2010-07-21,0.9821,1.0261,0.9724,1.0261,4079830.0,ALX,as51
26715,2010-07-22,1.0017,1.1434,1.0017,1.1385,2287880.0,ALX,as51
26716,2010-07-23,1.1238,1.1825,1.1141,1.1825,2371610.0,ALX,as51
26717,2010-07-26,1.1923,1.2411,1.1923,1.2069,2154620.0,ALX,as51
26718,2010-07-27,1.1923,1.2069,1.1678,1.1776,2222510.0,ALX,as51
26719,2010-07-28,1.1727,1.1727,1.075,1.1287,3610080.0,ALX,as51
26720,2010-07-29,1.0945,1.1581,1.0945,1.1287,2302370.0,ALX,as51
26721,2010-07-30,1.1141,1.1727,1.1141,1.1727,13741000.0,ALX,as51
26722,2010-08-02,1.1727,1.2216,1.1581,1.2216,2168930.0,ALX,as51
26723,2010-08-03,1.2216,1.2216,1.1971,1.2216,1730310.0,ALX,as51
26724,2010-08-04,1.1971,1.2216,1.1971,1.2216,1059170.0,ALX,as51
26725,2010-08-05,1.2216,1.29,1.1825,1.2704,2216840.0,ALX,as51
26726,2010-08-06,1.2607,1.3046,1.246,1.2949,2584480.0,ALX,as51
26727,2010-08-09,1.2704,1.2802,1.2265,1.2704,1803450.0,ALX,as51
26728,2010-08-10,1.2509,1.2558,1.2313,1.2313,1542870.0,ALX,as51
26729,2010-08-11,1.2558,1.2656,1.1776,1.1923,3250620.0,ALX,as51
26730,2010-08-12,1.1336,1.1727,1.1336,1.1581,2959840.0,ALX,as51
26731,2010-08-13,1.1434,1.2069,1.1434,1.2069,1170060.0,ALX,as51
26732,2010-08-16,1.1727,1.2313,1.1727,1.2216,1049460.0,ALX,as51
26733,2010-08-17,1.2167,1.2656,1.1923,1.2607,1680170.0,ALX,as51
26734,2010-08-18,1.2704,1.2704,1.2167,1.2362,644183.0,ALX,as51
26735,2010-08-19,1.246,1.2558,1.2265,1.2558,865249.0,ALX,as51
26736,2010-08-20,1.2216,1.2265,1.2167,1.2216,712130.0,ALX,as51
26737,2010-08-23,1.202,1.2069,1.1825,1.1874,730244.0,ALX,as51
26738,2010-08-24,1.1581,1.1874,1.1532,1.1727,677656.0,ALX,as51
26739,2010-08-25,1.1581,1.1923,1.1581,1.1776,1322900.0,ALX,as51
26740,2010-08-26,1.1825,1.1971,1.1825,1.1971,1284150.0,ALX,as51
26741,2010-08-27,1.1923,1.2216,1.1727,1.1825,951701.0,ALX,as51
26742,2010-08-30,1.2118,1.2118,1.1825,1.2118,1136220.0,ALX,as51
26743,2010-08-31,1.2118,1.246,1.2118,1.2216,1775110.0,ALX,as51
26744,2010-09-01,1.2411,1.2704,1.2216,1.2704,1670090.0,ALX,as51
26745,2010-09-02,1.2704,1.2704,1.2313,1.246,1228780.0,ALX,as51
26746,2010-09-03,1.2509,1.3535,1.2411,1.3535,3128100.0,ALX,as51
26747,2010-09-06,1.3535,1.3584,1.3193,1.3535,2190630.0,ALX,as51
26748,2010-09-07,1.3535,1.3584,1.3388,1.3584,903650.0,ALX,as51
26749,2010-09-08,1.3388,1.3388,1.3193,1.3388,1439140.0,ALX,as51
26750,2010-09-09,1.334,1.3486,1.3242,1.3437,1146130.0,ALX,as51
26751,2010-09-10,1.3437,1.4121,1.334,1.3926,1319090.0,ALX,as51
26752,2010-09-13,1.4073,1.417,1.3828,1.417,1290870.0,ALX,as51
26753,2010-09-14,1.417,1.4268,1.3779,1.4268,2808120.0,ALX,as51
26754,2010-09-15,1.4268,1.4366,1.4024,1.4121,4193650.0,ALX,as51
26755,2010-09-16,1.4415,1.4415,1.3779,1.3828,5638830.0,ALX,as51
26756,2010-09-17,1.3975,1.4073,1.3584,1.4073,5981990.0,ALX,as51
26757,2010-09-20,1.4463,1.4659,1.4121,1.4366,2166860.0,ALX,as51
26758,2010-09-21,1.4366,1.4463,1.4268,1.4317,3318310.0,ALX,as51
26759,2010-09-22,1.4561,1.549,1.4561,1.5343,2554610.0,ALX,as51
26760,2010-09-23,1.5148,1.5245,1.461,1.5001,3254190.0,ALX,as51
26761,2010-09-24,1.4659,1.4757,1.4463,1.4659,4871800.0,ALX,as51
26762,2010-09-27,1.5099,1.5148,1.4903,1.5148,483072.0,ALX,as51
26763,2010-09-28,1.5001,1.505,1.4854,1.4952,662387.0,ALX,as51
26764,2010-09-29,1.4463,1.5001,1.4463,1.4952,2427340.0,ALX,as51
26765,2010-09-30,1.505,1.5245,1.4757,1.5245,1709810.0,ALX,as51
