,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
29677,2010-01-01,5.5669,5.5938,5.5579,5.5938,2046490.0,AMC,as51
29678,2010-01-04,5.5938,5.6926,5.5669,5.6208,1690720.0,AMC,as51
29679,2010-01-05,5.6387,5.6477,5.4412,5.504,3731980.0,AMC,as51
29680,2010-01-06,5.522,5.5579,5.4951,5.504,4253410.0,AMC,as51
29681,2010-01-07,5.522,5.54,5.4412,5.4502,1959000.0,AMC,as51
29682,2010-01-08,5.4592,5.5489,5.4412,5.531,2222880.0,AMC,as51
29683,2010-01-11,5.5669,5.6477,5.5489,5.6208,5958900.0,AMC,as51
29684,2010-01-12,5.6567,5.6926,5.6208,5.6746,5264990.0,AMC,as51
29685,2010-01-13,5.7016,5.7016,5.531,5.5849,3291180.0,AMC,as51
29686,2010-01-14,5.6118,5.6926,5.5938,5.6387,3127280.0,AMC,as51
29687,2010-01-15,5.6477,5.7016,5.6208,5.6567,5881940.0,AMC,as51
29688,2010-01-18,5.6028,5.6567,5.6028,5.6387,3306740.0,AMC,as51
29689,2010-01-19,5.6118,5.6387,5.4322,5.4861,5385100.0,AMC,as51
29690,2010-01-20,5.5489,5.5759,5.4592,5.4861,2867530.0,AMC,as51
29691,2010-01-21,5.4322,5.513,5.3873,5.4681,6701610.0,AMC,as51
29692,2010-01-22,5.3873,5.4322,5.3783,5.4143,4940690.0,AMC,as51
29693,2010-01-25,5.3065,5.3694,5.2706,5.3334,3612460.0,AMC,as51
29694,2010-01-26,5.3065,5.3694,5.2706,5.3334,3612460.0,AMC,as51
29695,2010-01-27,5.2437,5.2796,5.1898,5.2706,5745310.0,AMC,as51
29696,2010-01-28,5.2706,5.3604,5.2706,5.3334,6782860.0,AMC,as51
29697,2010-01-29,5.2616,5.3334,5.2437,5.2886,7507410.0,AMC,as51
29698,2010-02-01,5.2437,5.3065,5.2437,5.2616,5446050.0,AMC,as51
29699,2010-02-02,5.3873,5.522,5.2886,5.3873,8982660.0,AMC,as51
29700,2010-02-03,5.5489,5.5579,5.4951,5.522,12201300.0,AMC,as51
29701,2010-02-04,5.54,5.5489,5.4951,5.531,10029100.0,AMC,as51
29702,2010-02-05,5.522,5.522,5.3424,5.3873,5836910.0,AMC,as51
29703,2010-02-08,5.4322,5.4861,5.3694,5.4053,2817720.0,AMC,as51
29704,2010-02-09,5.3694,5.4053,5.3245,5.3604,3094980.0,AMC,as51
29705,2010-02-10,5.4143,5.4412,5.3514,5.4053,9219860.0,AMC,as51
29706,2010-02-11,5.4143,5.4502,5.3604,5.4053,6386910.0,AMC,as51
29707,2010-02-12,5.4232,5.4412,5.3155,5.3873,5215100.0,AMC,as51
29708,2010-02-15,5.3783,5.3963,5.2796,5.2975,2538120.0,AMC,as51
29709,2010-02-16,5.3065,5.3694,5.2886,5.2975,2275280.0,AMC,as51
29710,2010-02-17,5.3245,5.3604,5.3245,5.3424,2876360.0,AMC,as51
29711,2010-02-18,5.4232,5.513,5.3245,5.3514,5338580.0,AMC,as51
29712,2010-02-19,5.4053,5.4143,5.2257,5.2975,4676700.0,AMC,as51
29713,2010-02-22,5.3604,5.3963,5.2796,5.3604,3362800.0,AMC,as51
29714,2010-02-23,5.3873,5.531,5.3245,5.4232,6645420.0,AMC,as51
29715,2010-02-24,5.4681,5.4861,5.3424,5.4232,9187590.0,AMC,as51
29716,2010-02-25,5.4592,5.4861,5.2616,5.3245,6092490.0,AMC,as51
29717,2010-02-26,5.3604,5.3604,5.2167,5.3245,9278590.0,AMC,as51
29718,2010-03-01,5.3783,5.4143,5.3245,5.3334,3411260.0,AMC,as51
29719,2010-03-02,5.2886,5.2886,5.1449,5.2167,6514640.0,AMC,as51
29720,2010-03-03,5.2077,5.2437,5.1449,5.2167,6591920.0,AMC,as51
29721,2010-03-04,5.2437,5.3245,5.2077,5.2975,6499300.0,AMC,as51
29722,2010-03-05,5.3334,5.3424,5.2526,5.3065,4075730.0,AMC,as51
29723,2010-03-08,5.4143,5.4322,5.2796,5.3873,8271800.0,AMC,as51
29724,2010-03-09,5.3783,5.3783,5.3065,5.3514,2800490.0,AMC,as51
29725,2010-03-10,5.3873,5.4412,5.3245,5.3334,6588710.0,AMC,as51
29726,2010-03-11,5.3783,5.4053,5.3334,5.3514,4644570.0,AMC,as51
29727,2010-03-12,5.3694,5.3873,5.3424,5.3604,2435240.0,AMC,as51
29728,2010-03-15,5.3245,5.3424,5.2975,5.3065,3770240.0,AMC,as51
29729,2010-03-16,5.3514,5.3604,5.2526,5.3155,6684580.0,AMC,as51
29730,2010-03-17,5.3604,5.3873,5.3245,5.3783,8121940.0,AMC,as51
29731,2010-03-18,5.3963,5.4951,5.3514,5.4592,12619700.0,AMC,as51
29732,2010-03-19,5.4771,5.54,5.4053,5.4861,10867300.0,AMC,as51
29733,2010-03-22,5.4681,5.4861,5.4232,5.4412,5394740.0,AMC,as51
29734,2010-03-23,5.4681,5.5669,5.4502,5.54,11195100.0,AMC,as51
29735,2010-03-24,5.5849,5.6657,5.531,5.5579,10864800.0,AMC,as51
29736,2010-03-25,5.5759,5.6657,5.5669,5.6477,7067730.0,AMC,as51
29737,2010-03-26,5.7016,5.7375,5.6657,5.7195,9009080.0,AMC,as51
29738,2010-03-29,5.7465,5.7644,5.6028,5.6657,4021480.0,AMC,as51
29739,2010-03-30,5.6387,5.7285,5.5849,5.6836,5582200.0,AMC,as51
29740,2010-03-31,5.7016,5.7465,5.6836,5.7375,7212900.0,AMC,as51
29741,2010-04-01,5.7465,5.7644,5.6926,5.7285,4196520.0,AMC,as51
29742,2010-04-02,5.7465,5.7644,5.6926,5.7285,4196520.0,AMC,as51
29743,2010-04-05,5.7465,5.7644,5.6926,5.7285,4196520.0,AMC,as51
29744,2010-04-06,5.7016,5.7285,5.6298,5.6836,2356420.0,AMC,as51
29745,2010-04-07,5.6657,5.7106,5.6208,5.6298,3147340.0,AMC,as51
29746,2010-04-08,5.6657,5.7375,5.6657,5.6746,3906750.0,AMC,as51
29747,2010-04-09,5.6926,5.7195,5.6657,5.7016,2428680.0,AMC,as51
29748,2010-04-12,5.7465,5.7555,5.7016,5.7465,2440720.0,AMC,as51
29749,2010-04-13,5.7465,5.8273,5.7016,5.7644,3864580.0,AMC,as51
29750,2010-04-14,5.8273,5.8273,5.7465,5.7644,3521120.0,AMC,as51
29751,2010-04-15,5.7734,5.8363,5.7644,5.8093,4926430.0,AMC,as51
29752,2010-04-16,5.8273,5.8363,5.8183,5.8363,2667030.0,AMC,as51
29753,2010-04-19,5.7555,5.7555,5.6746,5.7106,2027310.0,AMC,as51
29754,2010-04-20,5.7914,5.8093,5.7016,5.7016,3347320.0,AMC,as51
29755,2010-04-21,5.7824,5.953,5.7465,5.8093,5438810.0,AMC,as51
29756,2010-04-22,5.7555,5.8273,5.7465,5.7914,5404360.0,AMC,as51
29757,2010-04-23,5.7914,5.8363,5.7465,5.7555,5054060.0,AMC,as51
29758,2010-04-26,5.7914,5.8363,5.7465,5.7555,5054060.0,AMC,as51
29759,2010-04-27,5.7914,5.8004,5.6028,5.6746,4779280.0,AMC,as51
29760,2010-04-28,5.5759,5.7285,5.5669,5.7016,8363970.0,AMC,as51
