,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
38995,2010-01-01,22.82,22.91,22.72,22.88,1895630.0,ANZ,as51
38996,2010-01-04,22.79,22.89,22.74,22.89,3022350.0,ANZ,as51
38997,2010-01-05,22.95,23.09,22.87,23.0,5566260.0,ANZ,as51
38998,2010-01-06,22.85,23.01,22.55,22.66,4149530.0,ANZ,as51
38999,2010-01-07,22.6,22.79,22.1,22.12,6715350.0,ANZ,as51
39000,2010-01-08,22.3,22.47,22.17,22.25,3209140.0,ANZ,as51
39001,2010-01-11,22.36,22.45,22.29,22.39,3634460.0,ANZ,as51
39002,2010-01-12,22.42,22.45,22.17,22.26,4878440.0,ANZ,as51
39003,2010-01-13,22.02,22.33,21.9,22.3,6805720.0,ANZ,as51
39004,2010-01-14,22.42,22.46,22.27,22.4,5073730.0,ANZ,as51
39005,2010-01-15,22.5,22.55,22.06,22.43,10488900.0,ANZ,as51
39006,2010-01-18,22.67,23.18,22.5,23.17,16201700.0,ANZ,as51
39007,2010-01-19,23.15,23.41,22.86,23.2,12738900.0,ANZ,as51
39008,2010-01-20,23.48,23.52,23.14,23.27,8366040.0,ANZ,as51
39009,2010-01-21,23.0,23.36,22.93,23.26,9205460.0,ANZ,as51
39010,2010-01-22,22.51,22.81,22.47,22.65,9460160.0,ANZ,as51
39011,2010-01-25,22.2,22.4,22.02,22.29,6239760.0,ANZ,as51
39012,2010-01-26,22.2,22.4,22.02,22.29,6239760.0,ANZ,as51
39013,2010-01-27,22.01,22.17,21.8,21.96,9162510.0,ANZ,as51
39014,2010-01-28,22.11,22.25,21.87,22.15,10672200.0,ANZ,as51
39015,2010-01-29,21.9,21.93,21.68,21.73,9292940.0,ANZ,as51
39016,2010-02-01,21.7,21.98,21.64,21.8,9027690.0,ANZ,as51
39017,2010-02-02,21.95,21.96,21.68,21.89,11632100.0,ANZ,as51
39018,2010-02-03,22.04,22.07,21.35,21.77,9111240.0,ANZ,as51
39019,2010-02-04,21.55,21.74,21.31,21.42,6351440.0,ANZ,as51
39020,2010-02-05,20.75,20.98,20.57,20.9,7421240.0,ANZ,as51
39021,2010-02-08,21.0,21.07,20.7,20.97,7160150.0,ANZ,as51
39022,2010-02-09,20.81,20.87,20.39,20.57,7659890.0,ANZ,as51
39023,2010-02-10,20.76,20.86,20.13,20.2,11921800.0,ANZ,as51
39024,2010-02-11,20.3,20.88,20.22,20.75,7128380.0,ANZ,as51
39025,2010-02-12,20.97,20.98,20.37,20.59,10030700.0,ANZ,as51
39026,2010-02-15,20.5,20.75,20.37,20.5,4102970.0,ANZ,as51
39027,2010-02-16,20.87,21.47,20.78,21.1,9206820.0,ANZ,as51
39028,2010-02-17,21.61,22.09,21.55,22.07,11559200.0,ANZ,as51
39029,2010-02-18,22.32,22.33,21.91,22.05,8921600.0,ANZ,as51
39030,2010-02-19,22.1,22.26,21.8,21.96,7108880.0,ANZ,as51
39031,2010-02-22,22.35,22.65,22.31,22.54,6030940.0,ANZ,as51
39032,2010-02-23,22.45,22.78,22.41,22.73,8581660.0,ANZ,as51
39033,2010-02-24,22.5,22.7,22.31,22.52,10143300.0,ANZ,as51
39034,2010-02-25,22.75,22.75,22.07,22.25,8216090.0,ANZ,as51
39035,2010-02-26,22.84,23.14,22.58,23.14,14955200.0,ANZ,as51
39036,2010-03-01,23.29,23.59,23.26,23.59,7776150.0,ANZ,as51
39037,2010-03-02,23.79,23.86,23.61,23.83,9892630.0,ANZ,as51
39038,2010-03-03,23.85,23.94,23.75,23.88,8682670.0,ANZ,as51
39039,2010-03-04,23.8,23.81,23.59,23.67,9409490.0,ANZ,as51
39040,2010-03-05,23.7,23.98,23.57,23.83,6299050.0,ANZ,as51
39041,2010-03-08,23.98,24.04,23.63,23.8,6757690.0,ANZ,as51
39042,2010-03-09,23.75,23.96,23.66,23.82,8621980.0,ANZ,as51
39043,2010-03-10,23.97,24.05,23.73,23.94,6923480.0,ANZ,as51
39044,2010-03-11,24.02,24.24,23.91,24.06,7088980.0,ANZ,as51
39045,2010-03-12,24.22,24.28,24.14,24.26,4821680.0,ANZ,as51
39046,2010-03-15,24.29,24.39,23.99,24.02,6925490.0,ANZ,as51
39047,2010-03-16,24.04,24.23,23.83,24.15,8230010.0,ANZ,as51
39048,2010-03-17,24.38,24.67,24.28,24.61,12370400.0,ANZ,as51
39049,2010-03-18,24.95,24.95,24.7,24.88,10622300.0,ANZ,as51
39050,2010-03-19,24.93,25.11,24.82,25.11,7890530.0,ANZ,as51
39051,2010-03-22,24.9,25.11,24.64,24.7,6996190.0,ANZ,as51
39052,2010-03-23,24.95,25.46,24.91,25.45,11522300.0,ANZ,as51
39053,2010-03-24,25.56,25.72,25.37,25.37,5246330.0,ANZ,as51
39054,2010-03-25,25.12,25.45,25.1,25.35,6115500.0,ANZ,as51
39055,2010-03-26,25.3,25.5,25.07,25.45,16650400.0,ANZ,as51
39056,2010-03-29,25.5,25.57,25.3,25.43,5984950.0,ANZ,as51
39057,2010-03-30,25.45,25.65,25.24,25.45,7195700.0,ANZ,as51
39058,2010-03-31,25.31,25.54,25.31,25.36,10860800.0,ANZ,as51
39059,2010-04-01,25.42,25.42,25.06,25.29,6395390.0,ANZ,as51
39060,2010-04-02,25.42,25.42,25.06,25.29,6395390.0,ANZ,as51
39061,2010-04-05,25.42,25.42,25.06,25.29,6395390.0,ANZ,as51
39062,2010-04-06,25.29,25.48,25.18,25.45,4013160.0,ANZ,as51
39063,2010-04-07,25.58,25.64,25.46,25.51,6383360.0,ANZ,as51
39064,2010-04-08,25.38,25.48,25.18,25.18,5829170.0,ANZ,as51
39065,2010-04-09,25.37,25.38,25.06,25.15,4080170.0,ANZ,as51
39066,2010-04-12,25.3,25.41,25.24,25.36,5584010.0,ANZ,as51
39067,2010-04-13,25.36,25.57,25.25,25.42,6249740.0,ANZ,as51
39068,2010-04-14,25.59,25.94,25.57,25.91,6730630.0,ANZ,as51
39069,2010-04-15,25.99,26.23,25.92,25.97,6742720.0,ANZ,as51
39070,2010-04-16,25.92,25.97,25.57,25.69,9857130.0,ANZ,as51
39071,2010-04-19,25.3,25.42,25.02,25.08,6677020.0,ANZ,as51
39072,2010-04-20,25.25,25.36,25.11,25.13,7316750.0,ANZ,as51
39073,2010-04-21,25.21,25.57,25.16,25.4,7572760.0,ANZ,as51
39074,2010-04-22,25.28,25.31,25.07,25.25,8479820.0,ANZ,as51
39075,2010-04-23,25.14,25.25,25.07,25.2,8154100.0,ANZ,as51
39076,2010-04-26,25.14,25.25,25.07,25.2,8154100.0,ANZ,as51
39077,2010-04-27,25.13,25.47,25.12,25.17,6788110.0,ANZ,as51
39078,2010-04-28,24.75,24.89,24.58,24.85,10105800.0,ANZ,as51
39079,2010-04-29,24.6,24.69,24.16,24.2,18256000.0,ANZ,as51
39080,2010-04-30,24.32,24.45,24.05,24.2,17951700.0,ANZ,as51
39081,2010-05-03,24.02,24.81,24.01,24.74,8892060.0,ANZ,as51
39082,2010-05-04,24.95,24.99,24.61,24.66,7624970.0,ANZ,as51
39083,2010-05-05,24.29,24.5,23.96,24.11,12453900.0,ANZ,as51
39084,2010-05-06,23.32,23.4,22.33,22.45,27707800.0,ANZ,as51
39085,2010-05-07,21.6,22.27,21.35,21.9,25670100.0,ANZ,as51
39086,2010-05-10,22.5,22.8,22.32,22.78,10843700.0,ANZ,as51
39087,2010-05-11,23.26,23.28,22.37,22.52,11510800.0,ANZ,as51
39088,2010-05-12,22.84,23.09,22.53,22.74,9694900.0,ANZ,as51
