,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
45207,2010-01-01,2.42,2.42,2.4,2.4,15675.0,APE,as51
45208,2010-01-04,2.42,2.42,2.4,2.4,15675.0,APE,as51
45209,2010-01-05,2.4,2.4,2.4,2.4,5000.0,APE,as51
45210,2010-01-06,2.4,2.4,2.4,2.4,735.0,APE,as51
45211,2010-01-07,2.4,2.4,2.4,2.4,735.0,APE,as51
45212,2010-01-08,2.4,2.4,2.4,2.4,10000.0,APE,as51
45213,2010-01-11,2.4,2.4,2.4,2.4,10000.0,APE,as51
45214,2010-01-12,2.4,2.4,2.4,2.4,10000.0,APE,as51
45215,2010-01-13,2.4,2.42,2.4,2.42,24770.0,APE,as51
45216,2010-01-14,2.41,2.52,2.4,2.52,9225.0,APE,as51
45217,2010-01-15,2.41,2.52,2.4,2.52,9225.0,APE,as51
45218,2010-01-18,2.41,2.52,2.4,2.52,9225.0,APE,as51
45219,2010-01-19,2.41,2.52,2.4,2.52,9225.0,APE,as51
45220,2010-01-20,2.4,2.4,2.4,2.4,2260.0,APE,as51
45221,2010-01-21,2.4,2.4,2.4,2.4,2260.0,APE,as51
45222,2010-01-22,2.466,2.466,2.4,2.42,26190.0,APE,as51
45223,2010-01-25,2.466,2.466,2.4,2.42,26190.0,APE,as51
45224,2010-01-26,2.466,2.466,2.4,2.42,26190.0,APE,as51
45225,2010-01-27,2.422,2.422,2.42,2.42,525.0,APE,as51
45226,2010-01-28,2.45,2.54,2.45,2.54,19815.0,APE,as51
45227,2010-01-29,2.58,2.6,2.58,2.6,7260.0,APE,as51
45228,2010-02-01,2.5,2.5,2.5,2.5,500.0,APE,as51
45229,2010-02-02,2.55,2.55,2.55,2.55,1000.0,APE,as51
45230,2010-02-03,2.552,2.556,2.5,2.5,10390.0,APE,as51
45231,2010-02-04,2.552,2.556,2.5,2.5,10390.0,APE,as51
45232,2010-02-05,2.5,2.5,2.5,2.5,16450.0,APE,as51
45233,2010-02-08,2.5,2.6,2.5,2.5,18910.0,APE,as51
45234,2010-02-09,2.51,2.51,2.51,2.51,9130.0,APE,as51
45235,2010-02-10,2.5,2.502,2.5,2.502,2115.0,APE,as51
45236,2010-02-11,2.5,2.502,2.5,2.502,2115.0,APE,as51
45237,2010-02-12,2.5,2.502,2.5,2.502,2115.0,APE,as51
45238,2010-02-15,2.5,2.5,2.5,2.5,645.0,APE,as51
45239,2010-02-16,2.518,2.518,2.518,2.518,5000.0,APE,as51
45240,2010-02-17,2.518,2.518,2.518,2.518,5000.0,APE,as51
45241,2010-02-18,2.53,2.53,2.53,2.53,360.0,APE,as51
45242,2010-02-19,2.53,2.58,2.53,2.58,8860.0,APE,as51
45243,2010-02-22,2.532,2.532,2.532,2.532,25.0,APE,as51
45244,2010-02-23,2.532,2.532,2.5,2.5,19275.0,APE,as51
45245,2010-02-24,2.532,2.532,2.5,2.5,19275.0,APE,as51
45246,2010-02-25,2.5,2.5,2.5,2.5,5000.0,APE,as51
45247,2010-02-26,2.55,2.56,2.55,2.56,7940.0,APE,as51
45248,2010-03-01,2.54,2.54,2.54,2.54,1695.0,APE,as51
45249,2010-03-02,2.56,2.58,2.52,2.52,4105.0,APE,as51
45250,2010-03-03,2.52,2.52,2.498,2.5,57730.0,APE,as51
45251,2010-03-04,2.57,2.57,2.57,2.57,5000.0,APE,as51
45252,2010-03-05,2.54,2.58,2.5,2.5,12890.0,APE,as51
45253,2010-03-08,2.502,2.502,2.502,2.502,10770.0,APE,as51
45254,2010-03-09,2.52,2.57,2.52,2.57,1230.0,APE,as51
45255,2010-03-10,2.52,2.52,2.502,2.52,35000.0,APE,as51
45256,2010-03-11,2.52,2.586,2.52,2.586,2500.0,APE,as51
45257,2010-03-12,2.52,2.52,2.52,2.52,860.0,APE,as51
45258,2010-03-15,2.52,2.52,2.52,2.52,860.0,APE,as51
45259,2010-03-16,2.58,2.58,2.54,2.54,5125.0,APE,as51
45260,2010-03-17,2.586,2.6,2.58,2.6,27055.0,APE,as51
45261,2010-03-18,2.6,2.71,2.6,2.71,4000.0,APE,as51
45262,2010-03-19,2.71,2.71,2.6,2.6,6795.0,APE,as51
45263,2010-03-22,2.71,2.71,2.6,2.6,6795.0,APE,as51
45264,2010-03-23,2.594,2.594,2.594,2.594,1170.0,APE,as51
45265,2010-03-24,2.6,2.64,2.6,2.64,2580.0,APE,as51
45266,2010-03-25,2.51,2.51,2.51,2.51,3500.0,APE,as51
45267,2010-03-26,2.51,2.51,2.51,2.51,3500.0,APE,as51
45268,2010-03-29,2.51,2.51,2.51,2.51,6515.0,APE,as51
45269,2010-03-30,2.51,2.51,2.51,2.51,390.0,APE,as51
45270,2010-03-31,2.51,2.51,2.51,2.51,19315.0,APE,as51
45271,2010-04-01,2.51,2.51,2.51,2.51,390.0,APE,as51
45272,2010-04-02,2.51,2.51,2.51,2.51,390.0,APE,as51
45273,2010-04-05,2.51,2.51,2.51,2.51,390.0,APE,as51
45274,2010-04-06,2.51,2.51,2.5,2.51,68935.0,APE,as51
45275,2010-04-07,2.51,2.51,2.51,2.51,3105.0,APE,as51
45276,2010-04-08,2.51,2.51,2.5,2.5,21000.0,APE,as51
45277,2010-04-09,2.51,2.51,2.5,2.5,21000.0,APE,as51
45278,2010-04-12,2.5,2.5,2.5,2.5,345.0,APE,as51
45279,2010-04-13,2.5,2.5,2.5,2.5,10785.0,APE,as51
45280,2010-04-14,2.5,2.5,2.5,2.5,10785.0,APE,as51
45281,2010-04-15,2.5,2.5,2.5,2.5,10785.0,APE,as51
45282,2010-04-16,2.57,2.59,2.57,2.59,14385.0,APE,as51
45283,2010-04-19,2.584,2.59,2.584,2.59,8450.0,APE,as51
45284,2010-04-20,2.55,2.55,2.54,2.54,13495.0,APE,as51
45285,2010-04-21,2.55,2.55,2.55,2.55,1665.0,APE,as51
45286,2010-04-22,2.55,2.55,2.55,2.55,1665.0,APE,as51
45287,2010-04-23,2.55,2.55,2.55,2.55,735.0,APE,as51
45288,2010-04-26,2.55,2.55,2.55,2.55,735.0,APE,as51
45289,2010-04-27,2.55,2.55,2.55,2.55,1160.0,APE,as51
45290,2010-04-28,2.55,2.55,2.54,2.54,16890.0,APE,as51
45291,2010-04-29,2.54,2.54,2.504,2.504,6655.0,APE,as51
45292,2010-04-30,2.5,2.5,2.5,2.5,17950.0,APE,as51
45293,2010-05-03,2.5,2.5,2.5,2.5,520.0,APE,as51
45294,2010-05-04,2.5,2.5,2.5,2.5,4755.0,APE,as51
45295,2010-05-05,2.5,2.5,2.5,2.5,4755.0,APE,as51
45296,2010-05-06,2.5,2.5,2.5,2.5,106900.0,APE,as51
45297,2010-05-07,2.5,2.55,2.5,2.55,39940.0,APE,as51
45298,2010-05-10,2.5,2.55,2.5,2.55,39940.0,APE,as51
45299,2010-05-11,2.5,2.55,2.5,2.55,39940.0,APE,as51
45300,2010-05-12,2.54,2.54,2.54,2.54,5650.0,APE,as51
45301,2010-05-13,2.544,2.544,2.544,2.544,12000.0,APE,as51
45302,2010-05-14,2.544,2.544,2.544,2.544,12000.0,APE,as51
45303,2010-05-17,2.544,2.544,2.544,2.544,12000.0,APE,as51
45304,2010-05-18,2.542,2.542,2.5,2.5,19425.0,APE,as51
45305,2010-05-19,2.5,2.51,2.5,2.51,31520.0,APE,as51
45306,2010-05-20,2.5,2.5,2.5,2.5,6235.0,APE,as51
45307,2010-05-21,2.5,2.5,2.498,2.5,162880.0,APE,as51
45308,2010-05-24,2.52,2.52,2.5,2.52,58400.0,APE,as51
45309,2010-05-25,2.502,2.502,2.5,2.502,10750.0,APE,as51
45310,2010-05-26,2.502,2.502,2.5,2.5,9880.0,APE,as51
45311,2010-05-27,2.5,2.5,2.5,2.5,1230.0,APE,as51
45312,2010-05-28,2.5,2.5,2.5,2.5,8500.0,APE,as51
45313,2010-05-31,2.5,2.5,2.5,2.5,8500.0,APE,as51
45314,2010-06-01,2.502,2.502,2.502,2.502,8360.0,APE,as51
45315,2010-06-02,2.5,2.54,2.5,2.54,21655.0,APE,as51
45316,2010-06-03,2.502,2.502,2.502,2.502,860.0,APE,as51
45317,2010-06-04,2.502,2.502,2.5,2.5,25780.0,APE,as51
45318,2010-06-07,2.5,2.5,2.5,2.5,54175.0,APE,as51
45319,2010-06-08,2.5,2.5,2.5,2.5,4540.0,APE,as51
45320,2010-06-09,2.5,2.5,2.5,2.5,390.0,APE,as51
45321,2010-06-10,2.5,2.5,2.5,2.5,28795.0,APE,as51
45322,2010-06-11,2.5,2.5,2.5,2.5,40680.0,APE,as51
45323,2010-06-14,2.5,2.5,2.5,2.5,40680.0,APE,as51
45324,2010-06-15,2.5,2.5,2.5,2.5,40680.0,APE,as51
45325,2010-06-16,2.5,2.5,2.5,2.5,3610.0,APE,as51
45326,2010-06-17,2.5,2.5,2.5,2.5,790.0,APE,as51
45327,2010-06-18,2.5,2.5,2.5,2.5,1035.0,APE,as51
45328,2010-06-21,2.54,2.54,2.5,2.5,20810.0,APE,as51
45329,2010-06-22,2.5,2.5,2.5,2.5,102140.0,APE,as51
45330,2010-06-23,2.5,2.5,2.5,2.5,102140.0,APE,as51
45331,2010-06-24,2.5,2.5,2.5,2.5,1145.0,APE,as51
45332,2010-06-25,2.5,2.5,2.5,2.5,1325.0,APE,as51
