,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
48313,2017-06-29,2.7,2.7,2.65,2.7,53203.0,APT,as51
48314,2017-06-30,2.68,2.95,2.68,2.95,21668.0,APT,as51
48315,2017-07-03,3.02,3.08,3.0,3.0,61756.0,APT,as51
48316,2017-07-04,3.0,3.02,2.99,3.0,64658.0,APT,as51
48317,2017-07-05,3.0,3.2,2.99,3.18,443935.0,APT,as51
48318,2017-07-06,3.2,3.2,3.13,3.15,308738.0,APT,as51
48319,2017-07-07,3.15,3.18,3.06,3.11,261677.0,APT,as51
48320,2017-07-10,3.15,3.15,2.85,2.93,431289.0,APT,as51
48321,2017-07-11,2.89,3.07,2.89,3.01,274609.0,APT,as51
48322,2017-07-12,3.0,3.05,3.0,3.03,153241.0,APT,as51
48323,2017-07-13,3.03,3.13,3.03,3.05,1064230.0,APT,as51
48324,2017-07-14,3.06,3.14,3.06,3.1,617484.0,APT,as51
48325,2017-07-17,3.1,3.1,3.06,3.09,283953.0,APT,as51
48326,2017-07-18,3.08,3.1,3.07,3.1,182952.0,APT,as51
48327,2017-07-19,3.11,3.11,3.09,3.1,338625.0,APT,as51
48328,2017-07-20,3.1,3.1,3.07,3.07,354679.0,APT,as51
48329,2017-07-21,3.07,3.1,3.07,3.1,164878.0,APT,as51
48330,2017-07-24,3.1,3.1,3.02,3.02,254877.0,APT,as51
48331,2017-07-25,3.04,3.1,3.02,3.06,151920.0,APT,as51
48332,2017-07-26,3.06,3.1,3.06,3.09,87030.0,APT,as51
48333,2017-07-27,3.09,3.1,3.05,3.09,115770.0,APT,as51
48334,2017-07-28,3.09,3.1,3.05,3.08,218704.0,APT,as51
48335,2017-07-31,3.08,3.1,3.05,3.1,172067.0,APT,as51
48336,2017-08-01,3.1,3.1,3.05,3.08,134267.0,APT,as51
48337,2017-08-02,3.08,3.08,3.03,3.05,100719.0,APT,as51
48338,2017-08-03,3.05,3.07,3.01,3.05,67434.0,APT,as51
48339,2017-08-04,3.07,3.08,3.02,3.07,80827.0,APT,as51
48340,2017-08-07,3.07,3.07,3.03,3.07,185869.0,APT,as51
48341,2017-08-08,3.07,3.07,3.03,3.05,266708.0,APT,as51
48342,2017-08-09,3.06,3.08,3.03,3.05,124166.0,APT,as51
48343,2017-08-10,3.05,3.07,3.01,3.04,201082.0,APT,as51
48344,2017-08-11,3.01,3.01,2.96,2.97,176465.0,APT,as51
48345,2017-08-14,2.96,3.04,2.95,3.04,232646.0,APT,as51
48346,2017-08-15,3.04,3.05,2.95,3.0,93835.0,APT,as51
48347,2017-08-16,3.0,3.01,2.94,3.01,104383.0,APT,as51
48348,2017-08-17,3.02,3.04,2.98,3.0,358010.0,APT,as51
48349,2017-08-18,3.0,3.05,2.94,3.05,202072.0,APT,as51
48350,2017-08-21,3.06,3.1,3.06,3.09,1255210.0,APT,as51
48351,2017-08-22,3.09,3.13,3.07,3.09,1163600.0,APT,as51
48352,2017-08-23,3.09,3.11,3.08,3.09,457114.0,APT,as51
48353,2017-08-24,3.09,3.24,3.05,3.24,2201750.0,APT,as51
