,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
51263,2010-01-01,5.11,5.14,5.11,5.13,4792.0,ARB,as51
51264,2010-01-04,5.15,5.19,5.14,5.18,42661.0,ARB,as51
51265,2010-01-05,5.2,5.26,5.2,5.23,339064.0,ARB,as51
51266,2010-01-06,5.26,5.3,5.25,5.26,54785.0,ARB,as51
51267,2010-01-07,5.26,5.28,5.23,5.25,40160.0,ARB,as51
51268,2010-01-08,5.25,5.25,5.21,5.21,169804.0,ARB,as51
51269,2010-01-11,5.27,5.28,5.21,5.26,328169.0,ARB,as51
51270,2010-01-12,5.26,5.28,5.25,5.27,122295.0,ARB,as51
51271,2010-01-13,5.27,5.29,5.26,5.29,61921.0,ARB,as51
51272,2010-01-14,5.29,5.29,5.27,5.29,15896.0,ARB,as51
51273,2010-01-15,5.27,5.28,5.27,5.28,16077.0,ARB,as51
51274,2010-01-18,5.27,5.45,5.27,5.38,68312.0,ARB,as51
51275,2010-01-19,5.48,5.48,5.4,5.44,82902.0,ARB,as51
51276,2010-01-20,5.44,5.44,5.41,5.44,27604.0,ARB,as51
51277,2010-01-21,5.42,5.43,5.41,5.42,5890.0,ARB,as51
51278,2010-01-22,5.4,5.42,5.38,5.41,34562.0,ARB,as51
51279,2010-01-25,5.42,5.45,5.29,5.44,94922.0,ARB,as51
51280,2010-01-26,5.42,5.45,5.29,5.44,94922.0,ARB,as51
51281,2010-01-27,5.45,5.45,5.41,5.44,40500.0,ARB,as51
51282,2010-01-28,5.41,5.41,5.28,5.28,290743.0,ARB,as51
51283,2010-01-29,5.28,5.3,5.18,5.22,61969.0,ARB,as51
51284,2010-02-01,5.16,5.16,5.0,5.0,58201.0,ARB,as51
51285,2010-02-02,5.0,5.0,4.66,4.87,236317.0,ARB,as51
51286,2010-02-03,4.88,5.08,4.87,5.0,97709.0,ARB,as51
51287,2010-02-04,5.16,5.46,5.15,5.16,84356.0,ARB,as51
51288,2010-02-05,5.16,5.16,5.05,5.1,38856.0,ARB,as51
51289,2010-02-08,5.11,5.24,5.11,5.15,44609.0,ARB,as51
51290,2010-02-09,5.2,5.23,5.11,5.2,96105.0,ARB,as51
51291,2010-02-10,5.23,5.33,5.23,5.3,18509.0,ARB,as51
51292,2010-02-11,5.33,5.33,5.27,5.28,9144.0,ARB,as51
51293,2010-02-12,5.3,5.32,5.27,5.3,131236.0,ARB,as51
51294,2010-02-15,5.3,5.4,5.29,5.37,20607.0,ARB,as51
51295,2010-02-16,5.39,5.4,5.27,5.39,28655.0,ARB,as51
51296,2010-02-17,5.44,5.47,5.3,5.4,81603.0,ARB,as51
51297,2010-02-18,5.44,5.46,5.41,5.42,70640.0,ARB,as51
51298,2010-02-19,5.5,5.55,5.42,5.55,51664.0,ARB,as51
51299,2010-02-22,5.7,5.7,5.62,5.62,145544.0,ARB,as51
51300,2010-02-23,5.65,5.65,5.61,5.65,71591.0,ARB,as51
51301,2010-02-24,5.66,5.67,5.62,5.62,27431.0,ARB,as51
51302,2010-02-25,5.62,5.65,5.55,5.59,74120.0,ARB,as51
51303,2010-02-26,5.62,5.62,5.54,5.55,113202.0,ARB,as51
51304,2010-03-01,5.58,5.58,5.41,5.53,36593.0,ARB,as51
51305,2010-03-02,5.53,5.53,5.47,5.53,32797.0,ARB,as51
51306,2010-03-03,5.47,5.53,5.47,5.52,1517600.0,ARB,as51
51307,2010-03-04,5.5,5.55,5.44,5.53,25463.0,ARB,as51
51308,2010-03-05,5.51,5.56,5.5,5.53,21106.0,ARB,as51
51309,2010-03-08,5.59,5.65,5.52,5.63,62731.0,ARB,as51
51310,2010-03-09,5.68,5.68,5.52,5.56,24171.0,ARB,as51
51311,2010-03-10,5.56,5.67,5.53,5.53,65474.0,ARB,as51
51312,2010-03-11,5.6,5.67,5.56,5.6,61248.0,ARB,as51
51313,2010-03-12,5.6,5.6,5.53,5.54,29495.0,ARB,as51
51314,2010-03-15,5.6,5.6,5.25,5.35,121115.0,ARB,as51
51315,2010-03-16,5.26,5.3,5.24,5.26,259712.0,ARB,as51
51316,2010-03-17,5.2,5.35,5.19,5.35,262915.0,ARB,as51
51317,2010-03-18,5.39,5.52,5.37,5.51,427493.0,ARB,as51
51318,2010-03-19,5.55,5.55,5.51,5.55,349921.0,ARB,as51
51319,2010-03-22,5.55,5.55,5.53,5.54,248482.0,ARB,as51
51320,2010-03-23,5.55,5.7,5.54,5.7,95105.0,ARB,as51
51321,2010-03-24,5.7,5.78,5.69,5.73,74680.0,ARB,as51
51322,2010-03-25,5.72,5.74,5.71,5.72,223115.0,ARB,as51
51323,2010-03-26,5.73,5.73,5.66,5.66,74583.0,ARB,as51
51324,2010-03-29,5.67,5.69,5.67,5.67,36839.0,ARB,as51
51325,2010-03-30,5.68,5.7,5.67,5.7,15717.0,ARB,as51
51326,2010-03-31,5.71,5.71,5.65,5.66,50821.0,ARB,as51
51327,2010-04-01,5.63,5.66,5.41,5.44,67773.0,ARB,as51
51328,2010-04-02,5.63,5.66,5.41,5.44,67773.0,ARB,as51
