,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
66793,2010-01-01,5.2817,5.2817,5.2817,5.2817,1736.0,AUB,as51
66794,2010-01-04,5.2817,5.3508,5.2817,5.3311,10697.0,AUB,as51
66795,2010-01-05,5.4101,5.4792,5.3113,5.3113,55445.0,AUB,as51
66796,2010-01-06,5.3311,5.3607,5.2719,5.3607,6750.0,AUB,as51
66797,2010-01-07,5.2324,5.2324,5.0448,5.1633,9781.0,AUB,as51
66798,2010-01-08,5.1633,5.183,5.1336,5.183,8060.0,AUB,as51
66799,2010-01-11,5.2126,5.3607,5.2027,5.3311,13546.0,AUB,as51
66800,2010-01-12,5.2126,5.3607,5.2027,5.3311,13546.0,AUB,as51
66801,2010-01-13,5.3311,5.3311,5.2324,5.2324,19549.0,AUB,as51
66802,2010-01-14,5.3311,5.3311,5.183,5.183,13270.0,AUB,as51
66803,2010-01-15,5.1336,5.183,5.1336,5.1633,25407.0,AUB,as51
66804,2010-01-18,5.1336,5.1336,4.9954,5.0053,14964.0,AUB,as51
66805,2010-01-19,4.9559,4.9856,4.9362,4.9658,24650.0,AUB,as51
66806,2010-01-20,4.9559,4.9856,4.9362,4.9658,24650.0,AUB,as51
66807,2010-01-21,5.0349,5.0349,4.9954,4.9954,10357.0,AUB,as51
66808,2010-01-22,4.9757,5.1633,4.9362,4.9362,11049.0,AUB,as51
66809,2010-01-25,4.9362,5.1633,4.9362,5.0843,5933.0,AUB,as51
66810,2010-01-26,4.9362,5.1633,4.9362,5.0843,5933.0,AUB,as51
66811,2010-01-27,4.9856,4.9856,4.9362,4.9362,16280.0,AUB,as51
66812,2010-01-28,4.9362,4.9461,4.9362,4.9362,26557.0,AUB,as51
66813,2010-01-29,4.9362,4.9856,4.877,4.9856,50701.0,AUB,as51
66814,2010-02-01,4.9164,4.9164,4.8572,4.877,82515.0,AUB,as51
66815,2010-02-02,4.8671,4.8868,4.8276,4.8375,63681.0,AUB,as51
66816,2010-02-03,4.8671,4.9362,4.8375,4.9362,62735.0,AUB,as51
66817,2010-02-04,4.9362,5.1633,4.9164,5.1336,29281.0,AUB,as51
66818,2010-02-05,4.9362,4.9362,4.8868,4.9362,13320.0,AUB,as51
66819,2010-02-08,4.9856,4.9856,4.9362,4.9856,41388.0,AUB,as51
66820,2010-02-09,4.8967,4.8967,4.8375,4.8375,15700.0,AUB,as51
66821,2010-02-10,4.8967,4.9856,4.8967,4.9856,15276.0,AUB,as51
66822,2010-02-11,5.025,5.0349,4.8967,4.8967,28792.0,AUB,as51
66823,2010-02-12,4.8967,5.0349,4.8967,5.0349,13742.0,AUB,as51
66824,2010-02-15,5.0349,5.0349,5.025,5.025,6729.0,AUB,as51
66825,2010-02-16,4.9658,4.9658,4.9658,4.9658,1013.0,AUB,as51
66826,2010-02-17,4.9658,5.0349,4.9658,5.0349,4264.0,AUB,as51
66827,2010-02-18,4.9658,4.9658,4.9066,4.9066,8103.0,AUB,as51
66828,2010-02-19,4.9066,4.9066,4.9066,4.9066,3003.0,AUB,as51
66829,2010-02-22,4.8868,4.9362,4.8868,4.8868,14299.0,AUB,as51
66830,2010-02-23,4.8868,4.8967,4.8473,4.877,15792.0,AUB,as51
66831,2010-02-24,4.8671,4.8671,4.7387,4.8473,4107.0,AUB,as51
