,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
73005,2010-11-22,2.54,2.68,2.53,2.65,476316000.0,AZJ,as51
73006,2010-11-23,2.65,2.72,2.65,2.66,158644000.0,AZJ,as51
73007,2010-11-24,2.65,2.71,2.64,2.7,44128300.0,AZJ,as51
73008,2010-11-25,2.72,2.81,2.72,2.8,47173200.0,AZJ,as51
73009,2010-11-26,2.82,2.88,2.81,2.84,31979400.0,AZJ,as51
73010,2010-11-29,2.84,2.84,2.76,2.77,26808300.0,AZJ,as51
73011,2010-11-30,2.78,2.8,2.73,2.8,181638000.0,AZJ,as51
73012,2010-12-01,2.78,2.8,2.74,2.78,9754970.0,AZJ,as51
73013,2010-12-02,2.79,2.79,2.68,2.73,11439000.0,AZJ,as51
73014,2010-12-03,2.7,2.73,2.67,2.69,22877300.0,AZJ,as51
73015,2010-12-06,2.69,2.69,2.6,2.68,25674600.0,AZJ,as51
73016,2010-12-07,2.7,2.7,2.66,2.7,11248800.0,AZJ,as51
73017,2010-12-08,2.71,2.73,2.68,2.69,11835300.0,AZJ,as51
73018,2010-12-09,2.7,2.7,2.68,2.69,10392100.0,AZJ,as51
73019,2010-12-10,2.69,2.71,2.66,2.7,4580960.0,AZJ,as51
73020,2010-12-13,2.71,2.77,2.7,2.77,9105090.0,AZJ,as51
73021,2010-12-14,2.78,2.83,2.76,2.83,12273300.0,AZJ,as51
73022,2010-12-15,2.83,2.84,2.8,2.82,9643560.0,AZJ,as51
73023,2010-12-16,2.84,2.9,2.82,2.9,12857500.0,AZJ,as51
73024,2010-12-17,2.89,2.9,2.86,2.88,7080170.0,AZJ,as51
73025,2010-12-20,2.87,2.88,2.85,2.85,3015630.0,AZJ,as51
73026,2010-12-21,2.87,2.87,2.83,2.84,4244140.0,AZJ,as51
73027,2010-12-22,2.84,2.85,2.75,2.8,8580820.0,AZJ,as51
73028,2010-12-23,2.8,2.8,2.76,2.78,5841660.0,AZJ,as51
73029,2010-12-24,2.78,2.79,2.77,2.78,1154970.0,AZJ,as51
73030,2010-12-27,2.78,2.79,2.77,2.78,1154970.0,AZJ,as51
73031,2010-12-28,2.78,2.79,2.77,2.78,1154970.0,AZJ,as51
73032,2010-12-29,2.75,2.75,2.72,2.73,3700450.0,AZJ,as51
73033,2010-12-30,2.73,2.74,2.71,2.72,1603550.0,AZJ,as51
73034,2010-12-31,2.71,2.75,2.7,2.75,2388060.0,AZJ,as51
73035,2011-01-03,2.71,2.75,2.7,2.75,2388060.0,AZJ,as51
73036,2011-01-04,2.73,2.81,2.7,2.8,9337890.0,AZJ,as51
73037,2011-01-05,2.8,2.8,2.73,2.77,4273220.0,AZJ,as51
73038,2011-01-06,2.74,2.75,2.65,2.66,11290000.0,AZJ,as51
73039,2011-01-07,2.64,2.72,2.6,2.71,10299800.0,AZJ,as51
73040,2011-01-10,2.72,2.78,2.7,2.77,4463020.0,AZJ,as51
73041,2011-01-11,2.73,2.73,2.66,2.68,7422830.0,AZJ,as51
73042,2011-01-12,2.66,2.68,2.63,2.68,11262800.0,AZJ,as51
73043,2011-01-13,2.7,2.76,2.7,2.74,10902000.0,AZJ,as51
73044,2011-01-14,2.74,2.8,2.72,2.78,5606030.0,AZJ,as51
