,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
75880,2014-04-24,1.9445,1.9635,1.916,1.9445,30858200.0,BAP,as51
75881,2014-04-25,1.9445,1.9635,1.916,1.9445,30858200.0,BAP,as51
75882,2014-04-28,1.954,1.9824,1.9255,1.935,3034930.0,BAP,as51
75883,2014-04-29,1.9255,1.935,1.916,1.935,8528180.0,BAP,as51
75884,2014-04-30,1.935,1.954,1.916,1.954,894668.0,BAP,as51
75885,2014-05-01,1.9635,1.9635,1.935,1.935,683698.0,BAP,as51
75886,2014-05-02,1.9445,1.954,1.935,1.954,791964.0,BAP,as51
75887,2014-05-05,1.9729,2.0014,1.9729,1.9824,387154.0,BAP,as51
75888,2014-05-06,1.9919,1.9919,1.9635,1.9635,375714.0,BAP,as51
75889,2014-05-07,1.9635,1.9824,1.954,1.9824,406715.0,BAP,as51
75890,2014-05-08,1.9824,1.9824,1.9729,1.9824,235765.0,BAP,as51
75891,2014-05-09,1.9729,1.9729,1.9635,1.9729,283139.0,BAP,as51
75892,2014-05-12,1.9635,1.9729,1.9635,1.9635,237611.0,BAP,as51
75893,2014-05-13,1.9729,1.9729,1.9445,1.9445,518272.0,BAP,as51
75894,2014-05-14,1.9445,1.954,1.935,1.954,1717010.0,BAP,as51
75895,2014-05-15,1.9445,1.954,1.9445,1.9445,878797.0,BAP,as51
75896,2014-05-16,1.9635,1.9635,1.9255,1.935,96948.0,BAP,as51
75897,2014-05-19,1.935,1.935,1.8971,1.916,205606.0,BAP,as51
75898,2014-05-20,1.8971,1.8971,1.8591,1.8591,541569.0,BAP,as51
75899,2014-05-21,1.8496,1.8496,1.7975,1.8069,607025.0,BAP,as51
75900,2014-05-22,1.8496,1.8591,1.8307,1.8354,302632.0,BAP,as51
75901,2014-05-23,1.8259,1.8686,1.8259,1.8686,1221530.0,BAP,as51
75902,2014-05-26,1.8686,1.8686,1.8401,1.8401,168381.0,BAP,as51
75903,2014-05-27,1.8496,1.8591,1.8259,1.8259,444644.0,BAP,as51
75904,2014-05-28,1.8307,1.8496,1.8307,1.8496,508068.0,BAP,as51
75905,2014-05-29,1.8307,1.8401,1.8022,1.8401,156338.0,BAP,as51
75906,2014-05-30,1.8401,1.8544,1.8401,1.8496,1032180.0,BAP,as51
75907,2014-06-02,1.8401,1.8401,1.8117,1.8117,81981.0,BAP,as51
75908,2014-06-03,1.8212,1.8591,1.8212,1.8449,244951.0,BAP,as51
75909,2014-06-04,1.8449,1.8496,1.8354,1.8401,88495.0,BAP,as51
75910,2014-06-05,1.8401,1.8591,1.8401,1.8496,218358.0,BAP,as51
75911,2014-06-06,1.8544,1.8923,1.8496,1.8686,308392.0,BAP,as51
75912,2014-06-09,1.8544,1.8923,1.8496,1.8686,308392.0,BAP,as51
75913,2014-06-10,1.8923,1.916,1.8923,1.916,603623.0,BAP,as51
75914,2014-06-11,1.8971,1.9065,1.8876,1.8971,480773.0,BAP,as51
75915,2014-06-12,1.8971,1.916,1.8971,1.9065,156571.0,BAP,as51
75916,2014-06-13,1.8971,1.9065,1.8971,1.9065,67385.0,BAP,as51
75917,2014-06-16,1.916,1.916,1.9065,1.9065,25182.0,BAP,as51
75918,2014-06-17,1.8971,1.9065,1.8971,1.8971,858716.0,BAP,as51
75919,2014-06-18,1.8923,1.916,1.8923,1.9065,221065.0,BAP,as51
75920,2014-06-19,1.916,1.9445,1.9065,1.9065,188267.0,BAP,as51
75921,2014-06-20,1.9065,1.9255,1.9065,1.916,66218.0,BAP,as51
75922,2014-06-23,1.916,1.9445,1.916,1.935,175493.0,BAP,as51
75923,2014-06-24,1.935,1.954,1.916,1.9445,315436.0,BAP,as51
75924,2014-06-25,1.954,1.9635,1.9445,1.954,678369.0,BAP,as51
75925,2014-06-26,1.9445,1.9919,1.9445,1.9729,136406.0,BAP,as51
75926,2014-06-27,1.9824,2.0583,1.9729,1.9824,220681.0,BAP,as51
75927,2014-06-30,1.9919,2.0204,1.9729,2.0109,91311.0,BAP,as51
75928,2014-07-01,2.0109,2.0109,1.9635,1.9919,123043.0,BAP,as51
75929,2014-07-02,2.0014,2.0678,2.0014,2.0299,161062.0,BAP,as51
75930,2014-07-03,2.0299,2.0583,2.0204,2.0583,147934.0,BAP,as51
75931,2014-07-04,2.0393,2.0678,2.0299,2.0393,298083.0,BAP,as51
75932,2014-07-07,2.0393,2.0488,2.0393,2.0393,61615.0,BAP,as51
