,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
77862,2010-01-01,9.7,9.91,9.7,9.84,359232.0,BEN,as51
77863,2010-01-04,9.84,9.86,9.66,9.7,431297.0,BEN,as51
77864,2010-01-05,9.85,9.97,9.78,9.97,665461.0,BEN,as51
77865,2010-01-06,9.93,9.95,9.75,9.82,876928.0,BEN,as51
77866,2010-01-07,9.85,9.86,9.63,9.69,862802.0,BEN,as51
77867,2010-01-08,9.73,9.85,9.71,9.81,517404.0,BEN,as51
77868,2010-01-11,9.85,9.88,9.79,9.86,244023.0,BEN,as51
77869,2010-01-12,9.88,9.91,9.85,9.9,764133.0,BEN,as51
77870,2010-01-13,9.85,9.88,9.75,9.8,650839.0,BEN,as51
77871,2010-01-14,9.89,9.98,9.83,9.98,728517.0,BEN,as51
77872,2010-01-15,10.0,10.15,9.96,10.15,1183500.0,BEN,as51
77873,2010-01-18,10.18,10.27,10.11,10.22,1195360.0,BEN,as51
77874,2010-01-19,10.26,10.28,10.08,10.08,1005080.0,BEN,as51
77875,2010-01-20,10.16,10.44,10.16,10.33,1168190.0,BEN,as51
77876,2010-01-21,10.33,10.34,10.17,10.24,1366820.0,BEN,as51
77877,2010-01-22,10.11,10.13,9.85,10.0,3242890.0,BEN,as51
77878,2010-01-25,9.85,9.91,9.62,9.8,776454.0,BEN,as51
77879,2010-01-26,9.85,9.91,9.62,9.8,776454.0,BEN,as51
77880,2010-01-27,9.79,9.79,9.5,9.68,1350970.0,BEN,as51
77881,2010-01-28,9.84,10.34,9.84,10.19,2390300.0,BEN,as51
77882,2010-01-29,10.09,10.11,9.73,9.83,1725920.0,BEN,as51
77883,2010-02-01,9.79,10.06,9.71,10.0,1379040.0,BEN,as51
77884,2010-02-02,10.06,10.15,10.03,10.1,1517810.0,BEN,as51
77885,2010-02-03,10.0,10.1,9.84,10.01,1212590.0,BEN,as51
77886,2010-02-04,9.91,10.06,9.86,10.0,709446.0,BEN,as51
77887,2010-02-05,9.84,9.88,9.72,9.75,881828.0,BEN,as51
77888,2010-02-08,10.0,10.0,9.65,9.79,577049.0,BEN,as51
77889,2010-02-09,9.86,9.88,9.61,9.77,921767.0,BEN,as51
77890,2010-02-10,9.92,9.94,9.73,9.85,1863120.0,BEN,as51
77891,2010-02-11,9.84,9.91,9.78,9.84,541592.0,BEN,as51
