,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
80968,2011-08-19,1.8686,1.8686,1.7506,1.8096,1136320.0,BGA,as51
80969,2011-08-22,1.8096,1.8096,1.7211,1.7309,862727.0,BGA,as51
80970,2011-08-23,1.7506,1.7702,1.7309,1.7309,362395.0,BGA,as51
80971,2011-08-24,1.7604,1.7702,1.7407,1.7407,181020.0,BGA,as51
80972,2011-08-25,1.7407,1.7407,1.7112,1.7112,1258730.0,BGA,as51
80973,2011-08-26,1.7211,1.7407,1.7211,1.7407,79657.0,BGA,as51
80974,2011-08-29,1.7407,1.7407,1.7211,1.7309,61502.0,BGA,as51
80975,2011-08-30,1.7309,1.7702,1.7112,1.7702,110064.0,BGA,as51
80976,2011-08-31,1.7702,1.7702,1.7506,1.7702,111867.0,BGA,as51
80977,2011-09-01,1.8096,1.8096,1.7702,1.7702,145905.0,BGA,as51
80978,2011-09-02,1.7702,1.7998,1.7702,1.7899,99105.0,BGA,as51
80979,2011-09-05,1.7702,1.7899,1.7702,1.7801,153860.0,BGA,as51
80980,2011-09-06,1.7801,1.7801,1.7702,1.7702,140340.0,BGA,as51
80981,2011-09-07,1.8194,1.8686,1.7899,1.8489,311451.0,BGA,as51
80982,2011-09-08,1.8686,1.8784,1.8489,1.8588,364114.0,BGA,as51
80983,2011-09-09,1.8489,1.8588,1.8391,1.8588,97975.0,BGA,as51
80984,2011-09-12,1.8588,1.8588,1.8293,1.8293,87603.0,BGA,as51
80985,2011-09-13,1.8391,1.8489,1.8194,1.8489,168790.0,BGA,as51
80986,2011-09-14,1.8489,1.8489,1.7998,1.7998,153243.0,BGA,as51
80987,2011-09-15,1.8194,1.8194,1.7998,1.7998,41476.0,BGA,as51
80988,2011-09-16,1.8194,1.8194,1.7998,1.7998,27987.0,BGA,as51
80989,2011-09-19,1.7998,1.8194,1.7998,1.8096,18658.0,BGA,as51
80990,2011-09-20,1.7998,1.8194,1.7998,1.7998,12629.0,BGA,as51
80991,2011-09-21,1.7998,1.7998,1.7899,1.7899,74674.0,BGA,as51
80992,2011-09-22,1.7899,1.7998,1.7702,1.7998,58039.0,BGA,as51
80993,2011-09-23,1.7752,1.7899,1.7702,1.7702,210411.0,BGA,as51
80994,2011-09-26,1.7702,1.7899,1.7702,1.7899,68652.0,BGA,as51
80995,2011-09-27,1.7653,1.785,1.7653,1.785,7376.0,BGA,as51
80996,2011-09-28,1.785,1.785,1.7653,1.7653,57478.0,BGA,as51
80997,2011-09-29,1.7604,1.7653,1.7407,1.7407,111202.0,BGA,as51
80998,2011-09-30,1.7604,1.7752,1.7407,1.7407,66004.0,BGA,as51
80999,2011-10-03,1.7604,1.7752,1.7407,1.7407,66004.0,BGA,as51
81000,2011-10-04,1.7407,1.7407,1.7211,1.7407,9801.0,BGA,as51
81001,2011-10-05,1.7309,1.7309,1.6719,1.6719,47292.0,BGA,as51
81002,2011-10-06,1.6719,1.7014,1.6719,1.6817,22552.0,BGA,as51
81003,2011-10-07,1.7014,1.7014,1.667,1.6916,76189.0,BGA,as51
81004,2011-10-10,1.6916,1.7014,1.6424,1.6522,78650.0,BGA,as51
81005,2011-10-11,1.6719,1.6719,1.6522,1.6522,66608.0,BGA,as51
81006,2011-10-12,1.6621,1.6719,1.6424,1.6621,21683.0,BGA,as51
81007,2011-10-13,1.6424,1.6621,1.6424,1.6621,65810.0,BGA,as51
81008,2011-10-14,1.6621,1.6817,1.6621,1.6817,86401.0,BGA,as51
81009,2011-10-17,1.6916,1.7014,1.6719,1.6719,62147.0,BGA,as51
81010,2011-10-18,1.6719,1.6719,1.6621,1.6621,90242.0,BGA,as51
81011,2011-10-19,1.6719,1.6916,1.6522,1.6719,503125.0,BGA,as51
81012,2011-10-20,1.6817,1.7014,1.6719,1.6719,31013.0,BGA,as51
81013,2011-10-21,1.6719,1.6719,1.6522,1.6522,79006.0,BGA,as51
81014,2011-10-24,1.6719,1.6719,1.6522,1.6522,7626.0,BGA,as51
81015,2011-10-25,1.6522,1.6522,1.6522,1.6522,32135.0,BGA,as51
81016,2011-10-26,1.6522,1.6621,1.6522,1.6522,41232.0,BGA,as51
81017,2011-10-27,1.6522,1.6621,1.6522,1.6621,2939.0,BGA,as51
81018,2011-10-28,1.6719,1.6719,1.6621,1.6621,9023.0,BGA,as51
81019,2011-10-31,1.6719,1.6817,1.6719,1.6817,76261.0,BGA,as51
81020,2011-11-01,1.6621,1.6719,1.6621,1.6621,9218.0,BGA,as51
81021,2011-11-02,1.6719,1.6719,1.6719,1.6719,13815.0,BGA,as51
81022,2011-11-03,1.6719,1.6719,1.6621,1.6719,72549.0,BGA,as51
81023,2011-11-04,1.6621,1.6621,1.6522,1.6522,17540.0,BGA,as51
81024,2011-11-07,1.6719,1.6719,1.5736,1.6719,88449.0,BGA,as51
81025,2011-11-08,1.667,1.6719,1.667,1.6719,5084.0,BGA,as51
81026,2011-11-09,1.667,1.667,1.6522,1.6522,81345.0,BGA,as51
81027,2011-11-10,1.6473,1.6719,1.6424,1.6621,84211.0,BGA,as51
81028,2011-11-11,1.6621,1.6817,1.6522,1.6817,143642.0,BGA,as51
81029,2011-11-14,1.6817,1.6817,1.6719,1.6817,72493.0,BGA,as51
81030,2011-11-15,1.6719,1.7014,1.6719,1.6817,210494.0,BGA,as51
81031,2011-11-16,1.7014,1.7014,1.6916,1.6916,14408.0,BGA,as51
81032,2011-11-17,1.6817,1.6817,1.6817,1.6817,3508.0,BGA,as51
81033,2011-11-18,1.6916,1.6916,1.6719,1.6916,8279.0,BGA,as51
81034,2011-11-21,1.6719,1.6817,1.6719,1.6817,51190.0,BGA,as51
81035,2011-11-22,1.6522,1.6522,1.6522,1.6522,9660.0,BGA,as51
81036,2011-11-23,1.6719,1.6719,1.6522,1.6522,12568.0,BGA,as51
81037,2011-11-24,1.6621,1.6621,1.6424,1.6522,59191.0,BGA,as51
81038,2011-11-25,1.6522,1.6522,1.6424,1.6424,33372.0,BGA,as51
81039,2011-11-28,1.6522,1.6621,1.6522,1.6621,8690.0,BGA,as51
81040,2011-11-29,1.6522,1.6522,1.6424,1.6424,1932.0,BGA,as51
81041,2011-11-30,1.6424,1.6522,1.6424,1.6522,20808.0,BGA,as51
81042,2011-12-01,1.6522,1.6522,1.6424,1.6424,37974.0,BGA,as51
81043,2011-12-02,1.6326,1.6424,1.5834,1.5834,12739.0,BGA,as51
81044,2011-12-05,1.5834,1.6227,1.5834,1.6227,14947.0,BGA,as51
81045,2011-12-06,1.6227,1.6326,1.6227,1.6326,53218.0,BGA,as51
81046,2011-12-07,1.6326,1.6326,1.6227,1.6326,196422.0,BGA,as51
81047,2011-12-08,1.6326,1.6326,1.6227,1.6227,20336.0,BGA,as51
81048,2011-12-09,1.6227,1.6227,1.6227,1.6227,5465.0,BGA,as51
81049,2011-12-12,1.6424,1.6621,1.6424,1.6621,55237.0,BGA,as51
81050,2011-12-13,1.6424,1.6424,1.6276,1.6424,30694.0,BGA,as51
81051,2011-12-14,1.6276,1.6424,1.6276,1.6424,24098.0,BGA,as51
81052,2011-12-15,1.6424,1.6424,1.6227,1.6424,112046.0,BGA,as51
81053,2011-12-16,1.6227,1.6424,1.6227,1.6326,136585.0,BGA,as51
81054,2011-12-19,1.6326,1.6424,1.6227,1.6227,91902.0,BGA,as51
81055,2011-12-20,1.6227,1.6227,1.6031,1.6031,12202.0,BGA,as51
81056,2011-12-21,1.5883,1.6129,1.5785,1.6129,66361.0,BGA,as51
81057,2011-12-22,1.6129,1.6129,1.6129,1.6129,5205.0,BGA,as51
81058,2011-12-23,1.6129,1.6227,1.6031,1.6227,51145.0,BGA,as51
81059,2011-12-26,1.6129,1.6227,1.6031,1.6227,51145.0,BGA,as51
81060,2011-12-27,1.6129,1.6227,1.6031,1.6227,51145.0,BGA,as51
81061,2011-12-28,1.6227,1.6227,1.6227,1.6227,1220.0,BGA,as51
81062,2011-12-29,1.6031,1.6129,1.5932,1.5932,7626.0,BGA,as51
81063,2011-12-30,1.6129,1.6129,1.6129,1.6129,1017.0,BGA,as51
81064,2012-01-02,1.6129,1.6129,1.6129,1.6129,1017.0,BGA,as51
81065,2012-01-03,1.6129,1.6129,1.5981,1.5981,3686.0,BGA,as51
81066,2012-01-04,1.5981,1.5981,1.5883,1.5981,13178.0,BGA,as51
81067,2012-01-05,1.5981,1.6031,1.5981,1.6031,4774.0,BGA,as51
81068,2012-01-06,1.6129,1.6129,1.5981,1.5981,14510.0,BGA,as51
81069,2012-01-09,1.6031,1.6326,1.6031,1.6326,46163.0,BGA,as51
81070,2012-01-10,1.6326,1.7506,1.6129,1.6326,4832.0,BGA,as51
81071,2012-01-11,1.6719,1.7702,1.6719,1.6719,14510.0,BGA,as51
81072,2012-01-12,1.6719,1.7211,1.6719,1.6817,72282.0,BGA,as51
81073,2012-01-13,1.6965,1.7407,1.6916,1.6916,70333.0,BGA,as51
81074,2012-01-16,1.6916,1.6916,1.6227,1.6719,29800.0,BGA,as51
81075,2012-01-17,1.6916,1.6916,1.6817,1.6916,17824.0,BGA,as51
81076,2012-01-18,1.7211,1.7211,1.7211,1.7211,16879.0,BGA,as51
81077,2012-01-19,1.7112,1.7211,1.6719,1.6719,116104.0,BGA,as51
81078,2012-01-20,1.6719,1.6916,1.6522,1.6916,26921.0,BGA,as51
81079,2012-01-23,1.6719,1.6916,1.6719,1.6719,51180.0,BGA,as51
81080,2012-01-24,1.6719,1.6916,1.6719,1.6916,21417.0,BGA,as51
81081,2012-01-25,1.6916,1.6916,1.6916,1.6916,34571.0,BGA,as51
81082,2012-01-26,1.6916,1.6916,1.6916,1.6916,34571.0,BGA,as51
81083,2012-01-27,1.6719,1.6916,1.6621,1.6621,238088.0,BGA,as51
81084,2012-01-30,1.6817,1.6817,1.6522,1.6719,154682.0,BGA,as51
81085,2012-01-31,1.6424,1.7112,1.6424,1.6719,64310.0,BGA,as51
81086,2012-02-01,1.6719,1.7014,1.608,1.6817,51066.0,BGA,as51
81087,2012-02-02,1.6719,1.6916,1.6719,1.6916,30669.0,BGA,as51
81088,2012-02-03,1.6719,1.7063,1.6719,1.6719,11118.0,BGA,as51
81089,2012-02-06,1.6916,1.6916,1.6817,1.6817,4067.0,BGA,as51
81090,2012-02-07,1.6817,1.7162,1.6817,1.7162,90228.0,BGA,as51
81091,2012-02-08,1.7162,1.7162,1.7162,1.7162,10168.0,BGA,as51
81092,2012-02-09,1.7162,1.7211,1.7112,1.7211,103855.0,BGA,as51
81093,2012-02-10,1.7211,1.7211,1.7211,1.7211,213529.0,BGA,as51
81094,2012-02-13,1.7211,1.7211,1.6867,1.6867,61008.0,BGA,as51
81095,2012-02-14,1.6916,1.7211,1.6867,1.7211,2478.0,BGA,as51
81096,2012-02-15,1.7211,1.7211,1.7211,1.7211,305.0,BGA,as51
81097,2012-02-16,1.7112,1.7211,1.6867,1.6867,18404.0,BGA,as51
81098,2012-02-17,1.6916,1.6916,1.6867,1.6916,11824.0,BGA,as51
81099,2012-02-20,1.6867,1.7211,1.6867,1.7211,137308.0,BGA,as51
81100,2012-02-21,1.7211,1.7211,1.6817,1.6817,5065.0,BGA,as51
81101,2012-02-22,1.6817,1.6916,1.6719,1.6719,67118.0,BGA,as51
81102,2012-02-23,1.6916,1.6916,1.6719,1.6916,15089.0,BGA,as51
81103,2012-02-24,1.6719,1.6916,1.6719,1.6916,26467.0,BGA,as51
81104,2012-02-27,1.6817,1.6817,1.6522,1.6522,68726.0,BGA,as51
81105,2012-02-28,1.6227,1.6719,1.6227,1.6227,109808.0,BGA,as51
81106,2012-02-29,1.6719,1.6719,1.6719,1.6719,54277.0,BGA,as51
81107,2012-03-01,1.6719,1.7063,1.6719,1.7063,140866.0,BGA,as51
81108,2012-03-02,1.7014,1.7014,1.6916,1.6916,82990.0,BGA,as51
81109,2012-03-05,1.6916,1.7014,1.6916,1.7014,72336.0,BGA,as51
81110,2012-03-06,1.6916,1.6916,1.6768,1.6916,156403.0,BGA,as51
81111,2012-03-07,1.6916,1.6916,1.6768,1.6916,233509.0,BGA,as51
81112,2012-03-08,1.6768,1.7014,1.6768,1.7014,318169.0,BGA,as51
81113,2012-03-09,1.6768,1.6916,1.6719,1.6867,106367.0,BGA,as51
81114,2012-03-12,1.6719,1.6719,1.6621,1.6621,30064.0,BGA,as51
81115,2012-03-13,1.6522,1.6719,1.6522,1.667,55515.0,BGA,as51
81116,2012-03-14,1.667,1.6719,1.6522,1.6719,62826.0,BGA,as51
81117,2012-03-15,1.6719,1.6719,1.6621,1.667,304029.0,BGA,as51
81118,2012-03-16,1.667,1.6817,1.6621,1.6768,367077.0,BGA,as51
81119,2012-03-19,1.6817,1.6817,1.6522,1.6817,208031.0,BGA,as51
81120,2012-03-20,1.6817,1.6817,1.6719,1.6817,25913.0,BGA,as51
81121,2012-03-21,1.6719,1.6719,1.6571,1.6719,51175.0,BGA,as51
81122,2012-03-22,1.6621,1.6719,1.6571,1.6719,71926.0,BGA,as51
81123,2012-03-23,1.6719,1.6719,1.6719,1.6719,27127.0,BGA,as51
81124,2012-03-26,1.6621,1.6719,1.6621,1.6719,21617.0,BGA,as51
81125,2012-03-27,1.6719,1.6719,1.6621,1.6719,136994.0,BGA,as51
81126,2012-03-28,1.6719,1.6719,1.6621,1.6719,66113.0,BGA,as51
81127,2012-03-29,1.6719,1.6719,1.6621,1.6719,38062.0,BGA,as51
81128,2012-03-30,1.6719,1.6719,1.6719,1.6719,32740.0,BGA,as51
