,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
86755,2017-05-03,1.7414,1.7414,1.684,1.684,12345500.0,BIN,as51
86756,2017-05-04,1.684,1.684,1.55,1.5883,8552610.0,BIN,as51
86757,2017-05-05,1.6266,1.6409,1.5548,1.6409,3306500.0,BIN,as51
86758,2017-05-08,1.6266,1.6696,1.5931,1.6457,1095790.0,BIN,as51
86759,2017-05-09,1.6457,1.6649,1.6433,1.6553,2392460.0,BIN,as51
86760,2017-05-10,1.6744,1.7127,1.6744,1.7127,1135310.0,BIN,as51
86761,2017-05-11,1.7031,1.7318,1.684,1.7318,760398.0,BIN,as51
86762,2017-05-12,1.7318,1.7318,1.7127,1.7127,504245.0,BIN,as51
86763,2017-05-15,1.727,1.727,1.6983,1.7031,874128.0,BIN,as51
86764,2017-05-16,1.7031,1.7055,1.6936,1.7031,5458860.0,BIN,as51
86765,2017-05-17,1.7175,1.7175,1.6361,1.6457,565359.0,BIN,as51
86766,2017-05-18,1.684,1.6983,1.6553,1.6649,132161.0,BIN,as51
86767,2017-05-19,1.6983,1.6983,1.6601,1.6696,689485.0,BIN,as51
86768,2017-05-22,1.6888,1.6888,1.6553,1.6744,1935880.0,BIN,as51
86769,2017-05-23,1.6888,1.6888,1.6553,1.6744,907972.0,BIN,as51
86770,2017-05-24,1.6936,1.6936,1.6553,1.6649,269996.0,BIN,as51
86771,2017-05-25,1.6744,1.6744,1.6457,1.6553,1895480.0,BIN,as51
86772,2017-05-26,1.6696,1.6744,1.6601,1.6696,32747.0,BIN,as51
86773,2017-05-29,1.6696,1.6744,1.6457,1.6505,1739500.0,BIN,as51
86774,2017-05-30,1.6649,1.6649,1.5787,1.6266,385284.0,BIN,as51
86775,2017-05-31,1.6457,1.6457,1.6074,1.6457,305690.0,BIN,as51
86776,2017-06-01,1.6505,1.6505,1.5787,1.5787,510126.0,BIN,as51
86777,2017-06-02,1.5883,1.5883,1.5405,1.55,9279220.0,BIN,as51
86778,2017-06-05,1.5692,1.5787,1.4926,1.5213,495211.0,BIN,as51
86779,2017-06-06,1.5309,1.5692,1.5165,1.5309,15948700.0,BIN,as51
86780,2017-06-07,1.55,1.6266,1.5405,1.5548,975472.0,BIN,as51
86781,2017-06-08,1.5787,1.6027,1.5548,1.5787,618100.0,BIN,as51
86782,2017-06-09,1.5979,1.6027,1.5453,1.5883,1043620.0,BIN,as51
86783,2017-06-12,1.5979,1.6027,1.5453,1.5883,1043620.0,BIN,as51
86784,2017-06-13,1.6266,1.6792,1.6074,1.6218,6264610.0,BIN,as51
86785,2017-06-14,1.6361,1.6505,1.5979,1.617,2503840.0,BIN,as51
86786,2017-06-15,1.6074,1.6457,1.5787,1.6266,1010590.0,BIN,as51
86787,2017-06-16,1.6266,1.6385,1.6122,1.6266,2561210.0,BIN,as51
86788,2017-06-19,1.6314,1.6553,1.6266,1.6505,594197.0,BIN,as51
86789,2017-06-20,1.6505,1.6601,1.6314,1.6361,627320.0,BIN,as51
86790,2017-06-21,1.6314,1.6457,1.6266,1.6457,873219.0,BIN,as51
86791,2017-06-22,1.6553,1.7079,1.6409,1.684,2464120.0,BIN,as51
86792,2017-06-23,1.6936,1.7318,1.684,1.7318,5307220.0,BIN,as51
86793,2017-06-26,1.7223,1.7318,1.7127,1.7318,957725.0,BIN,as51
86794,2017-06-27,1.7318,1.7605,1.6936,1.7175,279961.0,BIN,as51
86795,2017-06-28,1.7318,1.7462,1.7175,1.7414,1962780.0,BIN,as51
86796,2017-06-29,1.7701,1.8084,1.7557,1.7653,1172600.0,BIN,as51
86797,2017-06-30,1.7605,1.7701,1.7318,1.7701,563401.0,BIN,as51
86798,2017-07-03,1.7653,1.7701,1.7318,1.751,219181.0,BIN,as51
86799,2017-07-04,1.7605,1.7653,1.7462,1.7605,648383.0,BIN,as51
86800,2017-07-05,1.7797,1.7797,1.7414,1.7605,184974.0,BIN,as51
86801,2017-07-06,1.7605,1.8084,1.7605,1.8084,3063760.0,BIN,as51
86802,2017-07-07,1.8084,1.8179,1.7701,1.8132,984707.0,BIN,as51
86803,2017-07-10,1.8179,1.8179,1.7892,1.794,989547.0,BIN,as51
86804,2017-07-11,1.8179,1.8179,1.794,1.8084,505562.0,BIN,as51
86805,2017-07-12,1.8084,1.8132,1.7988,1.8084,277140.0,BIN,as51
86806,2017-07-13,1.8084,1.8132,1.7797,1.8036,1163840.0,BIN,as51
86807,2017-07-14,1.8084,1.8084,1.7988,1.8084,380582.0,BIN,as51
86808,2017-07-17,1.7988,1.8849,1.7988,1.8514,326455.0,BIN,as51
86809,2017-07-18,1.8562,1.9136,1.8084,1.8945,3368660.0,BIN,as51
86810,2017-07-19,1.8945,1.9136,1.8658,1.9041,1346800.0,BIN,as51
86811,2017-07-20,1.9136,1.9328,1.8753,1.9136,717685.0,BIN,as51
86812,2017-07-21,1.9136,1.9615,1.8993,1.9136,1006850.0,BIN,as51
86813,2017-07-24,1.9328,1.9615,1.9041,1.9423,284338.0,BIN,as51
86814,2017-07-25,1.9423,2.105,1.9136,2.0189,361430.0,BIN,as51
86815,2017-07-26,2.0093,2.0284,1.9806,2.0093,422461.0,BIN,as51
86816,2017-07-27,1.9997,1.9997,1.9328,1.971,226785.0,BIN,as51
86817,2017-07-28,1.971,1.971,1.8993,1.9136,304557.0,BIN,as51
86818,2017-07-31,1.9232,1.9615,1.9088,1.9328,204405.0,BIN,as51
86819,2017-08-01,1.9041,1.9041,1.7366,1.7701,1602030.0,BIN,as51
86820,2017-08-02,1.8179,1.8849,1.7845,1.7988,460806.0,BIN,as51
86821,2017-08-03,1.7988,1.8036,1.7701,1.7797,458448.0,BIN,as51
86822,2017-08-04,1.8036,1.8036,1.7605,1.7749,2678450.0,BIN,as51
86823,2017-08-07,1.7845,1.7845,1.7223,1.7318,1800590.0,BIN,as51
86824,2017-08-08,1.7031,1.8275,1.684,1.8275,3885510.0,BIN,as51
86825,2017-08-09,1.8562,1.8658,1.8084,1.8466,451462.0,BIN,as51
86826,2017-08-10,1.8371,1.849,1.7462,1.8084,101331.0,BIN,as51
86827,2017-08-11,1.8084,1.8084,1.7605,1.7892,36442.0,BIN,as51
86828,2017-08-14,1.7797,1.7988,1.7701,1.7892,152287.0,BIN,as51
86829,2017-08-15,1.8084,1.8323,1.794,1.8132,385424.0,BIN,as51
86830,2017-08-16,1.8371,1.8371,1.7892,1.7892,117974.0,BIN,as51
86831,2017-08-17,1.8084,1.8801,1.7988,1.8801,415194.0,BIN,as51
86832,2017-08-18,1.8801,1.9041,1.8371,1.8753,243324.0,BIN,as51
86833,2017-08-21,1.8658,1.8801,1.8371,1.8514,152315.0,BIN,as51
86834,2017-08-22,1.861,1.8945,1.8227,1.8466,154712.0,BIN,as51
86835,2017-08-23,1.8275,1.861,1.8275,1.861,86611.0,BIN,as51
86836,2017-08-24,1.8658,1.8849,1.8658,1.8801,419068.0,BIN,as51
86837,2017-08-25,1.8658,1.8945,1.8658,1.8849,131576.0,BIN,as51
86838,2017-08-28,1.8945,1.8945,1.8323,1.8706,277659.0,BIN,as51
86839,2017-08-29,1.8658,1.9615,1.8658,1.9615,1019140.0,BIN,as51
86840,2017-08-30,2.0093,2.0571,1.9997,2.0189,447690.0,BIN,as51
86841,2017-08-31,2.0284,2.038,1.9902,2.0093,444937.0,BIN,as51
86842,2017-09-01,2.0093,2.0093,1.9902,1.9902,1647790.0,BIN,as51
86843,2017-09-04,1.9902,2.038,1.971,2.0284,762335.0,BIN,as51
86844,2017-09-05,2.0284,2.172,1.9806,2.105,4027350.0,BIN,as51
86845,2017-09-06,2.0954,2.105,2.0763,2.0954,132149.0,BIN,as51
86846,2017-09-07,2.105,2.1528,2.0858,2.1241,1042390.0,BIN,as51
86847,2017-09-08,2.1433,2.1911,2.1337,2.1624,3295100.0,BIN,as51
86848,2017-09-11,2.2102,2.2198,2.1241,2.2007,703577.0,BIN,as51
86849,2017-09-12,2.2198,2.2198,2.1624,2.2007,465909.0,BIN,as51
86850,2017-09-13,2.2007,2.2007,2.1337,2.1815,198564.0,BIN,as51
86851,2017-09-14,2.1911,2.2007,2.1528,2.1911,331401.0,BIN,as51
86852,2017-09-15,2.1815,2.2007,2.1528,2.1528,5731670.0,BIN,as51
86853,2017-09-18,2.1624,2.1911,2.1337,2.1528,864963.0,BIN,as51
86854,2017-09-19,2.1528,2.172,2.1337,2.1624,2538200.0,BIN,as51
86855,2017-09-20,2.172,2.1911,2.1433,2.1528,270819.0,BIN,as51
86856,2017-09-21,2.1528,2.1528,2.1146,2.1433,222185.0,BIN,as51
86857,2017-09-22,2.1241,2.1528,2.1146,2.1241,126535.0,BIN,as51
86858,2017-09-25,2.1528,2.1528,2.0476,2.0954,348016.0,BIN,as51
86859,2017-09-26,2.1241,2.1528,2.105,2.1433,98475.0,BIN,as51
86860,2017-09-27,2.1337,2.1528,2.105,2.105,232785.0,BIN,as51
86861,2017-09-28,2.1433,2.1433,2.105,2.1337,548752.0,BIN,as51
86862,2017-09-29,2.1289,2.1433,2.0763,2.105,730047.0,BIN,as51
86863,2017-10-02,2.1146,2.1433,2.0763,2.1146,172198.0,BIN,as51
86864,2017-10-03,2.1337,2.1337,2.0763,2.105,271921.0,BIN,as51
86865,2017-10-04,2.105,2.1146,2.0571,2.0667,598908.0,BIN,as51
86866,2017-10-05,2.0571,2.105,2.0571,2.105,79133.0,BIN,as51
86867,2017-10-06,2.105,2.1433,2.0571,2.0858,216782.0,BIN,as51
86868,2017-10-09,2.0906,2.1146,2.0763,2.105,736026.0,BIN,as51
86869,2017-10-10,2.0667,2.1146,2.0093,2.105,227715.0,BIN,as51
86870,2017-10-11,2.0667,2.1815,2.0667,2.1433,215967.0,BIN,as51
86871,2017-10-12,2.1146,2.1528,2.0954,2.1337,258449.0,BIN,as51
86872,2017-10-13,2.0954,2.1433,2.0571,2.105,608241.0,BIN,as51
86873,2017-10-16,2.0763,2.1241,2.0284,2.0476,145763.0,BIN,as51
86874,2017-10-17,2.0476,2.0476,1.9806,2.0093,450000.0,BIN,as51
86875,2017-10-18,1.9997,2.0093,1.8132,1.8179,1372820.0,BIN,as51
86876,2017-10-19,1.8179,1.9423,1.8179,1.8658,3697280.0,BIN,as51
86877,2017-10-20,1.8706,1.8945,1.8419,1.8514,371924.0,BIN,as51
86878,2017-10-23,1.8562,1.8753,1.8466,1.861,394487.0,BIN,as51
86879,2017-10-24,1.8706,1.8993,1.8514,1.8753,436625.0,BIN,as51
86880,2017-10-25,1.8945,2.0189,1.8801,1.9232,819282.0,BIN,as51
86881,2017-10-26,1.9423,1.9902,1.9232,1.9423,883972.0,BIN,as51
86882,2017-10-27,1.9902,1.9902,1.9519,1.9806,1139540.0,BIN,as51
86883,2017-10-30,1.9902,1.9997,1.9136,1.9615,254377.0,BIN,as51
86884,2017-10-31,1.9615,1.9662,1.9136,1.9423,309229.0,BIN,as51
86885,2017-11-01,1.9423,1.971,1.9232,1.9615,2621080.0,BIN,as51
86886,2017-11-02,1.971,1.9806,1.9423,1.9806,1021060.0,BIN,as51
86887,2017-11-03,1.9423,1.9806,1.9375,1.9806,422576.0,BIN,as51
86888,2017-11-06,1.9615,1.9902,1.9615,1.9806,369826.0,BIN,as51
86889,2017-11-07,1.9806,1.9902,1.971,1.9902,330391.0,BIN,as51
86890,2017-11-08,1.9902,1.9997,1.9615,1.9997,115321.0,BIN,as51
86891,2017-11-09,1.9902,2.0093,1.9902,1.9902,388252.0,BIN,as51
86892,2017-11-10,2.0093,2.0093,1.9902,2.0093,168581.0,BIN,as51
86893,2017-11-13,1.9997,1.9997,1.9615,1.9997,269228.0,BIN,as51
86894,2017-11-14,1.9519,2.0093,1.9519,1.9902,833943.0,BIN,as51
86895,2017-11-15,1.971,2.0667,1.971,2.0571,275846.0,BIN,as51
86896,2017-11-16,2.0189,2.0571,1.9997,2.0571,230884.0,BIN,as51
86897,2017-11-17,2.0571,2.0763,2.0284,2.0667,373406.0,BIN,as51
86898,2017-11-20,2.0571,2.0667,2.0189,2.0284,389717.0,BIN,as51
86899,2017-11-21,2.0284,2.0571,1.9902,2.0571,283204.0,BIN,as51
86900,2017-11-22,2.0284,2.1337,2.0284,2.0858,397457.0,BIN,as51
86901,2017-11-23,2.0763,2.0858,2.038,2.0858,707239.0,BIN,as51
86902,2017-11-24,2.0858,2.1241,1.9615,1.9806,1204830.0,BIN,as51
86903,2017-11-27,2.0858,2.1241,1.9615,1.9806,1204830.0,BIN,as51
86904,2017-11-28,2.0858,2.1241,1.9615,1.9806,1204830.0,BIN,as51
86905,2017-11-29,2.0445,2.3255,2.0445,2.1705,1152870.0,BIN,as51
86906,2017-11-30,2.1995,2.3158,2.1802,2.1899,6442870.0,BIN,as51
86907,2017-12-01,2.2092,2.2383,2.1608,2.1802,1966490.0,BIN,as51
86908,2017-12-04,2.1995,2.2674,2.1802,2.1899,869130.0,BIN,as51
86909,2017-12-05,2.2964,2.3546,2.248,2.2771,1673880.0,BIN,as51
86910,2017-12-06,2.2771,2.2868,2.2141,2.2189,2486760.0,BIN,as51
86911,2017-12-07,2.248,2.2771,2.2189,2.248,2797740.0,BIN,as51
86912,2017-12-08,2.2868,2.3836,2.2577,2.3836,1607300.0,BIN,as51
86913,2017-12-11,2.4127,2.4709,2.3933,2.4515,3495060.0,BIN,as51
86914,2017-12-12,2.5193,2.5193,2.4224,2.4515,2048310.0,BIN,as51
86915,2017-12-13,2.4999,2.4999,2.3643,2.4127,1546740.0,BIN,as51
86916,2017-12-14,2.4127,2.5145,2.4127,2.4224,1450190.0,BIN,as51
86917,2017-12-15,2.5096,2.5096,2.4418,2.4902,8660370.0,BIN,as51
86918,2017-12-18,2.5193,2.6259,2.4612,2.4612,1603680.0,BIN,as51
86919,2017-12-19,2.4999,2.4999,2.4418,2.4612,2761880.0,BIN,as51
86920,2017-12-20,2.5193,2.5193,2.4515,2.4515,1323280.0,BIN,as51
86921,2017-12-21,2.4515,2.529,2.4515,2.4709,693910.0,BIN,as51
86922,2017-12-22,2.4999,2.5871,2.4612,2.5677,344199.0,BIN,as51
86923,2017-12-25,2.4999,2.5871,2.4612,2.5677,344199.0,BIN,as51
86924,2017-12-26,2.4999,2.5871,2.4612,2.5677,344199.0,BIN,as51
86925,2017-12-27,2.6065,2.6065,2.4999,2.5193,212567.0,BIN,as51
86926,2017-12-28,2.5193,2.5581,2.4999,2.529,160390.0,BIN,as51
86927,2017-12-29,2.5193,2.529,2.4709,2.4709,278875.0,BIN,as51
86928,2018-01-01,2.5193,2.529,2.4709,2.4709,278875.0,BIN,as51
86929,2018-01-02,2.5193,2.5677,2.4902,2.5193,178784.0,BIN,as51
86930,2018-01-03,2.5387,2.5677,2.5096,2.5484,230108.0,BIN,as51
86931,2018-01-04,2.5193,2.5871,2.5193,2.5581,612253.0,BIN,as51
86932,2018-01-05,2.5677,2.5726,2.5096,2.529,1007600.0,BIN,as51
86933,2018-01-08,2.529,2.5677,2.529,2.5387,419544.0,BIN,as51
86934,2018-01-09,2.5581,2.5581,2.4612,2.4805,361378.0,BIN,as51
86935,2018-01-10,2.4902,2.5387,2.4418,2.4805,346053.0,BIN,as51
86936,2018-01-11,2.4805,2.4805,2.403,2.4127,279417.0,BIN,as51
86937,2018-01-12,2.3836,2.5096,2.3255,2.4515,342768.0,BIN,as51
86938,2018-01-15,2.4515,2.4709,2.4127,2.4127,108508.0,BIN,as51
86939,2018-01-16,2.4127,2.4418,2.403,2.4127,127307.0,BIN,as51
86940,2018-01-17,2.4127,2.5484,2.403,2.5484,1304180.0,BIN,as51
86941,2018-01-18,2.5387,2.5677,2.5096,2.5387,1300720.0,BIN,as51
86942,2018-01-19,2.5387,2.5774,2.5387,2.5484,199518.0,BIN,as51
86943,2018-01-22,2.5871,2.5968,2.529,2.5677,580233.0,BIN,as51
86944,2018-01-23,2.5677,2.5871,2.4999,2.5484,200494.0,BIN,as51
86945,2018-01-24,2.5871,2.5871,2.5193,2.529,132935.0,BIN,as51
86946,2018-01-25,2.5871,2.6356,2.5871,2.6162,438054.0,BIN,as51
86947,2018-01-26,2.5871,2.6356,2.5871,2.6162,438054.0,BIN,as51
86948,2018-01-29,2.684,2.7131,2.6162,2.6259,624249.0,BIN,as51
86949,2018-01-30,2.6259,2.6259,2.529,2.5581,458131.0,BIN,as51
86950,2018-01-31,2.5193,2.5387,2.4418,2.4805,1503060.0,BIN,as51
86951,2018-02-01,2.5387,2.5581,2.4515,2.4709,543849.0,BIN,as51
86952,2018-02-02,2.4515,2.4999,2.4515,2.4805,176729.0,BIN,as51
86953,2018-02-05,2.4709,2.4709,2.4224,2.4321,233742.0,BIN,as51
86954,2018-02-06,2.403,2.4127,2.2674,2.3255,1184380.0,BIN,as51
86955,2018-02-07,2.4321,2.5096,2.4224,2.4515,397508.0,BIN,as51
86956,2018-02-08,2.4418,2.4709,2.3449,2.3643,507775.0,BIN,as51
86957,2018-02-09,2.3061,2.3546,2.2964,2.3255,1343050.0,BIN,as51
86958,2018-02-12,2.3255,2.3546,2.3061,2.3158,303134.0,BIN,as51
86959,2018-02-13,2.3546,2.3546,2.2868,2.3061,416268.0,BIN,as51
86960,2018-02-14,2.3255,2.3255,2.2771,2.2964,1578070.0,BIN,as51
86961,2018-02-15,2.2868,2.3933,2.2674,2.3643,187634.0,BIN,as51
86962,2018-02-16,2.3643,2.4902,2.3643,2.3836,249719.0,BIN,as51
86963,2018-02-19,2.4127,2.4224,2.3255,2.3546,238193.0,BIN,as51
86964,2018-02-20,2.3546,2.4321,2.3352,2.3643,365066.0,BIN,as51
86965,2018-02-21,2.374,2.5193,2.374,2.5096,535795.0,BIN,as51
86966,2018-02-22,2.5096,2.5096,2.4418,2.4709,251114.0,BIN,as51
86967,2018-02-23,2.4709,2.5096,2.4418,2.4709,2438410.0,BIN,as51
86968,2018-02-26,2.5096,2.5241,2.4321,2.4515,492288.0,BIN,as51
86969,2018-02-27,2.5387,2.5387,2.3449,2.403,1780900.0,BIN,as51
86970,2018-02-28,2.4709,2.4805,2.4127,2.4805,968509.0,BIN,as51
86971,2018-03-01,2.4902,2.5677,2.4902,2.529,582878.0,BIN,as51
86972,2018-03-02,2.5096,2.5193,2.4515,2.4612,702626.0,BIN,as51
86973,2018-03-05,2.5096,2.5193,2.4224,2.4515,653287.0,BIN,as51
86974,2018-03-06,2.4999,2.5193,2.4612,2.4999,2162650.0,BIN,as51
86975,2018-03-07,2.4999,2.529,2.4999,2.529,623050.0,BIN,as51
86976,2018-03-08,2.5581,2.5677,2.529,2.5484,1627230.0,BIN,as51
86977,2018-03-09,2.5581,2.6114,2.5484,2.5677,570582.0,BIN,as51
86978,2018-03-12,2.5968,2.6453,2.5968,2.6356,297288.0,BIN,as51
86979,2018-03-13,2.6646,2.7712,2.6453,2.7325,2794220.0,BIN,as51
86980,2018-03-14,2.8875,2.9069,2.7325,2.8003,1909940.0,BIN,as51
86981,2018-03-15,2.7712,2.7712,2.7325,2.7519,629780.0,BIN,as51
86982,2018-03-16,2.7615,2.7906,2.7034,2.7906,1419950.0,BIN,as51
86983,2018-03-19,2.7906,2.81,2.7519,2.7809,471830.0,BIN,as51
86984,2018-03-20,2.684,2.6937,2.6162,2.6162,1600340.0,BIN,as51
86985,2018-03-21,2.6646,2.7131,2.6162,2.6162,621419.0,BIN,as51
86986,2018-03-22,2.6259,2.6743,2.6162,2.655,730445.0,BIN,as51
86987,2018-03-23,2.6259,2.6598,2.6162,2.6162,472454.0,BIN,as51
86988,2018-03-26,2.6162,2.7034,2.6065,2.6646,1422120.0,BIN,as51
86989,2018-03-27,2.6937,2.7422,2.6743,2.7422,4047270.0,BIN,as51
86990,2018-03-28,2.7422,2.7712,2.684,2.6937,5064400.0,BIN,as51
86991,2018-03-29,2.7131,2.7422,2.7034,2.7131,947556.0,BIN,as51
86992,2018-03-30,2.7131,2.7422,2.7034,2.7131,947556.0,BIN,as51
