,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
100372,2010-01-01,0.8795,0.8989,0.8746,0.8941,3106740.0,BPT,as51
100373,2010-01-04,0.8892,0.9135,0.8892,0.9038,2950050.0,BPT,as51
100374,2010-01-05,0.9184,0.9329,0.9184,0.9281,4737360.0,BPT,as51
100375,2010-01-06,0.9329,0.9912,0.9281,0.9864,6214410.0,BPT,as51
100376,2010-01-07,1.001,1.0107,0.967,0.9718,6637480.0,BPT,as51
100377,2010-01-08,0.9718,0.9767,0.9281,0.9378,6468190.0,BPT,as51
100378,2010-01-11,0.9524,0.9815,0.9427,0.9475,8197270.0,BPT,as51
100379,2010-01-12,0.9524,0.9572,0.9378,0.9475,3905740.0,BPT,as51
100380,2010-01-13,0.9378,0.9524,0.9329,0.9524,3437040.0,BPT,as51
100381,2010-01-14,0.9621,0.9718,0.9572,0.967,3352210.0,BPT,as51
100382,2010-01-15,0.967,0.967,0.9427,0.9427,3585300.0,BPT,as51
100383,2010-01-18,0.9427,0.967,0.9232,0.9524,4166860.0,BPT,as51
100384,2010-01-19,0.9524,0.9524,0.9232,0.9281,3420830.0,BPT,as51
100385,2010-01-20,0.9329,0.9427,0.9281,0.9281,2544710.0,BPT,as51
100386,2010-01-21,0.9232,0.9232,0.8941,0.9038,4597660.0,BPT,as51
100387,2010-01-22,0.8746,0.8746,0.8455,0.8503,7896040.0,BPT,as51
100388,2010-01-25,0.826,0.8552,0.8163,0.8503,5062220.0,BPT,as51
100389,2010-01-26,0.826,0.8552,0.8163,0.8503,5062220.0,BPT,as51
100390,2010-01-27,0.8503,0.8503,0.8066,0.8066,6435960.0,BPT,as51
100391,2010-01-28,0.8115,0.8406,0.8066,0.8309,4233000.0,BPT,as51
100392,2010-01-29,0.8163,0.8212,0.8115,0.8115,4671880.0,BPT,as51
100393,2010-02-01,0.8066,0.8163,0.792,0.7969,6258540.0,BPT,as51
100394,2010-02-02,0.8115,0.826,0.8066,0.8163,4286140.0,BPT,as51
100395,2010-02-03,0.8163,0.826,0.7434,0.758,24111600.0,BPT,as51
100396,2010-02-04,0.7483,0.758,0.7337,0.7337,8248860.0,BPT,as51
100397,2010-02-05,0.7191,0.7191,0.6997,0.7094,9007210.0,BPT,as51
100398,2010-02-08,0.7143,0.7386,0.7094,0.7289,5974550.0,BPT,as51
100399,2010-02-09,0.724,0.7289,0.7094,0.7143,2577100.0,BPT,as51
100400,2010-02-10,0.7289,0.7337,0.7191,0.724,4358920.0,BPT,as51
100401,2010-02-11,0.7289,0.7289,0.7143,0.724,6111040.0,BPT,as51
100402,2010-02-12,0.7337,0.7337,0.7143,0.7143,5238190.0,BPT,as51
100403,2010-02-15,0.7094,0.7289,0.6997,0.7191,8241520.0,BPT,as51
100404,2010-02-16,0.7143,0.7191,0.6997,0.7046,10066600.0,BPT,as51
100405,2010-02-17,0.7143,0.7191,0.7094,0.7143,3353990.0,BPT,as51
100406,2010-02-18,0.7191,0.7191,0.7094,0.7191,4093230.0,BPT,as51
100407,2010-02-19,0.7191,0.7191,0.6997,0.6997,4212620.0,BPT,as51
100408,2010-02-22,0.7143,0.7191,0.7046,0.7143,5225340.0,BPT,as51
100409,2010-02-23,0.7094,0.7191,0.6948,0.6997,10846900.0,BPT,as51
100410,2010-02-24,0.69,0.7191,0.69,0.7094,7083240.0,BPT,as51
100411,2010-02-25,0.7094,0.7094,0.6705,0.6705,12031500.0,BPT,as51
100412,2010-02-26,0.6705,0.6705,0.6365,0.6463,13649300.0,BPT,as51
100413,2010-03-01,0.6511,0.6803,0.6511,0.6608,8849160.0,BPT,as51
100414,2010-03-02,0.6754,0.6851,0.6608,0.6754,7490240.0,BPT,as51
100415,2010-03-03,0.6803,0.6803,0.6657,0.6705,2922670.0,BPT,as51
100416,2010-03-04,0.6803,0.6851,0.6754,0.6803,5332560.0,BPT,as51
100417,2010-03-05,0.6851,0.6997,0.6803,0.6948,6064470.0,BPT,as51
100418,2010-03-08,0.7046,0.7191,0.7046,0.7046,4743430.0,BPT,as51
100419,2010-03-09,0.7094,0.7191,0.7046,0.7046,4699150.0,BPT,as51
100420,2010-03-10,0.7094,0.7337,0.7046,0.7191,16706600.0,BPT,as51
100421,2010-03-11,0.7191,0.7191,0.6948,0.6948,4494460.0,BPT,as51
100422,2010-03-12,0.6997,0.7191,0.6997,0.7143,3438570.0,BPT,as51
100423,2010-03-15,0.7143,0.7191,0.7046,0.7046,3976290.0,BPT,as51
100424,2010-03-16,0.7046,0.7143,0.6997,0.7094,4984560.0,BPT,as51
100425,2010-03-17,0.7094,0.7094,0.6997,0.7094,4689650.0,BPT,as51
100426,2010-03-18,0.7143,0.7289,0.7143,0.724,7037240.0,BPT,as51
100427,2010-03-19,0.724,0.758,0.7191,0.7434,10615400.0,BPT,as51
100428,2010-03-22,0.7386,0.7386,0.724,0.724,5171690.0,BPT,as51
100429,2010-03-23,0.7337,0.7386,0.7289,0.7337,9253380.0,BPT,as51
