,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
103478,2010-01-01,1.64,1.68,1.635,1.68,5143.0,BRG,as51
103479,2010-01-04,1.7,1.715,1.65,1.67,37376.0,BRG,as51
103480,2010-01-05,1.7,1.7,1.7,1.7,2000.0,BRG,as51
103481,2010-01-06,1.7,1.7,1.68,1.68,6959.0,BRG,as51
103482,2010-01-07,1.7,1.7,1.68,1.68,6959.0,BRG,as51
103483,2010-01-08,1.71,1.71,1.7,1.7,4841.0,BRG,as51
103484,2010-01-11,1.72,1.72,1.72,1.72,1000.0,BRG,as51
103485,2010-01-12,1.7,1.74,1.7,1.74,42092.0,BRG,as51
103486,2010-01-13,1.7,1.74,1.7,1.74,42092.0,BRG,as51
103487,2010-01-14,1.74,1.76,1.69,1.69,28909.0,BRG,as51
103488,2010-01-15,1.69,1.69,1.69,1.69,25882.0,BRG,as51
103489,2010-01-18,1.73,1.73,1.725,1.725,22700.0,BRG,as51
103490,2010-01-19,1.72,1.72,1.72,1.72,1666.0,BRG,as51
103491,2010-01-20,1.7,1.7,1.7,1.7,36357.0,BRG,as51
103492,2010-01-21,1.66,1.675,1.66,1.67,1948.0,BRG,as51
103493,2010-01-22,1.68,1.68,1.68,1.68,5500.0,BRG,as51
103494,2010-01-25,1.68,1.68,1.68,1.68,3600.0,BRG,as51
103495,2010-01-26,1.68,1.68,1.68,1.68,3600.0,BRG,as51
103496,2010-01-27,1.73,1.73,1.6,1.625,142636.0,BRG,as51
103497,2010-01-28,1.635,1.645,1.63,1.645,190361.0,BRG,as51
103498,2010-01-29,1.64,1.64,1.6,1.6,18000.0,BRG,as51
103499,2010-02-01,1.6,1.605,1.57,1.6,705098.0,BRG,as51
103500,2010-02-02,1.6,1.62,1.6,1.6,855971.0,BRG,as51
103501,2010-02-03,1.55,1.595,1.55,1.595,7011.0,BRG,as51
103502,2010-02-04,1.6,1.6,1.6,1.6,10000.0,BRG,as51
103503,2010-02-05,1.595,1.705,1.595,1.705,11897.0,BRG,as51
103504,2010-02-08,1.71,1.76,1.71,1.76,15780.0,BRG,as51
103505,2010-02-09,1.71,1.76,1.71,1.76,15780.0,BRG,as51
103506,2010-02-10,1.59,1.61,1.59,1.61,6035.0,BRG,as51
103507,2010-02-11,1.68,1.7,1.64,1.64,5682.0,BRG,as51
103508,2010-02-12,1.68,1.7,1.64,1.64,5682.0,BRG,as51
103509,2010-02-15,1.68,1.7,1.64,1.64,5682.0,BRG,as51
103510,2010-02-16,1.68,1.7,1.64,1.64,5682.0,BRG,as51
103511,2010-02-17,1.68,1.7,1.64,1.64,5682.0,BRG,as51
103512,2010-02-18,1.65,1.65,1.65,1.65,163.0,BRG,as51
103513,2010-02-19,1.65,1.65,1.57,1.6,8574.0,BRG,as51
103514,2010-02-22,1.58,1.58,1.57,1.58,9764.0,BRG,as51
103515,2010-02-23,1.59,1.59,1.59,1.59,4896.0,BRG,as51
103516,2010-02-24,1.53,1.53,1.53,1.53,6000.0,BRG,as51
103517,2010-02-25,1.53,1.53,1.53,1.53,6000.0,BRG,as51
103518,2010-02-26,1.59,1.68,1.58,1.68,542151.0,BRG,as51
103519,2010-03-01,1.68,1.74,1.65,1.74,152210.0,BRG,as51
103520,2010-03-02,1.73,1.73,1.68,1.7,357847.0,BRG,as51
103521,2010-03-03,1.74,1.88,1.74,1.88,27508.0,BRG,as51
103522,2010-03-04,1.87,1.87,1.82,1.82,7493.0,BRG,as51
103523,2010-03-05,1.87,1.89,1.84,1.85,68248.0,BRG,as51
103524,2010-03-08,1.9,1.95,1.9,1.9,4765.0,BRG,as51
103525,2010-03-09,1.9,1.94,1.865,1.87,34244.0,BRG,as51
103526,2010-03-10,1.9,1.94,1.885,1.94,12533.0,BRG,as51
103527,2010-03-11,1.94,1.95,1.94,1.95,16173.0,BRG,as51
103528,2010-03-12,1.95,1.95,1.945,1.95,36696.0,BRG,as51
103529,2010-03-15,1.98,2.02,1.975,2.02,80269.0,BRG,as51
103530,2010-03-16,2.05,2.15,2.05,2.12,222924.0,BRG,as51
