,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
120321,2010-01-01,54.437,54.676,54.3573,54.6162,1083920.0,CBA,as51
120322,2010-01-04,54.3374,54.7357,54.2179,54.6361,991639.0,CBA,as51
120323,2010-01-05,54.8154,55.5622,54.8154,55.4626,3159580.0,CBA,as51
120324,2010-01-06,55.6418,55.9605,55.4925,55.7414,3206790.0,CBA,as51
120325,2010-01-07,55.7613,56.2293,54.9647,55.2037,3086120.0,CBA,as51
120326,2010-01-08,55.4825,56.06,55.4327,55.9206,3155730.0,CBA,as51
120327,2010-01-11,56.06,56.538,56.0103,56.3289,2748770.0,CBA,as51
120328,2010-01-12,56.2094,56.777,56.1098,56.3289,3535930.0,CBA,as51
120329,2010-01-13,56.0302,56.2492,55.6219,55.7713,2758440.0,CBA,as51
120330,2010-01-14,56.1596,56.8467,56.06,56.548,3016940.0,CBA,as51
120331,2010-01-15,56.5579,57.8524,55.9605,57.8524,4796020.0,CBA,as51
120332,2010-01-18,57.8026,58.4,57.2748,57.8026,6110510.0,CBA,as51
120333,2010-01-19,57.713,57.7428,56.309,56.3986,5833610.0,CBA,as51
120334,2010-01-20,57.0558,57.0657,56.08,56.3189,3647970.0,CBA,as51
120335,2010-01-21,56.309,57.016,56.07,56.3189,5136880.0,CBA,as51
120336,2010-01-22,55.2635,55.6518,54.7755,55.5124,5061480.0,CBA,as51
120337,2010-01-25,54.7656,55.1141,54.5266,54.915,3025420.0,CBA,as51
120338,2010-01-26,54.7656,55.1141,54.5266,54.915,3025420.0,CBA,as51
120339,2010-01-27,54.5864,54.676,53.969,54.3972,4031020.0,CBA,as51
120340,2010-01-28,54.8452,54.9647,54.4669,54.8652,5271710.0,CBA,as51
120341,2010-01-29,54.0686,54.208,52.7741,53.0031,9929550.0,CBA,as51
120342,2010-02-01,52.9733,53.511,52.7542,52.7542,4269160.0,CBA,as51
120343,2010-02-02,53.491,53.7997,52.8438,53.3218,4297390.0,CBA,as51
120344,2010-02-03,53.6404,53.7599,52.4555,53.1824,3873790.0,CBA,as51
120345,2010-02-04,53.0629,53.2222,52.4156,52.7243,4468790.0,CBA,as51
120346,2010-02-05,51.6788,52.4654,51.3104,52.4455,4365080.0,CBA,as51
120347,2010-02-08,52.8737,53.1425,52.1966,52.5451,3496220.0,CBA,as51
120348,2010-02-09,52.0174,52.4953,51.4199,52.4953,3702450.0,CBA,as51
120349,2010-02-10,52.9733,53.0728,51.2008,51.6091,5318970.0,CBA,as51
