,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
126533,2010-01-01,2.74,2.83,2.71,2.83,8400.0,CCP,as51
126534,2010-01-04,2.82,2.83,2.78,2.82,36360.0,CCP,as51
126535,2010-01-05,2.81,2.83,2.81,2.83,37355.0,CCP,as51
126536,2010-01-06,2.78,2.78,2.67,2.75,74288.0,CCP,as51
126537,2010-01-07,2.7,2.77,2.7,2.77,48270.0,CCP,as51
126538,2010-01-08,2.77,2.8,2.72,2.8,43828.0,CCP,as51
126539,2010-01-11,2.82,3.0,2.8,2.96,99293.0,CCP,as51
126540,2010-01-12,3.0,3.0,2.9,2.93,117889.0,CCP,as51
126541,2010-01-13,2.94,2.94,2.89,2.9,68116.0,CCP,as51
126542,2010-01-14,2.92,2.99,2.91,2.99,42816.0,CCP,as51
126543,2010-01-15,2.99,3.06,2.96,3.0,175197.0,CCP,as51
126544,2010-01-18,3.1,3.29,3.02,3.29,61061.0,CCP,as51
126545,2010-01-19,3.3,3.39,3.25,3.3,55160.0,CCP,as51
126546,2010-01-20,3.33,3.36,3.16,3.2,89695.0,CCP,as51
126547,2010-01-21,3.2,3.27,3.2,3.27,79590.0,CCP,as51
126548,2010-01-22,3.25,3.35,3.25,3.3,40106.0,CCP,as51
126549,2010-01-25,3.28,3.28,3.2,3.23,46758.0,CCP,as51
126550,2010-01-26,3.28,3.28,3.2,3.23,46758.0,CCP,as51
126551,2010-01-27,3.22,3.22,3.08,3.15,44150.0,CCP,as51
126552,2010-01-28,3.16,3.2,3.15,3.15,32978.0,CCP,as51
126553,2010-01-29,3.15,3.2,3.1,3.18,35254.0,CCP,as51
126554,2010-02-01,3.1,3.19,2.89,2.9,166275.0,CCP,as51
126555,2010-02-02,2.92,3.07,2.92,2.96,42208.0,CCP,as51
126556,2010-02-03,2.97,3.03,2.97,3.01,18694.0,CCP,as51
126557,2010-02-04,3.01,3.02,2.98,3.02,19090.0,CCP,as51
126558,2010-02-05,2.98,2.98,2.86,2.9,180301.0,CCP,as51
126559,2010-02-08,2.85,2.85,2.66,2.8,245619.0,CCP,as51
126560,2010-02-09,2.7,2.79,2.7,2.77,88295.0,CCP,as51
126561,2010-02-10,2.78,2.8,2.75,2.77,31820.0,CCP,as51
126562,2010-02-11,2.75,2.85,2.74,2.85,51668.0,CCP,as51
126563,2010-02-12,2.85,2.99,2.84,2.99,57770.0,CCP,as51
126564,2010-02-15,2.99,3.01,2.9,2.97,28747.0,CCP,as51
126565,2010-02-16,3.05,3.05,2.95,2.96,130414.0,CCP,as51
126566,2010-02-17,2.98,3.01,2.95,2.96,168647.0,CCP,as51
126567,2010-02-18,3.0,3.0,2.93,2.96,72369.0,CCP,as51
126568,2010-02-19,2.96,2.99,2.9,2.95,49448.0,CCP,as51
126569,2010-02-22,2.95,2.99,2.95,2.99,37692.0,CCP,as51
126570,2010-02-23,2.99,2.99,2.96,2.96,26732.0,CCP,as51
126571,2010-02-24,2.95,2.96,2.92,2.96,113913.0,CCP,as51
126572,2010-02-25,2.99,2.99,2.75,2.93,134506.0,CCP,as51
126573,2010-02-26,2.9,2.93,2.75,2.92,129303.0,CCP,as51
126574,2010-03-01,2.9,2.9,2.85,2.9,49824.0,CCP,as51
126575,2010-03-02,2.9,2.91,2.85,2.91,49470.0,CCP,as51
126576,2010-03-03,2.91,2.92,2.88,2.9,80639.0,CCP,as51
126577,2010-03-04,2.86,2.91,2.86,2.89,30602.0,CCP,as51
126578,2010-03-05,2.85,2.9,2.85,2.9,6520.0,CCP,as51
126579,2010-03-08,2.95,2.95,2.89,2.9,53533.0,CCP,as51
126580,2010-03-09,2.89,2.9,2.81,2.9,41936.0,CCP,as51
126581,2010-03-10,2.82,2.9,2.78,2.85,59754.0,CCP,as51
126582,2010-03-11,2.81,2.89,2.81,2.82,46142.0,CCP,as51
126583,2010-03-12,2.76,2.77,2.71,2.76,141513.0,CCP,as51
126584,2010-03-15,2.76,2.76,2.7,2.73,51006.0,CCP,as51
126585,2010-03-16,2.7,2.73,2.65,2.66,191065.0,CCP,as51
126586,2010-03-17,2.65,2.7,2.58,2.6,139590.0,CCP,as51
126587,2010-03-18,2.6,2.65,2.4,2.51,315751.0,CCP,as51
126588,2010-03-19,2.49,2.63,2.31,2.63,469898.0,CCP,as51
126589,2010-03-22,2.65,2.89,2.65,2.8,147669.0,CCP,as51
126590,2010-03-23,2.84,2.85,2.74,2.8,81944.0,CCP,as51
126591,2010-03-24,2.79,2.8,2.74,2.77,37060.0,CCP,as51
126592,2010-03-25,2.75,2.75,2.74,2.74,14335.0,CCP,as51
126593,2010-03-26,2.72,2.75,2.7,2.73,39288.0,CCP,as51
126594,2010-03-29,2.7,2.73,2.61,2.69,74084.0,CCP,as51
126595,2010-03-30,2.69,2.7,2.68,2.7,12853.0,CCP,as51
126596,2010-03-31,2.7,2.74,2.68,2.7,42609.0,CCP,as51
126597,2010-04-01,2.64,2.74,2.61,2.74,54025.0,CCP,as51
126598,2010-04-02,2.64,2.74,2.61,2.74,54025.0,CCP,as51
126599,2010-04-05,2.64,2.74,2.61,2.74,54025.0,CCP,as51
126600,2010-04-06,2.68,2.79,2.67,2.75,62290.0,CCP,as51
126601,2010-04-07,2.79,2.82,2.76,2.78,100741.0,CCP,as51
126602,2010-04-08,2.8,2.8,2.75,2.79,22029.0,CCP,as51
126603,2010-04-09,2.75,2.79,2.73,2.73,47470.0,CCP,as51
126604,2010-04-12,2.74,2.79,2.6,2.63,102359.0,CCP,as51
126605,2010-04-13,2.63,2.67,2.63,2.67,27674.0,CCP,as51
126606,2010-04-14,2.65,2.73,2.65,2.71,45092.0,CCP,as51
126607,2010-04-15,2.69,2.71,2.65,2.66,33199.0,CCP,as51
126608,2010-04-16,2.66,2.72,2.66,2.7,60316.0,CCP,as51
126609,2010-04-19,2.72,2.76,2.66,2.71,68152.0,CCP,as51
126610,2010-04-20,2.72,2.79,2.72,2.79,16091.0,CCP,as51
126611,2010-04-21,2.78,2.78,2.74,2.75,41131.0,CCP,as51
126612,2010-04-22,2.75,2.78,2.75,2.78,27390.0,CCP,as51
126613,2010-04-23,2.78,2.78,2.69,2.69,28413.0,CCP,as51
126614,2010-04-26,2.78,2.78,2.69,2.69,28413.0,CCP,as51
126615,2010-04-27,2.7,2.73,2.67,2.67,42566.0,CCP,as51
126616,2010-04-28,2.67,2.67,2.6,2.61,138439.0,CCP,as51
126617,2010-04-29,2.62,2.64,2.6,2.6,80665.0,CCP,as51
126618,2010-04-30,2.65,2.65,2.59,2.61,69637.0,CCP,as51
126619,2010-05-03,2.57,2.63,2.55,2.55,103515.0,CCP,as51
126620,2010-05-04,2.59,2.61,2.47,2.47,241649.0,CCP,as51
