,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
131336,2010-01-01,4.19,4.27,4.18,4.23,748342.0,CGF,as51
131337,2010-01-04,4.21,4.31,4.19,4.31,538611.0,CGF,as51
131338,2010-01-05,4.38,4.48,4.28,4.33,1361020.0,CGF,as51
131339,2010-01-06,4.4,4.45,4.38,4.45,958921.0,CGF,as51
131340,2010-01-07,4.47,4.5,4.3,4.3,2565010.0,CGF,as51
131341,2010-01-08,4.35,4.43,4.34,4.37,1264740.0,CGF,as51
131342,2010-01-11,4.43,4.49,4.41,4.43,652897.0,CGF,as51
131343,2010-01-12,4.4,4.44,4.32,4.32,1709140.0,CGF,as51
131344,2010-01-13,4.33,4.39,4.27,4.36,1721770.0,CGF,as51
131345,2010-01-14,4.35,4.42,4.17,4.29,1705480.0,CGF,as51
131346,2010-01-15,4.27,4.35,4.25,4.34,1032030.0,CGF,as51
131347,2010-01-18,4.29,4.36,4.27,4.33,1645240.0,CGF,as51
131348,2010-01-19,4.32,4.36,4.17,4.19,1751340.0,CGF,as51
131349,2010-01-20,4.28,4.33,4.24,4.3,1635430.0,CGF,as51
131350,2010-01-21,4.27,4.29,4.24,4.26,2087030.0,CGF,as51
131351,2010-01-22,4.12,4.21,4.02,4.14,1796620.0,CGF,as51
131352,2010-01-25,4.12,4.12,4.01,4.08,2478870.0,CGF,as51
131353,2010-01-26,4.12,4.12,4.01,4.08,2478870.0,CGF,as51
131354,2010-01-27,4.08,4.1,3.94,4.05,2605780.0,CGF,as51
131355,2010-01-28,4.0,4.13,4.0,4.04,2945720.0,CGF,as51
131356,2010-01-29,3.98,4.09,3.98,4.09,1899570.0,CGF,as51
131357,2010-02-01,4.02,4.07,3.97,4.03,3063680.0,CGF,as51
131358,2010-02-02,4.03,4.12,3.98,4.05,2095440.0,CGF,as51
131359,2010-02-03,4.05,4.11,4.0,4.07,2723420.0,CGF,as51
131360,2010-02-04,4.03,4.09,3.94,3.96,3810470.0,CGF,as51
131361,2010-02-05,3.9,3.9,3.7,3.82,6969580.0,CGF,as51
131362,2010-02-08,3.77,3.82,3.56,3.69,4065690.0,CGF,as51
131363,2010-02-09,3.57,3.6,3.51,3.57,5003470.0,CGF,as51
131364,2010-02-10,3.66,3.71,3.62,3.67,2741570.0,CGF,as51
131365,2010-02-11,3.74,3.95,3.7,3.82,2322910.0,CGF,as51
131366,2010-02-12,3.95,3.95,3.74,3.81,3375420.0,CGF,as51
131367,2010-02-15,3.76,3.78,3.69,3.71,1266890.0,CGF,as51
131368,2010-02-16,3.68,3.71,3.66,3.68,2245090.0,CGF,as51
131369,2010-02-17,3.73,3.85,3.72,3.8,2374270.0,CGF,as51
131370,2010-02-18,3.82,3.85,3.69,3.76,2057470.0,CGF,as51
131371,2010-02-19,3.81,3.93,3.78,3.84,3999020.0,CGF,as51
131372,2010-02-22,3.99,4.13,3.95,4.05,4240710.0,CGF,as51
131373,2010-02-23,4.01,4.03,3.89,3.95,4468640.0,CGF,as51
131374,2010-02-24,3.96,4.0,3.83,3.85,4306850.0,CGF,as51
131375,2010-02-25,3.95,3.97,3.84,3.85,2873220.0,CGF,as51
131376,2010-02-26,3.89,3.89,3.78,3.84,2195630.0,CGF,as51
131377,2010-03-01,3.82,3.95,3.82,3.83,3388010.0,CGF,as51
131378,2010-03-02,3.91,3.92,3.82,3.91,1732420.0,CGF,as51
131379,2010-03-03,3.92,4.0,3.89,3.97,3442150.0,CGF,as51
131380,2010-03-04,3.99,4.05,3.94,3.98,2541580.0,CGF,as51
131381,2010-03-05,4.0,4.04,3.96,4.02,2353020.0,CGF,as51
131382,2010-03-08,4.07,4.12,4.03,4.05,1756590.0,CGF,as51
131383,2010-03-09,4.02,4.04,3.96,3.98,1706850.0,CGF,as51
131384,2010-03-10,4.0,4.02,3.93,3.99,1920510.0,CGF,as51
131385,2010-03-11,4.0,4.07,3.97,4.05,1565240.0,CGF,as51
131386,2010-03-12,4.06,4.08,4.0,4.02,1956890.0,CGF,as51
131387,2010-03-15,4.0,4.07,3.97,4.02,1728040.0,CGF,as51
131388,2010-03-16,4.07,4.07,4.01,4.04,2547830.0,CGF,as51
131389,2010-03-17,4.1,4.11,4.03,4.05,3205180.0,CGF,as51
131390,2010-03-18,4.04,4.09,4.01,4.03,3008210.0,CGF,as51
131391,2010-03-19,4.04,4.15,4.03,4.14,3222010.0,CGF,as51
131392,2010-03-22,4.1,4.1,4.02,4.04,2463970.0,CGF,as51
131393,2010-03-23,4.08,4.13,4.05,4.09,2808920.0,CGF,as51
131394,2010-03-24,4.11,4.21,4.11,4.19,3283450.0,CGF,as51
131395,2010-03-25,4.18,4.24,4.15,4.24,1890480.0,CGF,as51
