,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
137589,2021-10-01,4.7,4.73,4.6,4.64,1181620.0,CIA,as51
137590,2021-10-04,4.65,4.68,4.46,4.5,1298770.0,CIA,as51
137591,2021-10-05,4.48,4.54,4.4,4.46,1430960.0,CIA,as51
137592,2021-10-06,4.5,4.53,4.36,4.41,2148570.0,CIA,as51
137593,2021-10-07,4.41,4.54,4.36,4.49,1650040.0,CIA,as51
137594,2021-10-08,4.58,4.65,4.52,4.6,2028380.0,CIA,as51
137595,2021-10-11,4.65,4.77,4.6,4.76,1469100.0,CIA,as51
137596,2021-10-12,4.78,4.83,4.67,4.79,2894380.0,CIA,as51
137597,2021-10-13,4.77,4.86,4.635,4.67,3114530.0,CIA,as51
137598,2021-10-14,4.65,4.72,4.6,4.71,1235610.0,CIA,as51
137599,2021-10-15,4.75,4.78,4.61,4.77,1476950.0,CIA,as51
137600,2021-10-18,4.76,4.82,4.695,4.79,1535550.0,CIA,as51
137601,2021-10-19,4.8,4.8,4.67,4.73,1211900.0,CIA,as51
137602,2021-10-20,4.77,4.87,4.71,4.74,1651790.0,CIA,as51
137603,2021-10-21,4.78,4.85,4.65,4.78,2383610.0,CIA,as51
137604,2021-10-22,4.68,4.68,4.48,4.62,2687810.0,CIA,as51
137605,2021-10-25,4.7,4.81,4.64,4.77,1569590.0,CIA,as51
137606,2021-10-26,4.76,4.86,4.71,4.83,932662.0,CIA,as51
137607,2021-10-27,4.71,4.74,4.51,4.51,3095140.0,CIA,as51
137608,2021-10-28,4.48,4.48,4.165,4.3,2896540.0,CIA,as51
137609,2021-10-29,4.54,4.67,4.35,4.4,5629190.0,CIA,as51
137610,2021-11-01,4.48,4.6,4.42,4.57,2651970.0,CIA,as51
137611,2021-11-02,4.49,4.51,4.24,4.24,2770960.0,CIA,as51
137612,2021-11-03,4.34,4.35,4.24,4.27,2624730.0,CIA,as51
137613,2021-11-04,4.25,4.26,4.08,4.12,2772060.0,CIA,as51
137614,2021-11-05,4.19,4.19,4.05,4.06,2779430.0,CIA,as51
137615,2021-11-08,4.05,4.16,4.015,4.05,2575060.0,CIA,as51
137616,2021-11-09,4.1,4.22,4.1,4.16,2238770.0,CIA,as51
137617,2021-11-10,4.23,4.26,4.03,4.06,3432300.0,CIA,as51
137618,2021-11-11,4.04,4.3,4.02,4.25,4263970.0,CIA,as51
137619,2021-11-12,4.37,4.54,4.34,4.45,3673820.0,CIA,as51
137620,2021-11-15,4.47,4.54,4.38,4.45,1990020.0,CIA,as51
137621,2021-11-16,4.43,4.43,4.32,4.33,1420670.0,CIA,as51
137622,2021-11-17,4.36,4.36,4.21,4.24,1442780.0,CIA,as51
137623,2021-11-18,4.19,4.2,4.06,4.07,2312760.0,CIA,as51
137624,2021-11-19,4.1,4.16,4.07,4.11,1164680.0,CIA,as51
137625,2021-11-22,4.13,4.24,4.11,4.23,1449880.0,CIA,as51
137626,2021-11-23,4.28,4.62,4.26,4.57,3678360.0,CIA,as51
137627,2021-11-24,4.61,4.65,4.52,4.62,2503900.0,CIA,as51
137628,2021-11-25,4.67,4.72,4.6,4.66,2183890.0,CIA,as51
137629,2021-11-26,4.57,4.61,4.46,4.5,1608340.0,CIA,as51
