,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
147084,2010-01-01,0.7231,0.733,0.7231,0.7231,333259.0,CMW,as51
147085,2010-01-04,0.7281,0.733,0.7231,0.7281,255543.0,CMW,as51
147086,2010-01-05,0.7281,0.738,0.7231,0.733,1152520.0,CMW,as51
147087,2010-01-06,0.733,0.738,0.7281,0.733,314327.0,CMW,as51
147088,2010-01-07,0.7281,0.733,0.7231,0.733,272438.0,CMW,as51
147089,2010-01-08,0.733,0.733,0.7281,0.733,289038.0,CMW,as51
147090,2010-01-11,0.733,0.733,0.7281,0.733,317171.0,CMW,as51
147091,2010-01-12,0.733,0.733,0.7281,0.7281,109717.0,CMW,as51
147092,2010-01-13,0.7281,0.733,0.7231,0.7231,198401.0,CMW,as51
147093,2010-01-14,0.7281,0.7281,0.7231,0.7231,68611.0,CMW,as51
147094,2010-01-15,0.733,0.733,0.7231,0.733,293953.0,CMW,as51
147095,2010-01-18,0.733,0.733,0.7231,0.7231,118853.0,CMW,as51
147096,2010-01-19,0.7231,0.733,0.7182,0.7182,371033.0,CMW,as51
147097,2010-01-20,0.7231,0.733,0.7132,0.733,618057.0,CMW,as51
147098,2010-01-21,0.733,0.733,0.7083,0.7132,268919.0,CMW,as51
147099,2010-01-22,0.7132,0.7231,0.7083,0.7083,375135.0,CMW,as51
147100,2010-01-25,0.7083,0.7083,0.6835,0.6934,744474.0,CMW,as51
147101,2010-01-26,0.7083,0.7083,0.6835,0.6934,744474.0,CMW,as51
147102,2010-01-27,0.6984,0.7132,0.6934,0.7083,426041.0,CMW,as51
147103,2010-01-28,0.7083,0.7083,0.6934,0.6934,120513.0,CMW,as51
147104,2010-01-29,0.6934,0.6984,0.6885,0.6885,277587.0,CMW,as51
147105,2010-02-01,0.6934,0.6984,0.6736,0.6736,455305.0,CMW,as51
147106,2010-02-02,0.6736,0.6934,0.6736,0.6885,632944.0,CMW,as51
147107,2010-02-03,0.6934,0.6984,0.6786,0.6835,717227.0,CMW,as51
147108,2010-02-04,0.6934,0.6934,0.6786,0.6934,417408.0,CMW,as51
147109,2010-02-05,0.6934,0.6934,0.6736,0.6786,354260.0,CMW,as51
147110,2010-02-08,0.6736,0.6786,0.6736,0.6736,317560.0,CMW,as51
147111,2010-02-09,0.6736,0.6786,0.6686,0.6736,301580.0,CMW,as51
147112,2010-02-10,0.6736,0.6786,0.6686,0.6686,451607.0,CMW,as51
147113,2010-02-11,0.6686,0.6835,0.6686,0.6736,107164.0,CMW,as51
147114,2010-02-12,0.6736,0.6984,0.6686,0.6736,667164.0,CMW,as51
147115,2010-02-15,0.6736,0.6835,0.6686,0.6736,225324.0,CMW,as51
147116,2010-02-16,0.6736,0.6736,0.6686,0.6686,139074.0,CMW,as51
147117,2010-02-17,0.6736,0.6786,0.6686,0.6686,265016.0,CMW,as51
147118,2010-02-18,0.6736,0.6885,0.6686,0.6835,167322.0,CMW,as51
147119,2010-02-19,0.6885,0.7132,0.6835,0.7132,291716.0,CMW,as51
147120,2010-02-22,0.7132,0.7578,0.6984,0.7231,841455.0,CMW,as51
147121,2010-02-23,0.7231,0.7429,0.7182,0.7182,324470.0,CMW,as51
147122,2010-02-24,0.7182,0.7182,0.6885,0.7033,1253760.0,CMW,as51
147123,2010-02-25,0.6984,0.7033,0.6885,0.6885,344953.0,CMW,as51
147124,2010-02-26,0.6885,0.6934,0.6835,0.6885,360539.0,CMW,as51
147125,2010-03-01,0.6934,0.6984,0.6885,0.6885,458672.0,CMW,as51
147126,2010-03-02,0.6934,0.6934,0.6786,0.6885,281715.0,CMW,as51
147127,2010-03-03,0.6835,0.6835,0.6686,0.6736,1460390.0,CMW,as51
147128,2010-03-04,0.6835,0.6835,0.6736,0.6786,2577660.0,CMW,as51
147129,2010-03-05,0.6835,0.6984,0.6835,0.6934,537988.0,CMW,as51
147130,2010-03-08,0.6984,0.7033,0.6934,0.7033,219023.0,CMW,as51
147131,2010-03-09,0.7033,0.7132,0.6835,0.7033,465448.0,CMW,as51
147132,2010-03-10,0.7033,0.7083,0.6934,0.7033,525104.0,CMW,as51
147133,2010-03-11,0.7132,0.7132,0.6934,0.6934,670470.0,CMW,as51
147134,2010-03-12,0.6934,0.6984,0.6885,0.6934,727697.0,CMW,as51
147135,2010-03-15,0.7033,0.7033,0.6934,0.6984,531712.0,CMW,as51
147136,2010-03-16,0.6934,0.6984,0.6885,0.6934,301009.0,CMW,as51
147137,2010-03-17,0.6934,0.7132,0.6934,0.7083,1071700.0,CMW,as51
147138,2010-03-18,0.7033,0.733,0.7033,0.7281,655250.0,CMW,as51
147139,2010-03-19,0.7231,0.7528,0.7132,0.7528,1379170.0,CMW,as51
147140,2010-03-22,0.7528,0.7677,0.738,0.7429,711280.0,CMW,as51
147141,2010-03-23,0.7528,0.7528,0.733,0.7429,609865.0,CMW,as51
147142,2010-03-24,0.7429,0.7479,0.7281,0.7281,636495.0,CMW,as51
147143,2010-03-25,0.733,0.7528,0.7231,0.7528,1191720.0,CMW,as51
147144,2010-03-26,0.7528,0.7578,0.7429,0.7578,514781.0,CMW,as51
147145,2010-03-29,0.7578,0.7578,0.7479,0.7528,485243.0,CMW,as51
147146,2010-03-30,0.7578,0.7578,0.7132,0.7132,399769.0,CMW,as51
147147,2010-03-31,0.7231,0.738,0.7182,0.7231,601488.0,CMW,as51
147148,2010-04-01,0.7231,0.7429,0.7231,0.738,392308.0,CMW,as51
147149,2010-04-02,0.7231,0.7429,0.7231,0.738,392308.0,CMW,as51
147150,2010-04-05,0.7231,0.7429,0.7231,0.738,392308.0,CMW,as51
147151,2010-04-06,0.738,0.7528,0.738,0.7429,605438.0,CMW,as51
147152,2010-04-07,0.733,0.7429,0.7231,0.7429,802444.0,CMW,as51
147153,2010-04-08,0.733,0.738,0.7231,0.733,347975.0,CMW,as51
147154,2010-04-09,0.7231,0.733,0.7182,0.7281,223327.0,CMW,as51
147155,2010-04-12,0.733,0.738,0.7182,0.733,707014.0,CMW,as51
147156,2010-04-13,0.7429,0.7479,0.733,0.7429,1584840.0,CMW,as51
147157,2010-04-14,0.7429,0.7429,0.733,0.7429,848418.0,CMW,as51
147158,2010-04-15,0.7479,0.7479,0.7231,0.738,391454.0,CMW,as51
147159,2010-04-16,0.738,0.738,0.7182,0.7231,332290.0,CMW,as51
147160,2010-04-19,0.7231,0.733,0.7231,0.7231,732916.0,CMW,as51
147161,2010-04-20,0.7231,0.7429,0.7231,0.733,693918.0,CMW,as51
147162,2010-04-21,0.733,0.733,0.7132,0.7132,952316.0,CMW,as51
147163,2010-04-22,0.7132,0.733,0.7132,0.7231,390335.0,CMW,as51
147164,2010-04-23,0.7231,0.733,0.7231,0.733,218680.0,CMW,as51
147165,2010-04-26,0.7231,0.733,0.7231,0.733,218680.0,CMW,as51
147166,2010-04-27,0.7231,0.7429,0.7231,0.7281,458849.0,CMW,as51
147167,2010-04-28,0.733,0.7429,0.733,0.7429,221160.0,CMW,as51
147168,2010-04-29,0.7429,0.7429,0.7281,0.733,447543.0,CMW,as51
147169,2010-04-30,0.733,0.733,0.7281,0.733,399695.0,CMW,as51
147170,2010-05-03,0.7281,0.738,0.7231,0.7231,316194.0,CMW,as51
147171,2010-05-04,0.7231,0.738,0.7231,0.733,593900.0,CMW,as51
147172,2010-05-05,0.733,0.733,0.7182,0.7231,772966.0,CMW,as51
147173,2010-05-06,0.733,0.733,0.7182,0.733,1809080.0,CMW,as51
147174,2010-05-07,0.7231,0.7281,0.7132,0.7281,1543860.0,CMW,as51
147175,2010-05-10,0.7132,0.7281,0.7033,0.7083,638738.0,CMW,as51
147176,2010-05-11,0.7132,0.7281,0.7083,0.7083,253277.0,CMW,as51
147177,2010-05-12,0.7132,0.7231,0.7083,0.7182,142695.0,CMW,as51
147178,2010-05-13,0.7231,0.7231,0.7083,0.7083,603232.0,CMW,as51
147179,2010-05-14,0.7182,0.7182,0.7083,0.7132,255975.0,CMW,as51
147180,2010-05-17,0.7083,0.7132,0.7033,0.7132,491280.0,CMW,as51
147181,2010-05-18,0.7231,0.7231,0.7033,0.7132,662851.0,CMW,as51
147182,2010-05-19,0.7083,0.7132,0.6934,0.6984,446765.0,CMW,as51
147183,2010-05-20,0.6835,0.7033,0.6786,0.6786,397386.0,CMW,as51
147184,2010-05-21,0.6736,0.6934,0.6439,0.6934,1654400.0,CMW,as51
147185,2010-05-24,0.6934,0.7083,0.6786,0.6984,1225710.0,CMW,as51
147186,2010-05-25,0.6885,0.7033,0.6835,0.6934,472182.0,CMW,as51
147187,2010-05-26,0.6934,0.7033,0.6786,0.7033,982687.0,CMW,as51
147188,2010-05-27,0.6835,0.6934,0.6835,0.6885,595725.0,CMW,as51
147189,2010-05-28,0.6934,0.6934,0.6835,0.6835,393902.0,CMW,as51
147190,2010-05-31,0.6835,0.7083,0.6835,0.6984,482581.0,CMW,as51
147191,2010-06-01,0.6984,0.7083,0.6835,0.6835,411779.0,CMW,as51
147192,2010-06-02,0.6885,0.6984,0.6835,0.6835,265696.0,CMW,as51
147193,2010-06-03,0.6885,0.6934,0.6835,0.6934,124612.0,CMW,as51
147194,2010-06-04,0.6835,0.7033,0.6786,0.6835,524241.0,CMW,as51
147195,2010-06-07,0.6835,0.6835,0.6637,0.6686,415362.0,CMW,as51
147196,2010-06-08,0.6786,0.6835,0.6637,0.6835,161062.0,CMW,as51
147197,2010-06-09,0.6786,0.6885,0.6736,0.6786,370068.0,CMW,as51
147198,2010-06-10,0.6835,0.6885,0.6736,0.6786,205974.0,CMW,as51
147199,2010-06-11,0.6885,0.6885,0.6488,0.6488,874709.0,CMW,as51
147200,2010-06-14,0.6885,0.6885,0.6488,0.6488,874709.0,CMW,as51
147201,2010-06-15,0.6538,0.6736,0.6538,0.6637,587117.0,CMW,as51
147202,2010-06-16,0.6637,0.6835,0.6637,0.6835,246935.0,CMW,as51
147203,2010-06-17,0.6835,0.6835,0.6736,0.6786,195333.0,CMW,as51
147204,2010-06-18,0.6835,0.7083,0.6686,0.7083,2954380.0,CMW,as51
147205,2010-06-21,0.7132,0.7182,0.6934,0.7033,501226.0,CMW,as51
147206,2010-06-22,0.7033,0.7281,0.7033,0.7281,1182810.0,CMW,as51
147207,2010-06-23,0.7182,0.7231,0.7033,0.7182,198762.0,CMW,as51
147208,2010-06-24,0.7033,0.7033,0.6835,0.6885,187625.0,CMW,as51
147209,2010-06-25,0.6885,0.6934,0.6885,0.6885,583068.0,CMW,as51
147210,2010-06-28,0.6984,0.6984,0.6736,0.6835,388706.0,CMW,as51
147211,2010-06-29,0.6786,0.6786,0.6488,0.6587,680342.0,CMW,as51
147212,2010-06-30,0.6587,0.6934,0.6587,0.6885,631430.0,CMW,as51
147213,2010-07-01,0.6637,0.6885,0.6538,0.6587,629822.0,CMW,as51
147214,2010-07-02,0.6686,0.6835,0.6587,0.6835,320708.0,CMW,as51
147215,2010-07-05,0.6835,0.6885,0.6587,0.6885,652238.0,CMW,as51
147216,2010-07-06,0.6736,0.6786,0.6488,0.6786,506943.0,CMW,as51
147217,2010-07-07,0.6736,0.6885,0.6637,0.6786,735908.0,CMW,as51
147218,2010-07-08,0.6835,0.6835,0.6587,0.6736,1102690.0,CMW,as51
147219,2010-07-09,0.6786,0.6835,0.6736,0.6835,1059010.0,CMW,as51
147220,2010-07-12,0.6786,0.6835,0.6736,0.6835,1059010.0,CMW,as51
147221,2010-07-13,0.6786,0.6835,0.6736,0.6835,1059010.0,CMW,as51
147222,2010-07-14,0.6984,0.7083,0.6934,0.7033,1105360.0,CMW,as51
147223,2010-07-15,0.7033,0.7083,0.6984,0.7033,573775.0,CMW,as51
147224,2010-07-16,0.7083,0.7083,0.6934,0.6984,872100.0,CMW,as51
147225,2010-07-19,0.6984,0.6984,0.6637,0.6984,1735810.0,CMW,as51
147226,2010-07-20,0.6984,0.6984,0.6786,0.6984,363936.0,CMW,as51
147227,2010-07-21,0.6984,0.7033,0.6885,0.6984,843584.0,CMW,as51
147228,2010-07-22,0.7033,0.7033,0.6835,0.6934,155753.0,CMW,as51
147229,2010-07-23,0.6885,0.6984,0.6835,0.6835,808009.0,CMW,as51
147230,2010-07-26,0.6984,0.7083,0.6934,0.7083,267518.0,CMW,as51
147231,2010-07-27,0.7033,0.7083,0.6934,0.6934,480278.0,CMW,as51
147232,2010-07-28,0.6934,0.7083,0.6934,0.7033,470622.0,CMW,as51
147233,2010-07-29,0.6934,0.6984,0.6885,0.6934,429796.0,CMW,as51
147234,2010-07-30,0.6984,0.7083,0.6984,0.7083,302702.0,CMW,as51
147235,2010-08-02,0.7083,0.7132,0.7083,0.7132,392152.0,CMW,as51
147236,2010-08-03,0.7083,0.7132,0.7083,0.7083,320174.0,CMW,as51
147237,2010-08-04,0.7132,0.7182,0.7083,0.7083,241938.0,CMW,as51
147238,2010-08-05,0.7083,0.7132,0.7083,0.7083,99959.0,CMW,as51
147239,2010-08-06,0.7083,0.7132,0.7083,0.7083,195325.0,CMW,as51
147240,2010-08-09,0.7132,0.7182,0.7083,0.7083,512822.0,CMW,as51
147241,2010-08-10,0.7182,0.7182,0.7033,0.7182,389563.0,CMW,as51
147242,2010-08-11,0.7182,0.7182,0.6984,0.6984,366228.0,CMW,as51
147243,2010-08-12,0.6984,0.7132,0.6984,0.7132,501677.0,CMW,as51
147244,2010-08-13,0.7132,0.7132,0.6984,0.7033,528325.0,CMW,as51
147245,2010-08-16,0.7033,0.7132,0.6934,0.7132,464067.0,CMW,as51
147246,2010-08-17,0.6984,0.7132,0.6885,0.6934,972660.0,CMW,as51
147247,2010-08-18,0.7132,0.7132,0.6885,0.7033,739283.0,CMW,as51
147248,2010-08-19,0.7033,0.7281,0.7033,0.7182,814211.0,CMW,as51
147249,2010-08-20,0.7132,0.7132,0.7033,0.7132,547365.0,CMW,as51
147250,2010-08-23,0.7083,0.7231,0.7083,0.7132,376360.0,CMW,as51
147251,2010-08-24,0.7033,0.7083,0.6984,0.6984,177143.0,CMW,as51
147252,2010-08-25,0.6984,0.7132,0.6984,0.7083,555719.0,CMW,as51
147253,2010-08-26,0.7132,0.7182,0.7033,0.7132,516226.0,CMW,as51
147254,2010-08-27,0.7132,0.7281,0.7132,0.7182,344183.0,CMW,as51
147255,2010-08-30,0.7182,0.7231,0.7132,0.7182,476775.0,CMW,as51
147256,2010-08-31,0.7132,0.7182,0.7083,0.7182,403106.0,CMW,as51
147257,2010-09-01,0.7132,0.7182,0.7033,0.7132,290549.0,CMW,as51
147258,2010-09-02,0.7182,0.7231,0.7083,0.7231,174387.0,CMW,as51
147259,2010-09-03,0.7231,0.7231,0.7182,0.7231,232750.0,CMW,as51
147260,2010-09-06,0.7231,0.7231,0.7083,0.7083,277941.0,CMW,as51
147261,2010-09-07,0.7231,0.7231,0.7132,0.7182,245161.0,CMW,as51
147262,2010-09-08,0.7083,0.7182,0.7033,0.7132,2102820.0,CMW,as51
147263,2010-09-09,0.7083,0.7182,0.7083,0.7132,270208.0,CMW,as51
147264,2010-09-10,0.7182,0.7182,0.7083,0.7132,352427.0,CMW,as51
147265,2010-09-13,0.7132,0.7182,0.7132,0.7132,146822.0,CMW,as51
147266,2010-09-14,0.7182,0.7182,0.7132,0.7132,513688.0,CMW,as51
147267,2010-09-15,0.7132,0.7132,0.7083,0.7083,1097040.0,CMW,as51
147268,2010-09-16,0.7132,0.7231,0.7083,0.7182,371793.0,CMW,as51
147269,2010-09-17,0.7231,0.7281,0.6984,0.6984,1176500.0,CMW,as51
147270,2010-09-20,0.7033,0.7132,0.7033,0.7132,246425.0,CMW,as51
147271,2010-09-21,0.7132,0.7281,0.7083,0.7083,399094.0,CMW,as51
147272,2010-09-22,0.7182,0.7231,0.7083,0.7083,216351.0,CMW,as51
147273,2010-09-23,0.7083,0.7132,0.7033,0.7033,370304.0,CMW,as51
147274,2010-09-24,0.7083,0.7182,0.6984,0.7182,534797.0,CMW,as51
147275,2010-09-27,0.7132,0.7182,0.7083,0.7083,195060.0,CMW,as51
147276,2010-09-28,0.7083,0.7182,0.7083,0.7182,366755.0,CMW,as51
147277,2010-09-29,0.7132,0.7182,0.7033,0.7033,529875.0,CMW,as51
147278,2010-09-30,0.7132,0.7132,0.7033,0.7033,174358.0,CMW,as51
