,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
150231,2011-11-21,2.27,2.43,2.27,2.3,706266.0,CNU,as51
150232,2011-11-22,2.31,2.35,2.23,2.26,1374070.0,CNU,as51
150233,2011-11-23,2.32,2.52,2.32,2.44,1703390.0,CNU,as51
150234,2011-11-24,2.52,2.56,2.49,2.52,6057520.0,CNU,as51
150235,2011-11-25,2.53,2.54,2.49,2.53,770615.0,CNU,as51
150236,2011-11-28,2.56,2.58,2.51,2.53,336420.0,CNU,as51
150237,2011-11-29,2.56,2.56,2.51,2.53,1154170.0,CNU,as51
150238,2011-11-30,2.47,2.51,2.43,2.5,1162060.0,CNU,as51
150239,2011-12-01,2.52,2.52,2.42,2.43,553137.0,CNU,as51
150240,2011-12-02,2.41,2.41,2.28,2.34,2082340.0,CNU,as51
150241,2011-12-05,2.3,2.31,2.25,2.25,1546260.0,CNU,as51
150242,2011-12-06,2.19,2.32,2.18,2.3,3488980.0,CNU,as51
150243,2011-12-07,2.31,2.32,2.28,2.29,1923920.0,CNU,as51
150244,2011-12-08,2.26,2.32,2.25,2.28,1895560.0,CNU,as51
150245,2011-12-09,2.25,2.3,2.25,2.28,2521620.0,CNU,as51
150246,2011-12-12,2.32,2.36,2.32,2.33,1916470.0,CNU,as51
150247,2011-12-13,2.32,2.33,2.31,2.31,1112460.0,CNU,as51
150248,2011-12-14,2.29,2.29,2.24,2.24,1937140.0,CNU,as51
150249,2011-12-15,2.22,2.25,2.2,2.24,1758230.0,CNU,as51
150250,2011-12-16,2.26,2.33,2.26,2.3,7076520.0,CNU,as51
150251,2011-12-19,2.31,2.31,2.27,2.27,808923.0,CNU,as51
150252,2011-12-20,2.27,2.3,2.26,2.28,1413400.0,CNU,as51
150253,2011-12-21,2.29,2.35,2.27,2.31,817011.0,CNU,as51
150254,2011-12-22,2.32,2.4,2.32,2.34,357899.0,CNU,as51
150255,2011-12-23,2.38,2.39,2.36,2.37,576284.0,CNU,as51
