,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
155952,2018-11-21,12.49,13.37,12.3,12.75,8752530.0,COL,as51
155953,2018-11-22,12.85,12.91,12.21,12.75,5673820.0,COL,as51
155954,2018-11-23,12.75,12.85,12.62,12.84,5474120.0,COL,as51
155955,2018-11-26,12.84,13.3,12.72,13.11,5085520.0,COL,as51
155956,2018-11-27,13.05,13.13,12.75,12.89,6747940.0,COL,as51
155957,2018-11-28,12.12,12.74,12.06,12.7,10082100.0,COL,as51
155958,2018-11-29,12.56,12.66,12.25,12.39,8038730.0,COL,as51
155959,2018-11-30,12.02,12.17,11.71,11.71,15508000.0,COL,as51
155960,2018-12-03,11.53,11.64,11.26,11.62,7041600.0,COL,as51
155961,2018-12-04,11.4,11.59,11.4,11.49,10601200.0,COL,as51
155962,2018-12-05,11.35,12.08,11.34,11.82,8646220.0,COL,as51
155963,2018-12-06,11.55,12.13,11.55,12.1,4583350.0,COL,as51
155964,2018-12-07,12.05,12.78,12.03,12.6,9192110.0,COL,as51
155965,2018-12-10,12.46,12.585,12.33,12.49,5910980.0,COL,as51
155966,2018-12-11,12.27,12.415,12.1,12.41,5395790.0,COL,as51
155967,2018-12-12,12.37,12.45,12.1,12.23,7801060.0,COL,as51
155968,2018-12-13,12.22,12.3,11.99,12.1,3975660.0,COL,as51
155969,2018-12-14,11.81,11.89,11.71,11.72,5113670.0,COL,as51
155970,2018-12-17,11.65,12.09,11.61,11.93,4120950.0,COL,as51
155971,2018-12-18,11.78,12.035,11.71,11.72,3725820.0,COL,as51
155972,2018-12-19,11.61,11.835,11.56,11.82,4364980.0,COL,as51
155973,2018-12-20,12.0,12.28,11.85,12.05,6923130.0,COL,as51
155974,2018-12-21,12.0,12.125,11.46,11.61,6351420.0,COL,as51
155975,2018-12-24,11.49,11.7,11.34,11.7,1445440.0,COL,as51
155976,2018-12-25,11.49,11.7,11.34,11.7,1445440.0,COL,as51
155977,2018-12-26,11.49,11.7,11.34,11.7,1445440.0,COL,as51
155978,2018-12-27,11.8,11.84,11.65,11.77,2216130.0,COL,as51
155979,2018-12-28,11.7,12.0,11.7,12.0,1605490.0,COL,as51
155980,2018-12-31,12.0,12.04,11.74,11.74,1230500.0,COL,as51
155981,2019-01-01,12.0,12.04,11.74,11.74,1230500.0,COL,as51
155982,2019-01-02,11.75,11.88,11.71,11.71,1098220.0,COL,as51
155983,2019-01-03,11.71,12.0,11.71,11.99,1599880.0,COL,as51
155984,2019-01-04,11.81,11.88,11.71,11.81,2127790.0,COL,as51
155985,2019-01-07,11.91,11.98,11.65,11.71,2266450.0,COL,as51
155986,2019-01-08,11.6,11.77,11.46,11.72,3262340.0,COL,as51
155987,2019-01-09,11.76,11.85,11.67,11.85,3009240.0,COL,as51
155988,2019-01-10,11.92,11.95,11.57,11.66,4299200.0,COL,as51
155989,2019-01-11,11.6,11.68,11.5,11.53,3018690.0,COL,as51
155990,2019-01-14,11.53,11.89,11.5,11.89,2914420.0,COL,as51
155991,2019-01-15,11.78,11.83,11.6,11.76,3238000.0,COL,as51
155992,2019-01-16,11.75,11.99,11.7,11.88,2658980.0,COL,as51
155993,2019-01-17,11.83,12.1,11.79,12.08,3841170.0,COL,as51
155994,2019-01-18,12.05,12.36,12.05,12.32,3555170.0,COL,as51
155995,2019-01-21,12.48,12.695,12.45,12.66,3098030.0,COL,as51
155996,2019-01-22,12.6,12.79,12.51,12.74,2082080.0,COL,as51
155997,2019-01-23,12.73,12.74,12.51,12.59,4244320.0,COL,as51
155998,2019-01-24,12.5,12.53,12.29,12.45,3918230.0,COL,as51
155999,2019-01-25,12.41,12.81,12.37,12.75,2524420.0,COL,as51
156000,2019-01-28,12.41,12.81,12.37,12.75,2524420.0,COL,as51
156001,2019-01-29,12.63,12.65,12.51,12.59,4137950.0,COL,as51
156002,2019-01-30,12.55,12.76,12.51,12.75,7627640.0,COL,as51
156003,2019-01-31,12.66,12.705,12.49,12.51,3365220.0,COL,as51
156004,2019-02-01,12.51,12.69,12.5,12.6,2403880.0,COL,as51
156005,2019-02-04,12.6,12.7,12.48,12.59,1599380.0,COL,as51
156006,2019-02-05,12.6,12.765,12.54,12.73,2674540.0,COL,as51
156007,2019-02-06,12.48,12.6,12.37,12.41,5988790.0,COL,as51
156008,2019-02-07,12.38,12.38,12.085,12.27,4491270.0,COL,as51
156009,2019-02-08,12.2,12.39,12.1,12.39,2600860.0,COL,as51
156010,2019-02-11,12.38,12.45,12.28,12.41,1584250.0,COL,as51
156011,2019-02-12,12.25,12.335,12.2,12.26,3474740.0,COL,as51
156012,2019-02-13,12.3,12.35,12.1,12.26,4323910.0,COL,as51
156013,2019-02-14,12.31,12.6,12.29,12.5,2321670.0,COL,as51
156014,2019-02-15,12.45,12.6,12.39,12.6,2229400.0,COL,as51
156015,2019-02-18,12.6,12.65,12.5,12.59,1600570.0,COL,as51
156016,2019-02-19,12.13,12.44,12.08,12.08,10815300.0,COL,as51
156017,2019-02-20,11.87,11.87,11.32,11.37,8992600.0,COL,as51
156018,2019-02-21,11.27,11.34,11.12,11.34,8248230.0,COL,as51
156019,2019-02-22,11.23,11.54,11.205,11.53,6101500.0,COL,as51
156020,2019-02-25,11.5,11.53,11.33,11.46,5619600.0,COL,as51
156021,2019-02-26,11.36,11.57,11.36,11.55,3853480.0,COL,as51
156022,2019-02-27,11.45,11.55,11.415,11.53,3207990.0,COL,as51
156023,2019-02-28,11.45,11.46,11.31,11.33,7435080.0,COL,as51
156024,2019-03-01,11.38,11.425,11.32,11.39,2584600.0,COL,as51
156025,2019-03-04,11.4,11.435,11.355,11.4,1916070.0,COL,as51
156026,2019-03-05,11.25,11.43,11.22,11.38,3178870.0,COL,as51
156027,2019-03-06,11.32,11.395,11.29,11.38,8521060.0,COL,as51
156028,2019-03-07,11.38,11.695,11.37,11.55,7761330.0,COL,as51
156029,2019-03-08,11.44,11.54,11.37,11.42,4363770.0,COL,as51
156030,2019-03-11,11.42,11.42,11.25,11.28,2583330.0,COL,as51
156031,2019-03-12,11.35,11.415,11.155,11.23,2812550.0,COL,as51
156032,2019-03-13,11.19,11.44,11.13,11.38,3801270.0,COL,as51
156033,2019-03-14,11.32,11.37,11.18,11.25,4230190.0,COL,as51
156034,2019-03-15,11.25,11.45,11.24,11.45,7617290.0,COL,as51
156035,2019-03-18,11.45,11.52,11.34,11.45,2127450.0,COL,as51
156036,2019-03-19,11.38,11.44,11.33,11.38,5080880.0,COL,as51
156037,2019-03-20,11.43,11.71,11.4,11.66,3194010.0,COL,as51
156038,2019-03-21,11.53,11.6,11.45,11.58,4837650.0,COL,as51
156039,2019-03-22,11.58,11.7,11.55,11.68,2867250.0,COL,as51
156040,2019-03-25,11.65,11.715,11.6,11.7,1722990.0,COL,as51
156041,2019-03-26,11.72,12.07,11.72,11.96,6145070.0,COL,as51
156042,2019-03-27,11.88,11.91,11.7,11.89,2588530.0,COL,as51
156043,2019-03-28,11.85,11.87,11.57,11.83,3989890.0,COL,as51
