,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
159846,2010-01-01,2.925,2.975,2.925,2.925,162690.0,CQR,as51
159847,2010-01-04,2.95,2.975,2.925,2.925,470274.0,CQR,as51
159848,2010-01-05,2.95,3.05,2.925,3.05,1015850.0,CQR,as51
159849,2010-01-06,3.025,3.05,2.975,2.975,839987.0,CQR,as51
159850,2010-01-07,3.0,3.0,2.975,2.975,371204.0,CQR,as51
159851,2010-01-08,2.975,3.0,2.975,3.0,859534.0,CQR,as51
159852,2010-01-11,2.975,3.0,2.925,2.975,715959.0,CQR,as51
159853,2010-01-12,2.95,2.95,2.9,2.95,1405920.0,CQR,as51
159854,2010-01-13,2.9,2.975,2.9,2.925,794451.0,CQR,as51
159855,2010-01-14,2.95,2.95,2.9,2.9,892319.0,CQR,as51
159856,2010-01-15,2.9,2.925,2.825,2.85,719923.0,CQR,as51
159857,2010-01-18,2.825,2.925,2.8,2.9,1053220.0,CQR,as51
159858,2010-01-19,2.875,2.9,2.775,2.775,1034020.0,CQR,as51
159859,2010-01-20,2.825,2.875,2.8,2.8,960862.0,CQR,as51
159860,2010-01-21,2.8,2.9,2.75,2.9,1210500.0,CQR,as51
159861,2010-01-22,2.825,2.875,2.775,2.85,1698580.0,CQR,as51
159862,2010-01-25,2.775,2.825,2.775,2.8,639936.0,CQR,as51
159863,2010-01-26,2.775,2.825,2.775,2.8,639936.0,CQR,as51
159864,2010-01-27,2.85,2.875,2.75,2.75,807331.0,CQR,as51
159865,2010-01-28,2.775,2.825,2.75,2.825,820616.0,CQR,as51
159866,2010-01-29,2.8,2.9,2.8,2.825,794344.0,CQR,as51
159867,2010-02-01,2.8,2.925,2.75,2.875,2196510.0,CQR,as51
159868,2010-02-02,2.9,2.975,2.875,2.95,901707.0,CQR,as51
159869,2010-02-03,2.975,3.05,2.95,3.025,979991.0,CQR,as51
159870,2010-02-04,3.0,3.15,3.0,3.15,930326.0,CQR,as51
159871,2010-02-05,3.1,3.25,3.025,3.2,2806260.0,CQR,as51
159872,2010-02-08,3.2,3.2,3.0,3.0,1034510.0,CQR,as51
159873,2010-02-09,2.95,3.05,2.95,2.975,843518.0,CQR,as51
159874,2010-02-10,3.0,3.05,2.975,3.0,807983.0,CQR,as51
159875,2010-02-11,3.0,3.05,2.975,3.0,807983.0,CQR,as51
159876,2010-02-12,2.95,2.975,2.875,2.9,1877420.0,CQR,as51
159877,2010-02-15,2.9,2.9,2.825,2.825,544350.0,CQR,as51
159878,2010-02-16,2.85,2.85,2.8,2.825,320781.0,CQR,as51
159879,2010-02-17,2.85,2.875,2.8,2.825,972174.0,CQR,as51
159880,2010-02-18,2.85,2.9,2.825,2.9,825261.0,CQR,as51
159881,2010-02-19,2.85,2.875,2.75,2.8,1098890.0,CQR,as51
159882,2010-02-22,2.8,2.875,2.775,2.825,1284900.0,CQR,as51
159883,2010-02-23,2.85,2.95,2.85,2.925,1145460.0,CQR,as51
159884,2010-02-24,2.9,2.95,2.9,2.925,618347.0,CQR,as51
159885,2010-02-25,2.95,2.975,2.85,2.85,658664.0,CQR,as51
159886,2010-02-26,2.875,2.875,2.8,2.85,705962.0,CQR,as51
159887,2010-03-01,2.825,2.875,2.825,2.875,20100700.0,CQR,as51
159888,2010-03-02,2.9,2.95,2.85,2.95,1037530.0,CQR,as51
159889,2010-03-03,2.925,2.95,2.875,2.925,1000010.0,CQR,as51
159890,2010-03-04,2.95,2.975,2.9,2.925,1695130.0,CQR,as51
159891,2010-03-05,2.925,2.95,2.9,2.95,421923.0,CQR,as51
159892,2010-03-08,2.95,2.975,2.925,2.95,427017.0,CQR,as51
159893,2010-03-09,2.925,2.95,2.9,2.95,712284.0,CQR,as51
159894,2010-03-10,2.925,2.95,2.85,2.875,1366130.0,CQR,as51
159895,2010-03-11,2.875,2.9,2.85,2.875,603919.0,CQR,as51
159896,2010-03-12,2.875,2.9,2.85,2.875,358078.0,CQR,as51
159897,2010-03-15,2.85,2.875,2.75,2.775,1297220.0,CQR,as51
159898,2010-03-16,2.775,2.825,2.75,2.775,3618860.0,CQR,as51
159899,2010-03-17,2.8,2.825,2.7,2.7,1116880.0,CQR,as51
159900,2010-03-18,2.75,2.85,2.725,2.85,1162800.0,CQR,as51
159901,2010-03-19,2.8,2.9,2.8,2.875,1083060.0,CQR,as51
159902,2010-03-22,2.825,2.85,2.8,2.825,222292.0,CQR,as51
