,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
172022,2010-01-01,2.7,2.7,2.65,2.7,29046.0,CUV,as51
172023,2010-01-04,2.8,2.8,2.65,2.65,39527.0,CUV,as51
172024,2010-01-05,2.75,2.85,2.75,2.85,15562.0,CUV,as51
172025,2010-01-06,2.85,2.9,2.8,2.85,37808.0,CUV,as51
172026,2010-01-07,2.85,2.85,2.75,2.8,37717.0,CUV,as51
172027,2010-01-08,2.8,2.8,2.75,2.8,45713.0,CUV,as51
172028,2010-01-11,2.8,2.8,2.75,2.75,7450.0,CUV,as51
172029,2010-01-12,2.8,2.85,2.7,2.8,91109.0,CUV,as51
172030,2010-01-13,2.8,2.8,2.75,2.8,20898.0,CUV,as51
172031,2010-01-14,2.75,2.8,2.75,2.75,10206.0,CUV,as51
172032,2010-01-15,2.75,2.8,2.7,2.75,16334.0,CUV,as51
172033,2010-01-18,2.75,2.75,2.7,2.75,22623.0,CUV,as51
172034,2010-01-19,2.65,2.65,2.65,2.65,66153.0,CUV,as51
172035,2010-01-20,2.7,2.75,2.55,2.6,52146.0,CUV,as51
172036,2010-01-21,2.6,2.6,2.5,2.6,36843.0,CUV,as51
172037,2010-01-22,2.5,2.5,2.45,2.5,29693.0,CUV,as51
172038,2010-01-25,2.4,2.45,2.3,2.35,56332.0,CUV,as51
172039,2010-01-26,2.4,2.45,2.3,2.35,56332.0,CUV,as51
172040,2010-01-27,2.3,2.4,2.1,2.3,76449.0,CUV,as51
172041,2010-01-28,2.25,2.25,2.15,2.15,85150.0,CUV,as51
172042,2010-01-29,2.2,2.25,2.2,2.25,88189.0,CUV,as51
172043,2010-02-01,2.3,2.3,2.2,2.2,6686.0,CUV,as51
172044,2010-02-02,2.3,2.3,2.2,2.2,25005.0,CUV,as51
172045,2010-02-03,2.3,2.3,2.2,2.25,23126.0,CUV,as51
172046,2010-02-04,2.3,2.3,2.25,2.3,15702.0,CUV,as51
172047,2010-02-05,2.35,2.35,2.25,2.3,102776.0,CUV,as51
172048,2010-02-08,2.5,2.7,2.4,2.55,109193.0,CUV,as51
172049,2010-02-09,2.6,2.6,2.45,2.5,83116.0,CUV,as51
172050,2010-02-10,2.75,2.75,2.55,2.65,59990.0,CUV,as51
172051,2010-02-11,2.7,2.75,2.65,2.7,39509.0,CUV,as51
172052,2010-02-12,2.7,2.7,2.65,2.7,43797.0,CUV,as51
172053,2010-02-15,2.7,2.8,2.7,2.7,47699.0,CUV,as51
172054,2010-02-16,2.75,2.75,2.7,2.75,21193.0,CUV,as51
172055,2010-02-17,2.75,2.95,2.75,2.75,23239.0,CUV,as51
172056,2010-02-18,2.75,2.8,2.75,2.75,33491.0,CUV,as51
172057,2010-02-19,2.85,2.9,2.75,2.9,22654.0,CUV,as51
172058,2010-02-22,2.85,2.85,2.8,2.8,5613.0,CUV,as51
172059,2010-02-23,2.8,2.8,2.7,2.7,15977.0,CUV,as51
172060,2010-02-24,2.75,2.8,2.7,2.7,12811.0,CUV,as51
172061,2010-02-25,2.7,2.7,2.65,2.65,25610.0,CUV,as51
172062,2010-02-26,2.7,2.7,2.6,2.6,18495.0,CUV,as51
172063,2010-03-01,2.7,2.8,2.7,2.75,25398.0,CUV,as51
172064,2010-03-02,2.8,2.85,2.8,2.85,15685.0,CUV,as51
172065,2010-03-03,2.8,2.8,2.75,2.8,31719.0,CUV,as51
172066,2010-03-04,2.8,2.85,2.65,2.65,25673.0,CUV,as51
172067,2010-03-05,2.65,2.7,2.65,2.65,10530.0,CUV,as51
172068,2010-03-08,2.7,2.7,2.6,2.6,23852.0,CUV,as51
172069,2010-03-09,2.65,2.65,2.55,2.55,18887.0,CUV,as51
172070,2010-03-10,2.6,2.6,2.45,2.45,44066.0,CUV,as51
172071,2010-03-11,2.5,2.5,2.35,2.4,31163.0,CUV,as51
172072,2010-03-12,2.5,2.5,2.5,2.5,16866.0,CUV,as51
172073,2010-03-15,2.5,2.5,2.45,2.45,2692.0,CUV,as51
172074,2010-03-16,2.45,2.55,2.45,2.45,11134.0,CUV,as51
172075,2010-03-17,2.5,2.55,2.45,2.55,13709.0,CUV,as51
172076,2010-03-18,2.5,2.55,2.5,2.55,11638.0,CUV,as51
172077,2010-03-19,2.45,2.55,2.4,2.55,11479.0,CUV,as51
172078,2010-03-22,2.5,2.5,2.4,2.45,2536.0,CUV,as51
172079,2010-03-23,2.45,2.55,2.45,2.55,9500.0,CUV,as51
172080,2010-03-24,2.4,2.5,2.4,2.5,7565.0,CUV,as51
172081,2010-03-25,2.5,2.5,2.45,2.5,2591.0,CUV,as51
172082,2010-03-26,2.5,2.5,2.4,2.45,6280.0,CUV,as51
172083,2010-03-29,2.4,2.55,2.4,2.5,35029.0,CUV,as51
172084,2010-03-30,2.5,2.7,2.5,2.7,106311.0,CUV,as51
172085,2010-03-31,2.7,2.7,2.6,2.65,16507.0,CUV,as51
172086,2010-04-01,2.6,2.6,2.5,2.5,38417.0,CUV,as51
172087,2010-04-02,2.6,2.6,2.5,2.5,38417.0,CUV,as51
172088,2010-04-05,2.6,2.6,2.5,2.5,38417.0,CUV,as51
172089,2010-04-06,2.45,2.65,2.45,2.65,28258.0,CUV,as51
172090,2010-04-07,2.7,2.7,2.55,2.7,8720.0,CUV,as51
172091,2010-04-08,2.6,2.6,2.5,2.5,9810.0,CUV,as51
172092,2010-04-09,2.45,2.6,2.45,2.6,4250.0,CUV,as51
172093,2010-04-12,2.6,2.65,2.55,2.65,17411.0,CUV,as51
172094,2010-04-13,2.55,2.7,2.55,2.65,19314.0,CUV,as51
172095,2010-04-14,2.5,2.6,2.5,2.6,56288.0,CUV,as51
172096,2010-04-15,2.5,2.6,2.5,2.6,39000.0,CUV,as51
172097,2010-04-16,2.5,2.55,2.4,2.4,22539.0,CUV,as51
172098,2010-04-19,2.5,2.55,2.4,2.4,53891.0,CUV,as51
172099,2010-04-20,2.4,2.4,2.35,2.4,39060.0,CUV,as51
172100,2010-04-21,2.35,2.4,2.3,2.3,31825.0,CUV,as51
172101,2010-04-22,2.3,2.45,2.3,2.45,6882.0,CUV,as51
172102,2010-04-23,2.4,2.4,2.35,2.4,35134.0,CUV,as51
172103,2010-04-26,2.4,2.4,2.35,2.4,35134.0,CUV,as51
172104,2010-04-27,2.35,2.35,2.35,2.35,6000.0,CUV,as51
172105,2010-04-28,2.3,2.35,2.3,2.35,9750.0,CUV,as51
172106,2010-04-29,2.35,2.35,2.3,2.3,19155.0,CUV,as51
172107,2010-04-30,2.25,2.3,2.25,2.3,10270.0,CUV,as51
172108,2010-05-03,2.4,2.4,2.25,2.25,11901.0,CUV,as51
172109,2010-05-04,2.25,2.4,2.2,2.4,69105.0,CUV,as51
172110,2010-05-05,2.35,2.35,2.2,2.35,24332.0,CUV,as51
172111,2010-05-06,2.35,2.35,2.2,2.35,39564.0,CUV,as51
172112,2010-05-07,2.05,2.35,2.0,2.35,50618.0,CUV,as51
172113,2010-05-10,2.35,2.35,2.15,2.25,19528.0,CUV,as51
172114,2010-05-11,2.3,2.4,2.25,2.4,108730.0,CUV,as51
172115,2010-05-12,2.3,2.3,2.25,2.25,12844.0,CUV,as51
172116,2010-05-13,2.2,2.25,2.15,2.15,36600.0,CUV,as51
172117,2010-05-14,2.2,2.3,2.2,2.3,11432.0,CUV,as51
172118,2010-05-17,2.3,2.6,2.3,2.35,209403.0,CUV,as51
172119,2010-05-18,2.5,2.65,2.4,2.65,112340.0,CUV,as51
172120,2010-05-19,2.7,2.7,2.55,2.65,48379.0,CUV,as51
172121,2010-05-20,2.6,2.6,2.5,2.5,31447.0,CUV,as51
172122,2010-05-21,2.35,2.45,2.25,2.45,34916.0,CUV,as51
172123,2010-05-24,2.5,2.65,2.5,2.55,30516.0,CUV,as51
172124,2010-05-25,2.55,2.6,2.5,2.6,9798.0,CUV,as51
172125,2010-05-26,2.6,2.65,2.55,2.55,18328.0,CUV,as51
172126,2010-05-27,2.6,2.6,2.4,2.55,25828.0,CUV,as51
172127,2010-05-28,2.6,2.6,2.3,2.3,28329.0,CUV,as51
172128,2010-05-31,2.4,2.45,2.3,2.4,4595.0,CUV,as51
172129,2010-06-01,2.3,2.45,2.3,2.45,905.0,CUV,as51
172130,2010-06-02,2.4,2.4,2.3,2.3,9308.0,CUV,as51
172131,2010-06-03,2.4,2.5,2.3,2.5,19911.0,CUV,as51
172132,2010-06-04,2.4,2.45,2.4,2.45,6980.0,CUV,as51
172133,2010-06-07,2.35,2.45,2.3,2.35,4766.0,CUV,as51
172134,2010-06-08,2.4,2.5,2.4,2.5,10091.0,CUV,as51
172135,2010-06-09,2.5,2.5,2.35,2.35,6887.0,CUV,as51
172136,2010-06-10,2.45,2.5,2.35,2.35,38202.0,CUV,as51
172137,2010-06-11,2.4,2.45,2.4,2.45,4700.0,CUV,as51
172138,2010-06-14,2.4,2.45,2.4,2.45,4700.0,CUV,as51
172139,2010-06-15,2.4,2.45,2.35,2.45,6833.0,CUV,as51
172140,2010-06-16,2.35,2.4,2.35,2.4,3539.0,CUV,as51
172141,2010-06-17,2.4,2.45,2.35,2.45,9364.0,CUV,as51
172142,2010-06-18,2.35,2.35,2.35,2.35,1468.0,CUV,as51
172143,2010-06-21,2.4,2.4,2.3,2.4,26020.0,CUV,as51
172144,2010-06-22,2.35,2.4,2.35,2.35,2608.0,CUV,as51
172145,2010-06-23,2.35,2.45,2.3,2.45,20581.0,CUV,as51
172146,2010-06-24,2.35,2.35,2.3,2.35,21035.0,CUV,as51
172147,2010-06-25,2.35,2.35,2.35,2.35,24214.0,CUV,as51
172148,2010-06-28,2.3,2.35,2.3,2.3,16841.0,CUV,as51
172149,2010-06-29,2.3,2.3,2.25,2.25,31714.0,CUV,as51
172150,2010-06-30,2.3,2.3,2.2,2.25,40697.0,CUV,as51
172151,2010-07-01,2.3,2.35,2.3,2.35,11277.0,CUV,as51
172152,2010-07-02,2.3,2.4,2.3,2.4,7299.0,CUV,as51
172153,2010-07-05,2.35,2.45,2.3,2.35,16535.0,CUV,as51
172154,2010-07-06,2.3,2.3,2.25,2.25,10563.0,CUV,as51
172155,2010-07-07,2.3,2.3,2.25,2.3,8900.0,CUV,as51
172156,2010-07-08,2.3,2.4,2.3,2.35,31195.0,CUV,as51
172157,2010-07-09,2.4,2.4,2.35,2.4,15700.0,CUV,as51
172158,2010-07-12,2.4,2.45,2.4,2.45,11006.0,CUV,as51
172159,2010-07-13,2.45,2.5,2.45,2.45,48123.0,CUV,as51
172160,2010-07-14,2.5,2.5,2.4,2.4,14004.0,CUV,as51
172161,2010-07-15,2.45,2.5,2.4,2.5,14522.0,CUV,as51
172162,2010-07-16,2.5,2.55,2.5,2.5,26113.0,CUV,as51
172163,2010-07-19,2.55,2.55,2.45,2.55,1425.0,CUV,as51
172164,2010-07-20,2.55,2.55,2.55,2.55,4850.0,CUV,as51
172165,2010-07-21,2.55,2.55,2.45,2.5,12430.0,CUV,as51
172166,2010-07-22,2.45,2.5,2.35,2.45,8480.0,CUV,as51
172167,2010-07-23,2.4,2.45,2.4,2.45,9450.0,CUV,as51
172168,2010-07-26,2.35,2.45,2.35,2.45,1585.0,CUV,as51
172169,2010-07-27,2.45,2.45,2.25,2.3,33061.0,CUV,as51
172170,2010-07-28,2.3,2.35,2.3,2.35,22775.0,CUV,as51
172171,2010-07-29,2.35,2.35,2.35,2.35,5581.0,CUV,as51
172172,2010-07-30,2.4,2.4,2.35,2.35,19514.0,CUV,as51
172173,2010-08-02,2.3,2.35,2.3,2.35,11511.0,CUV,as51
172174,2010-08-03,2.35,2.35,2.3,2.35,13934.0,CUV,as51
172175,2010-08-04,2.3,2.35,2.25,2.3,8609.0,CUV,as51
172176,2010-08-05,2.25,2.25,2.25,2.25,21638.0,CUV,as51
172177,2010-08-06,2.3,2.3,2.2,2.3,18066.0,CUV,as51
172178,2010-08-09,2.3,2.3,2.3,2.3,500.0,CUV,as51
172179,2010-08-10,2.2,2.25,2.2,2.25,21796.0,CUV,as51
172180,2010-08-11,2.25,2.25,2.2,2.2,10000.0,CUV,as51
172181,2010-08-12,2.2,2.2,2.2,2.2,11655.0,CUV,as51
172182,2010-08-13,2.2,2.2,2.2,2.2,12382.0,CUV,as51
172183,2010-08-16,2.15,2.3,2.15,2.3,10900.0,CUV,as51
172184,2010-08-17,2.3,2.3,2.25,2.25,27924.0,CUV,as51
172185,2010-08-18,2.25,2.25,2.15,2.15,22720.0,CUV,as51
172186,2010-08-19,2.25,2.25,2.2,2.2,10178.0,CUV,as51
172187,2010-08-20,2.2,2.3,2.15,2.25,22509.0,CUV,as51
172188,2010-08-23,2.2,2.2,2.1,2.1,26755.0,CUV,as51
172189,2010-08-24,2.1,2.1,2.0,2.0,24940.0,CUV,as51
172190,2010-08-25,2.1,2.2,2.1,2.2,32650.0,CUV,as51
172191,2010-08-26,2.2,2.2,2.1,2.1,10850.0,CUV,as51
172192,2010-08-27,2.1,2.1,2.1,2.1,11885.0,CUV,as51
172193,2010-08-30,2.1,2.1,2.1,2.1,2860.0,CUV,as51
172194,2010-08-31,2.15,2.2,2.1,2.2,3600.0,CUV,as51
172195,2010-09-01,2.1,2.15,2.1,2.15,11242.0,CUV,as51
172196,2010-09-02,2.2,2.25,2.2,2.2,7445.0,CUV,as51
172197,2010-09-03,2.2,2.2,2.1,2.1,5201.0,CUV,as51
172198,2010-09-06,2.2,2.25,2.2,2.25,28379.0,CUV,as51
172199,2010-09-07,2.25,2.3,2.25,2.3,19242.0,CUV,as51
172200,2010-09-08,2.3,2.3,2.2,2.25,5164.0,CUV,as51
172201,2010-09-09,2.2,2.25,2.2,2.2,3525.0,CUV,as51
172202,2010-09-10,2.2,2.2,2.2,2.2,2646.0,CUV,as51
172203,2010-09-13,2.2,2.25,2.2,2.2,14697.0,CUV,as51
172204,2010-09-14,2.2,2.25,2.2,2.2,63750.0,CUV,as51
172205,2010-09-15,2.2,2.2,2.2,2.2,31000.0,CUV,as51
172206,2010-09-16,2.2,2.25,2.15,2.15,10379.0,CUV,as51
172207,2010-09-17,2.2,2.2,2.15,2.15,6096.0,CUV,as51
172208,2010-09-20,2.25,2.25,2.15,2.15,9000.0,CUV,as51
172209,2010-09-21,2.1,2.15,2.1,2.15,12751.0,CUV,as51
172210,2010-09-22,2.1,2.1,2.1,2.1,11213.0,CUV,as51
172211,2010-09-23,2.1,2.2,2.1,2.2,26563.0,CUV,as51
172212,2010-09-24,2.05,2.2,2.0,2.2,32162.0,CUV,as51
172213,2010-09-27,2.1,2.15,2.05,2.1,19300.0,CUV,as51
172214,2010-09-28,2.05,2.05,2.0,2.05,10600.0,CUV,as51
172215,2010-09-29,2.0,2.1,2.0,2.1,33709.0,CUV,as51
172216,2010-09-30,2.05,2.05,2.05,2.05,20000.0,CUV,as51
172217,2010-10-01,2.0,2.05,2.0,2.0,43325.0,CUV,as51
172218,2010-10-04,2.05,2.05,2.0,2.05,27419.0,CUV,as51
172219,2010-10-05,2.1,2.1,2.0,2.05,32475.0,CUV,as51
172220,2010-10-06,2.05,2.05,2.0,2.0,21356.0,CUV,as51
172221,2010-10-07,2.0,2.05,2.0,2.0,86931.0,CUV,as51
172222,2010-10-08,2.0,2.0,1.8,1.85,111665.0,CUV,as51
172223,2010-10-11,1.9,1.9,1.9,1.9,1928.0,CUV,as51
172224,2010-10-12,2.0,2.0,1.95,2.0,4336.0,CUV,as51
172225,2010-10-13,2.0,2.0,1.9,1.95,32659.0,CUV,as51
172226,2010-10-14,1.95,2.0,1.9,1.95,12964.0,CUV,as51
172227,2010-10-15,1.9,1.9,1.85,1.9,17538.0,CUV,as51
172228,2010-10-18,1.9,1.9,1.8,1.8,18593.0,CUV,as51
172229,2010-10-19,1.85,1.85,1.8,1.8,21322.0,CUV,as51
172230,2010-10-20,1.85,1.85,1.8,1.85,15150.0,CUV,as51
172231,2010-10-21,1.9,1.9,1.9,1.9,7850.0,CUV,as51
172232,2010-10-22,1.9,1.95,1.8,1.8,45062.0,CUV,as51
172233,2010-10-25,1.85,1.85,1.85,1.85,12448.0,CUV,as51
172234,2010-10-26,1.9,1.9,1.8,1.8,6502.0,CUV,as51
172235,2010-10-27,2.0,2.0,1.9,2.0,20300.0,CUV,as51
172236,2010-10-28,1.9,1.9,1.9,1.9,263.0,CUV,as51
172237,2010-10-29,1.8,1.8,1.8,1.8,9118.0,CUV,as51
172238,2010-11-01,1.8,1.9,1.75,1.9,3163.0,CUV,as51
172239,2010-11-02,1.8,1.9,1.75,1.9,3163.0,CUV,as51
172240,2010-11-03,1.85,1.85,1.8,1.8,6750.0,CUV,as51
172241,2010-11-04,1.8,1.85,1.75,1.85,16851.0,CUV,as51
172242,2010-11-05,1.8,1.8,1.8,1.8,10284.0,CUV,as51
172243,2010-11-08,1.75,1.75,1.7,1.7,14610.0,CUV,as51
172244,2010-11-09,1.75,1.85,1.7,1.8,30350.0,CUV,as51
172245,2010-11-10,1.85,1.9,1.75,1.75,13224.0,CUV,as51
172246,2010-11-11,1.85,1.85,1.75,1.75,42436.0,CUV,as51
172247,2010-11-12,1.85,1.85,1.75,1.75,42436.0,CUV,as51
172248,2010-11-15,1.7,1.81,1.7,1.81,5450.0,CUV,as51
172249,2010-11-16,1.8,1.8,1.8,1.8,804.0,CUV,as51
172250,2010-11-17,1.82,1.82,1.82,1.82,1300.0,CUV,as51
172251,2010-11-18,1.82,1.82,1.8,1.8,10000.0,CUV,as51
172252,2010-11-19,1.82,1.82,1.8,1.8,10000.0,CUV,as51
172253,2010-11-22,1.8,1.8,1.71,1.71,13300.0,CUV,as51
172254,2010-11-23,1.7,1.7,1.7,1.7,1770.0,CUV,as51
172255,2010-11-24,1.7,1.725,1.7,1.725,5140.0,CUV,as51
172256,2010-11-25,1.725,1.73,1.725,1.73,2630.0,CUV,as51
172257,2010-11-26,1.73,1.8,1.73,1.8,5995.0,CUV,as51
172258,2010-11-29,1.8,1.8,1.725,1.75,30676.0,CUV,as51
172259,2010-11-30,1.7,1.7,1.65,1.695,55950.0,CUV,as51
172260,2010-12-01,1.7,1.7,1.65,1.65,54707.0,CUV,as51
172261,2010-12-02,1.67,1.675,1.62,1.665,110169.0,CUV,as51
172262,2010-12-03,1.655,1.675,1.655,1.67,66455.0,CUV,as51
172263,2010-12-06,1.675,1.675,1.63,1.63,70041.0,CUV,as51
172264,2010-12-07,1.7,1.705,1.63,1.68,134624.0,CUV,as51
172265,2010-12-08,1.68,1.85,1.68,1.845,22383.0,CUV,as51
172266,2010-12-09,1.85,2.0,1.81,2.0,19702.0,CUV,as51
172267,2010-12-10,2.0,2.32,2.0,2.15,34692.0,CUV,as51
172268,2010-12-13,2.21,2.3,2.2,2.29,57496.0,CUV,as51
172269,2010-12-14,2.29,2.3,2.26,2.26,22813.0,CUV,as51
172270,2010-12-15,2.26,2.27,2.21,2.23,18473.0,CUV,as51
172271,2010-12-16,2.2,2.25,2.2,2.23,14471.0,CUV,as51
172272,2010-12-17,2.22,2.22,2.2,2.2,4295.0,CUV,as51
172273,2010-12-20,2.21,2.21,2.11,2.11,19447.0,CUV,as51
172274,2010-12-21,2.05,2.14,2.02,2.14,29123.0,CUV,as51
172275,2010-12-22,2.04,2.08,2.04,2.08,4500.0,CUV,as51
172276,2010-12-23,2.1,2.1,2.03,2.1,11937.0,CUV,as51
172277,2010-12-24,2.04,2.04,2.04,2.04,3000.0,CUV,as51
172278,2010-12-27,2.04,2.04,2.04,2.04,3000.0,CUV,as51
172279,2010-12-28,2.04,2.04,2.04,2.04,3000.0,CUV,as51
172280,2010-12-29,2.04,2.06,2.04,2.06,11150.0,CUV,as51
172281,2010-12-30,2.15,2.26,2.13,2.26,6357.0,CUV,as51
172282,2010-12-31,2.37,2.37,2.07,2.07,19061.0,CUV,as51
172283,2011-01-03,2.37,2.37,2.07,2.07,19061.0,CUV,as51
172284,2011-01-04,2.21,2.21,2.13,2.2,3600.0,CUV,as51
172285,2011-01-05,2.16,2.19,2.12,2.19,15027.0,CUV,as51
172286,2011-01-06,2.16,2.16,2.13,2.14,16000.0,CUV,as51
172287,2011-01-07,2.17,2.18,2.1,2.1,15936.0,CUV,as51
172288,2011-01-10,2.08,2.09,2.05,2.09,9481.0,CUV,as51
172289,2011-01-11,2.1,2.18,2.07,2.15,34554.0,CUV,as51
172290,2011-01-12,2.18,2.2,2.17,2.18,16914.0,CUV,as51
172291,2011-01-13,2.2,2.21,2.2,2.21,2228.0,CUV,as51
172292,2011-01-14,2.21,2.21,2.14,2.14,39482.0,CUV,as51
172293,2011-01-17,2.14,2.17,2.14,2.14,38897.0,CUV,as51
172294,2011-01-18,2.1,2.14,2.09,2.13,26469.0,CUV,as51
172295,2011-01-19,2.1,2.1,2.1,2.1,3140.0,CUV,as51
172296,2011-01-20,2.12,2.2,2.12,2.19,82770.0,CUV,as51
172297,2011-01-21,2.16,2.16,2.16,2.16,357.0,CUV,as51
172298,2011-01-24,2.16,2.21,2.16,2.2,11608.0,CUV,as51
172299,2011-01-25,2.21,2.22,2.21,2.22,8300.0,CUV,as51
172300,2011-01-26,2.21,2.22,2.21,2.22,8300.0,CUV,as51
172301,2011-01-27,2.2,2.22,2.17,2.21,28828.0,CUV,as51
172302,2011-01-28,2.22,2.24,2.21,2.21,34504.0,CUV,as51
172303,2011-01-31,2.21,2.27,2.21,2.22,12803.0,CUV,as51
172304,2011-02-01,2.22,2.22,2.22,2.22,1670.0,CUV,as51
172305,2011-02-02,2.2,2.26,2.2,2.21,36667.0,CUV,as51
172306,2011-02-03,2.18,2.18,2.15,2.15,6500.0,CUV,as51
172307,2011-02-04,2.17,2.25,2.15,2.25,23688.0,CUV,as51
172308,2011-02-07,2.23,2.28,2.23,2.24,37550.0,CUV,as51
172309,2011-02-08,2.23,2.23,2.22,2.23,1320.0,CUV,as51
172310,2011-02-09,2.23,2.26,2.22,2.22,2585.0,CUV,as51
172311,2011-02-10,2.22,2.26,2.22,2.22,24821.0,CUV,as51
172312,2011-02-11,2.27,2.27,2.25,2.25,15000.0,CUV,as51
172313,2011-02-14,2.25,2.26,2.24,2.25,24826.0,CUV,as51
172314,2011-02-15,2.25,2.25,2.25,2.25,12501.0,CUV,as51
172315,2011-02-16,2.25,2.28,2.25,2.25,11947.0,CUV,as51
172316,2011-02-17,2.25,2.28,2.25,2.28,7986.0,CUV,as51
172317,2011-02-18,2.28,2.28,2.25,2.25,2520.0,CUV,as51
172318,2011-02-21,2.25,2.25,2.2,2.2,9784.0,CUV,as51
172319,2011-02-22,2.22,2.24,2.2,2.23,6606.0,CUV,as51
172320,2011-02-23,2.2,2.22,2.19,2.19,12227.0,CUV,as51
172321,2011-02-24,2.16,2.16,2.13,2.13,19261.0,CUV,as51
172322,2011-02-25,2.12,2.2,2.0,2.0,55362.0,CUV,as51
172323,2011-02-28,2.1,2.21,2.0,2.21,35150.0,CUV,as51
172324,2011-03-01,2.06,2.22,1.99,2.04,25889.0,CUV,as51
172325,2011-03-02,2.04,2.04,2.03,2.03,3980.0,CUV,as51
172326,2011-03-03,2.08,2.1,2.05,2.05,19400.0,CUV,as51
172327,2011-03-04,2.07,2.07,2.03,2.03,12157.0,CUV,as51
172328,2011-03-07,2.04,2.07,2.04,2.07,8670.0,CUV,as51
172329,2011-03-08,2.03,2.07,2.03,2.07,7000.0,CUV,as51
172330,2011-03-09,2.05,2.05,2.05,2.05,450.0,CUV,as51
172331,2011-03-10,2.03,2.03,1.98,1.99,8134.0,CUV,as51
172332,2011-03-11,2.0,2.03,1.995,2.0,3657.0,CUV,as51
172333,2011-03-14,1.99,1.99,1.945,1.945,8485.0,CUV,as51
172334,2011-03-15,1.91,1.91,1.805,1.805,11245.0,CUV,as51
172335,2011-03-16,1.85,1.91,1.85,1.91,25949.0,CUV,as51
172336,2011-03-17,1.9,1.9,1.85,1.895,54239.0,CUV,as51
172337,2011-03-18,1.91,1.92,1.785,1.85,39442.0,CUV,as51
172338,2011-03-21,1.83,1.835,1.81,1.81,22260.0,CUV,as51
172339,2011-03-22,1.83,1.83,1.83,1.83,5200.0,CUV,as51
172340,2011-03-23,1.83,1.845,1.83,1.845,1093.0,CUV,as51
172341,2011-03-24,1.835,1.895,1.835,1.895,13502.0,CUV,as51
