,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
185498,2010-01-01,8.2211,8.3642,8.2032,8.3642,328071.0,DOW,as51
185499,2010-01-04,8.3553,8.3642,8.1853,8.2211,515674.0,DOW,as51
185500,2010-01-05,8.3106,8.3553,8.1853,8.2211,1000650.0,DOW,as51
185501,2010-01-06,8.0959,8.1674,8.0601,8.0959,1450840.0,DOW,as51
185502,2010-01-07,8.1137,8.1943,7.899,8.0511,1971670.0,DOW,as51
185503,2010-01-08,8.1227,8.2121,8.1048,8.1137,442279.0,DOW,as51
185504,2010-01-11,8.1943,8.3284,8.0064,8.3284,753915.0,DOW,as51
185505,2010-01-12,8.3463,8.4447,8.239,8.2927,1013150.0,DOW,as51
185506,2010-01-13,8.0511,8.1048,7.9259,7.9796,3245090.0,DOW,as51
185507,2010-01-14,8.0243,8.069,7.9885,7.9885,1919370.0,DOW,as51
185508,2010-01-15,7.9617,7.9617,7.8722,7.9348,1398960.0,DOW,as51
185509,2010-01-18,7.899,7.908,7.8185,7.8901,1866640.0,DOW,as51
185510,2010-01-19,7.8901,7.899,7.7022,7.7738,1287820.0,DOW,as51
185511,2010-01-20,7.8454,7.8543,7.7201,7.7828,1677860.0,DOW,as51
185512,2010-01-21,7.7828,7.7828,7.577,7.6128,1687310.0,DOW,as51
185513,2010-01-22,7.4428,7.738,7.4339,7.6933,1807740.0,DOW,as51
185514,2010-01-25,7.5144,7.6217,7.5054,7.6038,1256660.0,DOW,as51
185515,2010-01-26,7.5144,7.6217,7.5054,7.6038,1256660.0,DOW,as51
185516,2010-01-27,7.5323,7.5681,7.4428,7.4697,2483970.0,DOW,as51
185517,2010-01-28,7.4697,7.6933,7.4697,7.6665,1855140.0,DOW,as51
185518,2010-01-29,7.5144,7.6396,7.3444,7.4339,2954040.0,DOW,as51
185519,2010-02-01,7.2907,7.3355,7.076,7.1566,3353340.0,DOW,as51
185520,2010-02-02,7.2639,7.2997,7.076,7.1834,2326390.0,DOW,as51
185521,2010-02-03,7.2102,7.3981,7.2102,7.246,1166220.0,DOW,as51
185522,2010-02-04,7.3355,7.5412,7.246,7.407,2106740.0,DOW,as51
185523,2010-02-05,7.246,7.246,7.0939,7.1744,1925960.0,DOW,as51
185524,2010-02-08,7.1744,7.2639,6.9598,7.1118,1324260.0,DOW,as51
185525,2010-02-09,7.0224,7.1566,6.9955,7.0403,1690140.0,DOW,as51
185526,2010-02-10,7.1655,7.4249,7.1655,7.3355,1053210.0,DOW,as51
185527,2010-02-11,7.3176,7.4697,7.2639,7.3355,777145.0,DOW,as51
185528,2010-02-12,7.3623,7.4428,7.1655,7.246,1023830.0,DOW,as51
185529,2010-02-15,7.2907,7.5323,7.2729,7.2997,609706.0,DOW,as51
185530,2010-02-16,7.3086,7.5054,7.3086,7.4965,763842.0,DOW,as51
185531,2010-02-17,7.4965,7.7112,7.3802,7.5054,1395080.0,DOW,as51
185532,2010-02-18,7.4607,7.5591,7.3713,7.4875,1622350.0,DOW,as51
185533,2010-02-19,7.5681,7.6754,7.4875,7.5233,1944830.0,DOW,as51
185534,2010-02-22,7.6396,7.8364,7.6128,7.7112,2094440.0,DOW,as51
185535,2010-02-23,7.6933,7.7112,7.5323,7.6933,1479410.0,DOW,as51
185536,2010-02-24,7.4518,7.5591,7.3176,7.4339,3065060.0,DOW,as51
185537,2010-02-25,7.4518,7.4518,7.085,7.1118,4252240.0,DOW,as51
185538,2010-02-26,7.0939,7.1834,6.9866,7.0671,3110110.0,DOW,as51
185539,2010-03-01,7.076,7.3981,7.076,7.3623,3962510.0,DOW,as51
185540,2010-03-02,7.3623,7.3623,7.1029,7.1566,3246780.0,DOW,as51
185541,2010-03-03,7.076,7.1387,6.9776,7.0403,4797520.0,DOW,as51
185542,2010-03-04,7.0313,7.085,6.7808,6.924,3709060.0,DOW,as51
185543,2010-03-05,6.9776,7.2818,6.9776,7.2281,2883430.0,DOW,as51
185544,2010-03-08,7.2997,7.3355,7.1476,7.1744,1003410.0,DOW,as51
185545,2010-03-09,7.1387,7.246,7.085,7.2281,1979640.0,DOW,as51
185546,2010-03-10,7.2192,7.2192,7.0403,7.0492,1499420.0,DOW,as51
185547,2010-03-11,6.8882,6.9508,6.7003,6.8703,13152400.0,DOW,as51
185548,2010-03-12,6.8882,6.915,6.7272,6.8256,5685460.0,DOW,as51
185549,2010-03-15,6.8435,6.8882,6.6377,6.6824,2358680.0,DOW,as51
185550,2010-03-16,6.7093,6.7451,6.6377,6.6914,4176610.0,DOW,as51
185551,2010-03-17,6.7719,6.8256,6.6467,6.7987,5560730.0,DOW,as51
185552,2010-03-18,6.7808,6.8435,6.6556,6.6824,5732200.0,DOW,as51
185553,2010-03-19,6.7093,6.924,6.7093,6.7987,4736480.0,DOW,as51
185554,2010-03-22,6.7808,6.7808,6.584,6.584,1983560.0,DOW,as51
185555,2010-03-23,6.6377,6.7361,6.584,6.584,3184720.0,DOW,as51
185556,2010-03-24,6.7272,6.7451,6.4409,6.5572,14183800.0,DOW,as51
185557,2010-03-25,6.5751,6.6824,6.2173,6.3962,12018300.0,DOW,as51
185558,2010-03-26,6.3962,6.5661,6.3246,6.4498,5056220.0,DOW,as51
185559,2010-03-29,6.5125,6.5304,6.4588,6.4856,3714610.0,DOW,as51
185560,2010-03-30,6.5482,6.6377,6.4946,6.584,3862930.0,DOW,as51
185561,2010-03-31,6.6467,6.8166,6.6288,6.7629,7618760.0,DOW,as51
185562,2010-04-01,6.7093,6.7451,6.5393,6.6556,3316810.0,DOW,as51
185563,2010-04-02,6.7093,6.7451,6.5393,6.6556,3316810.0,DOW,as51
185564,2010-04-05,6.7093,6.7451,6.5393,6.6556,3316810.0,DOW,as51
185565,2010-04-06,6.7361,6.7361,6.4856,6.5214,1886090.0,DOW,as51
185566,2010-04-07,6.5482,6.6019,6.4856,6.4946,3482820.0,DOW,as51
185567,2010-04-08,6.4946,6.5482,6.4856,6.5304,1875120.0,DOW,as51
185568,2010-04-09,6.5572,6.6109,6.5214,6.5751,4107900.0,DOW,as51
185569,2010-04-12,6.6288,6.8435,6.6288,6.8435,2519810.0,DOW,as51
185570,2010-04-13,6.7987,6.8077,6.584,6.6556,2676670.0,DOW,as51
185571,2010-04-14,6.6556,6.7093,6.5482,6.6198,1270660.0,DOW,as51
185572,2010-04-15,6.6645,6.7003,6.6288,6.6645,2186200.0,DOW,as51
185573,2010-04-16,6.6824,6.7451,6.6556,6.7093,1853190.0,DOW,as51
185574,2010-04-19,6.6288,6.6377,6.4677,6.6109,2040090.0,DOW,as51
185575,2010-04-20,6.6645,6.6735,6.432,6.432,1628870.0,DOW,as51
185576,2010-04-21,6.5393,6.5393,6.4588,6.4767,1331080.0,DOW,as51
185577,2010-04-22,6.4677,6.4677,6.3693,6.3872,1382000.0,DOW,as51
185578,2010-04-23,6.3962,6.5125,6.3962,6.5035,1213180.0,DOW,as51
185579,2010-04-26,6.3962,6.5125,6.3962,6.5035,1213180.0,DOW,as51
185580,2010-04-27,6.4946,6.5661,6.4677,6.5304,1677160.0,DOW,as51
