,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
192037,2010-01-01,12.4982,12.8228,12.3359,12.6605,113300.0,ELD,as51
192038,2010-01-04,12.7417,13.1474,12.417,13.1474,159670.0,ELD,as51
192039,2010-01-05,13.2286,13.7967,13.2286,13.7155,322348.0,ELD,as51
192040,2010-01-06,13.7155,13.7561,13.3909,13.7155,124006.0,ELD,as51
192041,2010-01-07,13.7561,13.7561,13.3909,13.6344,148630.0,ELD,as51
192042,2010-01-08,13.7155,13.7155,13.4315,13.4721,189251.0,ELD,as51
192043,2010-01-11,13.5938,13.675,13.4721,13.5532,221928.0,ELD,as51
192044,2010-01-12,13.675,13.675,13.5126,13.5532,164111.0,ELD,as51
192045,2010-01-13,13.5938,13.6344,13.4315,13.6344,186951.0,ELD,as51
192046,2010-01-14,13.6344,13.675,13.3098,13.3098,203899.0,ELD,as51
192047,2010-01-15,13.4315,13.5938,13.3909,13.4721,208432.0,ELD,as51
192048,2010-01-18,13.4721,13.4721,13.0663,13.1474,193032.0,ELD,as51
192049,2010-01-19,13.2692,13.3909,13.0257,13.2692,235495.0,ELD,as51
192050,2010-01-20,13.2692,13.3909,13.1474,13.3909,257472.0,ELD,as51
192051,2010-01-21,13.2286,13.3098,12.8634,13.0257,355735.0,ELD,as51
192052,2010-01-22,12.8228,12.8228,12.1736,12.5793,332454.0,ELD,as51
192053,2010-01-25,12.3359,12.417,12.1736,12.3764,214447.0,ELD,as51
192054,2010-01-26,12.3359,12.417,12.1736,12.3764,214447.0,ELD,as51
192055,2010-01-27,12.3359,12.3764,12.133,12.2141,262406.0,ELD,as51
192056,2010-01-28,12.1736,12.1736,11.7678,11.8895,292772.0,ELD,as51
192057,2010-01-29,11.8083,11.8083,11.5649,11.6866,384369.0,ELD,as51
192058,2010-02-01,11.5243,11.6055,10.7127,11.2402,459367.0,ELD,as51
192059,2010-02-02,11.3214,11.4431,10.9562,11.3214,293164.0,ELD,as51
192060,2010-02-03,11.2808,11.7272,11.1185,11.2808,219442.0,ELD,as51
192061,2010-02-04,11.2808,11.2808,10.8345,10.9562,229668.0,ELD,as51
192062,2010-02-05,10.5098,10.7127,10.3069,10.6721,394464.0,ELD,as51
192063,2010-02-08,10.6316,10.7127,10.2258,10.3881,196379.0,ELD,as51
192064,2010-02-09,10.2258,10.7127,10.1446,10.7127,323591.0,ELD,as51
192065,2010-02-10,10.875,11.0779,10.7127,10.9562,216833.0,ELD,as51
192066,2010-02-11,10.9562,10.9562,10.6721,10.7127,98837.0,ELD,as51
192067,2010-02-12,10.7939,10.9562,10.6316,10.9562,171085.0,ELD,as51
192068,2010-02-15,10.9156,11.3214,10.8345,10.875,174388.0,ELD,as51
192069,2010-02-16,10.8345,11.1591,10.7939,11.1185,219270.0,ELD,as51
192070,2010-02-17,11.1997,11.3214,11.1185,11.2808,167086.0,ELD,as51
192071,2010-02-18,11.2808,11.5243,11.1997,11.4837,243677.0,ELD,as51
192072,2010-02-19,11.6055,11.646,11.2808,11.4431,249899.0,ELD,as51
