,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
195143,2010-01-01,0.3312,0.3312,0.3312,0.3312,6703.0,EML,as51
195144,2010-01-04,0.3312,0.3312,0.3312,0.3312,5510.0,EML,as51
195145,2010-01-05,0.3312,0.3312,0.3312,0.3312,613.0,EML,as51
195146,2010-01-06,0.3312,0.3312,0.3312,0.3312,613.0,EML,as51
195147,2010-01-07,0.3312,0.3312,0.3312,0.3312,33967.0,EML,as51
195148,2010-01-08,0.3312,0.3312,0.3312,0.3312,5336.0,EML,as51
195149,2010-01-11,0.3312,0.3312,0.3312,0.3312,5661.0,EML,as51
195150,2010-01-12,0.3312,0.3312,0.3312,0.3312,325.0,EML,as51
195151,2010-01-13,0.3312,0.3312,0.3312,0.3312,325.0,EML,as51
195152,2010-01-14,0.3312,0.3312,0.3312,0.3312,325.0,EML,as51
195153,2010-01-15,0.3091,0.3091,0.3091,0.3091,12469.0,EML,as51
195154,2010-01-18,0.3091,0.3091,0.3091,0.3091,12469.0,EML,as51
195155,2010-01-19,0.3754,0.3974,0.3754,0.3974,24909.0,EML,as51
195156,2010-01-20,0.3974,0.3974,0.3974,0.3974,9737.0,EML,as51
195157,2010-01-21,0.3974,0.3974,0.3974,0.3974,9737.0,EML,as51
195158,2010-01-22,0.3533,0.3533,0.3533,0.3533,1812.0,EML,as51
195159,2010-01-25,0.3533,0.3533,0.3533,0.3533,1812.0,EML,as51
195160,2010-01-26,0.3533,0.3533,0.3533,0.3533,1812.0,EML,as51
195161,2010-01-27,0.3533,0.3533,0.3533,0.3533,8378.0,EML,as51
195162,2010-01-28,0.3533,0.3533,0.3533,0.3533,566.0,EML,as51
195163,2010-01-29,0.3533,0.3533,0.3533,0.3533,566.0,EML,as51
195164,2010-02-01,0.3533,0.3533,0.3135,0.3135,5648.0,EML,as51
195165,2010-02-02,0.3533,0.3533,0.3533,0.3533,7699.0,EML,as51
195166,2010-02-03,0.3533,0.3533,0.3533,0.3533,10190.0,EML,as51
195167,2010-02-04,0.3533,0.3533,0.3533,0.3533,10190.0,EML,as51
195168,2010-02-05,0.3312,0.3312,0.265,0.3091,37363.0,EML,as51
195169,2010-02-08,0.3312,0.3312,0.265,0.3091,37363.0,EML,as51
195170,2010-02-09,0.3091,0.3091,0.3091,0.3091,453.0,EML,as51
195171,2010-02-10,0.3091,0.3091,0.3091,0.3091,2320.0,EML,as51
195172,2010-02-11,0.3091,0.3091,0.3091,0.3091,2320.0,EML,as51
195173,2010-02-12,0.3091,0.3091,0.3091,0.3091,2320.0,EML,as51
195174,2010-02-15,0.287,0.287,0.287,0.287,4529.0,EML,as51
195175,2010-02-16,0.287,0.287,0.287,0.287,1132.0,EML,as51
195176,2010-02-17,0.265,0.265,0.265,0.265,4529.0,EML,as51
195177,2010-02-18,0.287,0.287,0.287,0.287,4529.0,EML,as51
195178,2010-02-19,0.287,0.287,0.287,0.287,4529.0,EML,as51
195179,2010-02-22,0.287,0.287,0.287,0.287,4529.0,EML,as51
195180,2010-02-23,0.287,0.287,0.287,0.287,4529.0,EML,as51
195181,2010-02-24,0.265,0.265,0.265,0.265,3397.0,EML,as51
195182,2010-02-25,0.265,0.265,0.265,0.265,3397.0,EML,as51
195183,2010-02-26,0.265,0.265,0.265,0.265,3397.0,EML,as51
195184,2010-03-01,0.265,0.265,0.265,0.265,3397.0,EML,as51
195185,2010-03-02,0.265,0.265,0.265,0.265,14927.0,EML,as51
195186,2010-03-03,0.265,0.265,0.265,0.265,22644.0,EML,as51
195187,2010-03-04,0.265,0.265,0.265,0.265,22644.0,EML,as51
195188,2010-03-05,0.265,0.265,0.265,0.265,2264.0,EML,as51
195189,2010-03-08,0.265,0.265,0.265,0.265,2264.0,EML,as51
195190,2010-03-09,0.265,0.265,0.265,0.265,2264.0,EML,as51
195191,2010-03-10,0.265,0.265,0.265,0.265,2264.0,EML,as51
195192,2010-03-11,0.287,0.287,0.287,0.287,20168.0,EML,as51
195193,2010-03-12,0.3091,0.318,0.3091,0.318,7349.0,EML,as51
195194,2010-03-15,0.3224,0.3489,0.318,0.3489,39458.0,EML,as51
195195,2010-03-16,0.3489,0.4107,0.3489,0.393,78962.0,EML,as51
195196,2010-03-17,0.4356,0.4356,0.3872,0.3969,28619.0,EML,as51
195197,2010-03-18,0.3872,0.4356,0.3872,0.4308,70244.0,EML,as51
195198,2010-03-19,0.3146,0.3146,0.3146,0.3146,20301.0,EML,as51
195199,2010-03-22,0.3146,0.3146,0.3146,0.3146,9297.0,EML,as51
195200,2010-03-23,0.3146,0.3146,0.3146,0.3146,9297.0,EML,as51
195201,2010-03-24,0.3146,0.3146,0.3146,0.3146,18971.0,EML,as51
195202,2010-03-25,0.3146,0.3146,0.3146,0.3146,18971.0,EML,as51
195203,2010-03-26,0.3146,0.3146,0.3146,0.3146,10330.0,EML,as51
195204,2010-03-29,0.3146,0.3388,0.2953,0.3388,20918.0,EML,as51
195205,2010-03-30,0.363,0.3775,0.3001,0.3001,31558.0,EML,as51
195206,2010-03-31,0.3146,0.3146,0.3146,0.3146,15478.0,EML,as51
195207,2010-04-01,0.3437,0.3437,0.3146,0.3146,10330.0,EML,as51
195208,2010-04-02,0.3437,0.3437,0.3146,0.3146,10330.0,EML,as51
195209,2010-04-05,0.3437,0.3437,0.3146,0.3146,10330.0,EML,as51
195210,2010-04-06,0.3388,0.3388,0.3388,0.3388,10330.0,EML,as51
195211,2010-04-07,0.3388,0.3388,0.3388,0.3388,19978.0,EML,as51
195212,2010-04-08,0.3388,0.3388,0.3388,0.3388,13078.0,EML,as51
195213,2010-04-09,0.3388,0.363,0.3388,0.363,56336.0,EML,as51
195214,2010-04-12,0.363,0.3872,0.363,0.3872,23834.0,EML,as51
195215,2010-04-13,0.3727,0.3727,0.363,0.363,3082.0,EML,as51
195216,2010-04-14,0.363,0.363,0.363,0.363,1308.0,EML,as51
195217,2010-04-15,0.363,0.363,0.363,0.363,19692.0,EML,as51
195218,2010-04-16,0.3388,0.3388,0.3388,0.3388,10330.0,EML,as51
195219,2010-04-19,0.3388,0.3388,0.3388,0.3388,10068.0,EML,as51
195220,2010-04-20,0.3388,0.3388,0.3388,0.3388,262.0,EML,as51
195221,2010-04-21,0.2904,0.2904,0.2904,0.2904,33056.0,EML,as51
195222,2010-04-22,0.3146,0.3146,0.3146,0.3146,2582.0,EML,as51
195223,2010-04-23,0.2904,0.2904,0.2904,0.2904,6818.0,EML,as51
195224,2010-04-26,0.2904,0.2904,0.2904,0.2904,6818.0,EML,as51
195225,2010-04-27,0.3146,0.3146,0.3146,0.3146,3868.0,EML,as51
195226,2010-04-28,0.3146,0.3146,0.3146,0.3146,3868.0,EML,as51
195227,2010-04-29,0.3146,0.3146,0.3146,0.3146,33442.0,EML,as51
195228,2010-04-30,0.3146,0.3146,0.3146,0.3146,33442.0,EML,as51
195229,2010-05-03,0.3146,0.3146,0.3146,0.3146,33442.0,EML,as51
195230,2010-05-04,0.3146,0.3146,0.3146,0.3146,33442.0,EML,as51
195231,2010-05-05,0.3146,0.3146,0.3146,0.3146,33442.0,EML,as51
195232,2010-05-06,0.3146,0.3146,0.3146,0.3146,6134.0,EML,as51
195233,2010-05-07,0.3146,0.3146,0.3146,0.3146,15570.0,EML,as51
195234,2010-05-10,0.3146,0.3146,0.3146,0.3146,15570.0,EML,as51
195235,2010-05-11,0.2904,0.2904,0.2904,0.2904,1033.0,EML,as51
195236,2010-05-12,0.2904,0.2904,0.2904,0.2904,1033.0,EML,as51
195237,2010-05-13,0.3098,0.3098,0.3098,0.3098,3024.0,EML,as51
195238,2010-05-14,0.3146,0.3146,0.3098,0.3098,20660.0,EML,as51
195239,2010-05-17,0.3146,0.3146,0.3098,0.3098,20660.0,EML,as51
195240,2010-05-18,0.3388,0.3485,0.3388,0.3485,28097.0,EML,as51
195241,2010-05-19,0.3388,0.3485,0.3388,0.3485,28097.0,EML,as51
195242,2010-05-20,0.3388,0.3485,0.3388,0.3485,28097.0,EML,as51
195243,2010-05-21,0.3388,0.3485,0.3388,0.3485,28097.0,EML,as51
195244,2010-05-24,0.3388,0.3485,0.3388,0.3485,28097.0,EML,as51
195245,2010-05-25,0.3485,0.3872,0.3485,0.3872,9645.0,EML,as51
195246,2010-05-26,0.3485,0.3872,0.3485,0.3872,9645.0,EML,as51
195247,2010-05-27,0.3146,0.3146,0.3146,0.3146,30990.0,EML,as51
195248,2010-05-28,0.3146,0.3146,0.3146,0.3146,3179.0,EML,as51
195249,2010-05-31,0.3146,0.3146,0.3146,0.3146,25825.0,EML,as51
195250,2010-06-01,0.3388,0.3388,0.3388,0.3388,5165.0,EML,as51
195251,2010-06-02,0.3146,0.3146,0.3146,0.3146,15908.0,EML,as51
195252,2010-06-03,0.3146,0.3146,0.3146,0.3146,3099.0,EML,as51
195253,2010-06-04,0.3146,0.3146,0.3146,0.3146,4545.0,EML,as51
195254,2010-06-07,0.3146,0.3146,0.3146,0.3146,4545.0,EML,as51
195255,2010-06-08,0.2904,0.2904,0.2904,0.2904,22726.0,EML,as51
195256,2010-06-09,0.2904,0.2904,0.2904,0.2904,22726.0,EML,as51
195257,2010-06-10,0.2904,0.2904,0.2904,0.2904,22726.0,EML,as51
195258,2010-06-11,0.2807,0.2807,0.2807,0.2807,413.0,EML,as51
195259,2010-06-14,0.2807,0.2807,0.2807,0.2807,413.0,EML,as51
195260,2010-06-15,0.2807,0.2807,0.2807,0.2807,413.0,EML,as51
195261,2010-06-16,0.2807,0.2807,0.2807,0.2807,413.0,EML,as51
195262,2010-06-17,0.2807,0.2807,0.2807,0.2807,413.0,EML,as51
195263,2010-06-18,0.2517,0.2517,0.2178,0.242,86374.0,EML,as51
195264,2010-06-21,0.242,0.242,0.242,0.242,3936.0,EML,as51
195265,2010-06-22,0.242,0.242,0.242,0.242,4328.0,EML,as51
195266,2010-06-23,0.242,0.242,0.242,0.242,4328.0,EML,as51
195267,2010-06-24,0.2372,0.2372,0.2178,0.2178,42363.0,EML,as51
195268,2010-06-25,0.2372,0.2372,0.2178,0.2178,42363.0,EML,as51
195269,2010-06-28,0.2227,0.2275,0.2227,0.2275,54284.0,EML,as51
195270,2010-06-29,0.2227,0.2227,0.2178,0.2178,80837.0,EML,as51
195271,2010-06-30,0.2178,0.2178,0.213,0.2178,110149.0,EML,as51
195272,2010-07-01,0.2178,0.2178,0.213,0.2178,110149.0,EML,as51
195273,2010-07-02,0.2178,0.2178,0.213,0.2178,110149.0,EML,as51
195274,2010-07-05,0.2178,0.2178,0.213,0.2178,110149.0,EML,as51
195275,2010-07-06,0.2178,0.2178,0.213,0.2178,110149.0,EML,as51
195276,2010-07-07,0.2178,0.2178,0.213,0.2178,110149.0,EML,as51
195277,2010-07-08,0.2178,0.2178,0.213,0.2178,110149.0,EML,as51
195278,2010-07-09,0.2227,0.2227,0.2227,0.2227,18853.0,EML,as51
195279,2010-07-12,0.2227,0.2227,0.2227,0.2227,18853.0,EML,as51
195280,2010-07-13,0.2904,0.2904,0.2904,0.2904,15908.0,EML,as51
195281,2010-07-14,0.2904,0.2904,0.2904,0.2904,15908.0,EML,as51
195282,2010-07-15,0.2904,0.2904,0.2904,0.2904,15908.0,EML,as51
195283,2010-07-16,0.2904,0.2904,0.2904,0.2904,15908.0,EML,as51
195284,2010-07-19,0.2904,0.2904,0.2904,0.2904,15908.0,EML,as51
195285,2010-07-20,0.2904,0.2904,0.2904,0.2904,15908.0,EML,as51
195286,2010-07-21,0.2904,0.2904,0.2904,0.2904,10330.0,EML,as51
195287,2010-07-22,0.2904,0.2904,0.2904,0.2904,10330.0,EML,as51
195288,2010-07-23,0.2904,0.2904,0.2904,0.2904,10330.0,EML,as51
195289,2010-07-26,0.2904,0.2904,0.2904,0.2904,17974.0,EML,as51
195290,2010-07-27,0.2856,0.2904,0.2856,0.2904,914.0,EML,as51
195291,2010-07-28,0.2856,0.2904,0.2856,0.2904,914.0,EML,as51
195292,2010-07-29,0.3001,0.3001,0.2904,0.2904,61980.0,EML,as51
195293,2010-07-30,0.3001,0.3001,0.2904,0.2904,61980.0,EML,as51
195294,2010-08-02,0.3001,0.3001,0.2904,0.2904,61980.0,EML,as51
195295,2010-08-03,0.3001,0.3001,0.2904,0.2904,61980.0,EML,as51
195296,2010-08-04,0.3001,0.3001,0.2904,0.2904,61980.0,EML,as51
195297,2010-08-05,0.2904,0.2904,0.2904,0.2904,77.0,EML,as51
195298,2010-08-06,0.2904,0.2904,0.2904,0.2904,77.0,EML,as51
195299,2010-08-09,0.2904,0.2904,0.2904,0.2904,77.0,EML,as51
195300,2010-08-10,0.2904,0.2904,0.2904,0.2904,77.0,EML,as51
195301,2010-08-11,0.2904,0.2904,0.2904,0.2904,77.0,EML,as51
195302,2010-08-12,0.242,0.242,0.242,0.242,5165.0,EML,as51
195303,2010-08-13,0.2323,0.2323,0.2323,0.2323,7438.0,EML,as51
195304,2010-08-16,0.2323,0.2323,0.2323,0.2323,7438.0,EML,as51
195305,2010-08-17,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195306,2010-08-18,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195307,2010-08-19,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195308,2010-08-20,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195309,2010-08-23,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195310,2010-08-24,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195311,2010-08-25,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195312,2010-08-26,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195313,2010-08-27,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195314,2010-08-30,0.2662,0.2662,0.2517,0.2517,16528.0,EML,as51
195315,2010-08-31,0.2662,0.2662,0.2517,0.2517,21153.0,EML,as51
195316,2010-09-01,0.2565,0.2565,0.2517,0.2517,20660.0,EML,as51
195317,2010-09-02,0.2517,0.2517,0.2517,0.2517,10330.0,EML,as51
195318,2010-09-03,0.2517,0.2517,0.2469,0.2469,49709.0,EML,as51
195319,2010-09-06,0.2517,0.2517,0.2469,0.2469,49709.0,EML,as51
195320,2010-09-07,0.3146,0.3146,0.3146,0.3146,37188.0,EML,as51
195321,2010-09-08,0.3146,0.3582,0.3146,0.3582,16208.0,EML,as51
195322,2010-09-09,0.3824,0.3872,0.3388,0.3388,55907.0,EML,as51
195323,2010-09-10,0.3098,0.3098,0.2904,0.2904,33755.0,EML,as51
195324,2010-09-13,0.2904,0.334,0.2904,0.334,12512.0,EML,as51
195325,2010-09-14,0.334,0.334,0.2904,0.2904,41320.0,EML,as51
195326,2010-09-15,0.334,0.334,0.2904,0.2904,41320.0,EML,as51
195327,2010-09-16,0.334,0.334,0.2904,0.2904,41320.0,EML,as51
195328,2010-09-17,0.334,0.334,0.2904,0.2904,41320.0,EML,as51
195329,2010-09-20,0.334,0.334,0.2904,0.2904,41320.0,EML,as51
195330,2010-09-21,0.3388,0.4114,0.3388,0.4114,55933.0,EML,as51
195331,2010-09-22,0.3969,0.4066,0.3872,0.3872,22726.0,EML,as51
195332,2010-09-23,0.4066,0.4356,0.4066,0.4356,130631.0,EML,as51
195333,2010-09-24,0.4356,0.4356,0.4356,0.4356,29669.0,EML,as51
195334,2010-09-27,0.4308,0.4308,0.4308,0.4308,2066.0,EML,as51
195335,2010-09-28,0.4308,0.4308,0.4308,0.4308,2066.0,EML,as51
195336,2010-09-29,0.4308,0.4308,0.4308,0.4308,2066.0,EML,as51
195337,2010-09-30,0.3679,0.4114,0.363,0.4114,92143.0,EML,as51
195338,2010-10-01,0.3872,0.3872,0.3872,0.3872,84706.0,EML,as51
195339,2010-10-04,0.3872,0.3872,0.3872,0.3872,2702.0,EML,as51
195340,2010-10-05,0.3679,0.3679,0.363,0.363,79541.0,EML,as51
195341,2010-10-06,0.4114,0.484,0.4114,0.484,145601.0,EML,as51
195342,2010-10-07,0.4356,0.4356,0.4356,0.4356,20660.0,EML,as51
195343,2010-10-08,0.4114,0.4356,0.4114,0.4356,25914.0,EML,as51
195344,2010-10-11,0.4501,0.5082,0.4501,0.5082,60043.0,EML,as51
195345,2010-10-12,0.5082,0.5324,0.5082,0.5324,95994.0,EML,as51
195346,2010-10-13,0.484,0.5566,0.484,0.484,75409.0,EML,as51
195347,2010-10-14,0.5324,0.5808,0.5324,0.5808,55389.0,EML,as51
195348,2010-10-15,0.5808,0.5808,0.5566,0.5566,17940.0,EML,as51
195349,2010-10-18,0.5566,0.5808,0.5566,0.5808,124992.0,EML,as51
195350,2010-10-19,0.5808,0.5808,0.484,0.484,131711.0,EML,as51
195351,2010-10-20,0.5324,0.5808,0.5324,0.5566,88022.0,EML,as51
195352,2010-10-21,0.5566,0.5566,0.5324,0.5324,48551.0,EML,as51
195353,2010-10-22,0.5324,0.6292,0.5324,0.6292,170080.0,EML,as51
195354,2010-10-25,0.6534,0.9681,0.6534,0.8228,558890.0,EML,as51
195355,2010-10-26,0.8713,1.0165,0.8228,0.9439,861852.0,EML,as51
195356,2010-10-27,0.9439,1.0649,0.9197,0.9923,363761.0,EML,as51
195357,2010-10-28,1.0165,1.1617,0.9923,1.1133,289159.0,EML,as51
195358,2010-10-29,1.1375,1.2101,1.0891,1.1617,366585.0,EML,as51
195359,2010-11-01,1.1617,1.1859,1.0891,1.1617,282114.0,EML,as51
195360,2010-11-02,1.1133,1.1133,1.0649,1.0891,130774.0,EML,as51
195361,2010-11-03,1.1133,1.1133,1.0165,1.0649,199532.0,EML,as51
195362,2010-11-04,1.0649,1.0891,1.0165,1.0891,72636.0,EML,as51
195363,2010-11-05,1.1133,1.1617,1.0891,1.1617,56608.0,EML,as51
195364,2010-11-08,1.1617,1.1617,1.1133,1.1375,57207.0,EML,as51
195365,2010-11-09,1.0649,1.0649,0.9923,0.9923,82446.0,EML,as51
195366,2010-11-10,0.9923,1.0407,0.9923,1.0407,19420.0,EML,as51
195367,2010-11-11,1.0165,1.0649,0.9923,1.0649,85070.0,EML,as51
195368,2010-11-12,1.0407,1.0407,0.9681,0.9681,28691.0,EML,as51
195369,2010-11-15,1.0407,1.1617,1.0407,1.1375,188666.0,EML,as51
195370,2010-11-16,1.1617,1.2101,1.1375,1.2101,166364.0,EML,as51
195371,2010-11-17,1.1859,1.2101,1.1133,1.1859,147591.0,EML,as51
195372,2010-11-18,1.1859,1.1859,1.1859,1.1859,24709.0,EML,as51
195373,2010-11-19,1.1859,1.1859,1.1617,1.1617,61071.0,EML,as51
195374,2010-11-22,1.1617,1.1617,1.1375,1.1375,14049.0,EML,as51
195375,2010-11-23,1.1375,1.1617,1.1133,1.1133,31981.0,EML,as51
195376,2010-11-24,1.1133,1.1133,1.1133,1.1133,49790.0,EML,as51
195377,2010-11-25,1.1133,1.1375,1.1133,1.1133,51794.0,EML,as51
195378,2010-11-26,1.1133,1.1133,1.1133,1.1133,81550.0,EML,as51
195379,2010-11-29,1.1133,1.1375,1.0891,1.0891,38071.0,EML,as51
195380,2010-11-30,1.0891,1.1133,1.0407,1.0649,67661.0,EML,as51
195381,2010-12-01,1.0649,1.1133,1.0165,1.0891,63677.0,EML,as51
195382,2010-12-02,1.0891,1.0891,1.0407,1.0649,42255.0,EML,as51
195383,2010-12-03,1.0891,1.3069,1.0649,1.2343,342136.0,EML,as51
195384,2010-12-06,1.2827,1.4279,1.2585,1.3553,290577.0,EML,as51
195385,2010-12-07,1.3311,1.4037,1.3311,1.3553,128263.0,EML,as51
195386,2010-12-08,1.3795,1.3795,1.3311,1.3553,1801120.0,EML,as51
195387,2010-12-09,1.3553,1.3553,1.2585,1.2585,1506940.0,EML,as51
