,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
219991,2010-01-01,3.98,4.0054,3.9481,3.9481,838460.0,GNC,as51
219992,2010-01-04,3.9991,4.0819,3.9545,4.0819,1095790.0,GNC,as51
219993,2010-01-05,4.1392,4.171,4.0564,4.0946,2570980.0,GNC,as51
219994,2010-01-06,4.0755,4.0946,4.0245,4.0627,899943.0,GNC,as51
219995,2010-01-07,4.0436,4.05,3.98,3.9991,753340.0,GNC,as51
219996,2010-01-08,3.9863,4.0245,3.9481,4.0118,788204.0,GNC,as51
219997,2010-01-11,4.0054,4.0755,3.9991,4.0118,754208.0,GNC,as51
219998,2010-01-12,4.0755,4.1392,4.0054,4.0373,2205910.0,GNC,as51
219999,2010-01-13,3.9672,4.0373,3.9672,4.0118,571183.0,GNC,as51
220000,2010-01-14,4.0436,4.0819,3.9736,3.9736,972402.0,GNC,as51
220001,2010-01-15,3.98,3.98,3.9036,3.9736,411886.0,GNC,as51
220002,2010-01-18,3.9163,3.9609,3.9163,3.9354,560062.0,GNC,as51
220003,2010-01-19,3.9227,3.9863,3.9036,3.98,1015970.0,GNC,as51
220004,2010-01-20,3.9991,3.9991,3.8844,3.9099,1179180.0,GNC,as51
220005,2010-01-21,3.8144,3.8399,3.6998,3.8017,2476120.0,GNC,as51
220006,2010-01-22,3.7189,3.7762,3.6998,3.7507,3184680.0,GNC,as51
220007,2010-01-25,3.6616,3.7316,3.6488,3.6743,1554140.0,GNC,as51
220008,2010-01-26,3.6616,3.7316,3.6488,3.6743,1554140.0,GNC,as51
220009,2010-01-27,3.5915,3.6743,3.5788,3.6297,1093840.0,GNC,as51
220010,2010-01-28,3.6297,3.687,3.6106,3.6807,653697.0,GNC,as51
220011,2010-01-29,3.6361,3.6998,3.5852,3.6616,916709.0,GNC,as51
220012,2010-02-01,3.6616,3.7571,3.6425,3.6743,1824270.0,GNC,as51
220013,2010-02-02,3.6934,3.7252,3.6743,3.7252,428690.0,GNC,as51
220014,2010-02-03,3.7316,3.7635,3.7125,3.7635,1084820.0,GNC,as51
220015,2010-02-04,3.7762,3.9163,3.7635,3.859,1938550.0,GNC,as51
220016,2010-02-05,3.7889,3.7953,3.7252,3.7635,947427.0,GNC,as51
220017,2010-02-08,3.7698,3.808,3.7635,3.8017,709487.0,GNC,as51
220018,2010-02-09,3.7762,3.7762,3.687,3.6998,1069650.0,GNC,as51
220019,2010-02-10,3.738,3.7953,3.7189,3.7762,3087950.0,GNC,as51
220020,2010-02-11,3.808,3.8208,3.7444,3.7635,862264.0,GNC,as51
220021,2010-02-12,3.7953,3.8144,3.7571,3.7826,1702990.0,GNC,as51
220022,2010-02-15,3.7826,3.8717,3.7635,3.8462,1162360.0,GNC,as51
220023,2010-02-16,3.8462,3.9354,3.8271,3.8462,705012.0,GNC,as51
220024,2010-02-17,3.9163,4.0436,3.9036,4.0118,2218230.0,GNC,as51
220025,2010-02-18,4.0373,4.0373,3.9736,4.0118,676013.0,GNC,as51
220026,2010-02-19,4.0309,4.0309,3.8526,3.859,864532.0,GNC,as51
220027,2010-02-22,3.8972,3.9545,3.8399,3.8844,1242180.0,GNC,as51
220028,2010-02-23,3.9099,3.9099,3.8526,3.8908,589145.0,GNC,as51
220029,2010-02-24,3.7571,3.9036,3.7316,3.8335,1264120.0,GNC,as51
220030,2010-02-25,3.8781,3.9609,3.8653,3.9481,1126250.0,GNC,as51
220031,2010-02-26,3.9991,3.9991,3.8972,3.9481,926090.0,GNC,as51
220032,2010-03-01,3.9481,4.0054,3.8972,3.9545,653778.0,GNC,as51
220033,2010-03-02,3.9991,3.9991,3.9099,3.929,469513.0,GNC,as51
220034,2010-03-03,3.9418,3.9991,3.9036,3.9736,1034030.0,GNC,as51
220035,2010-03-04,3.9481,3.9991,3.9418,3.9991,1018640.0,GNC,as51
220036,2010-03-05,4.0054,4.0245,3.9736,3.9927,548316.0,GNC,as51
220037,2010-03-08,4.0118,4.0691,3.9736,3.98,902234.0,GNC,as51
220038,2010-03-09,3.9863,4.0436,3.9672,4.0182,999365.0,GNC,as51
220039,2010-03-10,4.0182,4.0309,3.9163,3.9672,988653.0,GNC,as51
220040,2010-03-11,4.0118,4.0309,3.9609,3.9991,831390.0,GNC,as51
220041,2010-03-12,4.0054,4.0054,3.8717,3.9227,727690.0,GNC,as51
220042,2010-03-15,3.8972,3.9736,3.8526,3.8844,610215.0,GNC,as51
220043,2010-03-16,3.9099,3.9736,3.8972,3.9163,555344.0,GNC,as51
220044,2010-03-17,3.9163,3.9672,3.8462,3.9609,1661160.0,GNC,as51
220045,2010-03-18,3.9609,3.9736,3.8717,3.9227,827683.0,GNC,as51
220046,2010-03-19,3.8908,3.9099,3.8717,3.8908,503942.0,GNC,as51
220047,2010-03-22,3.8844,3.9991,3.8717,3.9481,624594.0,GNC,as51
220048,2010-03-23,3.9545,3.9672,3.8972,3.9481,849275.0,GNC,as51
220049,2010-03-24,3.98,3.9863,3.9545,3.98,590246.0,GNC,as51
220050,2010-03-25,3.9418,3.9672,3.8972,3.9672,410142.0,GNC,as51
220051,2010-03-26,3.9099,4.0054,3.8972,4.0054,461020.0,GNC,as51
220052,2010-03-29,4.0054,4.0118,3.9545,3.9672,677009.0,GNC,as51
220053,2010-03-30,3.9672,3.9672,3.9163,3.9418,267475.0,GNC,as51
220054,2010-03-31,3.9672,3.9863,3.929,3.9609,565716.0,GNC,as51
220055,2010-04-01,3.9418,3.9672,3.8844,3.8844,590700.0,GNC,as51
220056,2010-04-02,3.9418,3.9672,3.8844,3.8844,590700.0,GNC,as51
220057,2010-04-05,3.9418,3.9672,3.8844,3.8844,590700.0,GNC,as51
220058,2010-04-06,3.9163,3.9481,3.8972,3.9354,482298.0,GNC,as51
220059,2010-04-07,3.9481,4.0118,3.9481,4.0054,1171090.0,GNC,as51
220060,2010-04-08,3.9991,4.0564,3.9927,4.0182,980848.0,GNC,as51
220061,2010-04-09,4.0309,4.0436,3.9672,3.98,468894.0,GNC,as51
220062,2010-04-12,3.98,3.98,3.8908,3.9163,1066060.0,GNC,as51
220063,2010-04-13,3.8972,3.98,3.8844,3.9672,613725.0,GNC,as51
220064,2010-04-14,3.9927,3.9927,3.8844,3.9036,408396.0,GNC,as51
220065,2010-04-15,3.9163,3.9163,3.8017,3.8208,693706.0,GNC,as51
220066,2010-04-16,3.808,3.8462,3.7826,3.808,399384.0,GNC,as51
220067,2010-04-19,3.7507,3.7698,3.6998,3.7507,1009070.0,GNC,as51
220068,2010-04-20,3.7571,3.7826,3.6998,3.6998,418825.0,GNC,as51
220069,2010-04-21,3.7189,3.7316,3.5979,3.6297,1324040.0,GNC,as51
220070,2010-04-22,3.6807,3.8144,3.6807,3.8017,1159760.0,GNC,as51
220071,2010-04-23,3.8208,3.8208,3.738,3.7953,665053.0,GNC,as51
220072,2010-04-26,3.8208,3.8208,3.738,3.7953,665053.0,GNC,as51
220073,2010-04-27,3.8208,3.8653,3.8144,3.8399,487060.0,GNC,as51
220074,2010-04-28,3.7762,3.8208,3.738,3.7698,674995.0,GNC,as51
220075,2010-04-29,3.7635,3.7889,3.6616,3.6743,865738.0,GNC,as51
220076,2010-04-30,3.7252,3.7635,3.6616,3.6743,1163430.0,GNC,as51
220077,2010-05-03,3.7889,3.7889,3.7252,3.7507,239950.0,GNC,as51
220078,2010-05-04,3.7571,3.7698,3.6679,3.6807,288975.0,GNC,as51
220079,2010-05-05,3.6297,3.7189,3.5788,3.7189,586496.0,GNC,as51
220080,2010-05-06,3.6934,3.7889,3.6934,3.7316,505351.0,GNC,as51
220081,2010-05-07,3.5979,3.6552,3.4769,3.5342,1266420.0,GNC,as51
220082,2010-05-10,3.5469,3.5597,3.5024,3.5406,655792.0,GNC,as51
220083,2010-05-11,3.5788,3.7252,3.5342,3.5342,815314.0,GNC,as51
220084,2010-05-12,3.5915,3.5915,3.4896,3.5278,599297.0,GNC,as51
220085,2010-05-13,3.5724,3.6106,3.5342,3.5852,598473.0,GNC,as51
220086,2010-05-14,3.5661,3.5724,3.5151,3.5406,460752.0,GNC,as51
220087,2010-05-17,3.4896,3.5151,3.305,3.3814,874815.0,GNC,as51
220088,2010-05-18,3.426,3.5024,3.3941,3.4833,612351.0,GNC,as51
220089,2010-05-19,3.4514,3.5597,3.3814,3.5342,862693.0,GNC,as51
