,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
232415,2010-01-01,8.89,9.03,8.89,9.0,58778.0,GUD,as51
232416,2010-01-04,9.0,9.05,8.94,8.96,57643.0,GUD,as51
232417,2010-01-05,9.05,9.11,8.81,8.87,87511.0,GUD,as51
232418,2010-01-06,8.89,8.99,8.8,8.8,72228.0,GUD,as51
232419,2010-01-07,8.85,8.91,8.78,8.78,103971.0,GUD,as51
232420,2010-01-08,8.8,8.88,8.62,8.73,100547.0,GUD,as51
232421,2010-01-11,8.81,8.98,8.69,8.95,79297.0,GUD,as51
232422,2010-01-12,8.84,9.47,8.76,9.47,173646.0,GUD,as51
232423,2010-01-13,9.38,9.48,9.2,9.36,208448.0,GUD,as51
232424,2010-01-14,9.36,9.45,9.31,9.32,99462.0,GUD,as51
232425,2010-01-15,9.33,9.46,9.21,9.36,117601.0,GUD,as51
232426,2010-01-18,9.33,9.4,9.23,9.37,116174.0,GUD,as51
232427,2010-01-19,9.39,9.45,9.21,9.29,126629.0,GUD,as51
232428,2010-01-20,9.32,9.45,9.32,9.4,136061.0,GUD,as51
232429,2010-01-21,9.4,9.45,9.31,9.31,140191.0,GUD,as51
232430,2010-01-22,9.2,9.31,9.0,9.1,130434.0,GUD,as51
232431,2010-01-25,9.1,9.2,8.9,9.11,146292.0,GUD,as51
232432,2010-01-26,9.1,9.2,8.9,9.11,146292.0,GUD,as51
232433,2010-01-27,8.94,9.42,8.94,9.3,201649.0,GUD,as51
232434,2010-01-28,9.5,9.6,9.35,9.46,423497.0,GUD,as51
232435,2010-01-29,9.42,9.58,9.34,9.34,178454.0,GUD,as51
232436,2010-02-01,9.3,9.53,9.18,9.35,224559.0,GUD,as51
232437,2010-02-02,9.4,9.5,9.31,9.45,165743.0,GUD,as51
232438,2010-02-03,9.45,9.51,9.29,9.32,108282.0,GUD,as51
232439,2010-02-04,9.35,9.37,9.14,9.28,214300.0,GUD,as51
232440,2010-02-05,9.17,9.17,9.04,9.11,165586.0,GUD,as51
232441,2010-02-08,9.16,9.16,9.05,9.08,228450.0,GUD,as51
232442,2010-02-09,9.03,9.06,8.9,9.04,204891.0,GUD,as51
232443,2010-02-10,9.08,9.16,8.98,9.08,395043.0,GUD,as51
232444,2010-02-11,9.05,9.14,9.0,9.04,63110.0,GUD,as51
232445,2010-02-12,9.07,9.09,8.96,9.02,446580.0,GUD,as51
232446,2010-02-15,9.03,9.17,9.02,9.13,145612.0,GUD,as51
232447,2010-02-16,9.12,9.26,9.05,9.2,1023990.0,GUD,as51
232448,2010-02-17,9.31,9.39,9.3,9.34,292618.0,GUD,as51
232449,2010-02-18,9.31,9.38,9.28,9.32,206895.0,GUD,as51
232450,2010-02-19,9.3,9.39,9.3,9.36,272943.0,GUD,as51
232451,2010-02-22,9.4,9.65,9.4,9.65,158381.0,GUD,as51
232452,2010-02-23,9.69,9.88,9.64,9.85,185911.0,GUD,as51
232453,2010-02-24,9.82,9.97,9.81,9.93,227787.0,GUD,as51
232454,2010-02-25,9.96,9.96,9.72,9.77,138642.0,GUD,as51
232455,2010-02-26,9.84,9.85,9.61,9.72,172454.0,GUD,as51
232456,2010-03-01,9.78,9.78,9.65,9.7,151568.0,GUD,as51
232457,2010-03-02,9.78,9.93,9.7,9.93,262111.0,GUD,as51
232458,2010-03-03,9.99,10.24,9.97,10.24,489650.0,GUD,as51
232459,2010-03-04,10.25,10.29,10.03,10.19,310083.0,GUD,as51
232460,2010-03-05,10.2,10.25,10.13,10.18,192567.0,GUD,as51
232461,2010-03-08,10.3,10.62,10.3,10.44,430660.0,GUD,as51
232462,2010-03-09,10.48,10.54,10.26,10.4,314795.0,GUD,as51
232463,2010-03-10,10.12,10.17,9.62,10.0,277595.0,GUD,as51
232464,2010-03-11,10.0,10.06,9.89,9.99,331236.0,GUD,as51
232465,2010-03-12,10.0,10.0,9.74,9.77,94288.0,GUD,as51
232466,2010-03-15,9.84,9.95,9.76,9.94,176438.0,GUD,as51
232467,2010-03-16,9.86,9.92,9.45,9.55,277697.0,GUD,as51
232468,2010-03-17,9.52,9.8,9.27,9.67,261522.0,GUD,as51
