,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
235521,2010-01-01,3.5275,3.5385,3.4615,3.5055,387605.0,GWA,as51
235522,2010-01-04,3.5165,3.5934,3.4725,3.4725,286615.0,GWA,as51
235523,2010-01-05,3.5275,3.5385,3.5055,3.5165,298380.0,GWA,as51
235524,2010-01-06,3.5055,3.5385,3.4725,3.5165,437163.0,GWA,as51
235525,2010-01-07,3.4725,3.5275,3.4725,3.5165,394319.0,GWA,as51
235526,2010-01-08,3.5165,3.5165,3.4835,3.5055,418860.0,GWA,as51
235527,2010-01-11,3.5165,3.5275,3.4945,3.5275,494974.0,GWA,as51
235528,2010-01-12,3.5165,3.5165,3.5055,3.5055,444416.0,GWA,as51
235529,2010-01-13,3.4945,3.5055,3.3956,3.3956,529183.0,GWA,as51
235530,2010-01-14,3.4176,3.4505,3.3626,3.4505,818741.0,GWA,as51
235531,2010-01-15,3.4176,3.4945,3.3736,3.4615,590651.0,GWA,as51
235532,2010-01-18,3.4066,3.4945,3.3956,3.4945,555905.0,GWA,as51
235533,2010-01-19,3.4945,3.4945,3.2967,3.3407,610067.0,GWA,as51
235534,2010-01-20,3.3956,3.4286,3.3516,3.4286,398981.0,GWA,as51
235535,2010-01-21,3.3736,3.4286,3.3077,3.3187,367618.0,GWA,as51
235536,2010-01-22,3.2967,3.3626,3.2967,3.3407,848127.0,GWA,as51
235537,2010-01-25,3.3297,3.3516,3.3077,3.3187,436038.0,GWA,as51
235538,2010-01-26,3.3297,3.3516,3.3077,3.3187,436038.0,GWA,as51
235539,2010-01-27,3.2967,3.3516,3.2198,3.3187,718736.0,GWA,as51
235540,2010-01-28,3.3077,3.3626,3.2967,3.3407,474414.0,GWA,as51
235541,2010-01-29,3.2747,3.3297,3.2527,3.3187,1121190.0,GWA,as51
235542,2010-02-01,3.2967,3.3407,3.2747,3.2967,340820.0,GWA,as51
235543,2010-02-02,3.3187,3.3956,3.3187,3.3846,330798.0,GWA,as51
235544,2010-02-03,3.4066,3.5165,3.3956,3.4725,630631.0,GWA,as51
235545,2010-02-04,3.4396,3.4505,3.3297,3.3297,533723.0,GWA,as51
235546,2010-02-05,3.3077,3.3736,3.2308,3.2418,459029.0,GWA,as51
235547,2010-02-08,3.2637,3.3407,3.2527,3.2967,279255.0,GWA,as51
235548,2010-02-09,3.2308,3.4176,3.2198,3.4176,549827.0,GWA,as51
235549,2010-02-10,3.4066,3.4286,3.3297,3.3846,320580.0,GWA,as51
235550,2010-02-11,3.3516,3.5934,3.3516,3.5385,664542.0,GWA,as51
235551,2010-02-12,3.5495,3.5604,3.2967,3.3846,780598.0,GWA,as51
235552,2010-02-15,3.3846,3.3846,3.3187,3.3297,278040.0,GWA,as51
235553,2010-02-16,3.4066,3.4505,3.2967,3.4176,638999.0,GWA,as51
235554,2010-02-17,3.4066,3.4396,3.3516,3.4066,875966.0,GWA,as51
235555,2010-02-18,3.4396,3.4615,3.3626,3.3736,1070690.0,GWA,as51
235556,2010-02-19,3.4066,3.4176,3.3736,3.3846,513108.0,GWA,as51
235557,2010-02-22,3.3956,3.4066,3.3626,3.4066,446866.0,GWA,as51
235558,2010-02-23,3.4066,3.4396,3.3736,3.4396,760648.0,GWA,as51
235559,2010-02-24,3.4396,3.5165,3.4066,3.4615,475804.0,GWA,as51
235560,2010-02-25,3.4945,3.5165,3.4066,3.4066,381784.0,GWA,as51
235561,2010-02-26,3.3956,3.4505,3.3626,3.3846,187165.0,GWA,as51
235562,2010-03-01,3.4066,3.4945,3.3736,3.4615,241290.0,GWA,as51
235563,2010-03-02,3.5055,3.5055,3.4176,3.4505,214229.0,GWA,as51
235564,2010-03-03,3.5055,3.6374,3.4505,3.5604,996293.0,GWA,as51
235565,2010-03-04,3.5604,3.5714,3.5055,3.5055,772312.0,GWA,as51
235566,2010-03-05,3.5275,3.5604,3.4835,3.5275,482568.0,GWA,as51
235567,2010-03-08,3.5824,3.5824,3.5165,3.5495,263504.0,GWA,as51
235568,2010-03-09,3.5604,3.6484,3.5275,3.6484,413064.0,GWA,as51
235569,2010-03-10,3.6484,3.6813,3.6154,3.6374,615813.0,GWA,as51
235570,2010-03-11,3.6923,3.8022,3.6813,3.7033,800881.0,GWA,as51
235571,2010-03-12,3.7253,3.7802,3.7033,3.7363,386200.0,GWA,as51
