,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
241733,2021-10-01,28.42,28.9,26.91,27.25,261058.0,HUB,as51
241734,2021-10-04,27.1,27.62,26.48,26.86,148137.0,HUB,as51
241735,2021-10-05,26.05,26.57,25.22,25.69,470159.0,HUB,as51
241736,2021-10-06,25.69,25.88,24.46,24.75,615816.0,HUB,as51
241737,2021-10-07,25.35,26.25,25.15,25.87,472980.0,HUB,as51
241738,2021-10-08,26.51,27.56,26.08,27.35,593261.0,HUB,as51
241739,2021-10-11,27.48,27.97,26.4,27.41,440915.0,HUB,as51
241740,2021-10-12,27.32,28.57,26.98,28.42,353216.0,HUB,as51
241741,2021-10-13,28.21,29.16,28.09,28.74,234539.0,HUB,as51
241742,2021-10-14,29.88,31.83,29.635,31.25,599601.0,HUB,as51
241743,2021-10-15,32.0,33.4,31.67,33.06,563440.0,HUB,as51
241744,2021-10-18,34.4,34.72,32.37,32.77,823843.0,HUB,as51
241745,2021-10-19,33.8,33.98,32.42,33.13,494565.0,HUB,as51
241746,2021-10-20,32.8,33.13,32.6,32.64,871173.0,HUB,as51
241747,2021-10-21,32.19,32.77,31.93,32.55,410968.0,HUB,as51
241748,2021-10-22,32.2,32.95,31.5,32.59,205571.0,HUB,as51
241749,2021-10-25,32.59,32.6,31.52,32.24,274279.0,HUB,as51
241750,2021-10-26,32.31,32.58,31.89,32.13,125422.0,HUB,as51
241751,2021-10-27,31.5,32.23,31.38,32.08,237308.0,HUB,as51
241752,2021-10-28,32.19,32.19,31.69,31.91,143841.0,HUB,as51
241753,2021-10-29,31.5,32.05,31.09,31.68,203140.0,HUB,as51
241754,2021-11-01,32.0,32.44,31.3,32.23,193756.0,HUB,as51
241755,2021-11-02,31.65,32.2,30.78,31.06,362502.0,HUB,as51
241756,2021-11-03,31.06,31.61,30.11,30.11,260902.0,HUB,as51
241757,2021-11-04,29.85,30.35,29.62,29.99,150426.0,HUB,as51
241758,2021-11-05,30.2,30.2,29.48,29.73,113893.0,HUB,as51
241759,2021-11-08,29.39,29.705,28.83,29.0,285793.0,HUB,as51
241760,2021-11-09,29.3,29.3,28.76,29.11,219819.0,HUB,as51
241761,2021-11-10,28.55,29.23,28.38,29.23,171944.0,HUB,as51
241762,2021-11-11,28.87,29.88,28.76,29.64,253998.0,HUB,as51
241763,2021-11-12,28.88,30.06,28.88,30.0,200738.0,HUB,as51
241764,2021-11-15,29.84,30.55,29.78,30.28,175010.0,HUB,as51
241765,2021-11-16,30.25,30.31,29.71,30.01,166959.0,HUB,as51
241766,2021-11-17,30.01,30.93,29.82,30.67,268964.0,HUB,as51
241767,2021-11-18,30.59,30.93,29.97,30.09,246524.0,HUB,as51
241768,2021-11-19,29.55,30.32,29.09,29.59,177135.0,HUB,as51
241769,2021-11-22,29.26,30.22,29.26,30.17,147668.0,HUB,as51
241770,2021-11-23,29.66,30.14,29.07,29.25,370030.0,HUB,as51
241771,2021-11-24,28.77,29.155,27.62,27.76,261994.0,HUB,as51
241772,2021-11-25,27.62,28.64,27.6,28.31,241087.0,HUB,as51
241773,2021-11-26,28.05,28.28,27.58,27.77,305306.0,HUB,as51
