,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
244880,2010-01-01,4.1189,4.1906,4.0881,4.1291,2014500.0,IAG,as51
244881,2010-01-04,4.0984,4.1906,4.0984,4.1803,2050410.0,IAG,as51
244882,2010-01-05,4.2008,4.252,4.1291,4.1496,4210000.0,IAG,as51
244883,2010-01-06,4.1393,4.2111,4.1291,4.2008,3676890.0,IAG,as51
244884,2010-01-07,4.2008,4.2213,4.1189,4.1598,3055900.0,IAG,as51
244885,2010-01-08,4.1496,4.2111,4.1291,4.2111,3993290.0,IAG,as51
244886,2010-01-11,4.2213,4.2213,4.1496,4.2111,1798220.0,IAG,as51
244887,2010-01-12,4.1906,4.2008,4.1393,4.1496,2946090.0,IAG,as51
244888,2010-01-13,4.1086,4.1189,4.0779,4.1086,3700460.0,IAG,as51
244889,2010-01-14,4.0984,4.1189,4.0266,4.0369,3205810.0,IAG,as51
244890,2010-01-15,4.0369,4.0574,3.9754,4.0266,4581170.0,IAG,as51
244891,2010-01-18,3.9857,4.0471,3.9857,4.0266,5734770.0,IAG,as51
244892,2010-01-19,4.0164,4.0574,3.9447,3.9652,5727300.0,IAG,as51
244893,2010-01-20,3.9857,4.0676,3.9549,4.0164,4908520.0,IAG,as51
244894,2010-01-21,4.0061,4.0676,3.9549,4.0471,6086860.0,IAG,as51
244895,2010-01-22,3.9652,4.0369,3.9447,4.0164,8361870.0,IAG,as51
244896,2010-01-25,3.9549,3.9959,3.9447,3.9652,10329700.0,IAG,as51
244897,2010-01-26,3.9549,3.9959,3.9447,3.9652,10329700.0,IAG,as51
244898,2010-01-27,3.9139,3.9549,3.873,3.9447,12051300.0,IAG,as51
244899,2010-01-28,3.9242,3.9447,3.8627,3.8832,6363380.0,IAG,as51
244900,2010-01-29,3.8115,3.9344,3.8115,3.8832,5866000.0,IAG,as51
244901,2010-02-01,3.8934,3.9344,3.8525,3.8832,5098870.0,IAG,as51
244902,2010-02-02,3.9037,3.9344,3.832,3.8832,5398720.0,IAG,as51
244903,2010-02-03,4.1086,4.1189,3.9754,4.0574,16464900.0,IAG,as51
244904,2010-02-04,4.0779,4.0779,3.9857,4.0164,10992600.0,IAG,as51
244905,2010-02-05,3.9447,3.9857,3.9037,3.9037,11919400.0,IAG,as51
244906,2010-02-08,3.9344,3.9754,3.8934,3.9344,4923900.0,IAG,as51
244907,2010-02-09,3.9344,3.9959,3.9242,3.9652,4787580.0,IAG,as51
244908,2010-02-10,3.9959,4.0471,3.9549,3.9959,7808220.0,IAG,as51
244909,2010-02-11,4.0061,4.0574,3.9754,3.9959,3664850.0,IAG,as51
244910,2010-02-12,4.0369,4.0471,3.9754,4.0164,5038970.0,IAG,as51
244911,2010-02-15,4.0369,4.0574,4.0061,4.0369,2009000.0,IAG,as51
244912,2010-02-16,4.0471,4.0984,4.0369,4.0881,5597380.0,IAG,as51
244913,2010-02-17,4.1086,4.1496,4.0471,4.0574,23131100.0,IAG,as51
244914,2010-02-18,4.0369,4.0779,3.9857,4.0369,5316890.0,IAG,as51
244915,2010-02-19,4.0471,4.0471,3.9857,4.0266,4313490.0,IAG,as51
244916,2010-02-22,4.0676,4.0881,4.0266,4.0881,5342330.0,IAG,as51
244917,2010-02-23,4.0881,4.2008,4.0676,4.1803,12228700.0,IAG,as51
244918,2010-02-24,4.1086,4.1496,4.0164,4.0471,8397670.0,IAG,as51
244919,2010-02-25,4.1291,4.1393,4.0574,4.0779,11810000.0,IAG,as51
244920,2010-02-26,4.0676,4.0779,3.9959,4.0471,20930500.0,IAG,as51
244921,2010-03-01,4.0574,4.2111,4.0471,4.1906,10675400.0,IAG,as51
244922,2010-03-02,4.2111,4.2213,4.1393,4.1906,5013580.0,IAG,as51
244923,2010-03-03,4.1393,4.1598,4.0471,4.0881,6309220.0,IAG,as51
244924,2010-03-04,4.0984,4.1598,4.0574,4.1598,6355460.0,IAG,as51
244925,2010-03-05,4.1496,4.1701,4.1086,4.1598,5623280.0,IAG,as51
244926,2010-03-08,4.0984,4.1496,4.0574,4.0779,9162460.0,IAG,as51
244927,2010-03-09,4.0471,4.1803,4.0471,4.1291,9939140.0,IAG,as51
244928,2010-03-10,4.1598,4.1701,4.0881,4.0984,5591460.0,IAG,as51
244929,2010-03-11,4.0779,4.0984,4.0266,4.0471,5751700.0,IAG,as51
244930,2010-03-12,4.0574,4.0984,4.0061,4.0574,4745090.0,IAG,as51
244931,2010-03-15,4.0471,4.0984,4.0369,4.0574,5758860.0,IAG,as51
244932,2010-03-16,4.0574,4.1393,4.0471,4.0881,6390410.0,IAG,as51
244933,2010-03-17,4.1291,4.1291,4.0574,4.1291,6378260.0,IAG,as51
244934,2010-03-18,4.0984,4.1086,4.0574,4.0779,8136900.0,IAG,as51
244935,2010-03-19,4.0676,4.0881,4.0061,4.0369,5885750.0,IAG,as51
244936,2010-03-22,4.0164,4.0779,4.0164,4.0266,3881280.0,IAG,as51
244937,2010-03-23,4.0574,4.0881,4.0369,4.0574,4494480.0,IAG,as51
244938,2010-03-24,4.0676,4.0984,4.0574,4.0574,3682050.0,IAG,as51
244939,2010-03-25,4.0369,4.0574,3.9652,4.0061,9301170.0,IAG,as51
244940,2010-03-26,3.9959,4.0266,3.9549,4.0164,5399630.0,IAG,as51
244941,2010-03-29,4.0061,4.0164,3.9652,3.9857,5806060.0,IAG,as51
244942,2010-03-30,3.9652,4.0061,3.9549,3.9652,4747090.0,IAG,as51
244943,2010-03-31,3.9652,4.0061,3.9549,3.9754,8175900.0,IAG,as51
244944,2010-04-01,3.9754,4.0266,3.9652,4.0164,5451150.0,IAG,as51
244945,2010-04-02,3.9754,4.0266,3.9652,4.0164,5451150.0,IAG,as51
244946,2010-04-05,3.9754,4.0266,3.9652,4.0164,5451150.0,IAG,as51
244947,2010-04-06,4.0061,4.0164,3.9549,3.9959,5403920.0,IAG,as51
244948,2010-04-07,4.0471,4.0676,4.0266,4.0574,6502050.0,IAG,as51
244949,2010-04-08,4.0266,4.0369,3.9959,4.0164,3563660.0,IAG,as51
244950,2010-04-09,4.0164,4.0369,3.9959,4.0061,2427080.0,IAG,as51
244951,2010-04-12,4.0164,4.0266,3.9754,4.0164,2991780.0,IAG,as51
244952,2010-04-13,4.0164,4.0369,3.9959,4.0164,2763270.0,IAG,as51
244953,2010-04-14,4.0061,4.0266,3.9959,4.0266,2972660.0,IAG,as51
244954,2010-04-15,4.0061,4.0471,3.9959,4.0061,5615600.0,IAG,as51
244955,2010-04-16,4.0061,4.0164,3.9857,4.0061,2543400.0,IAG,as51
244956,2010-04-19,3.9652,4.0061,3.9549,3.9959,2402480.0,IAG,as51
244957,2010-04-20,3.9857,4.0061,3.9754,3.9959,1655080.0,IAG,as51
244958,2010-04-21,4.0266,4.0266,3.9549,3.9754,13987700.0,IAG,as51
244959,2010-04-22,3.9754,3.9857,3.9037,3.9242,13095300.0,IAG,as51
244960,2010-04-23,3.9139,3.9447,3.873,3.8832,13872300.0,IAG,as51
244961,2010-04-26,3.9139,3.9447,3.873,3.8832,13872300.0,IAG,as51
244962,2010-04-27,3.8934,3.9139,3.8525,3.8934,6546050.0,IAG,as51
244963,2010-04-28,3.8627,3.8832,3.8525,3.873,3809340.0,IAG,as51
244964,2010-04-29,3.8525,3.8934,3.8422,3.873,4067370.0,IAG,as51
244965,2010-04-30,3.8832,3.9549,3.873,3.9344,6759310.0,IAG,as51
244966,2010-05-03,3.9344,3.9754,3.9242,3.9344,4328240.0,IAG,as51
244967,2010-05-04,3.9754,3.9754,3.9344,3.9652,8527510.0,IAG,as51
244968,2010-05-05,3.9139,3.9549,3.9037,3.9447,8553000.0,IAG,as51
244969,2010-05-06,3.9139,3.9447,3.8525,3.873,9490680.0,IAG,as51
244970,2010-05-07,3.8217,3.832,3.7295,3.7807,12689700.0,IAG,as51
244971,2010-05-10,3.8012,3.8525,3.791,3.8422,9042150.0,IAG,as51
244972,2010-05-11,3.832,3.8627,3.791,3.791,4693260.0,IAG,as51
244973,2010-05-12,3.8422,3.873,3.791,3.8115,6477830.0,IAG,as51
244974,2010-05-13,3.8525,3.8627,3.832,3.8627,9060180.0,IAG,as51
244975,2010-05-14,3.8217,3.8525,3.8115,3.8422,2474390.0,IAG,as51
244976,2010-05-17,3.8012,3.8422,3.791,3.791,7382160.0,IAG,as51
244977,2010-05-18,3.8012,3.8012,3.6885,3.7295,14515200.0,IAG,as51
244978,2010-05-19,3.6988,3.7398,3.6373,3.6475,8231910.0,IAG,as51
244979,2010-05-20,3.627,3.6783,3.5963,3.5963,9557900.0,IAG,as51
244980,2010-05-21,3.5963,3.6066,3.5553,3.5656,14726600.0,IAG,as51
244981,2010-05-24,3.5656,3.6373,3.5246,3.6066,10471400.0,IAG,as51
244982,2010-05-25,3.5656,3.5963,3.4939,3.4939,7277780.0,IAG,as51
244983,2010-05-26,3.5656,3.6168,3.5143,3.5553,6964680.0,IAG,as51
244984,2010-05-27,3.5348,3.668,3.5348,3.668,10370800.0,IAG,as51
244985,2010-05-28,3.7193,3.75,3.6783,3.7398,10600400.0,IAG,as51
244986,2010-05-31,3.7398,3.7398,3.668,3.6988,5476930.0,IAG,as51
244987,2010-06-01,3.6885,3.6988,3.6168,3.6988,4866550.0,IAG,as51
244988,2010-06-02,3.3607,3.5246,3.2992,3.4734,34741400.0,IAG,as51
244989,2010-06-03,3.5348,3.5348,3.4529,3.4939,26289000.0,IAG,as51
244990,2010-06-04,3.4836,3.4939,3.4221,3.4529,15339600.0,IAG,as51
244991,2010-06-07,3.3914,3.4221,3.3811,3.4016,8541040.0,IAG,as51
244992,2010-06-08,3.4119,3.5143,3.3914,3.4939,8665360.0,IAG,as51
244993,2010-06-09,3.4631,3.4734,3.4324,3.4631,5125550.0,IAG,as51
244994,2010-06-10,3.4631,3.4939,3.4426,3.4939,11838500.0,IAG,as51
244995,2010-06-11,3.5246,3.5451,3.4734,3.5451,7123560.0,IAG,as51
244996,2010-06-14,3.5246,3.5451,3.4734,3.5451,7123560.0,IAG,as51
244997,2010-06-15,3.5348,3.5553,3.4939,3.4939,7949220.0,IAG,as51
244998,2010-06-16,3.5348,3.5451,3.5041,3.5143,11785300.0,IAG,as51
244999,2010-06-17,3.5143,3.5553,3.4836,3.5246,8433690.0,IAG,as51
245000,2010-06-18,3.5246,3.5553,3.5143,3.5451,4817360.0,IAG,as51
245001,2010-06-21,3.5758,3.5758,3.5246,3.5656,3748480.0,IAG,as51
245002,2010-06-22,3.5451,3.5758,3.5246,3.5451,3891750.0,IAG,as51
245003,2010-06-23,3.5246,3.5553,3.5041,3.5041,4032290.0,IAG,as51
245004,2010-06-24,3.5348,3.5348,3.4836,3.5143,4813520.0,IAG,as51
245005,2010-06-25,3.5143,3.5348,3.4324,3.4734,11781500.0,IAG,as51
245006,2010-06-28,3.4734,3.4939,3.4529,3.4836,4177710.0,IAG,as51
245007,2010-06-29,3.4939,3.5348,3.4734,3.4939,4438260.0,IAG,as51
245008,2010-06-30,3.4324,3.4939,3.4119,3.4939,5333430.0,IAG,as51
245009,2010-07-01,3.4836,3.5143,3.4631,3.4836,18894900.0,IAG,as51
245010,2010-07-02,3.5041,3.5246,3.4529,3.4836,16829000.0,IAG,as51
245011,2010-07-05,3.4836,3.4836,3.4221,3.4426,2895310.0,IAG,as51
245012,2010-07-06,3.4119,3.4324,3.3811,3.4324,5691390.0,IAG,as51
245013,2010-07-07,3.4324,3.4529,3.2992,3.3811,11399800.0,IAG,as51
245014,2010-07-08,3.4324,3.4529,3.3914,3.4221,8572620.0,IAG,as51
245015,2010-07-09,3.4324,3.4529,3.3914,3.4324,4269360.0,IAG,as51
245016,2010-07-12,3.4426,3.4734,3.3914,3.4221,4593850.0,IAG,as51
245017,2010-07-13,3.4529,3.4734,3.4324,3.4426,3378570.0,IAG,as51
245018,2010-07-14,3.4836,3.5041,3.4631,3.5041,4571060.0,IAG,as51
245019,2010-07-15,3.5348,3.5348,3.4836,3.4939,3200850.0,IAG,as51
245020,2010-07-16,3.5041,3.5348,3.4836,3.5041,1669540.0,IAG,as51
245021,2010-07-19,3.4529,3.5041,3.4426,3.4631,2941600.0,IAG,as51
245022,2010-07-20,3.4529,3.5041,3.4426,3.5041,3497600.0,IAG,as51
245023,2010-07-21,3.5143,3.5656,3.4836,3.5656,3829160.0,IAG,as51
245024,2010-07-22,3.5348,3.5861,3.5143,3.5246,3654670.0,IAG,as51
245025,2010-07-23,3.5861,3.5963,3.5656,3.5861,6279160.0,IAG,as51
245026,2010-07-26,3.6373,3.6373,3.5143,3.5861,10529300.0,IAG,as51
245027,2010-07-27,3.4221,3.5348,3.3709,3.4324,26030400.0,IAG,as51
245028,2010-07-28,3.4324,3.5348,3.4324,3.5143,12527500.0,IAG,as51
245029,2010-07-29,3.5143,3.5451,3.4529,3.5041,5390390.0,IAG,as51
245030,2010-07-30,3.5041,3.5041,3.4119,3.4939,5568350.0,IAG,as51
245031,2010-08-02,3.5041,3.5246,3.4836,3.5041,3246540.0,IAG,as51
245032,2010-08-03,3.5041,3.5143,3.4631,3.4836,5196850.0,IAG,as51
245033,2010-08-04,3.4836,3.5041,3.4529,3.4939,4233820.0,IAG,as51
245034,2010-08-05,3.5143,3.5553,3.5041,3.5553,5678520.0,IAG,as51
245035,2010-08-06,3.5348,3.5861,3.5246,3.5861,9245680.0,IAG,as51
245036,2010-08-09,3.5553,3.668,3.5553,3.6578,5486630.0,IAG,as51
245037,2010-08-10,3.6373,3.6578,3.6168,3.6373,7721110.0,IAG,as51
245038,2010-08-11,3.6578,3.6578,3.5656,3.5758,7759340.0,IAG,as51
245039,2010-08-12,3.5451,3.5758,3.4836,3.5246,5523320.0,IAG,as51
245040,2010-08-13,3.4734,3.5758,3.4734,3.5758,5150820.0,IAG,as51
245041,2010-08-16,3.5143,3.5348,3.4221,3.4939,7981800.0,IAG,as51
245042,2010-08-17,3.4939,3.5758,3.4836,3.5451,5061580.0,IAG,as51
245043,2010-08-18,3.5758,3.5861,3.4836,3.5246,8276190.0,IAG,as51
245044,2010-08-19,3.5553,3.5758,3.5041,3.5553,4560950.0,IAG,as51
245045,2010-08-20,3.5246,3.5246,3.4734,3.4939,6908500.0,IAG,as51
245046,2010-08-23,3.4734,3.5246,3.3914,3.4324,8790920.0,IAG,as51
245047,2010-08-24,3.4119,3.4426,3.3914,3.4016,5298790.0,IAG,as51
245048,2010-08-25,3.3504,3.4221,3.3402,3.3504,12017700.0,IAG,as51
245049,2010-08-26,3.3504,3.4324,3.3504,3.4016,8978240.0,IAG,as51
245050,2010-08-27,3.4016,3.4939,3.3607,3.4836,13365100.0,IAG,as51
245051,2010-08-30,3.5553,3.5758,3.5246,3.5451,6150320.0,IAG,as51
245052,2010-08-31,3.5348,3.6066,3.5143,3.5246,16825300.0,IAG,as51
245053,2010-09-01,3.5451,3.5861,3.5143,3.5758,7597850.0,IAG,as51
245054,2010-09-02,3.5963,3.5963,3.5348,3.5758,3293700.0,IAG,as51
245055,2010-09-03,3.5861,3.627,3.5348,3.5553,7408460.0,IAG,as51
245056,2010-09-06,3.5758,3.5758,3.5041,3.5656,7027410.0,IAG,as51
245057,2010-09-07,3.5758,3.627,3.5553,3.6168,7407500.0,IAG,as51
245058,2010-09-08,3.627,3.668,3.5963,3.6475,7531770.0,IAG,as51
245059,2010-09-09,3.6475,3.7398,3.627,3.7295,8068950.0,IAG,as51
245060,2010-09-10,3.7295,3.7602,3.6475,3.709,4903230.0,IAG,as51
245061,2010-09-13,3.7807,3.8115,3.75,3.7807,7376900.0,IAG,as51
245062,2010-09-14,3.791,3.8115,3.7705,3.791,7264450.0,IAG,as51
245063,2010-09-15,3.7807,3.8115,3.7705,3.8115,7470700.0,IAG,as51
245064,2010-09-16,3.8422,3.8422,3.7398,3.75,15528600.0,IAG,as51
245065,2010-09-17,3.8115,3.9037,3.7602,3.8422,7941070.0,IAG,as51
245066,2010-09-20,3.832,3.8525,3.791,3.8115,5624900.0,IAG,as51
245067,2010-09-21,3.8115,3.832,3.75,3.75,4312190.0,IAG,as51
245068,2010-09-22,3.7705,3.8115,3.7602,3.7705,3719260.0,IAG,as51
245069,2010-09-23,3.7398,3.8422,3.6988,3.8012,5665910.0,IAG,as51
245070,2010-09-24,3.75,3.7807,3.709,3.75,5578750.0,IAG,as51
245071,2010-09-27,3.832,3.8422,3.7807,3.8217,4782600.0,IAG,as51
245072,2010-09-28,3.791,3.832,3.7807,3.8115,4847220.0,IAG,as51
245073,2010-09-29,3.791,3.8217,3.7705,3.7807,9258390.0,IAG,as51
245074,2010-09-30,3.7705,3.7807,3.709,3.7295,10484600.0,IAG,as51
245075,2010-10-01,3.7398,3.75,3.6373,3.6578,6969880.0,IAG,as51
245076,2010-10-04,3.6885,3.7193,3.6475,3.709,4038420.0,IAG,as51
245077,2010-10-05,3.668,3.7602,3.627,3.7295,5908400.0,IAG,as51
245078,2010-10-06,3.791,3.8115,3.7705,3.8012,5446980.0,IAG,as51
245079,2010-10-07,3.7398,3.832,3.7398,3.8115,6598130.0,IAG,as51
245080,2010-10-08,3.7705,3.8422,3.7705,3.8217,4433580.0,IAG,as51
245081,2010-10-11,3.8525,3.8525,3.7705,3.8012,3653540.0,IAG,as51
245082,2010-10-12,3.8012,3.8012,3.6988,3.7295,5465870.0,IAG,as51
245083,2010-10-13,3.7602,3.7807,3.7398,3.7705,4418410.0,IAG,as51
245084,2010-10-14,3.832,3.8422,3.791,3.8422,4100030.0,IAG,as51
245085,2010-10-15,3.832,3.8934,3.8217,3.8627,3020750.0,IAG,as51
245086,2010-10-18,3.8422,3.8832,3.832,3.8832,3449620.0,IAG,as51
245087,2010-10-19,3.8832,3.9344,3.832,3.8525,7952420.0,IAG,as51
245088,2010-10-20,3.7807,3.8627,3.7602,3.8115,6742400.0,IAG,as51
245089,2010-10-21,3.8012,3.8525,3.7807,3.8012,8932300.0,IAG,as51
245090,2010-10-22,3.8012,3.8832,3.8012,3.8627,5782950.0,IAG,as51
245091,2010-10-25,3.832,3.9857,3.8217,3.9857,6123680.0,IAG,as51
245092,2010-10-26,3.8934,3.9754,3.8934,3.9344,5150140.0,IAG,as51
245093,2010-10-27,3.9447,3.9754,3.8627,3.8934,4998240.0,IAG,as51
