,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
249553,2010-01-01,5.5537,5.6274,5.5537,5.5906,172050.0,IFL,as51
249554,2010-01-04,5.609,5.6919,5.5445,5.5445,303734.0,IFL,as51
249555,2010-01-05,5.5629,5.6366,5.5077,5.6274,272740.0,IFL,as51
249556,2010-01-06,5.5721,5.6366,5.5169,5.6274,394182.0,IFL,as51
249557,2010-01-07,5.5721,5.6182,5.5721,5.5814,169691.0,IFL,as51
249558,2010-01-08,5.6182,5.8485,5.6182,5.8024,554611.0,IFL,as51
249559,2010-01-11,5.8485,5.8669,5.7287,5.7564,768298.0,IFL,as51
249560,2010-01-12,5.7103,5.7287,5.5906,5.6366,387909.0,IFL,as51
249561,2010-01-13,5.5906,5.7195,5.48,5.4985,593664.0,IFL,as51
249562,2010-01-14,5.5077,5.5721,5.4248,5.5077,571440.0,IFL,as51
249563,2010-01-15,5.5261,5.5721,5.48,5.5445,488552.0,IFL,as51
249564,2010-01-18,5.8577,6.1524,5.6827,5.9406,2062390.0,IFL,as51
249565,2010-01-19,5.9866,5.9866,5.8024,5.8945,749316.0,IFL,as51
249566,2010-01-20,5.9313,5.9406,5.8024,5.8485,780107.0,IFL,as51
249567,2010-01-21,5.8208,5.8208,5.7564,5.7564,458701.0,IFL,as51
249568,2010-01-22,5.6182,5.6919,5.6182,5.6642,449915.0,IFL,as51
249569,2010-01-25,5.5906,5.7287,5.5261,5.6827,526431.0,IFL,as51
249570,2010-01-26,5.5906,5.7287,5.5261,5.6827,526431.0,IFL,as51
249571,2010-01-27,5.6458,5.7011,5.434,5.4432,927209.0,IFL,as51
249572,2010-01-28,5.4524,5.4708,5.2682,5.3879,1092170.0,IFL,as51
249573,2010-01-29,5.3051,5.4432,5.1945,5.2958,737736.0,IFL,as51
249574,2010-02-01,5.2222,5.2774,5.1669,5.1945,602969.0,IFL,as51
249575,2010-02-02,5.2314,5.259,5.1669,5.2037,439583.0,IFL,as51
249576,2010-02-03,5.2314,5.2498,5.0748,5.1761,705615.0,IFL,as51
249577,2010-02-04,5.0932,5.1208,4.8353,4.8814,1260110.0,IFL,as51
249578,2010-02-05,4.7064,5.0195,4.7064,4.9735,2542870.0,IFL,as51
249579,2010-02-08,4.8906,5.0011,4.7985,4.8077,445631.0,IFL,as51
249580,2010-02-09,4.7893,4.7985,4.6327,4.6972,1218780.0,IFL,as51
249581,2010-02-10,4.7893,4.9551,4.7801,4.9182,2557830.0,IFL,as51
249582,2010-02-11,4.9459,4.9643,4.8261,4.8261,852621.0,IFL,as51
249583,2010-02-12,4.7985,4.8998,4.7156,4.8445,641285.0,IFL,as51
249584,2010-02-15,4.8722,4.9366,4.7985,4.8169,273238.0,IFL,as51
249585,2010-02-16,4.8814,4.8814,4.7432,4.7432,365376.0,IFL,as51
249586,2010-02-17,4.8261,4.9366,4.8261,4.8998,288368.0,IFL,as51
249587,2010-02-18,4.9827,5.1485,4.9643,5.1024,855577.0,IFL,as51
249588,2010-02-19,5.1761,5.1945,4.9551,5.0195,841997.0,IFL,as51
249589,2010-02-22,5.1301,5.2222,5.1208,5.1853,409724.0,IFL,as51
249590,2010-02-23,5.1208,5.2774,5.1208,5.2406,537544.0,IFL,as51
249591,2010-02-24,5.2222,5.2314,5.1116,5.1393,701394.0,IFL,as51
249592,2010-02-25,5.3972,5.5721,5.3603,5.5261,2294480.0,IFL,as51
249593,2010-02-26,5.5721,5.7011,5.5629,5.6458,661618.0,IFL,as51
249594,2010-03-01,5.7564,6.0511,5.7287,5.9129,2348530.0,IFL,as51
249595,2010-03-02,5.9406,5.9682,5.784,5.8853,1499410.0,IFL,as51
249596,2010-03-03,5.7656,5.8853,5.7287,5.8669,1273600.0,IFL,as51
249597,2010-03-04,5.8485,5.959,5.8485,5.8945,635816.0,IFL,as51
249598,2010-03-05,5.9037,5.9037,5.8208,5.8853,547677.0,IFL,as51
249599,2010-03-08,5.9406,5.9774,5.8945,5.9221,413311.0,IFL,as51
249600,2010-03-09,5.9129,6.0327,5.9037,6.0234,544361.0,IFL,as51
249601,2010-03-10,6.0603,6.1616,6.0511,6.0695,571533.0,IFL,as51
249602,2010-03-11,6.0879,6.0971,5.9774,6.0327,438075.0,IFL,as51
249603,2010-03-12,5.9866,6.0511,5.9866,6.0142,268764.0,IFL,as51
249604,2010-03-15,5.959,6.0234,5.959,5.9866,580011.0,IFL,as51
249605,2010-03-16,5.9866,6.0419,5.8853,6.0327,586212.0,IFL,as51
249606,2010-03-17,6.0142,6.2997,6.005,6.2997,973399.0,IFL,as51
249607,2010-03-18,6.4011,6.5484,6.3642,6.5116,2171430.0,IFL,as51
249608,2010-03-19,6.355,6.4195,6.2629,6.2997,963081.0,IFL,as51
249609,2010-03-22,6.2629,6.4563,6.2629,6.3919,516851.0,IFL,as51
249610,2010-03-23,6.4011,6.4011,6.3366,6.3366,632371.0,IFL,as51
249611,2010-03-24,6.355,6.4287,6.3182,6.3919,384538.0,IFL,as51
249612,2010-03-25,6.3274,6.4103,6.3274,6.4011,432269.0,IFL,as51
249613,2010-03-26,6.355,6.3734,6.1524,6.2353,1449690.0,IFL,as51
249614,2010-03-29,6.2261,6.3458,6.1616,6.2905,797045.0,IFL,as51
249615,2010-03-30,6.2905,6.355,6.2537,6.309,897904.0,IFL,as51
249616,2010-03-31,6.3274,6.355,6.2813,6.2813,530573.0,IFL,as51
249617,2010-04-01,6.2261,6.2445,6.0327,6.1524,910315.0,IFL,as51
249618,2010-04-02,6.2261,6.2445,6.0327,6.1524,910315.0,IFL,as51
249619,2010-04-05,6.2261,6.2445,6.0327,6.1524,910315.0,IFL,as51
249620,2010-04-06,6.2169,6.3919,6.2169,6.3734,625046.0,IFL,as51
249621,2010-04-07,6.3919,6.4655,6.3366,6.4471,675254.0,IFL,as51
249622,2010-04-08,6.4471,6.5392,6.4471,6.5116,678728.0,IFL,as51
249623,2010-04-09,6.53,6.5945,6.5116,6.5853,435364.0,IFL,as51
249624,2010-04-12,6.5853,6.6682,6.5668,6.6313,510259.0,IFL,as51
249625,2010-04-13,6.5945,6.6497,6.5945,6.6497,571520.0,IFL,as51
249626,2010-04-14,6.6497,6.7326,6.6221,6.7326,583855.0,IFL,as51
249627,2010-04-15,6.7695,6.8155,6.6589,6.6774,902112.0,IFL,as51
249628,2010-04-16,6.6129,6.705,6.6037,6.6313,279761.0,IFL,as51
249629,2010-04-19,6.5668,6.6313,6.4563,6.4563,392824.0,IFL,as51
249630,2010-04-20,6.4287,6.6037,6.3919,6.5024,620526.0,IFL,as51
249631,2010-04-21,6.5668,6.5853,6.5116,6.53,648503.0,IFL,as51
249632,2010-04-22,6.5116,6.5116,6.355,6.4195,677613.0,IFL,as51
249633,2010-04-23,6.3734,6.4747,6.3734,6.4471,480634.0,IFL,as51
249634,2010-04-26,6.3734,6.4747,6.3734,6.4471,480634.0,IFL,as51
249635,2010-04-27,6.4471,6.5116,6.3642,6.4103,681089.0,IFL,as51
249636,2010-04-28,6.2537,6.2537,6.134,6.2169,882314.0,IFL,as51
