,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
252659,2010-01-01,4.8862,4.8961,4.7582,4.7582,84139.0,IGO,as51
252660,2010-01-04,4.7286,4.9256,4.7286,4.837,144462.0,IGO,as51
252661,2010-01-05,4.9256,4.9256,4.8567,4.9256,118577.0,IGO,as51
252662,2010-01-06,4.9158,4.9256,4.8764,4.9256,106039.0,IGO,as51
252663,2010-01-07,4.9158,5.034,4.8961,5.0241,325572.0,IGO,as51
252664,2010-01-08,5.0241,5.034,4.768,4.768,310392.0,IGO,as51
252665,2010-01-11,4.8173,4.8567,4.7582,4.8271,180061.0,IGO,as51
252666,2010-01-12,4.8567,4.8764,4.7286,4.8074,131653.0,IGO,as51
252667,2010-01-13,4.7582,4.768,4.6794,4.7089,205620.0,IGO,as51
252668,2010-01-14,4.6892,4.7877,4.6301,4.6794,150963.0,IGO,as51
252669,2010-01-15,4.6597,4.7089,4.6104,4.6794,164002.0,IGO,as51
252670,2010-01-18,4.6104,4.6301,4.4823,4.5414,278466.0,IGO,as51
252671,2010-01-19,4.5513,4.6005,4.4626,4.4626,286367.0,IGO,as51
252672,2010-01-20,4.4725,4.5513,4.4626,4.5217,197607.0,IGO,as51
252673,2010-01-21,4.5217,4.5217,4.3937,4.3937,412759.0,IGO,as51
252674,2010-01-22,4.3444,4.5316,4.2459,4.4725,465342.0,IGO,as51
252675,2010-01-25,4.3346,4.374,4.2459,4.3543,371309.0,IGO,as51
252676,2010-01-26,4.3346,4.374,4.2459,4.3543,371309.0,IGO,as51
252677,2010-01-27,4.305,4.3149,4.0489,4.1572,470849.0,IGO,as51
252678,2010-01-28,4.1572,4.2459,4.108,4.1868,395239.0,IGO,as51
252679,2010-01-29,4.108,4.2163,4.0193,4.108,429035.0,IGO,as51
252680,2010-02-01,4.0489,4.0883,3.7041,3.7435,752529.0,IGO,as51
252681,2010-02-02,3.8715,3.9799,3.8518,3.9208,397367.0,IGO,as51
252682,2010-02-03,4.039,4.1769,3.9405,4.0292,703194.0,IGO,as51
252683,2010-02-04,4.0193,4.0193,3.8124,3.8321,501704.0,IGO,as51
252684,2010-02-05,3.7336,3.7435,3.5957,3.6942,605766.0,IGO,as51
252685,2010-02-08,3.6844,3.9307,3.6745,3.8617,474519.0,IGO,as51
252686,2010-02-09,3.8223,3.9504,3.8026,3.9307,380927.0,IGO,as51
252687,2010-02-10,3.9898,4.0981,3.8617,3.9011,489200.0,IGO,as51
252688,2010-02-11,3.9208,4.039,3.9208,3.9405,223492.0,IGO,as51
252689,2010-02-12,4.0292,4.0587,3.9208,3.9504,578203.0,IGO,as51
252690,2010-02-15,3.9701,3.9996,3.9011,3.9405,508762.0,IGO,as51
252691,2010-02-16,3.9799,3.9996,3.842,3.8913,581627.0,IGO,as51
252692,2010-02-17,3.9701,4.039,3.9405,3.9898,574232.0,IGO,as51
252693,2010-02-18,3.9996,4.0587,3.9799,4.0095,927119.0,IGO,as51
252694,2010-02-19,4.039,4.0489,3.9701,4.0095,637147.0,IGO,as51
252695,2010-02-22,4.0883,4.0883,4.0292,4.0686,406516.0,IGO,as51
252696,2010-02-23,4.0292,4.1277,3.9405,3.9602,280981.0,IGO,as51
252697,2010-02-24,3.9405,4.0193,3.8814,3.9799,617457.0,IGO,as51
252698,2010-02-25,3.9799,4.0883,3.8518,3.9405,524042.0,IGO,as51
252699,2010-02-26,3.9405,4.039,3.9011,3.9898,441799.0,IGO,as51
252700,2010-03-01,4.0686,4.0883,3.9799,4.0095,354092.0,IGO,as51
252701,2010-03-02,4.0981,4.1277,3.9799,3.9898,343937.0,IGO,as51
252702,2010-03-03,4.0292,4.2952,4.0292,4.1474,547477.0,IGO,as51
252703,2010-03-04,4.1966,4.236,4.1178,4.1375,395759.0,IGO,as51
252704,2010-03-05,4.1966,4.1966,4.0489,4.1277,627751.0,IGO,as51
252705,2010-03-08,4.1868,4.1868,4.108,4.1868,374015.0,IGO,as51
252706,2010-03-09,4.1769,4.236,4.1474,4.236,365026.0,IGO,as51
252707,2010-03-10,4.236,4.3149,4.2163,4.2755,341782.0,IGO,as51
252708,2010-03-11,4.2557,4.2853,4.1572,4.1868,383627.0,IGO,as51
252709,2010-03-12,4.1868,4.2459,4.0981,4.1277,387766.0,IGO,as51
252710,2010-03-15,4.1178,4.236,4.0981,4.1277,555099.0,IGO,as51
252711,2010-03-16,4.1572,4.1671,4.0784,4.1277,401889.0,IGO,as51
252712,2010-03-17,4.1769,4.2459,4.0981,4.2163,548249.0,IGO,as51
252713,2010-03-18,4.3247,4.5611,4.2459,4.5217,1177270.0,IGO,as51
252714,2010-03-19,4.4331,4.6498,4.4331,4.5414,852440.0,IGO,as51
252715,2010-03-22,4.5217,4.5808,4.3543,4.5414,269920.0,IGO,as51
252716,2010-03-23,4.5611,4.6498,4.4823,4.5316,503556.0,IGO,as51
252717,2010-03-24,4.5414,4.6104,4.4331,4.4331,410983.0,IGO,as51
252718,2010-03-25,4.4429,4.4823,4.2557,4.2557,405264.0,IGO,as51
252719,2010-03-26,4.2656,4.3937,4.1966,4.3149,443867.0,IGO,as51
252720,2010-03-29,4.3543,4.4134,4.2952,4.3937,248219.0,IGO,as51
252721,2010-03-30,4.4725,4.6597,4.4626,4.6202,394044.0,IGO,as51
