,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
268236,2010-01-01,8.437,8.4858,8.32,8.3785,102195.0,IRE,as51
268237,2010-01-04,8.5833,8.6808,8.3492,8.3785,210284.0,IRE,as51
268238,2010-01-05,8.4858,8.4858,8.32,8.359,149708.0,IRE,as51
268239,2010-01-06,8.3785,8.4565,8.32,8.359,379771.0,IRE,as51
268240,2010-01-07,8.3395,8.5248,8.3395,8.3882,257717.0,IRE,as51
268241,2010-01-08,8.4955,8.4955,8.3102,8.3785,301589.0,IRE,as51
268242,2010-01-11,8.437,8.5053,8.3882,8.476,111812.0,IRE,as51
268243,2010-01-12,8.3785,8.4468,8.32,8.3882,351092.0,IRE,as51
268244,2010-01-13,8.3395,8.7296,8.3395,8.5638,389152.0,IRE,as51
268245,2010-01-14,8.5931,8.6516,8.4175,8.5345,445440.0,IRE,as51
268246,2010-01-15,8.5345,8.6028,8.3492,8.5638,375539.0,IRE,as51
268247,2010-01-18,8.5053,8.5736,8.3882,8.4858,236892.0,IRE,as51
268248,2010-01-19,8.4077,8.4955,7.9591,8.0273,540943.0,IRE,as51
268249,2010-01-20,7.9591,8.2907,7.9591,8.0956,476756.0,IRE,as51
268250,2010-01-21,8.1639,8.2419,7.881,7.9493,433237.0,IRE,as51
268251,2010-01-22,7.7347,7.9396,7.6567,7.9396,205284.0,IRE,as51
268252,2010-01-25,7.7542,7.9005,7.7445,7.842,288970.0,IRE,as51
268253,2010-01-26,7.7542,7.9005,7.7445,7.842,288970.0,IRE,as51
268254,2010-01-27,7.7737,7.8323,7.5787,7.5982,292644.0,IRE,as51
268255,2010-01-28,7.5787,7.764,7.5689,7.686,272415.0,IRE,as51
268256,2010-01-29,7.5982,7.725,7.5787,7.6567,436925.0,IRE,as51
268257,2010-02-01,7.6079,7.9396,7.6079,7.7835,345221.0,IRE,as51
268258,2010-02-02,7.803,7.8713,7.6274,7.686,744322.0,IRE,as51
268259,2010-02-03,7.725,7.7933,7.6372,7.7347,238120.0,IRE,as51
268260,2010-02-04,7.7055,7.8713,7.5299,7.7737,668663.0,IRE,as51
268261,2010-02-05,7.7445,7.7933,7.4421,7.7933,597120.0,IRE,as51
268262,2010-02-08,7.7055,7.7835,7.5104,7.6274,220349.0,IRE,as51
