,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
271342,2010-01-01,6.2,6.2,6.13,6.16,51365.0,IVC,as51
271343,2010-01-04,6.16,6.2,6.16,6.18,41553.0,IVC,as51
271344,2010-01-05,6.19,6.19,6.02,6.03,153025.0,IVC,as51
271345,2010-01-06,6.1,6.13,6.04,6.08,87314.0,IVC,as51
271346,2010-01-07,6.03,6.12,6.03,6.08,147740.0,IVC,as51
271347,2010-01-08,6.12,6.15,6.07,6.11,126760.0,IVC,as51
271348,2010-01-11,6.11,6.11,6.04,6.05,101222.0,IVC,as51
271349,2010-01-12,6.01,6.1,6.01,6.05,88651.0,IVC,as51
271350,2010-01-13,6.01,6.08,5.92,5.97,132321.0,IVC,as51
271351,2010-01-14,6.04,6.1,5.94,5.96,174643.0,IVC,as51
271352,2010-01-15,5.96,6.02,5.84,6.0,727581.0,IVC,as51
271353,2010-01-18,5.98,6.04,5.98,6.0,180838.0,IVC,as51
271354,2010-01-19,5.98,5.99,5.82,5.85,228812.0,IVC,as51
271355,2010-01-20,5.9,6.03,5.86,5.94,133986.0,IVC,as51
271356,2010-01-21,5.88,5.93,5.82,5.91,202518.0,IVC,as51
271357,2010-01-22,5.77,5.93,5.76,5.91,231375.0,IVC,as51
271358,2010-01-25,5.8,5.9,5.77,5.85,167568.0,IVC,as51
271359,2010-01-26,5.8,5.9,5.77,5.85,167568.0,IVC,as51
271360,2010-01-27,5.78,5.8,5.62,5.66,332958.0,IVC,as51
271361,2010-01-28,5.65,5.7,5.61,5.66,187134.0,IVC,as51
271362,2010-01-29,5.61,5.73,5.5,5.51,185382.0,IVC,as51
271363,2010-02-01,5.5,5.57,5.33,5.49,246570.0,IVC,as51
271364,2010-02-02,5.58,5.6,5.37,5.57,117857.0,IVC,as51
271365,2010-02-03,5.6,5.65,5.54,5.6,239589.0,IVC,as51
271366,2010-02-04,5.54,5.66,5.5,5.63,317355.0,IVC,as51
271367,2010-02-05,5.5,5.64,5.48,5.64,107919.0,IVC,as51
271368,2010-02-08,5.59,5.78,5.58,5.61,149351.0,IVC,as51
271369,2010-02-09,5.58,5.65,5.52,5.63,121408.0,IVC,as51
271370,2010-02-10,5.63,5.65,5.52,5.55,154618.0,IVC,as51
271371,2010-02-11,5.52,5.72,5.52,5.66,171160.0,IVC,as51
271372,2010-02-12,5.63,5.79,5.61,5.79,178641.0,IVC,as51
271373,2010-02-15,5.72,5.75,5.68,5.72,98798.0,IVC,as51
271374,2010-02-16,5.8,5.91,5.79,5.85,65519.0,IVC,as51
271375,2010-02-17,5.84,5.96,5.8,5.96,130776.0,IVC,as51
271376,2010-02-18,6.02,6.07,5.96,6.07,189584.0,IVC,as51
271377,2010-02-19,6.01,6.04,5.81,5.82,198332.0,IVC,as51
271378,2010-02-22,5.84,6.03,5.84,6.01,180781.0,IVC,as51
271379,2010-02-23,5.95,6.04,5.93,6.04,536729.0,IVC,as51
271380,2010-02-24,6.04,6.08,5.99,6.03,192665.0,IVC,as51
271381,2010-02-25,6.05,6.11,6.04,6.06,121042.0,IVC,as51
271382,2010-02-26,6.09,6.09,6.0,6.01,192111.0,IVC,as51
271383,2010-03-01,6.06,6.11,6.03,6.09,131707.0,IVC,as51
271384,2010-03-02,6.11,6.17,6.08,6.17,149345.0,IVC,as51
271385,2010-03-03,6.17,6.18,6.06,6.15,428590.0,IVC,as51
271386,2010-03-04,6.18,6.2,6.11,6.16,134875.0,IVC,as51
271387,2010-03-05,6.16,6.37,6.14,6.37,303589.0,IVC,as51
271388,2010-03-08,6.5,6.5,6.25,6.31,216228.0,IVC,as51
271389,2010-03-09,6.35,6.4,6.19,6.22,301823.0,IVC,as51
271390,2010-03-10,6.2,6.21,6.06,6.09,236193.0,IVC,as51
271391,2010-03-11,6.18,6.19,6.08,6.13,160436.0,IVC,as51
271392,2010-03-12,6.15,6.22,6.13,6.22,101731.0,IVC,as51
271393,2010-03-15,6.07,6.15,5.97,6.04,305536.0,IVC,as51
271394,2010-03-16,6.04,6.11,6.01,6.08,267822.0,IVC,as51
271395,2010-03-17,6.08,6.16,5.98,6.16,254497.0,IVC,as51
271396,2010-03-18,6.2,6.2,6.13,6.14,268431.0,IVC,as51
271397,2010-03-19,6.13,6.17,6.08,6.17,132308.0,IVC,as51
271398,2010-03-22,6.06,6.13,6.06,6.12,54125.0,IVC,as51
271399,2010-03-23,6.12,6.16,6.07,6.13,223311.0,IVC,as51
271400,2010-03-24,6.16,6.17,6.09,6.13,76306.0,IVC,as51
271401,2010-03-25,6.09,6.11,5.99,6.0,297327.0,IVC,as51
271402,2010-03-26,5.96,5.99,5.94,5.94,180526.0,IVC,as51
271403,2010-03-29,6.0,6.0,5.9,5.91,267201.0,IVC,as51
271404,2010-03-30,5.93,6.0,5.92,5.95,218239.0,IVC,as51
271405,2010-03-31,6.0,6.0,5.95,5.95,91490.0,IVC,as51
271406,2010-04-01,5.95,5.98,5.94,5.95,153529.0,IVC,as51
271407,2010-04-02,5.95,5.98,5.94,5.95,153529.0,IVC,as51
271408,2010-04-05,5.95,5.98,5.94,5.95,153529.0,IVC,as51
271409,2010-04-06,5.96,6.0,5.92,5.99,90806.0,IVC,as51
271410,2010-04-07,6.0,6.08,5.99,6.02,123474.0,IVC,as51
271411,2010-04-08,6.02,6.05,5.97,6.0,474844.0,IVC,as51
271412,2010-04-09,6.0,6.03,5.98,6.02,335181.0,IVC,as51
271413,2010-04-12,6.05,6.09,6.02,6.06,105611.0,IVC,as51
271414,2010-04-13,6.02,6.05,6.01,6.01,99206.0,IVC,as51
271415,2010-04-14,6.07,6.09,6.01,6.02,162021.0,IVC,as51
271416,2010-04-15,6.05,6.17,6.02,6.15,248231.0,IVC,as51
271417,2010-04-16,6.12,6.17,6.08,6.17,170258.0,IVC,as51
271418,2010-04-19,6.12,6.16,6.08,6.12,62574.0,IVC,as51
271419,2010-04-20,6.15,6.15,6.01,6.01,172782.0,IVC,as51
271420,2010-04-21,6.09,6.2,6.09,6.2,124951.0,IVC,as51
271421,2010-04-22,6.19,6.2,6.15,6.2,77249.0,IVC,as51
271422,2010-04-23,6.17,6.19,6.15,6.17,65418.0,IVC,as51
271423,2010-04-26,6.17,6.19,6.15,6.17,65418.0,IVC,as51
271424,2010-04-27,6.18,6.29,6.15,6.21,165854.0,IVC,as51
271425,2010-04-28,6.14,6.19,6.06,6.1,169532.0,IVC,as51
271426,2010-04-29,6.08,6.2,6.08,6.15,135599.0,IVC,as51
271427,2010-04-30,6.18,6.29,6.18,6.29,214575.0,IVC,as51
271428,2010-05-03,6.3,6.34,6.24,6.24,129384.0,IVC,as51
271429,2010-05-04,6.32,6.33,6.17,6.18,128020.0,IVC,as51
271430,2010-05-05,6.1,6.24,6.06,6.17,112692.0,IVC,as51
271431,2010-05-06,6.1,6.14,6.1,6.11,149558.0,IVC,as51
271432,2010-05-07,6.02,6.11,5.85,5.91,390861.0,IVC,as51
271433,2010-05-10,6.05,6.14,5.9,6.14,192327.0,IVC,as51
271434,2010-05-11,6.14,6.15,6.05,6.07,152731.0,IVC,as51
271435,2010-05-12,6.14,6.29,6.09,6.22,123910.0,IVC,as51
271436,2010-05-13,6.22,6.25,6.14,6.25,181040.0,IVC,as51
271437,2010-05-14,6.19,6.27,6.19,6.23,122823.0,IVC,as51
271438,2010-05-17,6.19,6.23,6.03,6.03,198954.0,IVC,as51
271439,2010-05-18,6.04,6.08,5.83,5.85,331303.0,IVC,as51
271440,2010-05-19,5.85,5.97,5.78,5.78,302627.0,IVC,as51
271441,2010-05-20,5.78,6.02,5.78,5.85,284193.0,IVC,as51
271442,2010-05-21,5.8,6.0,5.71,5.89,285136.0,IVC,as51
271443,2010-05-24,5.95,5.97,5.77,5.95,174104.0,IVC,as51
271444,2010-05-25,5.93,5.98,5.83,5.83,240111.0,IVC,as51
271445,2010-05-26,5.9,5.93,5.7,5.7,423996.0,IVC,as51
271446,2010-05-27,5.71,5.89,5.71,5.89,295799.0,IVC,as51
271447,2010-05-28,5.9,5.93,5.82,5.93,131890.0,IVC,as51
271448,2010-05-31,5.92,6.05,5.91,6.04,294175.0,IVC,as51
271449,2010-06-01,5.94,6.04,5.93,5.96,123279.0,IVC,as51
271450,2010-06-02,6.04,6.07,5.92,5.92,160609.0,IVC,as51
271451,2010-06-03,6.04,6.06,5.96,5.98,119572.0,IVC,as51
271452,2010-06-04,5.99,6.01,5.93,5.93,260808.0,IVC,as51
