,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
285173,2021-10-01,21.98,22.22,21.15,21.39,362624.0,LIC,as51
285174,2021-10-04,22.04,22.38,21.66,21.92,185342.0,LIC,as51
285175,2021-10-05,21.15,22.15,20.56,22.07,823187.0,LIC,as51
285176,2021-10-06,21.54,22.18,21.54,21.64,385125.0,LIC,as51
285177,2021-10-07,21.9,22.65,21.84,22.5,404875.0,LIC,as51
285178,2021-10-08,22.83,22.83,22.15,22.73,420202.0,LIC,as51
285179,2021-10-11,22.04,22.59,21.9,22.42,302628.0,LIC,as51
285180,2021-10-12,22.0,22.88,22.0,22.88,214430.0,LIC,as51
285181,2021-10-13,22.84,23.16,22.56,23.16,248411.0,LIC,as51
285182,2021-10-14,23.75,23.85,23.27,23.5,298053.0,LIC,as51
285183,2021-10-15,23.5,23.7,22.98,23.7,362387.0,LIC,as51
285184,2021-10-18,23.8,23.8,23.16,23.23,163370.0,LIC,as51
285185,2021-10-19,22.56,23.48,22.56,23.15,322357.0,LIC,as51
285186,2021-10-20,23.27,23.32,22.89,22.91,216058.0,LIC,as51
285187,2021-10-21,22.86,23.08,22.62,22.92,395655.0,LIC,as51
285188,2021-10-22,22.65,23.36,22.55,23.24,241837.0,LIC,as51
285189,2021-10-25,23.45,23.605,23.18,23.29,168071.0,LIC,as51
285190,2021-10-26,23.6,23.6,22.99,23.2,206336.0,LIC,as51
285191,2021-10-27,22.5,23.14,21.91,21.96,366950.0,LIC,as51
285192,2021-10-28,21.85,22.0,21.23,21.85,219827.0,LIC,as51
285193,2021-10-29,21.85,21.94,21.5,21.75,354781.0,LIC,as51
285194,2021-11-01,22.08,22.08,21.59,21.8,188953.0,LIC,as51
285195,2021-11-02,22.0,22.09,21.43,21.89,138652.0,LIC,as51
285196,2021-11-03,22.0,22.14,21.83,21.9,202992.0,LIC,as51
285197,2021-11-04,21.35,21.99,20.82,21.8,204890.0,LIC,as51
285198,2021-11-05,22.3,22.3,21.64,21.75,140659.0,LIC,as51
285199,2021-11-08,22.0,22.07,21.35,21.44,167627.0,LIC,as51
285200,2021-11-09,21.86,22.2,21.56,22.11,256425.0,LIC,as51
285201,2021-11-10,21.9,21.95,21.37,21.47,233361.0,LIC,as51
285202,2021-11-11,20.85,21.31,20.41,20.91,290859.0,LIC,as51
285203,2021-11-12,20.98,21.18,20.82,20.86,269615.0,LIC,as51
285204,2021-11-15,20.83,21.09,20.59,21.05,547670.0,LIC,as51
285205,2021-11-16,21.05,21.78,21.05,21.09,405202.0,LIC,as51
285206,2021-11-17,21.7,21.7,20.74,20.85,406244.0,LIC,as51
285207,2021-11-18,20.29,20.95,20.29,20.77,218176.0,LIC,as51
285208,2021-11-19,20.29,20.88,20.29,20.59,137659.0,LIC,as51
285209,2021-11-22,20.5,20.91,20.42,20.81,134854.0,LIC,as51
285210,2021-11-23,20.35,20.74,20.19,20.21,255356.0,LIC,as51
285211,2021-11-24,19.82,20.3,19.17,20.27,443323.0,LIC,as51
285212,2021-11-25,20.17,20.65,19.76,20.5,248525.0,LIC,as51
285213,2021-11-26,20.5,20.5,19.82,19.85,124578.0,LIC,as51
