,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
288320,2015-10-27,6.8388,6.8581,6.7955,6.81,36066900.0,LNK,as51
288321,2015-10-28,6.8003,6.9352,6.8003,6.8581,3912430.0,LNK,as51
288322,2015-10-29,6.8292,6.9063,6.8292,6.8677,2991600.0,LNK,as51
288323,2015-10-30,6.8292,6.9063,6.8196,6.8677,1738910.0,LNK,as51
288324,2015-11-02,6.8581,6.9063,6.8292,6.8581,1234520.0,LNK,as51
288325,2015-11-03,6.8485,6.8581,6.81,6.8388,1676360.0,LNK,as51
288326,2015-11-04,6.8292,6.8485,6.7811,6.81,1634160.0,LNK,as51
288327,2015-11-05,6.7907,6.81,6.7907,6.8003,875973.0,LNK,as51
288328,2015-11-06,6.7907,6.9159,6.7907,6.8966,3883210.0,LNK,as51
288329,2015-11-09,6.8966,6.8966,6.7907,6.887,510357.0,LNK,as51
288330,2015-11-10,6.8388,6.9159,6.8003,6.9159,694238.0,LNK,as51
288331,2015-11-11,6.8774,7.0219,6.8774,6.993,566659.0,LNK,as51
288332,2015-11-12,7.0315,7.2145,7.0315,7.1663,515640.0,LNK,as51
288333,2015-11-13,7.1278,7.176,7.1085,7.1567,1529220.0,LNK,as51
288334,2015-11-16,7.1278,7.2723,7.0508,7.2338,302645.0,LNK,as51
288335,2015-11-17,7.3108,7.3205,7.1374,7.2049,2064720.0,LNK,as51
288336,2015-11-18,7.1856,7.2193,7.1278,7.1856,778256.0,LNK,as51
288337,2015-11-19,7.2049,7.2434,7.176,7.2241,938409.0,LNK,as51
288338,2015-11-20,7.2241,7.2338,7.1278,7.1663,166587.0,LNK,as51
288339,2015-11-23,7.1278,7.2145,7.0508,7.1182,247077.0,LNK,as51
288340,2015-11-24,7.1278,7.1567,7.07,7.0893,291209.0,LNK,as51
288341,2015-11-25,7.1182,7.1278,7.0411,7.0893,279922.0,LNK,as51
288342,2015-11-26,7.0893,7.1085,7.0026,7.0026,252751.0,LNK,as51
288343,2015-11-27,7.0893,7.0989,7.0219,7.0797,1785490.0,LNK,as51
