,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
299227,2010-01-01,6.99,7.0,6.93,7.0,100633.0,MIN,as51
299228,2010-01-04,7.0,7.02,6.98,6.99,189066.0,MIN,as51
299229,2010-01-05,6.99,7.05,6.99,7.03,183781.0,MIN,as51
299230,2010-01-06,7.05,7.24,7.02,7.2,327119.0,MIN,as51
299231,2010-01-07,7.34,7.6,7.26,7.45,707950.0,MIN,as51
299232,2010-01-08,7.55,7.84,7.35,7.5,395575.0,MIN,as51
299233,2010-01-11,7.68,7.74,7.55,7.65,243014.0,MIN,as51
299234,2010-01-12,7.7,7.7,7.52,7.53,391393.0,MIN,as51
299235,2010-01-13,7.48,7.54,7.37,7.49,172913.0,MIN,as51
299236,2010-01-14,7.53,7.61,7.39,7.5,596974.0,MIN,as51
299237,2010-01-15,7.55,7.55,7.21,7.35,5955650.0,MIN,as51
299238,2010-01-18,7.35,7.47,7.32,7.32,259042.0,MIN,as51
299239,2010-01-19,7.3,7.31,7.2,7.3,281942.0,MIN,as51
299240,2010-01-20,7.2,7.34,7.15,7.27,3280680.0,MIN,as51
299241,2010-01-21,7.04,7.09,6.89,7.09,654166.0,MIN,as51
299242,2010-01-22,6.85,7.1,6.82,7.0,201532.0,MIN,as51
299243,2010-01-25,6.98,7.09,6.86,7.05,290255.0,MIN,as51
299244,2010-01-26,6.98,7.09,6.86,7.05,290255.0,MIN,as51
299245,2010-01-27,7.11,7.11,6.68,6.77,404473.0,MIN,as51
299246,2010-01-28,6.68,6.95,6.68,6.94,140826.0,MIN,as51
299247,2010-01-29,6.88,6.88,6.63,6.69,435860.0,MIN,as51
299248,2010-02-01,6.51,6.74,6.43,6.56,486194.0,MIN,as51
299249,2010-02-02,6.67,6.9,6.64,6.71,274134.0,MIN,as51
299250,2010-02-03,6.8,6.8,6.6,6.7,619830.0,MIN,as51
299251,2010-02-04,6.74,6.74,6.6,6.64,103685.0,MIN,as51
299252,2010-02-05,6.48,6.48,6.23,6.34,321095.0,MIN,as51
299253,2010-02-08,6.15,6.35,6.15,6.31,231006.0,MIN,as51
299254,2010-02-09,6.23,6.36,6.18,6.33,266068.0,MIN,as51
299255,2010-02-10,6.33,6.51,6.28,6.37,111745.0,MIN,as51
299256,2010-02-11,6.34,6.55,6.33,6.54,604281.0,MIN,as51
