,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
327456,2010-01-01,0.16,0.16,0.155,0.155,50000.0,NEA,as51
327457,2010-01-04,0.155,0.17,0.15,0.17,250266.0,NEA,as51
327458,2010-01-05,0.17,0.17,0.17,0.17,37000.0,NEA,as51
327459,2010-01-06,0.165,0.17,0.165,0.17,169000.0,NEA,as51
327460,2010-01-07,0.17,0.17,0.155,0.155,160000.0,NEA,as51
327461,2010-01-08,0.17,0.17,0.17,0.17,193324.0,NEA,as51
327462,2010-01-11,0.175,0.175,0.17,0.17,70000.0,NEA,as51
327463,2010-01-12,0.175,0.175,0.175,0.175,73571.0,NEA,as51
327464,2010-01-13,0.17,0.17,0.165,0.17,290500.0,NEA,as51
327465,2010-01-14,0.17,0.17,0.165,0.165,247650.0,NEA,as51
327466,2010-01-15,0.17,0.17,0.165,0.165,512716.0,NEA,as51
327467,2010-01-18,0.16,0.165,0.16,0.165,151851.0,NEA,as51
327468,2010-01-19,0.165,0.17,0.165,0.17,355882.0,NEA,as51
327469,2010-01-20,0.17,0.17,0.165,0.17,182481.0,NEA,as51
327470,2010-01-21,0.17,0.17,0.165,0.17,46477.0,NEA,as51
327471,2010-01-22,0.17,0.175,0.165,0.165,900792.0,NEA,as51
327472,2010-01-25,0.165,0.165,0.155,0.16,825500.0,NEA,as51
327473,2010-01-26,0.165,0.165,0.155,0.16,825500.0,NEA,as51
327474,2010-01-27,0.16,0.165,0.16,0.16,530639.0,NEA,as51
327475,2010-01-28,0.16,0.16,0.16,0.16,20000.0,NEA,as51
327476,2010-01-29,0.15,0.155,0.145,0.15,1000350.0,NEA,as51
327477,2010-02-01,0.145,0.145,0.11,0.135,780920.0,NEA,as51
327478,2010-02-02,0.115,0.135,0.115,0.135,727357.0,NEA,as51
327479,2010-02-03,0.14,0.14,0.13,0.13,191000.0,NEA,as51
327480,2010-02-04,0.135,0.135,0.13,0.13,327607.0,NEA,as51
327481,2010-02-05,0.11,0.13,0.1,0.13,786095.0,NEA,as51
327482,2010-02-08,0.11,0.13,0.1,0.13,786095.0,NEA,as51
327483,2010-02-09,0.11,0.12,0.105,0.11,824900.0,NEA,as51
327484,2010-02-10,0.115,0.115,0.11,0.11,468208.0,NEA,as51
327485,2010-02-11,0.11,0.12,0.11,0.12,97000.0,NEA,as51
327486,2010-02-12,0.12,0.12,0.115,0.12,335000.0,NEA,as51
327487,2010-02-15,0.115,0.115,0.115,0.115,50000.0,NEA,as51
327488,2010-02-16,0.11,0.11,0.11,0.11,26221.0,NEA,as51
327489,2010-02-17,0.11,0.115,0.105,0.115,111170.0,NEA,as51
327490,2010-02-18,0.115,0.115,0.115,0.115,67300.0,NEA,as51
327491,2010-02-19,0.115,0.12,0.115,0.12,137166.0,NEA,as51
327492,2010-02-22,0.12,0.12,0.11,0.11,40000.0,NEA,as51
327493,2010-02-23,0.12,0.12,0.12,0.12,16000.0,NEA,as51
327494,2010-02-24,0.12,0.16,0.12,0.14,1971020.0,NEA,as51
327495,2010-02-25,0.14,0.145,0.135,0.135,570000.0,NEA,as51
327496,2010-02-26,0.13,0.14,0.13,0.14,105000.0,NEA,as51
327497,2010-03-01,0.145,0.145,0.145,0.145,121000.0,NEA,as51
327498,2010-03-02,0.145,0.145,0.135,0.135,164690.0,NEA,as51
327499,2010-03-03,0.14,0.145,0.14,0.145,328710.0,NEA,as51
327500,2010-03-04,0.145,0.145,0.13,0.145,457869.0,NEA,as51
327501,2010-03-05,0.135,0.135,0.135,0.135,19800.0,NEA,as51
327502,2010-03-08,0.135,0.135,0.135,0.135,154700.0,NEA,as51
327503,2010-03-09,0.13,0.135,0.13,0.135,96536.0,NEA,as51
327504,2010-03-10,0.13,0.135,0.13,0.135,96536.0,NEA,as51
327505,2010-03-11,0.14,0.14,0.135,0.135,189554.0,NEA,as51
