,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
332643,2010-01-01,1.27,1.32,1.27,1.31,55522.0,NHF,as51
332644,2010-01-04,1.3,1.3,1.275,1.3,59641.0,NHF,as51
332645,2010-01-05,1.3,1.31,1.285,1.31,153122.0,NHF,as51
332646,2010-01-06,1.3,1.345,1.3,1.345,971708.0,NHF,as51
332647,2010-01-07,1.345,1.4,1.32,1.4,405090.0,NHF,as51
332648,2010-01-08,1.38,1.39,1.35,1.36,55174.0,NHF,as51
332649,2010-01-11,1.39,1.39,1.345,1.36,145911.0,NHF,as51
332650,2010-01-12,1.36,1.365,1.34,1.35,133006.0,NHF,as51
332651,2010-01-13,1.35,1.38,1.315,1.38,71370.0,NHF,as51
332652,2010-01-14,1.365,1.365,1.35,1.36,83475.0,NHF,as51
332653,2010-01-15,1.36,1.36,1.315,1.36,90013.0,NHF,as51
332654,2010-01-18,1.31,1.36,1.31,1.335,346992.0,NHF,as51
332655,2010-01-19,1.33,1.36,1.33,1.345,82580.0,NHF,as51
332656,2010-01-20,1.345,1.37,1.345,1.36,98273.0,NHF,as51
332657,2010-01-21,1.34,1.35,1.34,1.35,137594.0,NHF,as51
332658,2010-01-22,1.34,1.35,1.33,1.33,350755.0,NHF,as51
332659,2010-01-25,1.31,1.335,1.28,1.305,193679.0,NHF,as51
332660,2010-01-26,1.31,1.335,1.28,1.305,193679.0,NHF,as51
332661,2010-01-27,1.28,1.305,1.28,1.285,66109.0,NHF,as51
332662,2010-01-28,1.285,1.3,1.28,1.285,73481.0,NHF,as51
332663,2010-01-29,1.28,1.29,1.265,1.28,139355.0,NHF,as51
332664,2010-02-01,1.28,1.3,1.27,1.28,70099.0,NHF,as51
332665,2010-02-02,1.28,1.3,1.28,1.3,101551.0,NHF,as51
332666,2010-02-03,1.29,1.295,1.285,1.29,77146.0,NHF,as51
332667,2010-02-04,1.3,1.31,1.28,1.3,247132.0,NHF,as51
332668,2010-02-05,1.28,1.29,1.25,1.26,117689.0,NHF,as51
332669,2010-02-08,1.18,1.28,1.18,1.265,207431.0,NHF,as51
332670,2010-02-09,1.22,1.27,1.22,1.265,849278.0,NHF,as51
332671,2010-02-10,1.26,1.28,1.25,1.25,105721.0,NHF,as51
332672,2010-02-11,1.245,1.28,1.24,1.28,66793.0,NHF,as51
332673,2010-02-12,1.18,1.26,1.14,1.24,90625.0,NHF,as51
332674,2010-02-15,1.2,1.24,1.2,1.22,55357.0,NHF,as51
332675,2010-02-16,1.22,1.25,1.22,1.22,93771.0,NHF,as51
332676,2010-02-17,1.23,1.235,1.22,1.22,141501.0,NHF,as51
332677,2010-02-18,1.22,1.23,1.215,1.22,84025.0,NHF,as51
332678,2010-02-19,1.215,1.23,1.195,1.23,307664.0,NHF,as51
332679,2010-02-22,1.24,1.345,1.24,1.32,752967.0,NHF,as51
332680,2010-02-23,1.285,1.305,1.26,1.28,769504.0,NHF,as51
332681,2010-02-24,1.27,1.3,1.23,1.265,296751.0,NHF,as51
332682,2010-02-25,1.24,1.32,1.24,1.295,334819.0,NHF,as51
332683,2010-02-26,1.28,1.295,1.24,1.25,267822.0,NHF,as51
332684,2010-03-01,1.25,1.25,1.22,1.23,71137.0,NHF,as51
332685,2010-03-02,1.23,1.255,1.22,1.23,237449.0,NHF,as51
332686,2010-03-03,1.25,1.255,1.235,1.24,1881470.0,NHF,as51
332687,2010-03-04,1.28,1.28,1.22,1.26,128447.0,NHF,as51
332688,2010-03-05,1.22,1.25,1.215,1.23,137943.0,NHF,as51
332689,2010-03-08,1.25,1.27,1.245,1.25,107918.0,NHF,as51
332690,2010-03-09,1.24,1.265,1.235,1.265,54039.0,NHF,as51
332691,2010-03-10,1.245,1.26,1.2,1.26,92996.0,NHF,as51
332692,2010-03-11,1.22,1.245,1.21,1.225,62174.0,NHF,as51
332693,2010-03-12,1.21,1.25,1.21,1.24,140891.0,NHF,as51
332694,2010-03-15,1.24,1.25,1.235,1.245,88380.0,NHF,as51
332695,2010-03-16,1.28,1.285,1.215,1.23,204809.0,NHF,as51
332696,2010-03-17,1.23,1.255,1.21,1.255,140959.0,NHF,as51
332697,2010-03-18,1.25,1.26,1.22,1.24,150626.0,NHF,as51
332698,2010-03-19,1.24,1.28,1.23,1.23,108166.0,NHF,as51
332699,2010-03-22,1.23,1.26,1.23,1.255,75886.0,NHF,as51
332700,2010-03-23,1.25,1.255,1.235,1.255,76185.0,NHF,as51
332701,2010-03-24,1.255,1.26,1.23,1.24,94966.0,NHF,as51
332702,2010-03-25,1.25,1.265,1.24,1.24,161044.0,NHF,as51
332703,2010-03-26,1.24,1.26,1.24,1.26,74244.0,NHF,as51
332704,2010-03-29,1.25,1.27,1.245,1.27,157522.0,NHF,as51
332705,2010-03-30,1.27,1.275,1.25,1.26,278868.0,NHF,as51
332706,2010-03-31,1.26,1.275,1.255,1.275,141774.0,NHF,as51
332707,2010-04-01,1.275,1.3,1.265,1.275,16051700.0,NHF,as51
332708,2010-04-02,1.275,1.3,1.265,1.275,16051700.0,NHF,as51
332709,2010-04-05,1.275,1.3,1.265,1.275,16051700.0,NHF,as51
332710,2010-04-06,1.275,1.3,1.275,1.28,256326.0,NHF,as51
332711,2010-04-07,1.28,1.29,1.275,1.28,127735.0,NHF,as51
332712,2010-04-08,1.28,1.31,1.28,1.3,1210840.0,NHF,as51
332713,2010-04-09,1.3,1.31,1.29,1.31,141925.0,NHF,as51
332714,2010-04-12,1.29,1.3,1.29,1.3,288257.0,NHF,as51
332715,2010-04-13,1.295,1.3,1.275,1.285,93756.0,NHF,as51
332716,2010-04-14,1.285,1.3,1.27,1.28,466461.0,NHF,as51
332717,2010-04-15,1.28,1.29,1.265,1.28,277122.0,NHF,as51
332718,2010-04-16,1.29,1.3,1.27,1.3,1425150.0,NHF,as51
332719,2010-04-19,1.3,1.3,1.245,1.245,448604.0,NHF,as51
332720,2010-04-20,1.25,1.27,1.245,1.27,64474.0,NHF,as51
332721,2010-04-21,1.25,1.28,1.25,1.28,231139.0,NHF,as51
332722,2010-04-22,1.26,1.265,1.25,1.26,5591370.0,NHF,as51
332723,2010-04-23,1.25,1.27,1.25,1.27,106598.0,NHF,as51
332724,2010-04-26,1.25,1.27,1.25,1.27,106598.0,NHF,as51
332725,2010-04-27,1.255,1.28,1.25,1.25,119047.0,NHF,as51
332726,2010-04-28,1.26,1.27,1.25,1.26,332320.0,NHF,as51
332727,2010-04-29,1.255,1.285,1.25,1.255,173813.0,NHF,as51
332728,2010-04-30,1.26,1.28,1.26,1.265,70386.0,NHF,as51
332729,2010-05-03,1.26,1.27,1.255,1.265,107256.0,NHF,as51
