,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
335749,2021-10-01,0.935,0.945,0.905,0.91,10550400.0,NIC,as51
335750,2021-10-04,0.93,0.945,0.91,0.92,5574560.0,NIC,as51
335751,2021-10-05,0.91,0.92,0.89,0.915,7880580.0,NIC,as51
335752,2021-10-06,0.905,0.925,0.885,0.89,13341300.0,NIC,as51
335753,2021-10-07,0.895,0.91,0.89,0.905,8072670.0,NIC,as51
335754,2021-10-08,0.92,0.945,0.915,0.94,8846810.0,NIC,as51
335755,2021-10-11,0.955,0.97,0.94,0.96,8137410.0,NIC,as51
335756,2021-10-12,0.96,0.97,0.935,0.935,7331680.0,NIC,as51
335757,2021-10-13,0.935,0.94,0.915,0.935,7717540.0,NIC,as51
335758,2021-10-14,0.93,0.98,0.92,0.975,10195600.0,NIC,as51
335759,2021-10-15,0.98,0.99,0.97,0.985,9849870.0,NIC,as51
335760,2021-10-18,1.0,1.0425,1.0,1.035,12912200.0,NIC,as51
335761,2021-10-19,1.04,1.05,1.025,1.05,7620040.0,NIC,as51
335762,2021-10-20,1.065,1.0725,1.035,1.05,14945100.0,NIC,as51
335763,2021-10-21,1.07,1.1025,1.06,1.095,16947700.0,NIC,as51
335764,2021-10-22,1.055,1.08,1.045,1.055,9053220.0,NIC,as51
335765,2021-10-25,1.07,1.08,1.06,1.06,4933770.0,NIC,as51
335766,2021-10-26,1.065,1.085,1.065,1.065,4073570.0,NIC,as51
335767,2021-10-27,1.06,1.095,1.05,1.09,7024800.0,NIC,as51
335768,2021-10-28,1.06,1.06,1.02,1.025,6443290.0,NIC,as51
335769,2021-10-29,1.035,1.07,1.03,1.045,9265980.0,NIC,as51
335770,2021-11-01,1.055,1.085,1.035,1.05,9882980.0,NIC,as51
335771,2021-11-02,1.05,1.055,1.035,1.035,4941510.0,NIC,as51
335772,2021-11-03,1.05,1.055,1.02,1.035,7391450.0,NIC,as51
335773,2021-11-04,1.035,1.035,1.005,1.02,11159200.0,NIC,as51
335774,2021-11-05,1.015,1.025,1.0,1.015,4444550.0,NIC,as51
335775,2021-11-08,1.01,1.025,0.99,0.995,8236280.0,NIC,as51
335776,2021-11-09,1.0,1.045,1.0,1.03,5637340.0,NIC,as51
335777,2021-11-10,1.025,1.035,1.0125,1.015,5054140.0,NIC,as51
335778,2021-11-11,1.015,1.045,1.015,1.035,3634600.0,NIC,as51
335779,2021-11-12,1.04,1.075,1.04,1.065,5607420.0,NIC,as51
335780,2021-11-15,1.07,1.14,1.07,1.1,13095500.0,NIC,as51
335781,2021-11-16,1.1,1.1,1.07,1.09,6203880.0,NIC,as51
335782,2021-11-17,1.12,1.16,1.11,1.155,8587720.0,NIC,as51
335783,2021-11-18,1.16,1.175,1.13,1.165,6105630.0,NIC,as51
335784,2021-11-19,1.165,1.205,1.16,1.19,5836460.0,NIC,as51
335785,2021-11-22,1.195,1.305,1.195,1.285,19031200.0,NIC,as51
335786,2021-11-23,1.335,1.36,1.29,1.315,11972700.0,NIC,as51
335787,2021-11-24,1.305,1.34,1.3,1.315,11388700.0,NIC,as51
335788,2021-11-25,1.335,1.41,1.33,1.41,15772600.0,NIC,as51
335789,2021-11-26,1.395,1.415,1.365,1.395,9768040.0,NIC,as51
