,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
335790,2013-12-19,0.9677,0.9677,0.929,0.9435,15453800.0,NSR,as51
335791,2013-12-20,0.9531,0.9677,0.9483,0.9483,4679180.0,NSR,as51
335792,2013-12-23,0.9531,0.958,0.9483,0.9483,2449160.0,NSR,as51
335793,2013-12-24,0.9628,0.9628,0.9483,0.958,1530060.0,NSR,as51
335794,2013-12-25,0.9628,0.9628,0.9483,0.958,1530060.0,NSR,as51
335795,2013-12-26,0.9628,0.9628,0.9483,0.958,1530060.0,NSR,as51
335796,2013-12-27,0.958,0.987,0.958,0.9677,3088930.0,NSR,as51
335797,2013-12-30,0.9967,1.0015,0.987,0.987,450897.0,NSR,as51
335798,2013-12-31,1.0064,1.0064,0.987,0.9967,172444.0,NSR,as51
335799,2014-01-01,1.0064,1.0064,0.987,0.9967,172444.0,NSR,as51
335800,2014-01-02,0.9967,0.9967,0.987,0.987,473632.0,NSR,as51
335801,2014-01-03,0.987,0.9967,0.9822,0.987,437273.0,NSR,as51
335802,2014-01-06,0.9919,1.0257,0.9919,1.0257,881026.0,NSR,as51
335803,2014-01-07,1.0257,1.0306,1.0064,1.0209,829119.0,NSR,as51
335804,2014-01-08,1.0209,1.0499,1.0112,1.0257,859110.0,NSR,as51
335805,2014-01-09,1.0402,1.0402,1.0233,1.0306,220461.0,NSR,as51
335806,2014-01-10,1.0277,1.0277,1.0064,1.0064,1290290.0,NSR,as51
335807,2014-01-13,1.0257,1.0257,1.016,1.016,751549.0,NSR,as51
335808,2014-01-14,1.0209,1.0306,1.0209,1.0306,146778.0,NSR,as51
335809,2014-01-15,1.0306,1.0451,1.0257,1.0451,401216.0,NSR,as51
335810,2014-01-16,1.0451,1.0644,1.0402,1.0596,1479710.0,NSR,as51
335811,2014-01-17,1.0547,1.0644,1.0354,1.0354,321334.0,NSR,as51
335812,2014-01-20,1.0451,1.0451,1.0257,1.0354,326350.0,NSR,as51
335813,2014-01-21,1.0354,1.0644,1.0257,1.0644,536784.0,NSR,as51
335814,2014-01-22,1.0596,1.0644,1.0547,1.0547,339082.0,NSR,as51
335815,2014-01-23,1.0547,1.0838,1.0547,1.0644,1279860.0,NSR,as51
335816,2014-01-24,1.0547,1.0644,1.0547,1.0644,1319420.0,NSR,as51
335817,2014-01-27,1.0547,1.0644,1.0547,1.0644,1319420.0,NSR,as51
335818,2014-01-28,1.0596,1.0596,1.0499,1.0499,115516.0,NSR,as51
335819,2014-01-29,1.0596,1.0644,1.0547,1.0596,2194520.0,NSR,as51
335820,2014-01-30,1.0596,1.0741,1.0547,1.0644,405928.0,NSR,as51
335821,2014-01-31,1.0838,1.0838,1.0741,1.0741,405570.0,NSR,as51
335822,2014-02-03,1.0741,1.0935,1.0741,1.0935,538395.0,NSR,as51
335823,2014-02-04,1.0741,1.1031,1.0644,1.0935,1135100.0,NSR,as51
335824,2014-02-05,1.1031,1.1128,1.0741,1.0935,266599.0,NSR,as51
335825,2014-02-06,1.0935,1.0935,1.0693,1.0838,87444.0,NSR,as51
335826,2014-02-07,1.0789,1.0838,1.0644,1.0789,126412.0,NSR,as51
335827,2014-02-10,1.0789,1.0789,1.0741,1.0789,144077.0,NSR,as51
335828,2014-02-11,1.0741,1.0935,1.0741,1.0741,469564.0,NSR,as51
335829,2014-02-12,1.0789,1.0838,1.0741,1.0741,405734.0,NSR,as51
335830,2014-02-13,1.0838,1.0838,1.0644,1.0644,352699.0,NSR,as51
335831,2014-02-14,1.0789,1.0838,1.0789,1.0838,1052470.0,NSR,as51
335832,2014-02-17,1.0838,1.0838,1.0547,1.0547,652986.0,NSR,as51
335833,2014-02-18,1.0547,1.0644,1.0547,1.0596,925516.0,NSR,as51
335834,2014-02-19,1.0596,1.0644,1.0547,1.0547,1320320.0,NSR,as51
335835,2014-02-20,1.0547,1.0547,1.0402,1.0547,1426830.0,NSR,as51
335836,2014-02-21,1.0547,1.0547,1.0451,1.0451,6160770.0,NSR,as51
335837,2014-02-24,1.0499,1.0693,1.0499,1.0547,503515.0,NSR,as51
335838,2014-02-25,1.0547,1.0644,1.0547,1.0547,159442.0,NSR,as51
335839,2014-02-26,1.0499,1.0693,1.0499,1.0547,101769.0,NSR,as51
335840,2014-02-27,1.0547,1.0547,1.0402,1.0402,303069.0,NSR,as51
335841,2014-02-28,1.0402,1.0547,1.0402,1.0451,98653.0,NSR,as51
335842,2014-03-03,1.0547,1.0547,1.0451,1.0547,516227.0,NSR,as51
335843,2014-03-04,1.0547,1.0596,1.0451,1.0547,168535.0,NSR,as51
335844,2014-03-05,1.0644,1.0644,1.0499,1.0547,608052.0,NSR,as51
335845,2014-03-06,1.0596,1.0596,1.0499,1.0499,256098.0,NSR,as51
335846,2014-03-07,1.0547,1.0693,1.0451,1.0547,989396.0,NSR,as51
335847,2014-03-10,1.0644,1.0693,1.0499,1.0644,283527.0,NSR,as51
335848,2014-03-11,1.0547,1.0935,1.0547,1.0935,669957.0,NSR,as51
335849,2014-03-12,1.0935,1.1225,1.0935,1.108,2012520.0,NSR,as51
335850,2014-03-13,1.1128,1.1225,1.0838,1.108,4128520.0,NSR,as51
335851,2014-03-14,1.1031,1.108,1.0935,1.0983,696728.0,NSR,as51
335852,2014-03-17,1.1031,1.1128,1.0838,1.0838,504875.0,NSR,as51
335853,2014-03-18,1.0983,1.1031,1.0935,1.0935,1081690.0,NSR,as51
335854,2014-03-19,1.0838,1.0983,1.0789,1.0935,889198.0,NSR,as51
335855,2014-03-20,1.0935,1.0983,1.0741,1.0886,1470840.0,NSR,as51
335856,2014-03-21,1.0983,1.108,1.0983,1.1031,23050000.0,NSR,as51
335857,2014-03-24,1.0935,1.1128,1.0935,1.1128,632916.0,NSR,as51
335858,2014-03-25,1.0983,1.1128,1.0983,1.1031,707322.0,NSR,as51
335859,2014-03-26,1.1031,1.1031,1.0935,1.1031,526404.0,NSR,as51
335860,2014-03-27,1.0935,1.0983,1.0886,1.0935,281239.0,NSR,as51
335861,2014-03-28,1.0935,1.0935,1.0886,1.0935,131253.0,NSR,as51
335862,2014-03-31,1.0983,1.1031,1.0789,1.0789,674019.0,NSR,as51
335863,2014-04-01,1.0862,1.0886,1.0789,1.0838,428534.0,NSR,as51
335864,2014-04-02,1.0838,1.0886,1.0741,1.0838,775971.0,NSR,as51
335865,2014-04-03,1.0789,1.0886,1.0741,1.0886,203188.0,NSR,as51
335866,2014-04-04,1.0838,1.1031,1.0838,1.0983,180528.0,NSR,as51
335867,2014-04-07,1.0838,1.1031,1.0814,1.0935,336206.0,NSR,as51
335868,2014-04-08,1.0935,1.0983,1.0789,1.0886,822145.0,NSR,as51
335869,2014-04-09,1.1031,1.108,1.0983,1.1031,248025.0,NSR,as51
335870,2014-04-10,1.1031,1.1031,1.0935,1.0935,100937.0,NSR,as51
335871,2014-04-11,1.0935,1.1031,1.0886,1.0935,1816510.0,NSR,as51
335872,2014-04-14,1.1031,1.1056,1.0886,1.1031,2364320.0,NSR,as51
335873,2014-04-15,1.0983,1.1225,1.0983,1.1225,1919820.0,NSR,as51
335874,2014-04-16,1.1176,1.1176,1.1031,1.1128,123282.0,NSR,as51
335875,2014-04-17,1.108,1.1418,1.1031,1.1322,433727.0,NSR,as51
335876,2014-04-18,1.108,1.1418,1.1031,1.1322,433727.0,NSR,as51
335877,2014-04-21,1.108,1.1418,1.1031,1.1322,433727.0,NSR,as51
335878,2014-04-22,1.1273,1.1418,1.1225,1.1418,536280.0,NSR,as51
335879,2014-04-23,1.1467,1.1805,1.1418,1.1709,7176860.0,NSR,as51
335880,2014-04-24,1.1805,1.183,1.1491,1.1612,557765.0,NSR,as51
335881,2014-04-25,1.1805,1.183,1.1491,1.1612,557765.0,NSR,as51
335882,2014-04-28,1.1515,1.1757,1.1515,1.1709,299000.0,NSR,as51
335883,2014-04-29,1.166,1.1709,1.1515,1.1709,1526170.0,NSR,as51
335884,2014-04-30,1.1564,1.1854,1.1564,1.1854,3043230.0,NSR,as51
335885,2014-05-01,1.1805,1.1951,1.1757,1.1951,881515.0,NSR,as51
335886,2014-05-02,1.1805,1.2193,1.1805,1.2193,386056.0,NSR,as51
335887,2014-05-05,1.2047,1.2047,1.1805,1.1951,506191.0,NSR,as51
335888,2014-05-06,1.2047,1.2047,1.1854,1.1999,256034.0,NSR,as51
335889,2014-05-07,1.1999,1.1999,1.1757,1.1999,285978.0,NSR,as51
335890,2014-05-08,1.1999,1.1999,1.1805,1.1999,143962.0,NSR,as51
335891,2014-05-09,1.1951,1.2047,1.1805,1.1951,1829540.0,NSR,as51
335892,2014-05-12,1.1951,1.1999,1.1854,1.1951,116625.0,NSR,as51
335893,2014-05-13,1.1951,1.2193,1.1902,1.2193,802124.0,NSR,as51
335894,2014-05-14,1.2096,1.2386,1.2096,1.2289,328964.0,NSR,as51
335895,2014-05-15,1.2289,1.2483,1.2096,1.2483,1410690.0,NSR,as51
335896,2014-05-16,1.2483,1.2483,1.2144,1.2193,117608.0,NSR,as51
335897,2014-05-19,1.2144,1.2386,1.2144,1.2289,194240.0,NSR,as51
335898,2014-05-20,1.2289,1.2386,1.2241,1.2386,323449.0,NSR,as51
335899,2014-05-21,1.2386,1.2386,1.2047,1.2144,199934.0,NSR,as51
335900,2014-05-22,1.2144,1.2144,1.1757,1.1902,252757.0,NSR,as51
335901,2014-05-23,1.2047,1.2362,1.1999,1.2047,223342.0,NSR,as51
335902,2014-05-26,1.2289,1.2289,1.2047,1.2047,171493.0,NSR,as51
335903,2014-05-27,1.2096,1.2193,1.1564,1.2047,302767.0,NSR,as51
335904,2014-05-28,1.2144,1.2144,1.2047,1.2144,173892.0,NSR,as51
335905,2014-05-29,1.2144,1.2338,1.2144,1.2289,360564.0,NSR,as51
335906,2014-05-30,1.2289,1.2531,1.2241,1.2483,100806.0,NSR,as51
335907,2014-06-02,1.2531,1.3063,1.2483,1.2821,1040060.0,NSR,as51
335908,2014-06-03,1.287,1.2918,1.2628,1.287,2106280.0,NSR,as51
335909,2014-06-04,1.2918,1.3015,1.2773,1.2918,1635560.0,NSR,as51
335910,2014-06-05,1.2918,1.2918,1.2241,1.2483,363071.0,NSR,as51
335911,2014-06-06,1.2531,1.2773,1.2483,1.2773,239306.0,NSR,as51
335912,2014-06-09,1.2531,1.2773,1.2483,1.2773,239306.0,NSR,as51
335913,2014-06-10,1.2773,1.2773,1.258,1.2676,216695.0,NSR,as51
335914,2014-06-11,1.2676,1.2773,1.2386,1.2773,329613.0,NSR,as51
335915,2014-06-12,1.258,1.2821,1.2531,1.258,292291.0,NSR,as51
335916,2014-06-13,1.258,1.2967,1.2531,1.287,508356.0,NSR,as51
335917,2014-06-16,1.2967,1.2967,1.2338,1.2338,127744.0,NSR,as51
335918,2014-06-17,1.2338,1.2773,1.2338,1.2483,89415.0,NSR,as51
335919,2014-06-18,1.2483,1.258,1.2338,1.2483,155935.0,NSR,as51
335920,2014-06-19,1.2483,1.2821,1.2483,1.2676,135042.0,NSR,as51
335921,2014-06-20,1.2676,1.2821,1.2531,1.2628,133713.0,NSR,as51
335922,2014-06-23,1.2628,1.2821,1.258,1.2821,40170.0,NSR,as51
335923,2014-06-24,1.2773,1.2821,1.2676,1.2773,116100.0,NSR,as51
335924,2014-06-25,1.2773,1.287,1.2676,1.287,77799.0,NSR,as51
335925,2014-06-26,1.2821,1.2821,1.2289,1.2434,311579.0,NSR,as51
335926,2014-06-27,1.258,1.2773,1.2193,1.2289,315195.0,NSR,as51
335927,2014-06-30,1.258,1.2821,1.2289,1.2289,455331.0,NSR,as51
335928,2014-07-01,1.2483,1.2725,1.2386,1.2386,154528.0,NSR,as51
335929,2014-07-02,1.258,1.258,1.2386,1.2483,82376.0,NSR,as51
335930,2014-07-03,1.2386,1.2773,1.2289,1.2773,494616.0,NSR,as51
335931,2014-07-04,1.2773,1.2773,1.2483,1.2483,198204.0,NSR,as51
335932,2014-07-07,1.2821,1.287,1.258,1.2628,164442.0,NSR,as51
335933,2014-07-08,1.2386,1.2773,1.2386,1.2725,520629.0,NSR,as51
335934,2014-07-09,1.2676,1.3402,1.2676,1.2967,606411.0,NSR,as51
335935,2014-07-10,1.2967,1.3886,1.2918,1.3886,569349.0,NSR,as51
335936,2014-07-11,1.3838,1.3838,1.3209,1.3741,239993.0,NSR,as51
335937,2014-07-14,1.316,1.3547,1.3015,1.3354,354546.0,NSR,as51
335938,2014-07-15,1.345,1.345,1.2918,1.2918,85546.0,NSR,as51
335939,2014-07-16,1.3209,1.345,1.2967,1.3354,214100.0,NSR,as51
335940,2014-07-17,1.3354,1.345,1.3015,1.3402,201520.0,NSR,as51
335941,2014-07-18,1.3354,1.3644,1.3209,1.3644,84495.0,NSR,as51
335942,2014-07-21,1.3741,1.3741,1.3209,1.3209,346813.0,NSR,as51
335943,2014-07-22,1.3354,1.3547,1.3209,1.3547,70822.0,NSR,as51
335944,2014-07-23,1.3547,1.3547,1.3402,1.3547,188741.0,NSR,as51
335945,2014-07-24,1.3547,1.3547,1.3257,1.3257,174240.0,NSR,as51
335946,2014-07-25,1.3402,1.3402,1.3209,1.3354,134320.0,NSR,as51
335947,2014-07-28,1.3257,1.3499,1.3063,1.3499,211694.0,NSR,as51
335948,2014-07-29,1.3499,1.3789,1.3402,1.3741,234446.0,NSR,as51
335949,2014-07-30,1.3741,1.3789,1.3499,1.3789,201185.0,NSR,as51
335950,2014-07-31,1.3789,1.3838,1.3547,1.3789,290830.0,NSR,as51
335951,2014-08-01,1.3644,1.3644,1.3402,1.3402,213507.0,NSR,as51
335952,2014-08-04,1.345,1.345,1.3354,1.3402,592582.0,NSR,as51
335953,2014-08-05,1.3354,1.3547,1.3354,1.345,2872830.0,NSR,as51
335954,2014-08-06,1.345,1.3475,1.3305,1.3354,255223.0,NSR,as51
