,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
337862,2010-01-01,0.029,0.029,0.029,0.029,34537.0,NST,as51
337863,2010-01-04,0.029,0.029,0.029,0.029,34537.0,NST,as51
337864,2010-01-05,0.029,0.029,0.029,0.029,34537.0,NST,as51
337865,2010-01-06,0.031,0.031,0.03,0.03,350000.0,NST,as51
337866,2010-01-07,0.031,0.031,0.03,0.03,350000.0,NST,as51
337867,2010-01-08,0.031,0.031,0.03,0.03,350000.0,NST,as51
337868,2010-01-11,0.031,0.031,0.03,0.03,350000.0,NST,as51
337869,2010-01-12,0.031,0.031,0.03,0.03,350000.0,NST,as51
337870,2010-01-13,0.03,0.03,0.03,0.03,432554.0,NST,as51
337871,2010-01-14,0.03,0.03,0.03,0.03,432554.0,NST,as51
337872,2010-01-15,0.03,0.03,0.03,0.03,432554.0,NST,as51
337873,2010-01-18,0.03,0.03,0.03,0.03,432554.0,NST,as51
337874,2010-01-19,0.03,0.03,0.03,0.03,432554.0,NST,as51
337875,2010-01-20,0.03,0.03,0.03,0.03,432554.0,NST,as51
337876,2010-01-21,0.03,0.03,0.03,0.03,432554.0,NST,as51
337877,2010-01-22,0.03,0.03,0.03,0.03,432554.0,NST,as51
337878,2010-01-25,0.03,0.03,0.029,0.029,160000.0,NST,as51
337879,2010-01-26,0.03,0.03,0.029,0.029,160000.0,NST,as51
337880,2010-01-27,0.03,0.03,0.029,0.029,160000.0,NST,as51
337881,2010-01-28,0.03,0.03,0.029,0.029,160000.0,NST,as51
337882,2010-01-29,0.03,0.03,0.029,0.029,160000.0,NST,as51
337883,2010-02-01,0.03,0.03,0.029,0.029,160000.0,NST,as51
337884,2010-02-02,0.029,0.029,0.029,0.029,100806.0,NST,as51
337885,2010-02-03,0.032,0.032,0.03,0.03,250000.0,NST,as51
337886,2010-02-04,0.03,0.03,0.03,0.03,100000.0,NST,as51
337887,2010-02-05,0.03,0.03,0.03,0.03,100000.0,NST,as51
337888,2010-02-08,0.029,0.029,0.029,0.029,84213.0,NST,as51
337889,2010-02-09,0.029,0.029,0.029,0.029,84213.0,NST,as51
