,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
340968,2010-01-01,9.9914,10.0189,9.9822,9.9914,1299100.0,NUF,as51
340969,2010-01-04,9.9914,10.0281,9.9363,9.9914,1099230.0,NUF,as51
340970,2010-01-05,9.9914,10.0005,9.8813,9.9455,1395210.0,NUF,as51
340971,2010-01-06,9.918,9.918,9.7895,9.8629,1348580.0,NUF,as51
340972,2010-01-07,9.9088,9.918,9.817,9.817,2633280.0,NUF,as51
340973,2010-01-08,9.8354,9.8996,9.817,9.8629,2124400.0,NUF,as51
340974,2010-01-11,9.8996,9.9088,9.8537,9.9088,689342.0,NUF,as51
340975,2010-01-12,9.8813,9.9547,9.8813,9.9547,1300560.0,NUF,as51
340976,2010-01-13,9.817,9.918,9.817,9.8629,1976000.0,NUF,as51
340977,2010-01-14,9.8813,9.8904,9.7987,9.7987,1255730.0,NUF,as51
340978,2010-01-15,9.762,9.8446,9.7069,9.7528,2260880.0,NUF,as51
340979,2010-01-18,9.7345,9.7895,9.7253,9.762,1683260.0,NUF,as51
340980,2010-01-19,9.7345,9.7528,9.6427,9.6794,736647.0,NUF,as51
340981,2010-01-20,9.6702,9.7253,9.551,9.6335,1465770.0,NUF,as51
340982,2010-01-21,9.551,9.5968,9.3124,9.5418,2270450.0,NUF,as51
340983,2010-01-22,9.45,9.6152,9.2482,9.5051,2184280.0,NUF,as51
340984,2010-01-25,9.3583,9.4959,9.3583,9.4317,761558.0,NUF,as51
340985,2010-01-26,9.3583,9.4959,9.3583,9.4317,761558.0,NUF,as51
340986,2010-01-27,9.4042,9.4959,9.2849,9.3491,1736620.0,NUF,as51
340987,2010-01-28,9.3216,9.3858,9.2757,9.3583,1033560.0,NUF,as51
340988,2010-01-29,9.2666,9.4867,9.2574,9.34,946154.0,NUF,as51
340989,2010-02-01,9.2849,9.3124,8.8078,8.9271,2155530.0,NUF,as51
340990,2010-02-02,8.9913,9.1565,8.9363,9.1473,939926.0,NUF,as51
340991,2010-02-03,9.1748,9.3308,9.1381,9.3124,885546.0,NUF,as51
340992,2010-02-04,9.2207,9.2666,9.0922,9.2666,1706260.0,NUF,as51
340993,2010-02-05,9.0372,9.0831,8.8996,8.8996,959791.0,NUF,as51
340994,2010-02-08,8.9363,9.0097,8.7986,8.7986,422368.0,NUF,as51
340995,2010-02-09,8.7619,8.8078,8.5509,8.8078,1615310.0,NUF,as51
340996,2010-02-10,8.8445,9.0005,8.7803,8.8812,3451560.0,NUF,as51
340997,2010-02-11,8.9271,8.9363,8.7711,8.8078,652999.0,NUF,as51
340998,2010-02-12,8.8445,8.8445,8.7252,8.7436,1155440.0,NUF,as51
340999,2010-02-15,8.7069,8.8812,8.7069,8.7619,1197340.0,NUF,as51
341000,2010-02-16,8.8078,8.9638,8.7711,8.8537,4734460.0,NUF,as51
341001,2010-02-17,8.9638,9.1656,8.9179,9.1014,1405310.0,NUF,as51
341002,2010-02-18,9.1289,9.1932,9.0739,9.1473,625920.0,NUF,as51
341003,2010-02-19,9.1106,9.2482,9.0372,9.1932,732836.0,NUF,as51
341004,2010-02-22,9.3033,9.3033,9.1473,9.2023,398047.0,NUF,as51
341005,2010-02-23,9.239,9.34,9.1932,9.3124,1542500.0,NUF,as51
341006,2010-02-24,9.239,9.3675,9.1289,9.3675,2462800.0,NUF,as51
341007,2010-02-25,9.3308,9.3308,9.1014,9.1565,2351080.0,NUF,as51
341008,2010-02-26,9.1198,9.1198,8.9087,8.9271,1935010.0,NUF,as51
341009,2010-03-01,9.0005,9.0831,8.9087,8.9454,1646050.0,NUF,as51
341010,2010-03-02,8.7161,8.7803,8.2206,8.6885,6396440.0,NUF,as51
341011,2010-03-03,8.5326,8.5601,8.4041,8.5142,2446560.0,NUF,as51
341012,2010-03-04,8.4408,8.4683,8.3858,8.4225,2803090.0,NUF,as51
341013,2010-03-05,8.4041,8.4959,8.2848,8.2848,2904380.0,NUF,as51
341014,2010-03-08,8.3766,8.4592,8.2848,8.3215,3337360.0,NUF,as51
341015,2010-03-09,8.4408,8.5601,8.3399,8.4408,4584580.0,NUF,as51
341016,2010-03-10,7.7068,7.872,7.5967,7.6885,4401040.0,NUF,as51
341017,2010-03-11,7.7344,7.7986,7.7068,7.7344,1498940.0,NUF,as51
341018,2010-03-12,7.7986,8.0463,7.7435,7.9821,1412730.0,NUF,as51
341019,2010-03-15,7.9913,8.0555,7.8628,7.9179,895758.0,NUF,as51
341020,2010-03-16,7.8903,7.927,7.8261,7.8995,821017.0,NUF,as51
341021,2010-03-17,7.9179,8.028,7.9179,8.028,1141650.0,NUF,as51
341022,2010-03-18,8.1197,8.1197,8.0188,8.0738,2125160.0,NUF,as51
341023,2010-03-19,8.0922,8.0922,8.0371,8.0555,993491.0,NUF,as51
341024,2010-03-22,8.0463,8.0738,8.0096,8.0371,952373.0,NUF,as51
341025,2010-03-23,8.0738,8.1472,8.0647,8.0738,1186920.0,NUF,as51
341026,2010-03-24,8.0922,8.1105,8.028,8.0738,507588.0,NUF,as51
341027,2010-03-25,8.0463,8.0463,7.9362,7.9913,898498.0,NUF,as51
341028,2010-03-26,7.9821,8.028,7.9454,8.028,489675.0,NUF,as51
341029,2010-03-29,8.0738,8.0738,7.9179,7.9637,4282040.0,NUF,as51
341030,2010-03-30,7.8445,7.8445,7.4499,7.4499,3027820.0,NUF,as51
341031,2010-03-31,7.4591,7.6243,7.4591,7.5509,1819770.0,NUF,as51
341032,2010-04-01,7.6701,7.6885,7.4866,7.5142,932668.0,NUF,as51
341033,2010-04-02,7.6701,7.6885,7.4866,7.5142,932668.0,NUF,as51
341034,2010-04-05,7.6701,7.6885,7.4866,7.5142,932668.0,NUF,as51
341035,2010-04-06,7.5142,7.6243,7.5142,7.5967,643967.0,NUF,as51
