,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
347180,2017-11-20,4.88,5.35,4.87,5.32,20005200.0,NWL,as51
347181,2017-11-21,5.31,5.38,5.21,5.35,4588740.0,NWL,as51
347182,2017-11-22,5.37,5.45,5.29,5.37,1466060.0,NWL,as51
347183,2017-11-23,5.42,5.49,5.3,5.42,852620.0,NWL,as51
347184,2017-11-24,5.5,5.67,5.4,5.4,762941.0,NWL,as51
347185,2017-11-27,5.44,5.53,5.25,5.25,742560.0,NWL,as51
347186,2017-11-28,5.29,5.34,5.19,5.27,401382.0,NWL,as51
347187,2017-11-29,5.3,5.35,5.24,5.3,449639.0,NWL,as51
347188,2017-11-30,5.32,5.38,5.3,5.33,1208270.0,NWL,as51
347189,2017-12-01,5.34,5.37,5.21,5.33,585501.0,NWL,as51
347190,2017-12-04,5.33,5.53,5.31,5.39,410953.0,NWL,as51
347191,2017-12-05,5.35,5.44,5.35,5.39,314942.0,NWL,as51
347192,2017-12-06,5.39,5.5,5.37,5.49,558846.0,NWL,as51
347193,2017-12-07,5.52,5.7,5.47,5.7,167162.0,NWL,as51
347194,2017-12-08,5.64,5.7,5.525,5.57,119278.0,NWL,as51
347195,2017-12-11,5.55,5.61,5.5,5.58,257396.0,NWL,as51
347196,2017-12-12,5.6,5.75,5.5,5.69,520724.0,NWL,as51
347197,2017-12-13,5.65,5.95,5.65,5.85,284312.0,NWL,as51
347198,2017-12-14,5.9,6.09,5.85,6.03,1179810.0,NWL,as51
347199,2017-12-15,6.09,6.27,6.02,6.2,434628.0,NWL,as51
347200,2017-12-18,6.39,6.55,6.2,6.21,397796.0,NWL,as51
347201,2017-12-19,6.25,6.41,6.25,6.35,42778.0,NWL,as51
347202,2017-12-20,6.33,6.4,6.3,6.4,301284.0,NWL,as51
347203,2017-12-21,6.32,6.44,6.31,6.44,171728.0,NWL,as51
347204,2017-12-22,6.42,6.94,6.42,6.67,100878.0,NWL,as51
347205,2017-12-25,6.42,6.94,6.42,6.67,100878.0,NWL,as51
347206,2017-12-26,6.42,6.94,6.42,6.67,100878.0,NWL,as51
347207,2017-12-27,6.91,7.1,6.85,7.1,115090.0,NWL,as51
347208,2017-12-28,7.22,7.4,7.21,7.35,462155.0,NWL,as51
347209,2017-12-29,7.35,7.43,7.25,7.28,107538.0,NWL,as51
347210,2018-01-01,7.35,7.43,7.25,7.28,107538.0,NWL,as51
347211,2018-01-02,7.32,7.33,6.5,6.89,164081.0,NWL,as51
347212,2018-01-03,6.89,6.89,6.55,6.6,183178.0,NWL,as51
347213,2018-01-04,6.55,6.55,6.28,6.33,237655.0,NWL,as51
347214,2018-01-05,6.32,6.32,6.02,6.02,197085.0,NWL,as51
347215,2018-01-08,6.14,6.14,5.895,5.95,351119.0,NWL,as51
347216,2018-01-09,5.95,6.26,5.9,6.19,114414.0,NWL,as51
347217,2018-01-10,6.21,6.42,6.21,6.3,215485.0,NWL,as51
347218,2018-01-11,6.3,6.39,6.17,6.24,756524.0,NWL,as51
347219,2018-01-12,6.39,6.45,6.24,6.3,40471.0,NWL,as51
347220,2018-01-15,6.3,6.3,6.07,6.16,59699.0,NWL,as51
347221,2018-01-16,6.15,6.3,6.07,6.2,132595.0,NWL,as51
347222,2018-01-17,6.2,6.2,6.08,6.11,134602.0,NWL,as51
347223,2018-01-18,6.16,6.55,6.16,6.5,1845750.0,NWL,as51
347224,2018-01-19,6.5,6.53,6.24,6.42,119548.0,NWL,as51
347225,2018-01-22,6.46,6.64,6.35,6.5,700750.0,NWL,as51
347226,2018-01-23,6.48,6.56,6.35,6.5,156384.0,NWL,as51
347227,2018-01-24,6.5,6.61,6.5,6.53,145254.0,NWL,as51
347228,2018-01-25,6.49,6.49,6.31,6.4,243738.0,NWL,as51
347229,2018-01-26,6.49,6.49,6.31,6.4,243738.0,NWL,as51
347230,2018-01-29,6.4,6.4,6.09,6.2,98575.0,NWL,as51
347231,2018-01-30,6.2,6.27,6.15,6.21,97198.0,NWL,as51
347232,2018-01-31,5.8,6.2,5.61,6.2,883310.0,NWL,as51
347233,2018-02-01,6.21,6.52,6.2,6.34,309429.0,NWL,as51
347234,2018-02-02,6.3,6.4,6.21,6.29,811619.0,NWL,as51
347235,2018-02-05,6.0,6.37,6.0,6.09,353802.0,NWL,as51
347236,2018-02-06,5.88,6.09,5.66,5.9,424066.0,NWL,as51
347237,2018-02-07,6.01,6.22,5.99,6.05,389436.0,NWL,as51
347238,2018-02-08,6.1,6.17,5.97,6.0,117981.0,NWL,as51
347239,2018-02-09,5.82,5.97,5.81,5.9,147176.0,NWL,as51
347240,2018-02-12,5.88,5.94,5.81,5.9,124799.0,NWL,as51
347241,2018-02-13,5.9,6.095,5.9,6.0,109910.0,NWL,as51
347242,2018-02-14,6.0,6.05,5.96,5.99,80027.0,NWL,as51
347243,2018-02-15,6.0,6.1,5.98,6.08,96835.0,NWL,as51
347244,2018-02-16,6.08,6.34,6.03,6.19,174725.0,NWL,as51
347245,2018-02-19,6.1,6.19,5.98,6.04,177992.0,NWL,as51
347246,2018-02-20,6.1,6.24,6.1,6.16,126377.0,NWL,as51
347247,2018-02-21,6.16,6.39,6.16,6.25,103221.0,NWL,as51
347248,2018-02-22,6.28,6.5,6.22,6.42,128111.0,NWL,as51
347249,2018-02-23,6.4,6.68,6.33,6.67,215947.0,NWL,as51
347250,2018-02-26,6.72,6.76,6.61,6.7,263920.0,NWL,as51
347251,2018-02-27,6.83,7.0,6.65,6.84,506633.0,NWL,as51
347252,2018-02-28,6.85,6.85,6.51,6.6,222382.0,NWL,as51
347253,2018-03-01,6.61,6.61,6.37,6.59,291273.0,NWL,as51
347254,2018-03-02,6.65,6.8,6.44,6.7,239965.0,NWL,as51
347255,2018-03-05,6.72,6.9,6.63,6.7,146377.0,NWL,as51
347256,2018-03-06,6.84,6.87,6.75,6.83,93574.0,NWL,as51
347257,2018-03-07,6.89,6.95,6.8,6.95,130288.0,NWL,as51
347258,2018-03-08,6.95,6.97,6.875,6.96,29732.0,NWL,as51
347259,2018-03-09,6.98,7.4,6.96,7.25,848677.0,NWL,as51
347260,2018-03-12,7.3,7.39,7.21,7.25,191264.0,NWL,as51
347261,2018-03-13,7.25,7.25,7.11,7.16,302798.0,NWL,as51
347262,2018-03-14,7.1,7.19,6.79,6.96,228006.0,NWL,as51
347263,2018-03-15,7.03,7.1,6.83,7.04,366999.0,NWL,as51
347264,2018-03-16,6.95,7.02,6.56,6.66,1334400.0,NWL,as51
347265,2018-03-19,6.87,7.07,6.75,7.0,106281.0,NWL,as51
347266,2018-03-20,6.99,6.99,6.85,6.88,38690.0,NWL,as51
347267,2018-03-21,6.96,6.96,6.68,6.85,132400.0,NWL,as51
347268,2018-03-22,6.81,6.84,6.62,6.71,61249.0,NWL,as51
347269,2018-03-23,6.6,6.7,6.41,6.43,54403.0,NWL,as51
347270,2018-03-26,6.55,6.55,6.3,6.45,1231970.0,NWL,as51
347271,2018-03-27,6.5,6.62,6.42,6.61,203753.0,NWL,as51
347272,2018-03-28,6.62,6.73,6.59,6.71,42117.0,NWL,as51
347273,2018-03-29,6.73,6.81,6.58,6.8,115599.0,NWL,as51
347274,2018-03-30,6.73,6.81,6.58,6.8,115599.0,NWL,as51
347275,2018-04-02,6.73,6.81,6.58,6.8,115599.0,NWL,as51
347276,2018-04-03,6.98,6.98,6.57,6.78,97686.0,NWL,as51
347277,2018-04-04,6.78,7.11,6.74,7.03,142723.0,NWL,as51
347278,2018-04-05,6.98,7.07,6.85,7.0,303101.0,NWL,as51
347279,2018-04-06,6.76,6.86,6.58,6.73,70177.0,NWL,as51
347280,2018-04-09,6.64,6.85,6.37,6.42,114026.0,NWL,as51
347281,2018-04-10,6.4,6.6,6.33,6.57,258887.0,NWL,as51
347282,2018-04-11,6.55,6.56,6.38,6.45,339809.0,NWL,as51
347283,2018-04-12,6.47,6.6,6.31,6.31,429506.0,NWL,as51
347284,2018-04-13,6.35,6.46,5.88,5.96,509020.0,NWL,as51
347285,2018-04-16,5.98,6.26,5.98,6.2,312776.0,NWL,as51
347286,2018-04-17,6.25,6.39,6.19,6.19,79329.0,NWL,as51
347287,2018-04-18,6.22,6.7,6.16,6.57,1153460.0,NWL,as51
347288,2018-04-19,6.49,6.91,6.43,6.88,131123.0,NWL,as51
347289,2018-04-20,6.9,7.05,6.71,7.0,2378110.0,NWL,as51
347290,2018-04-23,7.0,7.02,6.94,6.99,154142.0,NWL,as51
347291,2018-04-24,7.0,7.01,6.94,7.01,133166.0,NWL,as51
347292,2018-04-25,7.0,7.01,6.94,7.01,133166.0,NWL,as51
347293,2018-04-26,7.02,7.26,6.99,7.22,364512.0,NWL,as51
347294,2018-04-27,7.22,7.24,7.15,7.2,149419.0,NWL,as51
347295,2018-04-30,7.16,7.205,7.13,7.2,68512.0,NWL,as51
347296,2018-05-01,7.19,7.23,7.15,7.16,368027.0,NWL,as51
347297,2018-05-02,7.15,7.28,7.15,7.24,110946.0,NWL,as51
347298,2018-05-03,7.3,7.71,7.2,7.54,388829.0,NWL,as51
347299,2018-05-04,7.54,7.77,7.54,7.7,381586.0,NWL,as51
347300,2018-05-07,7.7,8.0,7.69,7.98,181784.0,NWL,as51
347301,2018-05-08,8.0,8.25,7.98,8.25,234882.0,NWL,as51
347302,2018-05-09,8.2,8.575,8.2,8.47,732257.0,NWL,as51
347303,2018-05-10,8.51,8.75,8.49,8.73,246342.0,NWL,as51
347304,2018-05-11,8.73,9.08,8.69,9.03,2803030.0,NWL,as51
347305,2018-05-14,9.15,9.47,8.44,8.65,4905620.0,NWL,as51
347306,2018-05-15,8.65,8.65,8.48,8.5,602924.0,NWL,as51
347307,2018-05-16,8.5,8.595,8.465,8.5,597055.0,NWL,as51
347308,2018-05-17,8.5,8.95,8.46,8.8,498045.0,NWL,as51
347309,2018-05-18,8.9,8.99,8.65,8.79,232712.0,NWL,as51
347310,2018-05-21,8.67,8.85,8.67,8.75,176032.0,NWL,as51
347311,2018-05-22,8.8,8.99,8.7,8.7,261571.0,NWL,as51
347312,2018-05-23,8.7,9.34,8.67,9.13,451345.0,NWL,as51
347313,2018-05-24,9.25,9.43,9.0,9.1,392013.0,NWL,as51
347314,2018-05-25,9.01,9.33,8.89,9.33,356348.0,NWL,as51
347315,2018-05-28,9.34,9.61,9.08,9.22,343420.0,NWL,as51
347316,2018-05-29,9.35,9.64,9.21,9.5,484587.0,NWL,as51
347317,2018-05-30,9.5,9.55,9.11,9.52,380677.0,NWL,as51
347318,2018-05-31,9.52,9.79,9.0,9.05,1662280.0,NWL,as51
347319,2018-06-01,9.06,9.155,8.81,8.87,370747.0,NWL,as51
347320,2018-06-04,8.87,9.43,8.86,9.39,274733.0,NWL,as51
347321,2018-06-05,9.8,9.99,9.51,9.54,635211.0,NWL,as51
347322,2018-06-06,9.5,9.5,8.93,9.0,298816.0,NWL,as51
347323,2018-06-07,9.05,9.19,8.945,8.97,248747.0,NWL,as51
