,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
367831,2010-01-01,11.85,11.95,11.75,11.8,559346.0,OZL,as51
367832,2010-01-04,11.8,12.0,11.8,12.0,672847.0,OZL,as51
367833,2010-01-05,12.4,12.6,12.3,12.6,1462130.0,OZL,as51
367834,2010-01-06,12.6,12.6,12.3,12.45,1464170.0,OZL,as51
367835,2010-01-07,12.6,12.8,12.55,12.75,1392520.0,OZL,as51
367836,2010-01-08,12.8,12.8,12.35,12.4,992843.0,OZL,as51
367837,2010-01-11,12.5,12.75,12.45,12.6,1053860.0,OZL,as51
367838,2010-01-12,12.65,12.65,12.3,12.35,1244600.0,OZL,as51
367839,2010-01-13,12.1,12.2,11.95,12.1,1621580.0,OZL,as51
367840,2010-01-14,12.15,12.3,12.05,12.05,1644290.0,OZL,as51
367841,2010-01-15,12.15,12.25,11.8,11.9,2717030.0,OZL,as51
367842,2010-01-18,11.85,12.0,11.8,11.85,1142580.0,OZL,as51
367843,2010-01-19,11.85,11.95,11.6,11.6,1332900.0,OZL,as51
367844,2010-01-20,11.8,11.8,11.5,11.5,1147810.0,OZL,as51
367845,2010-01-21,11.65,11.85,11.5,11.55,2503800.0,OZL,as51
367846,2010-01-22,11.5,12.0,11.4,11.95,3034770.0,OZL,as51
367847,2010-01-25,11.75,11.85,11.7,11.8,1160820.0,OZL,as51
367848,2010-01-26,11.75,11.85,11.7,11.8,1160820.0,OZL,as51
367849,2010-01-27,11.65,11.65,11.3,11.3,1943100.0,OZL,as51
367850,2010-01-28,11.3,11.3,11.0,11.15,2455390.0,OZL,as51
367851,2010-01-29,10.85,10.9,10.55,10.65,2546580.0,OZL,as51
367852,2010-02-01,10.65,10.85,10.15,10.4,2987410.0,OZL,as51
367853,2010-02-02,10.7,10.9,10.65,10.7,4195030.0,OZL,as51
367854,2010-02-03,10.95,11.3,10.85,11.0,1850920.0,OZL,as51
367855,2010-02-04,10.9,10.9,10.2,10.4,4881390.0,OZL,as51
367856,2010-02-05,9.9,10.0,9.65,9.75,3925330.0,OZL,as51
367857,2010-02-08,9.95,10.15,9.85,9.9,1398360.0,OZL,as51
367858,2010-02-09,9.85,10.15,9.8,9.85,1769000.0,OZL,as51
367859,2010-02-10,10.35,10.5,10.1,10.15,2236990.0,OZL,as51
367860,2010-02-11,10.15,10.35,10.0,10.35,2541950.0,OZL,as51
367861,2010-02-12,10.7,10.8,10.1,10.25,3510130.0,OZL,as51
367862,2010-02-15,10.2,10.35,10.05,10.1,1055580.0,OZL,as51
367863,2010-02-16,10.2,10.25,9.9,9.95,1414950.0,OZL,as51
