,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
371580,2010-01-01,3.04,3.06,3.04,3.06,12213.0,PDL,as51
371581,2010-01-04,3.06,3.11,3.06,3.07,55273.0,PDL,as51
371582,2010-01-05,3.12,3.12,3.07,3.12,27266.0,PDL,as51
371583,2010-01-06,3.11,3.12,3.09,3.12,35795.0,PDL,as51
371584,2010-01-07,3.09,3.17,3.09,3.17,28544.0,PDL,as51
371585,2010-01-08,3.11,3.13,3.11,3.12,11369.0,PDL,as51
371586,2010-01-11,3.09,3.16,3.09,3.16,51079.0,PDL,as51
371587,2010-01-12,3.14,3.14,3.11,3.14,18441.0,PDL,as51
371588,2010-01-13,3.1,3.11,3.07,3.11,30613.0,PDL,as51
371589,2010-01-14,3.08,3.11,3.06,3.09,23847.0,PDL,as51
371590,2010-01-15,3.11,3.18,3.07,3.18,28033.0,PDL,as51
371591,2010-01-18,3.08,3.17,3.08,3.17,15947.0,PDL,as51
371592,2010-01-19,3.09,3.16,3.09,3.16,21698.0,PDL,as51
371593,2010-01-20,3.12,3.14,3.12,3.14,47332.0,PDL,as51
371594,2010-01-21,3.09,3.15,3.05,3.15,74251.0,PDL,as51
371595,2010-01-22,3.16,3.16,3.06,3.07,16694.0,PDL,as51
371596,2010-01-25,3.07,3.07,3.06,3.06,26289.0,PDL,as51
371597,2010-01-26,3.07,3.07,3.06,3.06,26289.0,PDL,as51
371598,2010-01-27,3.06,3.08,3.05,3.07,46166.0,PDL,as51
371599,2010-01-28,3.07,3.08,3.07,3.08,32293.0,PDL,as51
371600,2010-01-29,3.08,3.08,3.05,3.07,55924.0,PDL,as51
371601,2010-02-01,3.07,3.07,3.0,3.05,83975.0,PDL,as51
371602,2010-02-02,3.05,3.08,3.04,3.08,59116.0,PDL,as51
371603,2010-02-03,3.06,3.11,3.06,3.08,106379.0,PDL,as51
371604,2010-02-04,3.08,3.09,3.08,3.08,48923.0,PDL,as51
371605,2010-02-05,3.03,3.05,3.02,3.04,47068.0,PDL,as51
371606,2010-02-08,3.03,3.06,3.02,3.04,64835.0,PDL,as51
371607,2010-02-09,3.04,3.06,3.03,3.03,53962.0,PDL,as51
371608,2010-02-10,3.05,3.05,3.02,3.03,41032.0,PDL,as51
371609,2010-02-11,3.03,3.05,3.03,3.03,33532.0,PDL,as51
371610,2010-02-12,3.05,3.1,3.05,3.1,44945.0,PDL,as51
371611,2010-02-15,3.04,3.09,3.04,3.07,22857.0,PDL,as51
371612,2010-02-16,3.04,3.09,3.04,3.05,30761.0,PDL,as51
371613,2010-02-17,3.05,3.1,3.05,3.06,125883.0,PDL,as51
371614,2010-02-18,3.07,3.1,3.05,3.08,41365.0,PDL,as51
371615,2010-02-19,3.12,3.12,3.08,3.08,7088.0,PDL,as51
371616,2010-02-22,3.15,3.16,3.1,3.14,80975.0,PDL,as51
371617,2010-02-23,3.13,3.17,3.08,3.17,62179.0,PDL,as51
371618,2010-02-24,3.1,3.17,3.05,3.17,43241.0,PDL,as51
371619,2010-02-25,3.12,3.14,3.1,3.14,31971.0,PDL,as51
371620,2010-02-26,3.11,3.12,3.05,3.05,31747.0,PDL,as51
371621,2010-03-01,2.91,2.96,2.81,2.95,98671.0,PDL,as51
