,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
377833,2010-01-01,8.22,8.37,8.22,8.3,58884.0,PMV,as51
377834,2010-01-04,8.53,8.53,8.4,8.5,62827.0,PMV,as51
377835,2010-01-05,8.5,8.5,8.38,8.4,40588.0,PMV,as51
377836,2010-01-06,8.4,8.44,8.3,8.39,27456.0,PMV,as51
377837,2010-01-07,8.4,8.4,8.25,8.3,93220.0,PMV,as51
377838,2010-01-08,8.39,8.39,8.12,8.2,74979.0,PMV,as51
377839,2010-01-11,8.13,8.2,8.12,8.2,165599.0,PMV,as51
377840,2010-01-12,8.14,8.3,8.14,8.2,203589.0,PMV,as51
377841,2010-01-13,8.15,8.23,8.15,8.15,36891.0,PMV,as51
377842,2010-01-14,8.09,8.2,8.01,8.2,92843.0,PMV,as51
377843,2010-01-15,8.16,8.28,8.07,8.28,723406.0,PMV,as51
377844,2010-01-18,8.28,8.34,8.21,8.34,48951.0,PMV,as51
377845,2010-01-19,8.4,8.59,8.36,8.59,123419.0,PMV,as51
377846,2010-01-20,8.56,8.56,8.36,8.5,58526.0,PMV,as51
377847,2010-01-21,8.35,8.5,8.28,8.36,30623.0,PMV,as51
377848,2010-01-22,8.37,8.42,8.27,8.39,104122.0,PMV,as51
377849,2010-01-25,8.39,8.47,8.24,8.47,117945.0,PMV,as51
377850,2010-01-26,8.39,8.47,8.24,8.47,117945.0,PMV,as51
377851,2010-01-27,8.37,8.45,8.28,8.3,291273.0,PMV,as51
377852,2010-01-28,8.25,8.26,7.91,8.16,346456.0,PMV,as51
377853,2010-01-29,8.16,8.16,7.96,8.04,354858.0,PMV,as51
377854,2010-02-01,7.72,7.95,7.41,7.84,186679.0,PMV,as51
377855,2010-02-02,7.74,7.94,7.73,7.9,266442.0,PMV,as51
377856,2010-02-03,7.9,8.16,7.81,8.12,966791.0,PMV,as51
377857,2010-02-04,8.21,8.5,8.1,8.15,379176.0,PMV,as51
377858,2010-02-05,8.15,8.25,7.99,8.1,114729.0,PMV,as51
377859,2010-02-08,8.04,8.06,7.97,8.04,95203.0,PMV,as51
377860,2010-02-09,7.98,8.08,7.97,8.02,42340.0,PMV,as51
377861,2010-02-10,8.01,8.19,8.01,8.13,87435.0,PMV,as51
377862,2010-02-11,8.1,8.15,8.07,8.15,25343.0,PMV,as51
377863,2010-02-12,8.15,8.2,8.08,8.2,44222.0,PMV,as51
377864,2010-02-15,8.2,8.3,8.05,8.09,138186.0,PMV,as51
377865,2010-02-16,8.1,8.1,7.99,8.02,1003310.0,PMV,as51
377866,2010-02-17,8.0,8.17,8.0,8.17,748252.0,PMV,as51
377867,2010-02-18,8.19,8.25,8.03,8.1,45086.0,PMV,as51
377868,2010-02-19,8.1,8.25,8.05,8.25,138312.0,PMV,as51
377869,2010-02-22,8.26,8.26,8.08,8.1,61624.0,PMV,as51
377870,2010-02-23,8.11,8.17,8.02,8.1,419682.0,PMV,as51
377871,2010-02-24,8.1,8.17,8.05,8.1,34324.0,PMV,as51
377872,2010-02-25,8.09,8.1,7.84,8.0,81158.0,PMV,as51
377873,2010-02-26,8.01,8.14,7.95,8.14,27305.0,PMV,as51
