,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
387192,2010-01-01,1.9551,1.9836,1.9457,1.9646,44379.0,PRN,as51
387193,2010-01-04,1.9836,1.9931,1.9741,1.9931,505527.0,PRN,as51
387194,2010-01-05,2.0501,2.088,2.0026,2.0121,983958.0,PRN,as51
387195,2010-01-06,2.0121,2.0595,2.0026,2.0121,561838.0,PRN,as51
387196,2010-01-07,2.0406,2.0595,2.0216,2.0216,612729.0,PRN,as51
387197,2010-01-08,2.0216,2.0595,2.0216,2.0406,519262.0,PRN,as51
387198,2010-01-11,2.0406,2.0501,2.0216,2.0311,199855.0,PRN,as51
387199,2010-01-12,2.0406,2.0406,1.9836,1.9836,343905.0,PRN,as51
387200,2010-01-13,2.0311,2.0311,1.9836,2.0121,232090.0,PRN,as51
387201,2010-01-14,1.9931,2.0121,1.9457,1.9551,412523.0,PRN,as51
387202,2010-01-15,1.9457,1.9741,1.9267,1.9267,315237.0,PRN,as51
387203,2010-01-18,1.9267,1.9551,1.8982,1.9172,487925.0,PRN,as51
387204,2010-01-19,1.9077,1.9267,1.8982,1.9077,174762.0,PRN,as51
387205,2010-01-20,1.9646,1.9931,1.9172,1.9457,285711.0,PRN,as51
387206,2010-01-21,1.9362,1.9551,1.9077,1.9362,238070.0,PRN,as51
387207,2010-01-22,1.8697,1.8887,1.7274,1.884,485019.0,PRN,as51
387208,2010-01-25,1.8223,1.9362,1.8033,1.9362,257019.0,PRN,as51
387209,2010-01-26,1.8223,1.9362,1.8033,1.9362,257019.0,PRN,as51
387210,2010-01-27,1.9836,1.9836,1.8602,1.884,242710.0,PRN,as51
387211,2010-01-28,1.865,1.8935,1.8318,1.8413,381693.0,PRN,as51
387212,2010-01-29,1.8365,1.8413,1.7369,1.7891,652046.0,PRN,as51
387213,2010-02-01,1.6514,1.6941,1.5755,1.5945,1318130.0,PRN,as51
387214,2010-02-02,1.604,1.6752,1.5992,1.6609,768381.0,PRN,as51
387215,2010-02-03,1.7084,1.7891,1.7084,1.7748,373110.0,PRN,as51
387216,2010-02-04,1.7748,1.7748,1.7084,1.7084,374727.0,PRN,as51
387217,2010-02-05,1.6325,1.6609,1.6182,1.6325,547986.0,PRN,as51
387218,2010-02-08,1.6135,1.6277,1.5755,1.604,405129.0,PRN,as51
387219,2010-02-09,1.585,1.623,1.5375,1.623,348357.0,PRN,as51
387220,2010-02-10,1.7084,1.7084,1.5945,1.6135,230132.0,PRN,as51
387221,2010-02-11,1.6182,1.6847,1.5992,1.6799,146051.0,PRN,as51
387222,2010-02-12,1.6894,1.7558,1.6704,1.7558,516409.0,PRN,as51
387223,2010-02-15,1.7558,1.7558,1.6657,1.7274,247641.0,PRN,as51
387224,2010-02-16,1.7274,1.7843,1.7274,1.7843,380527.0,PRN,as51
387225,2010-02-17,1.7843,1.8792,1.7843,1.8507,527406.0,PRN,as51
387226,2010-02-18,1.8555,1.8602,1.846,1.8602,439600.0,PRN,as51
387227,2010-02-19,1.8602,1.8697,1.8507,1.8602,127440.0,PRN,as51
387228,2010-02-22,1.8507,1.9741,1.8507,1.8982,683562.0,PRN,as51
387229,2010-02-23,1.9267,1.9362,1.8745,1.9172,294953.0,PRN,as51
387230,2010-02-24,1.9267,1.9362,1.9077,1.9362,148371.0,PRN,as51
387231,2010-02-25,1.9267,1.9362,1.9077,1.9172,241650.0,PRN,as51
