,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
393404,2010-01-01,5.58,5.62,5.5,5.55,121335.0,PTM,as51
393405,2010-01-04,5.54,5.7,5.52,5.65,184130.0,PTM,as51
393406,2010-01-05,5.7,5.7,5.65,5.7,213778.0,PTM,as51
393407,2010-01-06,5.7,5.72,5.63,5.72,213771.0,PTM,as51
393408,2010-01-07,5.63,5.72,5.63,5.71,75511.0,PTM,as51
393409,2010-01-08,5.71,5.76,5.71,5.76,187563.0,PTM,as51
393410,2010-01-11,5.8,5.81,5.71,5.75,171453.0,PTM,as51
393411,2010-01-12,5.84,5.89,5.8,5.85,448806.0,PTM,as51
393412,2010-01-13,5.86,5.89,5.73,5.75,294788.0,PTM,as51
393413,2010-01-14,5.73,5.9,5.71,5.84,352596.0,PTM,as51
393414,2010-01-15,5.83,5.83,5.75,5.76,309948.0,PTM,as51
393415,2010-01-18,5.7,5.8,5.7,5.76,515157.0,PTM,as51
393416,2010-01-19,5.71,5.72,5.48,5.5,738377.0,PTM,as51
393417,2010-01-20,5.59,5.73,5.57,5.7,569499.0,PTM,as51
393418,2010-01-21,5.61,5.65,5.55,5.6,334756.0,PTM,as51
393419,2010-01-22,5.5,5.51,5.39,5.46,364583.0,PTM,as51
393420,2010-01-25,5.36,5.47,5.26,5.47,368698.0,PTM,as51
393421,2010-01-26,5.36,5.47,5.26,5.47,368698.0,PTM,as51
393422,2010-01-27,5.32,5.41,5.25,5.38,455885.0,PTM,as51
393423,2010-01-28,5.33,5.5,5.23,5.5,519695.0,PTM,as51
393424,2010-01-29,5.37,5.53,5.32,5.5,647724.0,PTM,as51
393425,2010-02-01,5.4,5.53,5.38,5.45,318191.0,PTM,as51
393426,2010-02-02,5.47,5.55,5.42,5.51,295946.0,PTM,as51
393427,2010-02-03,5.43,5.44,5.29,5.35,326171.0,PTM,as51
393428,2010-02-04,5.25,5.43,5.24,5.38,232501.0,PTM,as51
393429,2010-02-05,5.33,5.37,5.23,5.34,324487.0,PTM,as51
393430,2010-02-08,5.29,5.32,5.15,5.23,200009.0,PTM,as51
393431,2010-02-09,5.2,5.22,5.13,5.2,204129.0,PTM,as51
393432,2010-02-10,5.3,5.3,5.17,5.24,273217.0,PTM,as51
393433,2010-02-11,5.17,5.33,5.16,5.2,231879.0,PTM,as51
393434,2010-02-12,5.21,5.3,5.21,5.29,292104.0,PTM,as51
393435,2010-02-15,5.29,5.29,5.15,5.16,386316.0,PTM,as51
393436,2010-02-16,5.22,5.3,5.16,5.21,294496.0,PTM,as51
393437,2010-02-17,5.2,5.35,5.2,5.33,349774.0,PTM,as51
393438,2010-02-18,5.32,5.48,5.29,5.43,657698.0,PTM,as51
