,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
399616,2010-01-01,25.5,25.7,25.5,25.6,1165610.0,QBE,as51
399617,2010-01-04,25.6,25.69,25.14,25.21,1289090.0,QBE,as51
399618,2010-01-05,25.35,25.52,25.18,25.34,2589890.0,QBE,as51
399619,2010-01-06,25.37,25.43,24.83,24.95,2842960.0,QBE,as51
399620,2010-01-07,24.92,25.05,24.4,24.5,2574080.0,QBE,as51
399621,2010-01-08,24.54,24.96,24.54,24.77,1753700.0,QBE,as51
399622,2010-01-11,24.93,25.09,24.8,24.98,1709560.0,QBE,as51
399623,2010-01-12,24.94,24.94,24.4,24.45,2694700.0,QBE,as51
399624,2010-01-13,24.6,24.64,24.36,24.5,2485710.0,QBE,as51
399625,2010-01-14,24.52,24.84,24.46,24.57,2560000.0,QBE,as51
399626,2010-01-15,24.46,24.5,24.0,24.04,3493650.0,QBE,as51
399627,2010-01-18,23.95,24.27,23.91,24.03,3571870.0,QBE,as51
399628,2010-01-19,24.01,24.16,23.76,23.76,3436260.0,QBE,as51
399629,2010-01-20,23.88,24.02,23.78,23.89,3070570.0,QBE,as51
399630,2010-01-21,23.9,23.95,23.5,23.5,4706140.0,QBE,as51
399631,2010-01-22,22.75,23.25,22.66,23.08,7171360.0,QBE,as51
399632,2010-01-25,22.8,23.02,22.69,22.91,2452640.0,QBE,as51
399633,2010-01-26,22.8,23.02,22.69,22.91,2452640.0,QBE,as51
399634,2010-01-27,22.6,23.44,22.6,23.28,5684760.0,QBE,as51
399635,2010-01-28,23.39,23.45,22.92,23.15,3318720.0,QBE,as51
399636,2010-01-29,22.81,23.16,22.8,22.92,3973570.0,QBE,as51
399637,2010-02-01,22.73,22.77,22.31,22.6,3462680.0,QBE,as51
399638,2010-02-02,23.03,23.12,22.71,23.1,4222090.0,QBE,as51
399639,2010-02-03,23.51,23.57,23.02,23.1,7078860.0,QBE,as51
399640,2010-02-04,22.95,23.04,22.72,22.78,5383720.0,QBE,as51
399641,2010-02-05,22.25,22.49,22.08,22.11,5337300.0,QBE,as51
399642,2010-02-08,22.21,22.33,22.04,22.15,2412580.0,QBE,as51
399643,2010-02-09,22.02,22.29,21.88,22.17,3034900.0,QBE,as51
399644,2010-02-10,22.32,22.53,22.31,22.39,3805980.0,QBE,as51
399645,2010-02-11,22.6,23.09,22.48,22.93,3939450.0,QBE,as51
399646,2010-02-12,23.05,23.18,22.5,22.77,2806620.0,QBE,as51
399647,2010-02-15,22.74,22.95,22.65,22.75,1102670.0,QBE,as51
399648,2010-02-16,22.71,22.82,22.23,22.45,2986610.0,QBE,as51
399649,2010-02-17,22.65,23.23,22.52,23.2,3522840.0,QBE,as51
399650,2010-02-18,23.01,23.17,22.78,23.0,4172700.0,QBE,as51
399651,2010-02-19,23.01,23.57,23.01,23.35,4004980.0,QBE,as51
399652,2010-02-22,23.78,23.93,23.63,23.79,3209740.0,QBE,as51
399653,2010-02-23,23.64,23.89,23.34,23.59,3116050.0,QBE,as51
399654,2010-02-24,23.21,23.58,22.79,23.24,5027870.0,QBE,as51
399655,2010-02-25,23.45,23.57,22.88,23.0,3174050.0,QBE,as51
399656,2010-02-26,21.63,22.63,21.02,21.4,18580000.0,QBE,as51
399657,2010-03-01,21.55,21.55,21.19,21.42,10211300.0,QBE,as51
399658,2010-03-02,21.5,21.65,21.08,21.1,10457300.0,QBE,as51
399659,2010-03-03,20.57,20.63,20.24,20.38,19007900.0,QBE,as51
399660,2010-03-04,20.32,20.39,19.99,20.1,13220000.0,QBE,as51
399661,2010-03-05,20.2,20.68,20.17,20.5,15609100.0,QBE,as51
399662,2010-03-08,20.65,20.77,20.41,20.66,9258780.0,QBE,as51
399663,2010-03-09,20.7,21.13,20.59,21.1,9989080.0,QBE,as51
399664,2010-03-10,21.11,21.49,21.11,21.41,10889700.0,QBE,as51
399665,2010-03-11,21.47,21.5,20.92,21.06,6954750.0,QBE,as51
399666,2010-03-12,21.15,21.37,21.11,21.15,7619380.0,QBE,as51
399667,2010-03-15,21.16,21.36,21.15,21.17,4548500.0,QBE,as51
399668,2010-03-16,21.24,21.45,21.01,21.03,9119640.0,QBE,as51
399669,2010-03-17,21.13,21.26,21.13,21.22,7995000.0,QBE,as51
399670,2010-03-18,20.9,21.12,20.73,20.76,14317000.0,QBE,as51
399671,2010-03-19,20.82,21.06,20.81,20.96,5089290.0,QBE,as51
399672,2010-03-22,20.95,21.04,20.9,20.93,2110540.0,QBE,as51
399673,2010-03-23,21.14,21.3,21.07,21.18,5771030.0,QBE,as51
399674,2010-03-24,21.3,21.38,21.22,21.22,2491150.0,QBE,as51
399675,2010-03-25,21.2,21.34,21.04,21.04,3204480.0,QBE,as51
399676,2010-03-26,21.13,21.29,21.06,21.23,5417150.0,QBE,as51
399677,2010-03-29,21.3,21.39,21.24,21.35,3091360.0,QBE,as51
399678,2010-03-30,21.39,21.4,20.97,21.05,4766860.0,QBE,as51
399679,2010-03-31,21.05,21.17,20.83,20.83,6531570.0,QBE,as51
399680,2010-04-01,20.9,21.03,20.89,21.01,4495780.0,QBE,as51
399681,2010-04-02,20.9,21.03,20.89,21.01,4495780.0,QBE,as51
399682,2010-04-05,20.9,21.03,20.89,21.01,4495780.0,QBE,as51
399683,2010-04-06,21.31,21.34,21.18,21.27,3672540.0,QBE,as51
399684,2010-04-07,21.32,21.41,21.23,21.24,3498400.0,QBE,as51
399685,2010-04-08,21.12,21.19,21.0,21.05,3848770.0,QBE,as51
399686,2010-04-09,21.19,21.22,21.04,21.12,4155000.0,QBE,as51
399687,2010-04-12,21.33,21.92,21.29,21.79,7110820.0,QBE,as51
399688,2010-04-13,21.98,22.17,21.93,22.05,6755230.0,QBE,as51
399689,2010-04-14,22.16,22.24,21.96,22.13,3820540.0,QBE,as51
399690,2010-04-15,22.18,22.22,21.98,22.2,5978830.0,QBE,as51
399691,2010-04-16,22.12,22.19,22.0,22.1,4331260.0,QBE,as51
399692,2010-04-19,21.9,21.92,21.67,21.86,3296760.0,QBE,as51
399693,2010-04-20,22.04,22.1,21.68,21.68,4128150.0,QBE,as51
399694,2010-04-21,21.7,21.9,21.48,21.85,5619220.0,QBE,as51
399695,2010-04-22,21.9,21.94,21.6,21.8,2659670.0,QBE,as51
399696,2010-04-23,21.8,21.81,21.53,21.62,2670460.0,QBE,as51
399697,2010-04-26,21.8,21.81,21.53,21.62,2670460.0,QBE,as51
399698,2010-04-27,21.65,21.91,21.65,21.85,4646580.0,QBE,as51
399699,2010-04-28,21.52,21.63,21.36,21.59,3427170.0,QBE,as51
399700,2010-04-29,21.38,21.4,21.16,21.2,3043830.0,QBE,as51
