,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
408975,2010-01-01,4.8135,4.8135,4.8135,4.8135,601.0,REH,as51
408976,2010-01-04,4.8135,4.8135,4.7742,4.7742,1781.0,REH,as51
408977,2010-01-05,4.8135,4.8135,4.8135,4.8135,3970.0,REH,as51
408978,2010-01-06,4.8331,4.8705,4.8331,4.8705,6362.0,REH,as51
408979,2010-01-07,4.8135,4.8135,4.7153,4.7153,162876.0,REH,as51
408980,2010-01-08,4.617,4.7094,4.617,4.7094,159343.0,REH,as51
408981,2010-01-11,4.8135,4.8135,4.8135,4.8135,509.0,REH,as51
408982,2010-01-12,4.8135,4.8135,4.8135,4.8135,509.0,REH,as51
408983,2010-01-13,4.8135,4.8233,4.8135,4.8233,8144.0,REH,as51
408984,2010-01-14,4.8233,4.8921,4.8135,4.8921,7787.0,REH,as51
408985,2010-01-15,4.8921,4.8921,4.8135,4.8135,4255.0,REH,as51
408986,2010-01-18,4.8528,4.9019,4.8528,4.9019,7899.0,REH,as51
408987,2010-01-19,4.9019,4.9117,4.9019,4.9117,11778.0,REH,as51
408988,2010-01-20,4.8823,4.8823,4.8135,4.8135,4835.0,REH,as51
408989,2010-01-21,4.8823,4.8823,4.8135,4.8135,4835.0,REH,as51
408990,2010-01-22,4.6367,4.6367,4.617,4.617,21367.0,REH,as51
408991,2010-01-25,4.617,4.7153,4.617,4.7153,23927.0,REH,as51
408992,2010-01-26,4.617,4.7153,4.617,4.7153,23927.0,REH,as51
408993,2010-01-27,4.8135,4.8331,4.8135,4.8331,2545.0,REH,as51
408994,2010-01-28,4.8331,4.8331,4.8331,4.8331,1272.0,REH,as51
408995,2010-01-29,4.6367,4.8135,4.6367,4.8135,5502.0,REH,as51
408996,2010-02-01,4.6367,4.8135,4.6367,4.8135,5502.0,REH,as51
408997,2010-02-02,4.8135,4.8135,4.8135,4.8135,56497.0,REH,as51
408998,2010-02-03,4.8135,4.8213,4.8135,4.8213,2087.0,REH,as51
408999,2010-02-04,4.7153,4.8331,4.7153,4.8331,2367.0,REH,as51
409000,2010-02-05,4.7153,4.9098,4.7153,4.8135,25195.0,REH,as51
409001,2010-02-08,4.9098,4.9098,4.7997,4.7997,138190.0,REH,as51
409002,2010-02-09,4.8135,4.9098,4.7153,4.8135,25373.0,REH,as51
409003,2010-02-10,4.8135,4.8135,4.7153,4.8135,16797.0,REH,as51
409004,2010-02-11,4.8528,4.8528,4.7545,4.8528,25958.0,REH,as51
409005,2010-02-12,4.8135,4.8528,4.8135,4.8528,58533.0,REH,as51
409006,2010-02-15,4.8528,4.8528,4.8528,4.8528,127.0,REH,as51
409007,2010-02-16,4.8528,4.8528,4.8528,4.8528,3787.0,REH,as51
409008,2010-02-17,4.8528,5.065,4.8528,5.065,27236.0,REH,as51
409009,2010-02-18,5.065,5.065,5.065,5.065,1013.0,REH,as51
409010,2010-02-19,5.1082,5.1082,5.1082,5.1082,5090.0,REH,as51
409011,2010-02-22,5.1671,5.1671,5.1082,5.1377,6464.0,REH,as51
409012,2010-02-23,5.1082,5.1082,5.1062,5.1082,5416.0,REH,as51
409013,2010-02-24,5.1082,5.1082,5.1062,5.1082,5416.0,REH,as51
409014,2010-02-25,5.1082,5.1082,4.8135,4.9137,41910.0,REH,as51
409015,2010-02-26,4.9255,4.9255,4.9235,4.9235,1578.0,REH,as51
409016,2010-03-01,4.8724,4.8724,4.8724,4.8724,15081.0,REH,as51
409017,2010-03-02,4.8744,4.8744,4.8724,4.8724,4072.0,REH,as51
409018,2010-03-03,4.8724,4.9117,4.8724,4.9117,10892.0,REH,as51
409019,2010-03-04,5.1082,5.1082,5.1082,5.1082,9090.0,REH,as51
409020,2010-03-05,4.9117,4.9117,4.8724,4.9117,5904.0,REH,as51
409021,2010-03-08,5.1082,5.1082,5.1082,5.1082,214405.0,REH,as51
409022,2010-03-09,4.8724,5.01,4.8724,5.01,14964.0,REH,as51
409023,2010-03-10,5.0984,5.2359,5.0984,5.2359,6362.0,REH,as51
409024,2010-03-11,5.2359,5.2359,5.2359,5.2359,509.0,REH,as51
409025,2010-03-12,5.2359,5.2359,5.2359,5.2359,509.0,REH,as51
409026,2010-03-15,5.2064,5.2064,5.2064,5.2064,17412.0,REH,as51
409027,2010-03-16,5.2064,5.2064,5.2064,5.2064,17412.0,REH,as51
409028,2010-03-17,5.2064,5.2064,5.2064,5.2064,17412.0,REH,as51
409029,2010-03-18,5.2064,5.2064,5.2064,5.2064,17412.0,REH,as51
409030,2010-03-19,5.0885,5.0885,5.0885,5.0885,153.0,REH,as51
409031,2010-03-22,5.1455,5.1455,5.1082,5.1082,4581.0,REH,as51
409032,2010-03-23,4.9903,4.9903,4.8744,4.9608,13188.0,REH,as51
409033,2010-03-24,4.9608,4.9707,4.8764,4.9707,9834.0,REH,as51
409034,2010-03-25,4.9608,4.9707,4.8764,4.9707,9834.0,REH,as51
409035,2010-03-26,4.9903,5.0493,4.9903,5.0493,19418.0,REH,as51
409036,2010-03-29,5.0591,5.0591,4.9117,4.9117,11707.0,REH,as51
409037,2010-03-30,5.0885,5.1082,5.0885,5.1082,356.0,REH,as51
409038,2010-03-31,5.0787,5.1082,5.0591,5.0591,5451.0,REH,as51
409039,2010-04-01,5.01,5.0119,4.9314,4.9314,23205.0,REH,as51
409040,2010-04-02,5.01,5.0119,4.9314,4.9314,23205.0,REH,as51
409041,2010-04-05,5.01,5.0119,4.9314,4.9314,23205.0,REH,as51
409042,2010-04-06,4.9903,5.01,4.9903,5.01,713.0,REH,as51
409043,2010-04-07,5.01,5.0119,5.0041,5.01,7564.0,REH,as51
409044,2010-04-08,4.9707,4.9707,4.9707,4.9707,280.0,REH,as51
409045,2010-04-09,4.9707,4.9726,4.9707,4.9707,11422.0,REH,as51
409046,2010-04-12,4.9707,4.9707,4.9314,4.9314,52583.0,REH,as51
409047,2010-04-13,4.9707,5.008,4.9707,5.008,19810.0,REH,as51
409048,2010-04-14,4.9432,4.9432,4.9432,4.9432,4494.0,REH,as51
409049,2010-04-15,4.951,4.951,4.951,4.951,331370.0,REH,as51
409050,2010-04-16,5.01,5.01,4.9432,4.9451,23500.0,REH,as51
409051,2010-04-19,4.9549,4.9549,4.9432,4.9432,109198.0,REH,as51
409052,2010-04-20,4.9432,4.9432,4.9432,4.9432,1125.0,REH,as51
409053,2010-04-21,4.9432,4.9648,4.9432,4.9628,757458.0,REH,as51
409054,2010-04-22,4.9982,5.0001,4.9608,4.9608,1792.0,REH,as51
409055,2010-04-23,4.9608,4.9608,4.9608,4.9608,7044.0,REH,as51
409056,2010-04-26,4.9608,4.9608,4.9608,4.9608,7044.0,REH,as51
409057,2010-04-27,4.9608,5.01,4.9608,5.01,972.0,REH,as51
409058,2010-04-28,4.9412,5.01,4.9412,5.01,10689.0,REH,as51
409059,2010-04-29,4.9608,4.9608,4.9608,4.9608,6469.0,REH,as51
