,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
412081,2010-01-01,11.02,11.19,10.89,10.89,201521.0,RHC,as51
412082,2010-01-04,10.99,11.24,10.99,11.24,209171.0,RHC,as51
412083,2010-01-05,11.38,11.38,11.03,11.03,218407.0,RHC,as51
412084,2010-01-06,11.15,11.24,11.05,11.18,139160.0,RHC,as51
412085,2010-01-07,11.25,11.25,11.07,11.14,126990.0,RHC,as51
412086,2010-01-08,11.2,11.22,11.0,11.07,175535.0,RHC,as51
412087,2010-01-11,11.07,11.24,11.06,11.2,134956.0,RHC,as51
412088,2010-01-12,11.26,11.46,11.26,11.45,510912.0,RHC,as51
412089,2010-01-13,11.48,11.67,11.42,11.67,487593.0,RHC,as51
412090,2010-01-14,11.69,11.95,11.69,11.8,478304.0,RHC,as51
412091,2010-01-15,11.85,11.95,11.76,11.9,436756.0,RHC,as51
412092,2010-01-18,11.9,11.96,11.81,11.86,693888.0,RHC,as51
412093,2010-01-19,11.9,11.9,11.73,11.8,324062.0,RHC,as51
412094,2010-01-20,11.9,11.94,11.84,11.87,679354.0,RHC,as51
412095,2010-01-21,11.83,11.87,11.66,11.67,996350.0,RHC,as51
412096,2010-01-22,11.55,11.75,11.54,11.72,446319.0,RHC,as51
412097,2010-01-25,11.6,11.63,11.54,11.55,441819.0,RHC,as51
412098,2010-01-26,11.6,11.63,11.54,11.55,441819.0,RHC,as51
412099,2010-01-27,11.5,11.58,11.26,11.36,744810.0,RHC,as51
412100,2010-01-28,11.36,11.69,11.36,11.69,325227.0,RHC,as51
412101,2010-01-29,11.65,11.76,11.34,11.47,585465.0,RHC,as51
412102,2010-02-01,11.46,12.34,11.36,11.9,830412.0,RHC,as51
412103,2010-02-02,11.98,12.12,11.9,12.0,726712.0,RHC,as51
412104,2010-02-03,12.07,12.11,11.82,12.05,420141.0,RHC,as51
412105,2010-02-04,12.14,12.49,12.11,12.4,920759.0,RHC,as51
412106,2010-02-05,12.3,12.35,12.1,12.17,724607.0,RHC,as51
412107,2010-02-08,12.18,12.35,11.89,11.9,774632.0,RHC,as51
412108,2010-02-09,11.85,12.11,11.71,11.82,949800.0,RHC,as51
412109,2010-02-10,11.9,12.02,11.86,11.9,490839.0,RHC,as51
412110,2010-02-11,11.85,12.06,11.85,11.91,358607.0,RHC,as51
412111,2010-02-12,12.0,12.31,12.0,12.31,625333.0,RHC,as51
412112,2010-02-15,12.43,12.47,12.03,12.2,384215.0,RHC,as51
412113,2010-02-16,12.25,12.28,12.05,12.25,475202.0,RHC,as51
412114,2010-02-17,12.27,12.44,12.2,12.42,764182.0,RHC,as51
412115,2010-02-18,12.41,12.45,12.28,12.4,1177120.0,RHC,as51
412116,2010-02-19,12.44,12.45,12.15,12.32,334644.0,RHC,as51
412117,2010-02-22,12.45,12.48,12.31,12.31,305370.0,RHC,as51
412118,2010-02-23,12.29,12.42,12.21,12.4,362350.0,RHC,as51
412119,2010-02-24,12.42,12.66,12.36,12.55,802847.0,RHC,as51
412120,2010-02-25,12.61,12.66,12.36,12.46,587781.0,RHC,as51
412121,2010-02-26,12.65,12.66,12.3,12.66,502666.0,RHC,as51
412122,2010-03-01,12.73,12.9,12.63,12.69,391380.0,RHC,as51
412123,2010-03-02,12.9,13.08,12.83,12.98,683724.0,RHC,as51
412124,2010-03-03,12.9,13.0,12.84,12.96,841129.0,RHC,as51
412125,2010-03-04,12.91,12.91,12.65,12.73,434412.0,RHC,as51
412126,2010-03-05,12.82,12.92,12.7,12.87,582924.0,RHC,as51
412127,2010-03-08,13.01,13.03,12.91,12.98,438918.0,RHC,as51
412128,2010-03-09,13.01,13.27,13.01,13.06,907200.0,RHC,as51
412129,2010-03-10,13.19,13.58,13.14,13.54,1006760.0,RHC,as51
412130,2010-03-11,13.66,13.85,13.47,13.61,762808.0,RHC,as51
412131,2010-03-12,13.7,13.74,13.39,13.47,346594.0,RHC,as51
412132,2010-03-15,13.35,13.5,13.31,13.42,421268.0,RHC,as51
412133,2010-03-16,13.4,13.6,13.15,13.18,1017080.0,RHC,as51
412134,2010-03-17,13.25,13.75,13.25,13.57,1032800.0,RHC,as51
412135,2010-03-18,13.56,13.62,13.45,13.52,971320.0,RHC,as51
412136,2010-03-19,13.4,13.55,13.28,13.5,545382.0,RHC,as51
412137,2010-03-22,13.5,13.77,13.46,13.66,591792.0,RHC,as51
412138,2010-03-23,13.75,13.75,13.51,13.61,688104.0,RHC,as51
412139,2010-03-24,13.6,13.74,13.56,13.68,558750.0,RHC,as51
412140,2010-03-25,13.7,14.02,13.65,14.0,636234.0,RHC,as51
412141,2010-03-26,14.0,14.13,13.83,14.03,679323.0,RHC,as51
412142,2010-03-29,14.1,14.19,13.87,13.98,477801.0,RHC,as51
412143,2010-03-30,14.05,14.05,13.83,13.83,296953.0,RHC,as51
412144,2010-03-31,13.83,13.99,13.8,13.92,424352.0,RHC,as51
412145,2010-04-01,13.78,13.91,13.78,13.87,599742.0,RHC,as51
412146,2010-04-02,13.78,13.91,13.78,13.87,599742.0,RHC,as51
412147,2010-04-05,13.78,13.91,13.78,13.87,599742.0,RHC,as51
412148,2010-04-06,14.08,14.16,13.89,14.16,692332.0,RHC,as51
412149,2010-04-07,14.09,14.34,14.09,14.25,901194.0,RHC,as51
412150,2010-04-08,14.25,14.32,14.14,14.29,495213.0,RHC,as51
412151,2010-04-09,14.2,14.2,14.03,14.15,698514.0,RHC,as51
412152,2010-04-12,14.23,14.3,14.17,14.22,653194.0,RHC,as51
412153,2010-04-13,14.19,14.35,14.13,14.31,635033.0,RHC,as51
412154,2010-04-14,14.37,14.38,14.21,14.3,570817.0,RHC,as51
412155,2010-04-15,14.35,14.35,14.07,14.18,599362.0,RHC,as51
412156,2010-04-16,14.16,14.29,14.12,14.26,998807.0,RHC,as51
412157,2010-04-19,14.1,14.3,14.1,14.16,277651.0,RHC,as51
412158,2010-04-20,14.24,14.27,14.11,14.21,336278.0,RHC,as51
412159,2010-04-21,14.3,14.39,14.18,14.35,804578.0,RHC,as51
412160,2010-04-22,14.13,14.24,14.05,14.1,270034.0,RHC,as51
412161,2010-04-23,14.12,14.12,13.6,13.68,637260.0,RHC,as51
412162,2010-04-26,14.12,14.12,13.6,13.68,637260.0,RHC,as51
412163,2010-04-27,13.85,13.91,13.78,13.8,507095.0,RHC,as51
412164,2010-04-28,13.61,13.68,13.36,13.57,970847.0,RHC,as51
412165,2010-04-29,13.5,13.7,13.35,13.49,788041.0,RHC,as51
412166,2010-04-30,13.51,13.79,13.51,13.57,564697.0,RHC,as51
412167,2010-05-03,13.57,13.72,13.5,13.64,397357.0,RHC,as51
412168,2010-05-04,13.65,13.83,13.61,13.61,224904.0,RHC,as51
412169,2010-05-05,13.56,13.75,13.35,13.35,441555.0,RHC,as51
412170,2010-05-06,13.28,13.48,13.01,13.42,986675.0,RHC,as51
412171,2010-05-07,13.15,13.5,13.15,13.3,1133590.0,RHC,as51
412172,2010-05-10,13.3,13.54,13.25,13.43,1191870.0,RHC,as51
412173,2010-05-11,13.5,13.81,13.47,13.66,578602.0,RHC,as51
412174,2010-05-12,13.67,13.8,13.58,13.75,496652.0,RHC,as51
412175,2010-05-13,13.85,14.11,13.82,13.98,587675.0,RHC,as51
412176,2010-05-14,14.1,14.67,14.1,14.39,1208400.0,RHC,as51
412177,2010-05-17,14.3,14.3,13.83,13.87,1111840.0,RHC,as51
412178,2010-05-18,14.01,14.1,13.93,13.96,856708.0,RHC,as51
412179,2010-05-19,13.77,14.07,13.7,13.94,1041610.0,RHC,as51
412180,2010-05-20,13.99,14.01,13.77,13.83,2453650.0,RHC,as51
412181,2010-05-21,13.55,13.74,13.26,13.72,1106660.0,RHC,as51
412182,2010-05-24,13.55,13.72,13.25,13.7,705407.0,RHC,as51
412183,2010-05-25,13.49,13.88,13.49,13.66,764771.0,RHC,as51
412184,2010-05-26,13.69,13.72,13.5,13.53,800549.0,RHC,as51
412185,2010-05-27,13.6,13.7,13.55,13.64,752419.0,RHC,as51
412186,2010-05-28,13.69,13.89,13.54,13.89,333329.0,RHC,as51
412187,2010-05-31,13.75,13.98,13.72,13.95,363412.0,RHC,as51
412188,2010-06-01,13.9,14.39,13.9,14.23,572570.0,RHC,as51
412189,2010-06-02,14.22,14.45,14.09,14.4,560750.0,RHC,as51
412190,2010-06-03,14.5,14.52,14.33,14.5,389473.0,RHC,as51
412191,2010-06-04,14.49,14.59,14.42,14.52,402651.0,RHC,as51
412192,2010-06-07,14.28,14.42,14.1,14.37,530247.0,RHC,as51
412193,2010-06-08,14.4,14.52,14.38,14.46,376643.0,RHC,as51
412194,2010-06-09,14.35,14.7,14.3,14.69,307009.0,RHC,as51
412195,2010-06-10,14.66,14.69,14.45,14.66,305267.0,RHC,as51
412196,2010-06-11,14.79,14.79,14.62,14.72,367170.0,RHC,as51
412197,2010-06-14,14.79,14.79,14.62,14.72,367170.0,RHC,as51
412198,2010-06-15,14.74,15.03,14.73,14.9,437771.0,RHC,as51
412199,2010-06-16,15.0,15.09,14.72,14.76,566478.0,RHC,as51
412200,2010-06-17,14.86,15.24,14.75,14.79,682937.0,RHC,as51
412201,2010-06-18,14.92,15.03,14.86,14.92,823150.0,RHC,as51
412202,2010-06-21,15.23,15.49,14.88,15.0,780285.0,RHC,as51
412203,2010-06-22,14.83,14.83,14.33,14.64,443495.0,RHC,as51
412204,2010-06-23,14.64,14.71,14.4,14.47,381044.0,RHC,as51
412205,2010-06-24,14.55,14.58,14.47,14.49,271395.0,RHC,as51
412206,2010-06-25,14.31,14.45,14.22,14.38,392901.0,RHC,as51
412207,2010-06-28,14.28,14.3,14.0,14.17,290095.0,RHC,as51
412208,2010-06-29,14.13,14.26,14.1,14.19,349927.0,RHC,as51
412209,2010-06-30,13.9,14.1,13.87,14.05,624287.0,RHC,as51
412210,2010-07-01,13.92,14.01,13.68,13.8,531760.0,RHC,as51
412211,2010-07-02,13.78,13.79,13.6,13.75,439900.0,RHC,as51
412212,2010-07-05,13.84,13.97,13.57,13.82,556695.0,RHC,as51
412213,2010-07-06,13.79,13.79,13.65,13.74,340961.0,RHC,as51
412214,2010-07-07,13.74,13.75,13.6,13.71,353840.0,RHC,as51
412215,2010-07-08,13.71,14.1,13.71,13.85,739316.0,RHC,as51
412216,2010-07-09,13.9,14.14,13.82,13.84,557031.0,RHC,as51
412217,2010-07-12,13.9,13.9,13.78,13.81,421718.0,RHC,as51
412218,2010-07-13,13.82,13.97,13.82,13.9,705235.0,RHC,as51
412219,2010-07-14,14.05,14.06,13.94,14.0,477402.0,RHC,as51
412220,2010-07-15,14.1,14.24,14.05,14.17,547215.0,RHC,as51
412221,2010-07-16,14.05,14.06,13.75,13.81,567291.0,RHC,as51
412222,2010-07-19,14.01,14.67,14.01,14.55,957556.0,RHC,as51
412223,2010-07-20,14.62,15.05,14.6,14.78,1154520.0,RHC,as51
412224,2010-07-21,14.75,14.75,14.4,14.65,563591.0,RHC,as51
412225,2010-07-22,14.65,14.75,14.55,14.64,377207.0,RHC,as51
412226,2010-07-23,14.78,14.99,14.72,14.75,479472.0,RHC,as51
412227,2010-07-26,14.75,14.85,14.5,14.62,590725.0,RHC,as51
412228,2010-07-27,14.6,14.68,14.43,14.48,553156.0,RHC,as51
412229,2010-07-28,14.53,14.64,14.41,14.49,344518.0,RHC,as51
412230,2010-07-29,14.49,14.49,14.11,14.17,346818.0,RHC,as51
412231,2010-07-30,14.06,14.27,13.89,14.14,553666.0,RHC,as51
412232,2010-08-02,14.26,14.5,14.05,14.12,227137.0,RHC,as51
412233,2010-08-03,14.01,14.07,13.65,14.04,966390.0,RHC,as51
412234,2010-08-04,14.04,14.33,14.04,14.25,365460.0,RHC,as51
412235,2010-08-05,14.35,14.48,14.1,14.31,392805.0,RHC,as51
412236,2010-08-06,14.38,14.48,14.25,14.34,192017.0,RHC,as51
412237,2010-08-09,14.14,14.74,14.05,14.65,397501.0,RHC,as51
412238,2010-08-10,14.6,14.6,14.24,14.35,445768.0,RHC,as51
412239,2010-08-11,14.35,14.58,14.31,14.5,511942.0,RHC,as51
412240,2010-08-12,14.39,14.65,14.11,14.46,573992.0,RHC,as51
412241,2010-08-13,14.5,14.6,14.12,14.53,741737.0,RHC,as51
412242,2010-08-16,14.5,14.59,14.39,14.42,259164.0,RHC,as51
412243,2010-08-17,14.35,14.54,14.18,14.5,435256.0,RHC,as51
412244,2010-08-18,14.46,14.46,13.97,14.04,589820.0,RHC,as51
412245,2010-08-19,14.07,14.3,13.95,14.05,930208.0,RHC,as51
412246,2010-08-20,13.96,14.05,13.88,13.92,658512.0,RHC,as51
412247,2010-08-23,13.8,13.93,13.67,13.81,757150.0,RHC,as51
412248,2010-08-24,13.81,13.94,13.66,13.7,1006720.0,RHC,as51
412249,2010-08-25,13.66,13.73,13.5,13.55,1596900.0,RHC,as51
412250,2010-08-26,13.65,13.85,13.4,13.64,2328620.0,RHC,as51
412251,2010-08-27,14.15,14.42,13.93,14.22,1912730.0,RHC,as51
412252,2010-08-30,14.46,14.59,14.39,14.5,1722600.0,RHC,as51
412253,2010-08-31,14.43,14.86,14.43,14.62,1657270.0,RHC,as51
412254,2010-09-01,14.7,14.74,14.58,14.61,580189.0,RHC,as51
412255,2010-09-02,14.8,14.8,14.47,14.61,653505.0,RHC,as51
412256,2010-09-03,14.7,15.19,14.68,15.01,576277.0,RHC,as51
412257,2010-09-06,15.05,15.05,14.78,14.96,592574.0,RHC,as51
412258,2010-09-07,14.96,15.06,14.83,15.0,486102.0,RHC,as51
412259,2010-09-08,15.05,15.34,14.96,15.0,699824.0,RHC,as51
412260,2010-09-09,15.19,15.38,15.15,15.3,602236.0,RHC,as51
412261,2010-09-10,15.48,15.61,15.19,15.27,908955.0,RHC,as51
412262,2010-09-13,15.38,15.53,15.07,15.08,644721.0,RHC,as51
412263,2010-09-14,15.21,15.21,14.75,14.76,673861.0,RHC,as51
412264,2010-09-15,14.74,14.75,14.56,14.67,1102710.0,RHC,as51
412265,2010-09-16,14.5,14.5,14.26,14.43,1526350.0,RHC,as51
412266,2010-09-17,14.48,14.69,14.3,14.65,1350300.0,RHC,as51
412267,2010-09-20,14.62,14.92,14.56,14.74,386910.0,RHC,as51
412268,2010-09-21,14.77,14.77,14.43,14.65,355332.0,RHC,as51
412269,2010-09-22,14.85,14.97,14.66,14.74,359470.0,RHC,as51
412270,2010-09-23,14.74,14.89,14.68,14.84,654115.0,RHC,as51
412271,2010-09-24,14.78,14.91,14.6,14.85,474694.0,RHC,as51
412272,2010-09-27,15.05,15.36,14.96,15.36,626410.0,RHC,as51
412273,2010-09-28,15.0,15.1,14.9,15.08,578961.0,RHC,as51
