,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume,ticker,index_id
418293,2010-01-01,2.975,2.985,2.95,2.965,701374.0,RMD,as51
418294,2010-01-04,2.935,2.955,2.91,2.94,1481910.0,RMD,as51
418295,2010-01-05,2.885,2.905,2.88,2.885,6522210.0,RMD,as51
418296,2010-01-06,2.775,2.82,2.76,2.805,11180300.0,RMD,as51
418297,2010-01-07,2.865,2.88,2.835,2.84,3640550.0,RMD,as51
418298,2010-01-08,2.85,2.885,2.845,2.875,2767260.0,RMD,as51
418299,2010-01-11,2.835,2.835,2.8,2.805,4197900.0,RMD,as51
418300,2010-01-12,2.835,2.87,2.835,2.85,2640600.0,RMD,as51
418301,2010-01-13,2.805,2.84,2.785,2.825,6002220.0,RMD,as51
418302,2010-01-14,2.825,2.845,2.82,2.835,6179380.0,RMD,as51
418303,2010-01-15,2.82,2.84,2.805,2.83,2869260.0,RMD,as51
418304,2010-01-18,2.805,2.86,2.805,2.835,1513490.0,RMD,as51
418305,2010-01-19,2.85,2.855,2.825,2.835,5620700.0,RMD,as51
418306,2010-01-20,2.85,2.91,2.85,2.905,4591130.0,RMD,as51
418307,2010-01-21,2.91,2.935,2.88,2.9,3617480.0,RMD,as51
418308,2010-01-22,2.83,2.91,2.83,2.905,4848310.0,RMD,as51
418309,2010-01-25,2.88,2.905,2.88,2.885,2588590.0,RMD,as51
418310,2010-01-26,2.88,2.905,2.88,2.885,2588590.0,RMD,as51
418311,2010-01-27,2.965,2.975,2.925,2.935,8348110.0,RMD,as51
418312,2010-01-28,2.92,2.945,2.92,2.925,4883510.0,RMD,as51
418313,2010-01-29,2.9,2.92,2.885,2.895,2386760.0,RMD,as51
418314,2010-02-01,2.89,2.895,2.865,2.89,1814070.0,RMD,as51
418315,2010-02-02,2.885,2.94,2.86,2.93,1666330.0,RMD,as51
418316,2010-02-03,2.93,2.975,2.92,2.96,3593930.0,RMD,as51
418317,2010-02-04,2.935,3.01,2.925,2.995,9620320.0,RMD,as51
418318,2010-02-05,3.25,3.275,3.055,3.17,18770700.0,RMD,as51
418319,2010-02-08,3.175,3.225,3.12,3.195,6274630.0,RMD,as51
418320,2010-02-09,3.18,3.18,3.115,3.125,5168600.0,RMD,as51
418321,2010-02-10,3.105,3.12,3.09,3.12,3372520.0,RMD,as51
418322,2010-02-11,3.135,3.14,3.075,3.095,4588740.0,RMD,as51
418323,2010-02-12,3.095,3.165,3.095,3.16,4056860.0,RMD,as51
418324,2010-02-15,3.13,3.165,3.115,3.165,970092.0,RMD,as51
418325,2010-02-16,3.165,3.165,3.115,3.14,1301260.0,RMD,as51
418326,2010-02-17,3.07,3.085,3.05,3.055,6184150.0,RMD,as51
418327,2010-02-18,3.09,3.17,3.07,3.14,4923930.0,RMD,as51
418328,2010-02-19,3.175,3.24,3.17,3.215,7283040.0,RMD,as51
418329,2010-02-22,3.22,3.23,3.18,3.195,3161150.0,RMD,as51
418330,2010-02-23,3.195,3.23,3.195,3.22,2477780.0,RMD,as51
418331,2010-02-24,3.175,3.23,3.155,3.215,3789340.0,RMD,as51
418332,2010-02-25,3.235,3.24,3.19,3.21,1611420.0,RMD,as51
418333,2010-02-26,3.22,3.24,3.19,3.215,7192730.0,RMD,as51
418334,2010-03-01,3.185,3.225,3.18,3.21,3856150.0,RMD,as51
418335,2010-03-02,3.215,3.27,3.215,3.245,2049280.0,RMD,as51
418336,2010-03-03,3.25,3.295,3.24,3.285,3920990.0,RMD,as51
418337,2010-03-04,3.28,3.29,3.255,3.26,3581280.0,RMD,as51
418338,2010-03-05,3.29,3.32,3.275,3.285,3383640.0,RMD,as51
418339,2010-03-08,3.285,3.295,3.23,3.25,2590730.0,RMD,as51
418340,2010-03-09,3.25,3.305,3.24,3.27,5429040.0,RMD,as51
418341,2010-03-10,3.25,3.285,3.245,3.27,5111680.0,RMD,as51
418342,2010-03-11,3.3,3.33,3.28,3.31,6253320.0,RMD,as51
418343,2010-03-12,3.315,3.33,3.295,3.305,2885080.0,RMD,as51
418344,2010-03-15,3.32,3.34,3.3,3.3,2020600.0,RMD,as51
418345,2010-03-16,3.315,3.355,3.315,3.325,2063870.0,RMD,as51
418346,2010-03-17,3.335,3.355,3.3,3.35,3825420.0,RMD,as51
418347,2010-03-18,3.33,3.365,3.325,3.365,2449740.0,RMD,as51
418348,2010-03-19,3.385,3.405,3.33,3.355,11323100.0,RMD,as51
418349,2010-03-22,3.375,3.415,3.37,3.375,3752400.0,RMD,as51
418350,2010-03-23,3.415,3.415,3.38,3.405,4173530.0,RMD,as51
418351,2010-03-24,3.415,3.46,3.41,3.435,4036810.0,RMD,as51
418352,2010-03-25,3.49,3.525,3.48,3.495,5968190.0,RMD,as51
418353,2010-03-26,3.465,3.48,3.44,3.465,2376270.0,RMD,as51
418354,2010-03-29,3.495,3.505,3.445,3.45,1765240.0,RMD,as51
418355,2010-03-30,3.45,3.485,3.425,3.45,3869120.0,RMD,as51
418356,2010-03-31,3.475,3.51,3.44,3.5,1740910.0,RMD,as51
418357,2010-04-01,3.48,3.485,3.45,3.46,2908760.0,RMD,as51
418358,2010-04-02,3.48,3.485,3.45,3.46,2908760.0,RMD,as51
418359,2010-04-05,3.48,3.485,3.45,3.46,2908760.0,RMD,as51
418360,2010-04-06,3.46,3.48,3.45,3.465,1404870.0,RMD,as51
418361,2010-04-07,3.425,3.435,3.385,3.425,3834810.0,RMD,as51
418362,2010-04-08,3.38,3.4,3.36,3.375,2632600.0,RMD,as51
418363,2010-04-09,3.305,3.32,3.28,3.32,4958820.0,RMD,as51
418364,2010-04-12,3.31,3.335,3.28,3.32,3905940.0,RMD,as51
418365,2010-04-13,3.29,3.36,3.29,3.34,5315080.0,RMD,as51
418366,2010-04-14,3.335,3.36,3.31,3.345,5304920.0,RMD,as51
418367,2010-04-15,3.345,3.365,3.3,3.315,3391370.0,RMD,as51
418368,2010-04-16,3.315,3.355,3.315,3.345,2265200.0,RMD,as51
418369,2010-04-19,3.315,3.36,3.315,3.355,1786580.0,RMD,as51
418370,2010-04-20,3.365,3.395,3.355,3.375,4540380.0,RMD,as51
418371,2010-04-21,3.43,3.48,3.43,3.45,5693700.0,RMD,as51
418372,2010-04-22,3.43,3.455,3.41,3.44,9712130.0,RMD,as51
418373,2010-04-23,3.435,3.445,3.415,3.44,3729380.0,RMD,as51
418374,2010-04-26,3.435,3.445,3.415,3.44,3729380.0,RMD,as51
418375,2010-04-27,3.41,3.415,3.37,3.37,3371370.0,RMD,as51
418376,2010-04-28,3.315,3.335,3.29,3.305,5791720.0,RMD,as51
418377,2010-04-29,3.325,3.385,3.325,3.345,2685480.0,RMD,as51
418378,2010-04-30,3.485,3.56,3.475,3.54,19370200.0,RMD,as51
418379,2010-05-03,3.7,3.76,3.67,3.695,8835470.0,RMD,as51
418380,2010-05-04,3.7,3.71,3.655,3.68,5408210.0,RMD,as51
418381,2010-05-05,3.69,3.76,3.69,3.735,3273760.0,RMD,as51
418382,2010-05-06,3.695,3.74,3.695,3.735,4985100.0,RMD,as51
418383,2010-05-07,3.68,3.71,3.605,3.645,9047670.0,RMD,as51
418384,2010-05-10,3.57,3.61,3.5,3.6,5152450.0,RMD,as51
418385,2010-05-11,3.66,3.735,3.64,3.695,4734170.0,RMD,as51
418386,2010-05-12,3.74,3.77,3.725,3.745,2250740.0,RMD,as51
418387,2010-05-13,3.835,3.855,3.81,3.835,4710120.0,RMD,as51
418388,2010-05-14,3.825,3.895,3.815,3.855,5030670.0,RMD,as51
418389,2010-05-17,3.815,3.89,3.815,3.865,5312590.0,RMD,as51
418390,2010-05-18,3.885,3.91,3.815,3.85,6431630.0,RMD,as51
418391,2010-05-19,3.815,3.85,3.775,3.805,7709810.0,RMD,as51
418392,2010-05-20,3.805,3.85,3.75,3.775,7621800.0,RMD,as51
418393,2010-05-21,3.78,3.82,3.655,3.68,14822900.0,RMD,as51
418394,2010-05-24,3.635,3.65,3.595,3.625,10705200.0,RMD,as51
418395,2010-05-25,3.75,3.78,3.65,3.675,15964900.0,RMD,as51
418396,2010-05-26,3.775,3.775,3.68,3.71,9716820.0,RMD,as51
418397,2010-05-27,3.7,3.735,3.695,3.72,8916300.0,RMD,as51
418398,2010-05-28,3.735,3.75,3.67,3.7,5531360.0,RMD,as51
418399,2010-05-31,3.73,3.775,3.73,3.75,8440360.0,RMD,as51
418400,2010-06-01,3.73,3.84,3.725,3.78,3975030.0,RMD,as51
418401,2010-06-02,3.8,3.84,3.79,3.825,3727770.0,RMD,as51
418402,2010-06-03,3.865,3.875,3.83,3.85,3160530.0,RMD,as51
418403,2010-06-04,3.885,3.92,3.87,3.915,4341090.0,RMD,as51
418404,2010-06-07,3.895,3.985,3.885,3.91,4525510.0,RMD,as51
418405,2010-06-08,3.845,3.865,3.76,3.79,12826100.0,RMD,as51
418406,2010-06-09,3.775,3.805,3.765,3.79,5243480.0,RMD,as51
418407,2010-06-10,3.775,3.775,3.725,3.745,4093530.0,RMD,as51
418408,2010-06-11,3.725,3.775,3.7,3.765,2819830.0,RMD,as51
418409,2010-06-14,3.725,3.775,3.7,3.765,2819830.0,RMD,as51
